returned_episode,env_step,returned_won_episode,test_returned_won_episode,test_returned_episode_lengths,qvals,_step,grad_steps,returned_episode_lengths,test_returned_episode_returns,test_returned_episode,_runtime,update_steps,returned_episode_returns,loss,_timestamp
0.015625,27648.0,0.0,0.0,40.99847412109375,0.0,17,0,31.276042938232422,0.08202826976776123,1.0,47.044113696,18,0.11070477962493896,0.0,1746164058.6116793
0.014322916977107525,53760.0,0.0,0.0,40.99847412109375,0.1650044322013855,34,32,29.858074188232422,0.08202826976776123,1.0,49.498204309,35,0.08912213891744614,0.0036786547861993313,1746164061.0657294
0.014322916977107525,56832.0,0.0,0.0,40.99847412109375,0.2631761133670807,36,48,30.75,0.08202826976776123,1.0,50.300889281,37,0.11836021393537521,0.0032996779773384333,1746164061.8684185
0.015625,66048.0,0.0,0.0,40.99847412109375,0.31484562158584595,42,96,31.139324188232422,0.08202826976776123,1.0,52.71106905,43,0.12074621766805649,0.0051518892869353294,1746164064.2785246
0.013671875,104448.0,0.0,0.0,40.99847412109375,0.6013349890708923,67,296,31.7578125,0.08202826976776123,1.0,62.753801182,68,0.128235325217247,0.0054079145193099976,1746164074.3213587
0.013671875,105984.0,0.0,0.0,40.99847412109375,0.6105320453643799,68,304,30.96614646911621,0.08202826976776123,1.0,63.155497801,69,0.14640763401985168,0.005378330126404762,1746164074.7230299
0.012369791977107525,198144.0,0.0,0.0,40.99847412109375,0.6968517303466797,128,784,31.23958396911621,0.08202826976776123,1.0,87.263574638,129,0.16757246851921082,0.021318838000297546,1746164098.8311071
0.014322916977107525,202752.0,0.0,0.0,40.99847412109375,0.7517602443695068,131,808,31.404949188232422,0.08202826976776123,1.0,88.468541645,132,0.1729954481124878,0.05909308046102524,1746164100.0360527
0.01302083395421505,253440.0,0.0,0.0,40.99847412109375,0.3954439163208008,164,1072,31.140625,0.08202826976776123,1.0,101.727381496,165,0.19107244908809662,0.05285625159740448,1746164113.294923
0.012369791977107525,274944.0,0.0,0.0,40.99847412109375,0.4497334361076355,178,1184,31.947917938232422,0.08202826976776123,1.0,107.349682834,179,0.1869337260723114,0.1435539722442627,1746164118.9172251
0.014322916977107525,288768.0,0.0,0.0,40.99847412109375,0.47477442026138306,187,1256,31.994792938232422,0.08202826976776123,1.0,110.963826298,188,0.19150438904762268,0.35430485010147095,1746164122.531384
0.012369791977107525,290304.0,0.0,0.0,40.99847412109375,0.46330931782722473,188,1264,30.11067771911621,0.08202826976776123,1.0,111.365617483,189,0.16751572489738464,0.34009450674057007,1746164122.9331956
0.013671875,333312.0,0.0,0.0,40.99847412109375,0.4829005002975464,216,1488,31.46875,0.08202826976776123,1.0,122.619704314,217,0.21657192707061768,0.16703970730304718,1746164134.1872265
0.014322916977107525,337920.0,0.0,0.0,40.99847412109375,0.4837168753147125,219,1512,31.971355438232422,0.08202826976776123,1.0,123.824348239,220,0.20108374953269958,0.16029509902000427,1746164135.3918705
0.014322916977107525,339456.0,0.0,0.0,40.99847412109375,0.4733276963233948,220,1520,32.161460876464844,0.08202826976776123,1.0,124.226471841,221,0.21974879503250122,0.1726313829421997,1746164135.7940104
0.014322916977107525,377856.0,0.0,0.0,40.99847412109375,0.5282471179962158,245,1720,31.30989646911621,0.08202826976776123,1.0,134.269673048,246,0.21578827500343323,0.48499634861946106,1746164145.8372076
0.014322916977107525,379392.0,0.0,0.0,40.99847412109375,0.5350408554077148,246,1728,31.86458396911621,0.08202826976776123,1.0,134.671506863,247,0.20027652382850647,0.48678016662597656,1746164146.239056
0.014322916977107525,423936.0,0.0,0.0,40.99847412109375,0.6104003190994263,275,1960,32.071617126464844,0.08202826976776123,1.0,146.32360552,276,0.24404439330101013,0.5101070404052734,1746164157.8911567
0.015625,462336.0,0.0,0.0,40.99847412109375,0.628448486328125,300,2160,32.055992126464844,0.08202826976776123,1.0,156.365139918,301,0.23830287158489227,0.5531833171844482,1746164167.9326804
0.01171875,514560.0,0.0,0.009104704484343529,67.38542938232422,0.6904795169830322,334,2432,32.2421875,0.7136748433113098,1.0,170.121244372,335,0.2712307572364807,0.5802892446517944,1746164181.6887884
0.01497395895421505,528384.0,0.0,0.009104704484343529,67.38542938232422,0.680275559425354,343,2504,32.12760543823242,0.7136748433113098,1.0,173.736038576,344,0.2420186698436737,0.5596941709518433,1746164185.303559
0.01497395895421505,554496.0,0.0,0.009104704484343529,67.38542938232422,0.6978881359100342,360,2640,31.61328125,0.7136748433113098,1.0,180.563768341,361,0.2385776937007904,0.5291864275932312,1746164192.131311
0.014322916977107525,585216.0,0.0,0.009104704484343529,67.38542938232422,0.678027868270874,380,2800,32.0234375,0.7136748433113098,1.0,188.609875752,381,0.20612750947475433,0.46624991297721863,1746164200.1774096
0.01497395895421505,600576.0,0.0,0.009104704484343529,67.38542938232422,0.6775983572006226,390,2880,31.428386688232422,0.7136748433113098,1.0,192.627067866,391,0.192350834608078,0.43721890449523926,1746164204.1946251
0.015625,629760.0,0.0,0.009104704484343529,67.38542938232422,0.6408542990684509,409,3032,29.7578125,0.7136748433113098,1.0,200.258373497,410,0.15436629951000214,0.3703901767730713,1746164211.8259077
0.015625,635904.0,0.0,0.009104704484343529,67.38542938232422,0.6212912201881409,413,3064,31.893230438232422,0.7136748433113098,1.0,201.896804261,414,0.1890258491039276,0.3389354348182678,1746164213.464341
0.013671875,637440.0,0.0,0.009104704484343529,67.38542938232422,0.6088321208953857,414,3072,31.701824188232422,0.7136748433113098,1.0,202.298451524,415,0.17020824551582336,0.3540797829627991,1746164213.865982
0.01302083395421505,685056.0,0.0,0.009104704484343529,67.38542938232422,0.5554264783859253,445,3320,31.225261688232422,0.7136748433113098,1.0,214.756083395,446,0.1624583750963211,0.18436692655086517,1746164226.3236282
0.01302083395421505,686592.0,0.0,0.009104704484343529,67.38542938232422,0.567825198173523,446,3328,31.350261688232422,0.7136748433113098,1.0,215.157512245,447,0.16260968148708344,0.2019708752632141,1746164226.7250495
0.01171875,715776.0,0.0,0.009104704484343529,67.38542938232422,0.5093536376953125,465,3480,32.13151168823242,0.7136748433113098,1.0,222.788399215,466,0.1567809283733368,0.1660761833190918,1746164234.3559542
0.010416666977107525,721920.0,0.0,0.009104704484343529,67.38542938232422,0.4963488280773163,469,3512,32.071617126464844,0.7136748433113098,1.0,224.394518317,470,0.14429691433906555,0.15969538688659668,1746164235.9620576
0.014322916977107525,752640.0,0.0,0.009104704484343529,67.38542938232422,0.5595921277999878,489,3672,31.96484375,0.7136748433113098,1.0,232.432017938,490,0.12472157925367355,0.18706032633781433,1746164243.9994998
0.013671875,803328.0,0.0,0.009104704484343529,67.38542938232422,0.5456460118293762,522,3936,32.30859375,0.7136748433113098,1.0,245.685583032,523,0.12650400400161743,0.11106641590595245,1746164257.2531154
0.014322916977107525,809472.0,0.0,0.009104704484343529,67.38542938232422,0.5376392006874084,526,3968,31.12239646911621,0.7136748433113098,1.0,247.292423359,527,0.10417260974645615,0.10172173380851746,1746164258.8599803
0.01302083395421505,818688.0,0.0,0.009104704484343529,67.38542938232422,0.521848738193512,532,4016,32.067710876464844,0.7136748433113098,1.0,249.702413994,533,0.12530583143234253,0.16133663058280945,1746164261.2699795
0.013671875,849408.0,0.0,0.009104704484343529,67.38542938232422,0.4738319516181946,552,4176,31.01171875,0.7136748433113098,1.0,257.739559078,553,0.1050582155585289,0.16735422611236572,1746164269.3071208
0.015625,892416.0,0.0,0.009104704484343529,67.38542938232422,0.3506535291671753,580,4400,31.69661521911621,0.7136748433113098,1.0,268.987838345,581,0.07243811339139938,0.30475884675979614,1746164280.5553515
0.014322916977107525,895488.0,0.0,0.009104704484343529,67.38542938232422,0.316326379776001,582,4416,32.274742126464844,0.7136748433113098,1.0,269.79093946,583,0.10634107887744904,0.1775733232498169,1746164281.3584769
0.015625,920064.0,0.0,0.009104704484343529,67.38542938232422,0.3644992411136627,598,4544,31.979167938232422,0.7136748433113098,1.0,276.226503594,599,0.08182233572006226,0.306892067193985,1746164287.7940614
0.015625,943104.0,0.0,0.009104704484343529,67.38542938232422,0.27262187004089355,613,4664,30.662761688232422,0.7136748433113098,1.0,282.256397397,614,0.12554961442947388,0.21125081181526184,1746164293.8239355
0.015625,950784.0,0.0,0.009104704484343529,67.38542938232422,0.2642318904399872,618,4704,32.27213668823242,0.7136748433113098,1.0,284.263523432,619,0.10267122834920883,0.19827885925769806,1746164295.8310792
0.01497395895421505,963072.0,0.0,0.009104704484343529,67.38542938232422,0.3344050347805023,626,4768,31.529949188232422,0.7136748433113098,1.0,287.477395447,627,0.04819817468523979,0.26132485270500183,1746164299.044945
0.014322916977107525,964608.0,0.0,0.009104704484343529,67.38542938232422,0.32550203800201416,627,4776,32.028648376464844,0.7136748433113098,1.0,287.879067644,628,0.12221231311559677,0.2943571209907532,1746164299.4466143
0.015625,979968.0,0.0,0.009104704484343529,67.38542938232422,0.3141772150993347,637,4856,31.8984375,0.7136748433113098,1.0,291.899580107,638,0.08482390642166138,0.15898039937019348,1746164303.4671106
0.015625,1022976.0,0.0,0.0,57.39236831665039,0.3485764265060425,665,5080,31.02864646911621,0.06731988489627838,1.0,303.252929956,666,0.07761885225772858,0.159734308719635,1746164314.8204749
0.015625,1038336.0,0.0,0.0,57.39236831665039,0.29708132147789,675,5160,32.26171875,0.06731988489627838,1.0,307.270122673,676,0.0971183180809021,0.17990002036094666,1746164318.8376408
0.013671875,1059840.0,0.0,0.0,57.39236831665039,0.21699468791484833,689,5272,32.032554626464844,0.06731988489627838,1.0,312.897661142,690,0.15095451474189758,0.1393338143825531,1746164324.465217
0.015625,1081344.0,0.0,0.0,57.39236831665039,0.1208440512418747,703,5384,31.94921875,0.06731988489627838,1.0,318.523966009,704,0.1269390881061554,0.14682349562644958,1746164330.0915074
0.014322916977107525,1096704.0,0.0,0.0,57.39236831665039,0.1841023564338684,713,5464,31.588542938232422,0.06731988489627838,1.0,322.540108911,714,0.10164058208465576,0.11956435441970825,1746164334.1076543
0.014322916977107525,1158144.0,0.0,0.0,57.39236831665039,0.3064817786216736,753,5784,32.265625,0.06731988489627838,1.0,338.610341825,754,0.15416322648525238,0.22762168943881989,1746164350.17788
