grad_steps,_step,_runtime,test_returned_episode_returns,env_step,test_returned_won_episode,returned_episode_returns,loss,test_returned_episode,returned_episode_lengths,returned_won_episode,qvals,update_steps,test_returned_episode_lengths,returned_episode,_timestamp
0,15,55.682208939,0.18758003413677216,24576.0,0.0,0.1321180760860443,0.0,1.0,15.275391578674316,0.0,0.0,16,11.488933563232422,0.0533854179084301,1746174314.6998885
536,97,78.698315625,0.18758003413677216,150528.0,0.0,0.1500217169523239,0.049224093556404114,1.0,14.550782203674316,0.0,0.4185010492801666,98,11.488933563232422,0.0559895858168602,1746174337.7159874
544,98,79.025309375,0.18758003413677216,152064.0,0.0,0.14997832477092743,0.046029381453990936,1.0,14.375651359558105,0.0,0.4174512028694153,99,11.488933563232422,0.0572916679084301,1746174338.0429516
568,101,80.03260014,0.18758003413677216,156672.0,0.0,0.1482205092906952,0.06184970960021019,1.0,14.904297828674316,0.0,0.4203033149242401,102,11.488933563232422,0.0546875037252903,1746174339.0502357
632,109,82.65969807,0.18758003413677216,168960.0,0.0,0.158745676279068,0.05128654092550278,1.0,15.002604484558105,0.0,0.3871036469936371,110,11.488933563232422,0.0540364608168602,1746174341.6773522
848,136,91.5861237,0.18758003413677216,210432.0,0.0,0.17092016339302063,0.10725212097167969,1.0,13.992188453674316,0.0,0.36083829402923584,137,11.488933563232422,0.0592447929084301,1746174350.6037602
968,151,96.526593765,0.18758003413677216,233472.0,0.0,0.17139758169651031,0.11318089067935944,1.0,14.547526359558105,0.0,0.3229171633720398,152,11.488933563232422,0.0546875037252903,1746174355.544248
1104,168,102.150733048,0.18758003413677216,259584.0,0.0,0.1857639104127884,0.10031358152627945,1.0,14.094401359558105,0.0,0.346790611743927,169,11.488933563232422,0.0585937537252903,1746174361.168398
1160,175,104.462332089,0.18758003413677216,270336.0,0.0,0.173611119389534,0.1572778970003128,1.0,13.630208969116211,0.0,0.3189006447792053,176,11.488933563232422,0.0605468787252903,1746174363.4799752
1248,186,108.090297873,0.18758003413677216,287232.0,0.0,0.18346357345581055,0.1493091583251953,1.0,14.255208969116211,0.0,0.347562313079834,187,11.488933563232422,0.0598958358168602,1746174367.107958
1400,205,114.382466,0.18758003413677216,316416.0,0.0,0.21030819416046143,0.07824912667274475,1.0,13.953125953674316,0.0,0.32420292496681213,206,11.488933563232422,0.0585937537252903,1746174373.4000425
1816,257,131.640484043,0.18758003413677216,396288.0,0.0,0.2315104454755783,0.06819789111614227,1.0,13.800782203674316,0.0,0.34278184175491333,258,11.488933563232422,0.0605468787252903,1746174390.6580899
1864,263,133.635546179,0.18758003413677216,405504.0,0.0,0.2409505397081375,0.06576940417289734,1.0,14.491537094116211,0.0,0.3386771082878113,264,11.488933563232422,0.0566406287252903,1746174392.6531591
1888,266,134.625373694,0.18758003413677216,410112.0,0.0,0.2274305820465088,0.07094712555408478,1.0,14.225260734558105,0.0,0.34353235363960266,267,11.488933563232422,0.0579427108168602,1746174393.6430185
1920,270,135.950590879,0.18758003413677216,416256.0,0.0,0.23450522124767303,0.07151442766189575,1.0,13.535157203674316,0.0,0.34620365500450134,271,11.488933563232422,0.0618489608168602,1746174394.9681869
1968,276,137.94756017,0.18758003413677216,425472.0,0.0,0.25850698351860046,0.07263092696666718,1.0,14.802735328674316,0.0,0.34169286489486694,277,11.488933563232422,0.0566406287252903,1746174396.96519
2016,282,139.946209772,0.18758003413677216,434688.0,0.0,0.24288196861743927,0.07256826758384705,1.0,14.640625953674316,0.0,0.33603161573410034,283,11.488933563232422,0.0572916679084301,1746174398.9638512
2056,287,141.629834662,0.18758003413677216,442368.0,0.0,0.24941407144069672,0.08222973346710205,1.0,13.716797828674316,0.0,0.3325624465942383,288,11.488933563232422,0.0605468787252903,1746174400.6474493
2064,288,141.958275916,0.18758003413677216,443904.0,0.0,0.27656251192092896,0.1293666958808899,1.0,13.900391578674316,0.0,0.34057968854904175,289,11.488933563232422,0.0598958358168602,1746174400.975896
2360,325,154.358029234,0.5815351605415344,500736.0,0.0015789472963660955,0.2904297113418579,0.050072796642780304,1.0,13.807291984558105,0.0,0.37656840682029724,326,16.165788650512695,0.0598958358168602,1746174413.375641
2400,330,156.007911083,0.5815351605415344,508416.0,0.0015789472963660955,0.28845489025115967,0.04652002453804016,1.0,13.967448234558105,0.0,0.3727138936519623,331,16.165788650512695,0.0605468787252903,1746174415.0255673
2424,333,157.004560758,0.5815351605415344,513024.0,0.0015789472963660955,0.26451826095581055,0.04650860279798508,1.0,13.222005844116211,0.0,0.3804696798324585,334,16.165788650512695,0.0611979216337204,1746174416.0221813
2480,340,159.332173501,0.5815351605415344,523776.0,0.0015789472963660955,0.28615453839302063,0.04752180725336075,1.0,13.667318344116211,0.0,0.3743969202041626,341,16.165788650512695,0.0618489608168602,1746174418.3498163
2496,342,159.995344679,0.5815351605415344,526848.0,0.0015789472963660955,0.31085073947906494,0.050552964210510254,1.0,13.069662094116211,0.0,0.37809479236602783,343,16.165788650512695,0.06640625,1746174419.0129592
2632,359,165.660547177,0.5815351605415344,552960.0,0.0015789472963660955,0.30889761447906494,0.06316651403903961,1.0,12.614583969116211,0.0,0.34751081466674805,360,16.165788650512695,0.0670572966337204,1746174424.6781054
2712,369,168.967770431,0.5815351605415344,568320.0,0.0015789472963660955,0.32682299613952637,0.07624068856239319,1.0,12.115235328674316,0.0,0.21503835916519165,370,16.165788650512695,0.0703125,1746174427.985366
2752,374,170.657065712,0.5815351605415344,576000.0,0.0015789472963660955,0.31395405530929565,0.06298723071813583,1.0,11.977213859558105,0.0,0.22414889931678772,375,16.165788650512695,0.0716145858168602,1746174429.6745877
3200,430,189.50017456,0.5815351605415344,662016.0,0.0015789472963660955,0.3426866829395294,0.10790593922138214,1.0,13.167318344116211,0.0,0.18732669949531555,431,16.165788650512695,0.0631510466337204,1746174448.517824
3240,435,191.156041251,0.5815351605415344,669696.0,0.0015789472963660955,0.35887590050697327,0.0869600921869278,1.0,13.111979484558105,0.0,0.13522912561893463,436,16.165788650512695,0.0631510466337204,1746174450.1736352
3304,443,193.825266077,0.5815351605415344,681984.0,0.0015789472963660955,0.3152778148651123,0.08013062179088593,1.0,11.540365219116211,0.0,0.10990646481513977,444,16.165788650512695,0.0755208358168602,1746174452.8429124
3312,444,194.154188051,0.5815351605415344,683520.0,0.0015789472963660955,0.3335503935813904,0.09284652769565582,1.0,13.968750953674316,0.0,0.10187418013811111,445,16.165788650512695,0.0585937537252903,1746174453.1718261
3520,470,202.763248059,0.5815351605415344,723456.0,0.0015789472963660955,0.395724892616272,0.05708952993154526,1.0,12.148438453674316,0.0,0.1110745370388031,471,16.165788650512695,0.0703125,1746174461.7808564
3680,490,209.435524442,0.5815351605415344,754176.0,0.0015789472963660955,0.3989367187023163,0.06157201901078224,1.0,12.341146469116211,0.0,0.11866609752178192,491,16.165788650512695,0.0703125,1746174468.4531605
4016,532,223.43165141,0.5815351605415344,818688.0,0.0015789472963660955,0.4236111640930176,0.06473979353904724,1.0,12.003907203674316,0.0,0.08151689171791077,533,16.165788650512695,0.0716145858168602,1746174482.449288
4040,535,224.424137644,0.5815351605415344,823296.0,0.0015789472963660955,0.43958336114883423,0.04824274033308029,1.0,12.318360328674316,0.0,0.08420693874359131,536,16.165788650512695,0.0690104216337204,1746174483.441777
4120,545,227.735982396,0.5815351605415344,838656.0,0.0015789472963660955,0.4491102695465088,0.050619080662727356,1.0,11.934245109558105,0.0,0.08733735978603363,546,16.165788650512695,0.0722656324505806,1746174486.7535737
4152,549,229.086626335,0.5815351605415344,844800.0,0.0015789472963660955,0.4416449964046478,0.05222731828689575,1.0,11.634766578674316,0.0,0.08590850234031677,550,16.165788650512695,0.0742187574505806,1746174488.104235
4168,551,229.744577893,0.5815351605415344,847872.0,0.0015789472963660955,0.4409939646720886,0.07644438743591309,1.0,12.062500953674316,0.0,0.08478927612304688,552,16.165788650512695,0.0703125,1746174488.7622027
4232,559,232.39833434,0.5815351605415344,860160.0,0.0015789472963660955,0.4474610388278961,0.053825490176677704,1.0,11.929688453674316,0.0,0.07355431467294693,560,16.165788650512695,0.0703125,1746174491.4159493
4328,571,236.422149053,0.5815351605415344,878592.0,0.0015789472963660955,0.4355035424232483,0.08317568153142929,1.0,13.167969703674316,0.0,0.0684218630194664,572,16.165788650512695,0.0611979216337204,1746174495.4396176
4400,580,239.397154036,0.5815351605415344,892416.0,0.0015789472963660955,0.45407989621162415,0.06602295488119125,1.0,12.074870109558105,0.0,0.06434829533100128,581,16.165788650512695,0.0716145858168602,1746174498.4148123
4416,582,240.06026628,0.5815351605415344,895488.0,0.0015789472963660955,0.45844191312789917,0.06645579636096954,1.0,12.481771469116211,0.0,0.08134728670120239,583,16.165788650512695,0.068359375,1746174499.0778997
4584,603,247.100310545,0.5815351605415344,927744.0,0.0015789472963660955,0.4555773138999939,0.07638576626777649,1.0,11.523438453674316,0.0,0.014441009610891342,604,16.165788650512695,0.0748697966337204,1746174506.1179388
4680,615,251.080321796,0.5815351605415344,946176.0,0.0015789472963660955,0.48799917101860046,0.05511649325489998,1.0,11.229166984558105,0.0,0.02379751019179821,616,16.165788650512695,0.0774739608168602,1746174510.0978925
4776,627,255.067200822,0.5815351605415344,964608.0,0.0015789472963660955,0.49299052357673645,0.05119778960943222,1.0,11.772787094116211,0.0,0.03122609481215477,628,16.165788650512695,0.0742187574505806,1746174514.0848317
4896,642,260.071175521,0.5815351605415344,987648.0,0.0015789472963660955,0.48702260851860046,0.07065629214048386,1.0,11.745443344116211,0.0,0.044767383486032486,643,16.165788650512695,0.0735677108168602,1746174519.0888152
5048,661,266.470256597,0.5842157006263733,1016832.0,0.00147058826405555,0.5015191435813904,0.09517154842615128,1.0,12.399088859558105,0.0,0.012086048722267151,662,13.020587921142578,0.068359375,1746174525.487883
5056,662,266.802162735,0.5842157006263733,1018368.0,0.00147058826405555,0.5085286498069763,0.10694962739944458,1.0,11.454427719116211,0.0,0.011216547340154648,663,13.020587921142578,0.0748697966337204,1746174525.8196898
5176,677,271.800875939,0.5842157006263733,1041408.0,0.00147058826405555,0.5086806416511536,0.08425134420394897,1.0,11.104166984558105,0.0,0.025713099166750908,678,13.020587921142578,0.0794270858168602,1746174530.818513
5272,689,275.813504291,0.5842157006263733,1059840.0,0.00147058826405555,0.5049696564674377,0.061614055186510086,1.0,11.909505844116211,0.0,0.0022186371497809887,690,13.020587921142578,0.0722656324505806,1746174534.8310072
5288,691,276.476717584,0.5842157006263733,1062912.0,0.00147058826405555,0.5037760734558105,0.06420472264289856,1.0,11.651693344116211,0.0,-0.0017523274291306734,692,13.020587921142578,0.0748697966337204,1746174535.4943116
5376,702,280.148405299,0.5842157006263733,1079808.0,0.00147058826405555,0.481467068195343,0.07343977689743042,1.0,12.150391578674316,0.0,-0.0019449666142463684,703,13.020587921142578,0.0696614608168602,1746174539.1660402
5632,734,290.774003185,0.5842157006263733,1128960.0,0.00147058826405555,0.5057509541511536,0.055686600506305695,1.0,13.399740219116211,0.0,0.0020781727507710457,735,13.020587921142578,0.0618489608168602,1746174549.7916098
5800,755,297.777335021,0.5842157006263733,1161216.0,0.00147058826405555,0.49646273255348206,0.0764198899269104,1.0,13.340495109558105,0.0,0.009665263816714287,756,13.020587921142578,0.0618489608168602,1746174556.7949784
5856,762,300.099390023,0.5842157006263733,1171968.0,0.00147058826405555,0.48723962903022766,0.06243167817592621,1.0,13.715495109558105,0.0,0.02656104601919651,763,13.020587921142578,0.0618489608168602,1746174559.1170287
6016,782,306.735621649,0.5842157006263733,1202688.0,0.00147058826405555,0.5195963978767395,0.05443524569272995,1.0,12.133463859558105,0.0,0.01187810581177473,783,13.020587921142578,0.0696614608168602,1746174565.753266
6152,799,312.373668688,0.5842157006263733,1228800.0,0.00147058826405555,0.5157335996627808,0.06958579272031784,1.0,11.792318344116211,0.0,0.024806590750813484,800,13.020587921142578,0.0722656324505806,1746174571.3913145
6288,816,318.046078119,0.5842157006263733,1254912.0,0.00147058826405555,0.5213325023651123,0.06368881464004517,1.0,11.579427719116211,0.0,0.03200584650039673,817,13.020587921142578,0.0748697966337204,1746174577.0637321
6432,834,324.022655865,0.5842157006263733,1282560.0,0.00147058826405555,0.5257378816604614,0.06337594985961914,1.0,11.593750953674316,0.0,0.012485321611166,835,13.020587921142578,0.0748697966337204,1746174583.0402992
6504,843,327.023295919,0.5842157006263733,1296384.0,0.00147058826405555,0.5198785066604614,0.08387365192174911,1.0,12.281901359558105,0.0,-0.05096065253019333,844,13.020587921142578,0.0703125,1746174586.0407488
6672,864,334.018009749,0.5842157006263733,1328640.0,0.00147058826405555,0.5190104842185974,0.05929870903491974,1.0,12.065755844116211,0.0,-0.026834014803171158,865,13.020587921142578,0.0696614608168602,1746174593.0356324
6856,887,341.640698226,0.5842157006263733,1363968.0,0.00147058826405555,0.513693630695343,0.06268509477376938,1.0,13.729818344116211,0.0,0.0021985548082739115,888,13.020587921142578,0.0611979216337204,1746174600.6583412
7216,932,356.62334902,0.5842157006263733,1433088.0,0.00147058826405555,0.551020085811615,0.05505770817399025,1.0,12.199870109558105,0.00911458395421505,-0.010808652266860008,933,13.020587921142578,0.0703125,1746174615.6408753
7224,933,356.954803672,0.5842157006263733,1434624.0,0.00147058826405555,0.5262153148651123,0.05733310058712959,1.0,12.093099594116211,0.0,-0.016879143193364143,934,13.020587921142578,0.0703125,1746174615.9724042
7264,938,358.610644094,0.5842157006263733,1442304.0,0.00147058826405555,0.5328559279441833,0.06237507984042168,1.0,12.119791984558105,0.0,-0.03227011114358902,939,13.020587921142578,0.0696614608168602,1746174617.6282775
7296,942,359.92955512,0.5842157006263733,1448448.0,0.00147058826405555,0.5358723998069763,0.055824339389801025,1.0,11.616537094116211,0.0,-0.04824386164546013,943,13.020587921142578,0.0742187574505806,1746174618.947188
7568,976,371.341765398,0.6170151233673096,1500672.0,0.0030878859106451273,0.5149957537651062,0.07472839951515198,1.0,13.286458969116211,0.0,-0.0021115841809660196,977,14.583135604858398,0.0625,1746174630.3594363
7824,1008,381.994088448,0.6170151233673096,1549824.0,0.0030878859106451273,0.5328559279441833,0.05287662893533707,1.0,11.710287094116211,0.0,-0.06831617653369904,1009,14.583135604858398,0.0735677108168602,1746174641.0117269
7856,1012,383.315901896,0.6170151233673096,1555968.0,0.0030878859106451273,0.5365886092185974,0.054968930780887604,1.0,13.028646469116211,0.0,-0.07183019071817398,1013,14.583135604858398,0.064453125,1746174642.3335836
7864,1013,383.644530419,0.6170151233673096,1557504.0,0.0030878859106451273,0.5136284828186035,0.054044101387262344,1.0,12.983724594116211,0.0,-0.07449750602245331,1014,14.583135604858398,0.06640625,1746174642.662147
8008,1031,389.616205533,0.6170151233673096,1585152.0,0.0030878859106451273,0.521397590637207,0.07239903509616852,1.0,12.776693344116211,0.0,-0.05938772112131119,1032,14.583135604858398,0.06640625,1746174648.6338513
8128,1046,394.617475531,0.6170151233673096,1608192.0,0.0030878859106451273,0.5304688215255737,0.07105331122875214,1.0,14.248047828674316,0.0,-0.05098503828048706,1047,14.583135604858398,0.0579427108168602,1746174653.6351254
8368,1076,404.57024075,0.6170151233673096,1654272.0,0.0030878859106451273,0.5275391340255737,0.051478348672389984,1.0,12.312500953674316,0.0,-0.06134802848100662,1077,14.583135604858398,0.0696614608168602,1746174663.587872
8496,1092,409.889709156,0.6170151233673096,1678848.0,0.0030878859106451273,0.5270183086395264,0.057945434004068375,1.0,12.940755844116211,0.0,-0.01870681345462799,1093,14.583135604858398,0.064453125,1746174668.9073653
8696,1117,418.210522569,0.6170151233673096,1717248.0,0.0030878859106451273,0.5552735328674316,0.05865354835987091,1.0,12.419922828674316,0.0,-0.04230067506432533,1118,14.583135604858398,0.0696614608168602,1746174677.2281494
8896,1142,426.514708007,0.6170151233673096,1755648.0,0.0030878859106451273,0.5378906726837158,0.12132174521684647,1.0,11.876954078674316,0.0,-0.10385468602180481,1143,14.583135604858398,0.0709635466337204,1746174685.5323582
9048,1161,432.829054152,0.6170151233673096,1784832.0,0.0030878859106451273,0.5357205867767334,0.0957789495587349,1.0,12.668620109558105,0.0,-0.11588458716869354,1162,14.583135604858398,0.068359375,1746174691.846695
9104,1168,435.15440883,0.6170151233673096,1795584.0,0.0030878859106451273,0.5493056178092957,0.08684464544057846,1.0,12.125000953674316,0.0,-0.14795689284801483,1169,14.583135604858398,0.0703125,1746174694.1720307
9488,1216,451.130915162,0.6170151233673096,1869312.0,0.0030878859106451273,0.5225043892860413,0.05745325982570648,1.0,14.014974594116211,0.0,-0.11791546642780304,1217,14.583135604858398,0.0585937537252903,1746174710.1485517
9520,1220,452.452369323,0.6170151233673096,1875456.0,0.0030878859106451273,0.538411557674408,0.05598369985818863,1.0,12.818360328674316,0.0,-0.11167877167463303,1221,14.583135604858398,0.0651041716337204,1746174711.4699883
9568,1226,454.467966839,0.6170151233673096,1884672.0,0.0030878859106451273,0.5250651836395264,0.060009635984897614,1.0,14.334635734558105,0.0,-0.11736785620450974,1227,14.583135604858398,0.0585937537252903,1746174713.4855444
9696,1242,459.778608708,0.6170151233673096,1909248.0,0.0030878859106451273,0.5305773615837097,0.07164831459522247,1.0,13.065755844116211,0.0052083334885537624,-0.11535461246967316,1243,14.583135604858398,0.0625,1746174718.7962558
9720,1245,460.77645356,0.6170151233673096,1913856.0,0.0030878859106451273,0.5126736760139465,0.06563941389322281,1.0,13.420573234558105,0.0,-0.1148974671959877,1246,14.583135604858398,0.0618489608168602,1746174719.794084
9960,1275,470.781093425,0.6170151233673096,1959936.0,0.0030878859106451273,0.5436198115348816,0.06398497521877289,1.0,12.350260734558105,0.009765625931322575,-0.1510414481163025,1276,14.583135604858398,0.0703125,1746174729.7986782
