returned_episode_returns,env_step,qvals,test_returned_episode_lengths,loss,grad_steps,returned_episode_lengths,test_returned_episode_returns,update_steps,returned_won_episode,_step,test_returned_episode,_runtime,_timestamp,returned_episode,test_returned_won_episode
0.12545573711395264,18432.0,0.0,13.910820960998535,0.0,0,15.856771469116211,0.0014014900662004948,12,0.0,11,1.0,48.254545894,1746171669.734677,0.0501302108168602,0.0
0.12289498001337051,21504.0,0.0,13.910820960998535,0.0,0,16.013671875,0.0014014900662004948,14,0.0,13,1.0,48.375767217,1746171669.8558843,0.0514322929084301,0.0
0.1251085251569748,24576.0,0.0,13.910820960998535,0.0,0,15.290365219116211,0.0014014900662004948,16,0.0,15,1.0,48.496912216,1746171669.9770393,0.0520833358168602,0.0
0.138237863779068,70656.0,0.07106639444828033,13.910820960998535,0.00430690124630928,120,14.946615219116211,0.0014014900662004948,46,0.0,45,1.0,54.310518477,1746171675.7906325,0.0540364608168602,0.0
0.13556858897209167,81408.0,0.49656611680984497,13.910820960998535,0.04673530161380768,176,15.531902313232422,0.0014014900662004948,53,0.0,52,1.0,56.598007946,1746171678.0781252,0.0520833358168602,0.0
0.1414496749639511,86016.0,0.5567068457603455,13.910820960998535,0.03886202350258827,200,15.513672828674316,0.0014014900662004948,56,0.0,55,1.0,57.578077528,1746171679.0581973,0.0514322929084301,0.0
0.14830730855464935,96768.0,0.6803231239318848,13.910820960998535,0.05557334050536156,256,15.087891578674316,0.0014014900662004948,63,0.0,62,1.0,59.864844432,1746171681.3449502,0.0546875037252903,0.0
0.14711372554302216,130560.0,0.8904231786727905,13.910820960998535,0.048727039247751236,432,14.955079078674316,0.0014014900662004948,85,0.0,84,1.0,67.060042502,1746171688.5401545,0.0553385429084301,0.0
0.1580946296453476,156672.0,0.8161211013793945,13.910820960998535,0.08189091086387634,568,14.651693344116211,0.0014014900662004948,102,0.0,101,1.0,72.617039782,1746171694.0971477,0.0546875037252903,0.0
0.17180992662906647,175104.0,0.7141088247299194,13.910820960998535,0.07050783932209015,664,14.077474594116211,0.0014014900662004948,114,0.0,113,1.0,76.542029689,1746171698.022109,0.0579427108168602,0.0
