test_returned_won_episode,test_returned_episode_lengths,env_step,qvals,returned_episode_returns,returned_episode,grad_steps,test_returned_episode,loss,test_returned_episode_returns,update_steps,_runtime,returned_won_episode,returned_episode_lengths,_step,_timestamp
0.0,48.312747955322266,4608.0,0.0,0.24124999344348907,0.0234375,0,1.0,0.0,0.2381862998008728,3,48.499011546,0.0,25.541015625,2,1746193864.4415178
0.0,48.312747955322266,9216.0,0.0,0.26337236166000366,0.02083333395421505,0,1.0,0.0,0.2381862998008728,6,48.689029163,0.0,25.958984375,5,1746193864.6315231
0.0,48.312747955322266,16896.0,0.0,0.2655273377895355,0.02213541604578495,0,1.0,0.0,0.2381862998008728,11,49.005651796,0.0,26.74349021911621,10,1746193864.9481635
0.0,48.312747955322266,23040.0,0.0,0.24914710223674774,0.0234375,0,1.0,0.0,0.2381862998008728,15,49.258894479,0.0,26.302734375,14,1746193865.2014046
0.0,48.312747955322266,30720.0,0.0,0.2267773449420929,0.02408854104578495,0,1.0,0.0,0.2381862998008728,20,49.575535897,0.0,26.19856834411621,19,1746193865.5180304
0.0,48.312747955322266,56832.0,0.2853282690048218,0.25570958852767944,0.02278645895421505,48,1.0,0.00860880222171545,0.2381862998008728,37,52.503059567,0.0,26.65169334411621,36,1746193868.445591
0.0,48.312747955322266,58368.0,0.2713949680328369,0.2613736689090729,0.02278645895421505,56,1.0,0.004248619079589844,0.2381862998008728,38,52.874726718,0.0,26.05533790588379,37,1746193868.8172529
0.0,48.312747955322266,99840.0,0.6784322261810303,0.29815101623535156,0.02473958395421505,272,1.0,0.019032374024391174,0.2381862998008728,65,62.921234973,0.0,25.00325584411621,64,1746193878.8637586
0.0,48.312747955322266,199680.0,0.4716140627861023,0.29784175753593445,0.025390625,792,1.0,0.10456568002700806,0.2381862998008728,130,87.103583315,0.0,24.15755271911621,129,1746193903.0461047
0.0,48.312747955322266,225792.0,0.4095160961151123,0.27708330750465393,0.0234375,928,1.0,0.17944109439849854,0.2381862998008728,147,93.425316793,0.0,25.05533790588379,146,1746193909.367826
0.0,48.312747955322266,228864.0,0.4135016202926636,0.30754557251930237,0.02473958395421505,944,1.0,0.17726796865463257,0.2381862998008728,149,94.169605137,0.0,25.13541603088379,148,1746193910.1120834
0.0,48.312747955322266,259584.0,0.45128554105758667,0.3125097453594208,0.02473958395421505,1104,1.0,0.3599983751773834,0.2381862998008728,169,101.61689479099999,0.0,24.44466209411621,168,1746193917.559411
0.0,48.312747955322266,274944.0,0.4641166031360626,0.3194238245487213,0.025390625,1184,1.0,0.3418894112110138,0.2381862998008728,179,105.339465945,0.0,25.02799415588379,178,1746193921.2819715
0.0,48.312747955322266,296448.0,0.47907620668411255,0.28930988907814026,0.02473958395421505,1296,1.0,0.3319436311721802,0.2381862998008728,193,110.548436771,0.0,24.92578125,192,1746193926.4909365
0.0,48.312747955322266,342528.0,0.4678853750228882,0.32995113730430603,0.02408854104578495,1536,1.0,0.29191046953201294,0.2381862998008728,223,121.716978126,0.0,25.83072853088379,222,1746193937.6595097
