returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode_returns,returned_episode,_runtime,grad_steps,qvals,test_returned_episode_lengths,test_returned_won_episode,env_step,test_returned_episode,_timestamp
30.958986282348633,0.0,16,15,0.0014630047371611,0.0,0.12986811995506287,0.0162760429084301,45.360428527,0,0.0,20.65467071533203,0.0,24576,1.0,1746375383.4718606
31.161460876464844,0.0,98,97,0.0014630047371611,0.01163117028772831,0.1554105579853058,0.012369791977107525,68.410930699,536,0.9322249889373779,20.65467071533203,0.0,150528,1.0,1746375406.5223386
31.354167938232422,0.0,99,98,0.0014630047371611,0.011492433026432991,0.17537051439285278,0.014322916977107525,68.741121371,544,0.952587366104126,20.65467071533203,0.0,152064,1.0,1746375406.852542
30.615886688232422,0.0,102,101,0.0014630047371611,0.028153426945209503,0.162672758102417,0.01302083395421505,69.731651439,568,1.0239851474761963,20.65467071533203,0.0,156672,1.0,1746375407.8430748
31.240886688232422,0.0,110,109,0.0014630047371611,0.013469326309859753,0.17418496310710907,0.015625,72.372778856,632,1.024671196937561,20.65467071533203,0.0,168960,1.0,1746375410.484215
31.227867126464844,0.0,137,136,0.0014630047371611,0.02359526790678501,0.19169138371944427,0.013671875931322575,81.296091561,848,1.0327768325805664,20.65467071533203,0.0,210432,1.0,1746375419.407517
30.656251907348633,0.0,152,151,0.0014630047371611,0.045813776552677155,0.19228048622608185,0.014322916977107525,86.248041788,968,1.0934743881225586,20.65467071533203,0.0,233472,1.0,1746375424.359472
31.841148376464844,0.0,169,168,0.0014630047371611,0.03455864265561104,0.23335254192352295,0.01497395895421505,91.867769308,1104,1.172593355178833,20.65467071533203,0.0,259584,1.0,1746375429.9791803
31.907554626464844,0.0,176,175,0.0014630047371611,0.03935997188091278,0.22956262528896332,0.013671875931322575,94.178549989,1160,1.206132411956787,20.65467071533203,0.0,270336,1.0,1746375432.2899659
31.580730438232422,0.0,187,186,0.0014630047371611,0.044861163944005966,0.22096145153045654,0.014322916977107525,97.810080073,1248,1.2188003063201904,20.65467071533203,0.0,287232,1.0,1746375435.921509
31.588542938232422,0.0,206,205,0.0014630047371611,0.05406206101179123,0.2493182122707367,0.015625,104.085176621,1400,1.2039904594421387,20.65467071533203,0.0,316416,1.0,1746375442.1965778
31.727867126464844,0.0,258,257,0.0014630047371611,0.0678441971540451,0.2865900695323944,0.015625,121.273713657,1816,1.2213512659072876,20.65467071533203,0.0,396288,1.0,1746375459.3851213
31.531251907348633,0.0,264,263,0.0014630047371611,0.10972927510738373,0.2917107343673706,0.015625,123.259471255,1864,1.214735507965088,20.65467071533203,0.0,405504,1.0,1746375461.370871
31.855470657348633,0.0,267,266,0.0014630047371611,0.11150598526000977,0.25351107120513916,0.01497395895421505,124.250245333,1888,1.2100729942321777,20.65467071533203,0.0,410112,1.0,1746375462.361644
32.03385543823242,0.0,271,270,0.0014630047371611,0.1101992204785347,0.2583683133125305,0.01497395895421505,125.570760626,1920,1.222537636756897,20.65467071533203,0.0,416256,1.0,1746375463.6821728
31.993492126464844,0.0,277,276,0.0014630047371611,0.08846240490674973,0.267832487821579,0.015625,127.552507939,1968,1.1838706731796265,20.65467071533203,0.0,425472,1.0,1746375465.663913
31.169273376464844,0.0,283,282,0.0014630047371611,0.07892302423715591,0.24713869392871857,0.01497395895421505,129.533315758,2016,1.2009197473526,20.65467071533203,0.0,434688,1.0,1746375467.6447291
31.746095657348633,0.0,288,287,0.0014630047371611,0.0687071681022644,0.26987534761428833,0.015625,131.184766369,2056,1.2265563011169434,20.65467071533203,0.0,442368,1.0,1746375469.296186
30.930992126464844,0.0,289,288,0.0014630047371611,0.07184979319572449,0.2585330903530121,0.01497395895421505,131.514974655,2064,1.2119927406311035,20.65467071533203,0.0,443904,1.0,1746375469.6264062
31.549480438232422,0.0,326,325,0.5599542260169983,0.08206161856651306,0.2381134033203125,0.015625,143.818452276,2360,1.2142170667648315,57.6677360534668,0.0,500736,1.0,1746375481.9298751
31.815105438232422,0.0,331,330,0.5599542260169983,0.08986100554466248,0.2977828085422516,0.015625,145.468856686,2400,1.2077571153640747,57.6677360534668,0.0,508416,1.0,1746375483.5802934
32.001304626464844,0.0,334,333,0.5599542260169983,0.07401357591152191,0.24181099236011505,0.01497395895421505,146.460317608,2424,1.2157487869262695,57.6677360534668,0.0,513024,1.0,1746375484.5717263
31.972658157348633,0.0,341,340,0.5599542260169983,0.07274026423692703,0.2719523310661316,0.015625,148.771539357,2480,1.2175202369689941,57.6677360534668,0.0,523776,1.0,1746375486.8829772
