loss,returned_episode,update_steps,returned_won_episode,test_returned_episode_lengths,qvals,returned_episode_lengths,test_returned_episode_returns,grad_steps,test_returned_won_episode,env_step,returned_episode_returns,test_returned_episode,_runtime,_timestamp,_step
0.001773931086063385,0.015625,40,0.0,28.10552406311035,-0.0863802582025528,30.0703125,0.04047467187047005,72,0.0,61440.0,0.10964374244213104,1.0,53.685020622,1746186129.5971591,39
0.004449121654033661,0.014322916977107525,68,0.0,28.10552406311035,0.6313626766204834,29.59765625,0.04047467187047005,296,0.0,104448.0,0.12764647603034973,1.0,64.770092397,1746186140.6822665,67
0.006048617884516716,0.01497395895421505,77,0.0,28.10552406311035,0.705848753452301,31.09505271911621,0.04047467187047005,368,0.0,118272.0,0.140155628323555,1.0,68.331451996,1746186144.2436552,76
0.01601451262831688,0.015625,129,0.0,28.10552406311035,0.8326115608215332,31.37890625,0.04047467187047005,784,0.0,198144.0,0.15924207866191864,1.0,88.921098568,1746186164.8332472,128
0.041904620826244354,0.01302083395421505,142,0.0,28.10552406311035,0.8482005596160889,30.37109375,0.04047467187047005,888,0.0,218112.0,0.14942142367362976,1.0,94.067392918,1746186169.9795415,141
0.03668545186519623,0.015625,144,0.0,28.10552406311035,0.8415599465370178,30.79817771911621,0.04047467187047005,904,0.0,221184.0,0.16363058984279633,1.0,94.861443955,1746186170.773602,143
0.0409059002995491,0.014322916977107525,157,0.0,28.10552406311035,0.8136677742004395,30.38671875,0.04047467187047005,1008,0.0,241152.0,0.1564388871192932,1.0,100.006997485,1746186175.9191473,156
0.03290693461894989,0.015625,177,0.0,28.10552406311035,0.8867760896682739,31.23177146911621,0.04047467187047005,1168,0.0,271872.0,0.17883488535881042,1.0,107.930097417,1746186183.842251,176
0.05514928698539734,0.015625,189,0.0,28.10552406311035,0.8526614904403687,31.24609375,0.04047467187047005,1264,0.0,290304.0,0.17910033464431763,1.0,112.678891897,1746186188.5910347,188
0.06208011507987976,0.015625,202,0.0,28.10552406311035,0.9482813477516174,31.389324188232422,0.04047467187047005,1368,0.0,310272.0,0.20235905051231384,1.0,117.83422439,1746186193.7464046,201
0.05802910402417183,0.01497395895421505,220,0.0,28.10552406311035,0.7433903813362122,31.22786521911621,0.04047467187047005,1512,0.0,337920.0,0.19674842059612274,1.0,124.965277461,1746186200.8774316,219
0.2245374470949173,0.014322916977107525,224,0.0,28.10552406311035,0.6591783761978149,30.604167938232422,0.04047467187047005,1544,0.0,344064.0,0.1618659347295761,1.0,126.54832138,1746186202.4605052,223
0.23196381330490112,0.015625,225,0.0,28.10552406311035,0.6226205825805664,30.994792938232422,0.04047467187047005,1552,0.0,345600.0,0.20584914088249207,1.0,126.943979661,1746186202.8561304,224
0.44885605573654175,0.015625,233,0.0,28.10552406311035,0.702196478843689,31.39974021911621,0.04047467187047005,1616,0.0,357888.0,0.1875668615102768,1.0,130.111360482,1746186206.023529,232
0.3850697875022888,0.014322916977107525,241,0.0,28.10552406311035,0.7016644477844238,31.56380271911621,0.04047467187047005,1680,0.0,370176.0,0.19677472114562988,1.0,133.281755967,1746186209.193909,240
0.37891924381256104,0.01497395895421505,251,0.0,28.10552406311035,0.7147430181503296,31.10286521911621,0.04047467187047005,1760,0.0,385536.0,0.2035500407218933,1.0,137.242457776,1746186213.154605,250
0.3765249252319336,0.015625,253,0.0,28.10552406311035,0.7316756844520569,31.26171875,0.04047467187047005,1776,0.0,388608.0,0.19097858667373657,1.0,138.034312257,1746186213.9464865,252
0.26522451639175415,0.015625,299,0.0,28.10552406311035,0.6087443828582764,31.56770896911621,0.04047467187047005,2144,0.0,459264.0,0.1581384390592575,1.0,156.247371081,1746186232.1594026,298
0.5154491662979126,0.015625,311,0.0,28.10552406311035,0.5812121629714966,31.416667938232422,0.04047467187047005,2240,0.0,477696.0,0.17114482820034027,1.0,161.001765995,1746186236.9138823,310
0.4635370373725891,0.013671875,320,0.0,28.10552406311035,0.5772335529327393,30.4453125,0.04047467187047005,2312,0.0,491520.0,0.1379934549331665,1.0,164.56338692,1746186240.4755576,319
0.42578262090682983,0.015625,334,0.0,56.91613006591797,0.5556861162185669,31.576824188232422,0.2540758550167084,2424,0.0,513024.0,0.17479285597801208,1.0,170.205626291,1746186246.117776,333
0.4226093292236328,0.015625,354,0.0,56.91613006591797,0.5013402700424194,31.34765625,0.2540758550167084,2584,0.0,543744.0,0.10750947892665863,1.0,178.129584068,1746186254.041714,353
0.38571885228157043,0.015625,357,0.0,56.91613006591797,0.5047829151153564,31.23177146911621,0.2540758550167084,2608,0.0,548352.0,0.13458037376403809,1.0,179.317515731,1746186255.2296574,356
0.3890001177787781,0.015625,362,0.0,56.91613006591797,0.4975685477256775,31.459636688232422,0.2540758550167084,2648,0.0,556032.0,0.12744124233722687,1.0,181.298428293,1746186257.2105725,361
0.3215774893760681,0.01497395895421505,378,0.0,56.91613006591797,0.4626913070678711,31.64974021911621,0.2540758550167084,2776,0.0,580608.0,0.15401342511177063,1.0,187.633200846,1746186263.5453598,377
0.3047471046447754,0.01497395895421505,385,0.0,56.91613006591797,0.4318639934062958,30.865886688232422,0.2540758550167084,2832,0.0,591360.0,0.15390078723430634,1.0,190.407622713,1746186266.319744,384
0.2716042995452881,0.01302083395421505,413,0.0,56.91613006591797,0.44510167837142944,30.75390625,0.2540758550167084,3056,0.0,634368.0,0.11583253741264343,1.0,201.561330001,1746186277.4734838,412
0.23959650099277496,0.014322916977107525,416,0.0,56.91613006591797,0.4318563938140869,31.8671875,0.2540758550167084,3080,0.0,638976.0,0.1407727152109146,1.0,202.748635786,1746186278.6607993,415
0.18353119492530823,0.01497395895421505,424,0.0,56.91613006591797,0.39360448718070984,31.404949188232422,0.2540758550167084,3144,0.0,651264.0,0.11850230395793915,1.0,205.915230815,1746186281.8273995,423
0.12946999073028564,0.014322916977107525,437,0.0,56.91613006591797,0.3918718695640564,31.10546875,0.2540758550167084,3248,0.0,671232.0,0.11631375551223755,1.0,211.061131901,1746186286.9733074,436
0.10714681446552277,0.01497395895421505,438,0.0,56.91613006591797,0.4145458936691284,31.234375,0.2540758550167084,3256,0.0,672768.0,0.09552077949047089,1.0,211.456826179,1746186287.368977,437
0.17797213792800903,0.01497395895421505,454,0.0,56.91613006591797,0.40853244066238403,31.81770896911621,0.2540758550167084,3384,0.0,697344.0,0.10287314653396606,1.0,217.789630298,1746186293.701804,453
