update_steps,test_returned_episode_lengths,test_returned_episode,_step,returned_episode_returns,returned_won_episode,grad_steps,test_returned_episode_returns,returned_episode,returned_episode_lengths,_runtime,qvals,loss,test_returned_won_episode,env_step,_timestamp
21,19.930248260498047,0.9999999403953552,20,0.13571259379386902,0.0,0,0.138162299990654,0.0442708358168602,17.408855438232422,62.755697158,0.0,0.0,0.0,32256.0,1746168854.465987
24,19.930248260498047,0.9999999403953552,23,0.13712123036384583,0.0,0,0.138162299990654,0.0429687537252903,18.06770896911621,62.989748743,0.0,0.0,0.0,36864.0,1746168854.7000673
39,19.930248260498047,0.9999999403953552,38,0.14802320301532745,0.0,64,0.138162299990654,0.0455729179084301,17.34375,67.161962431,0.04492412507534027,0.006694442126899958,0.0,59904.0,1746168858.8717778
67,19.930248260498047,0.9999999403953552,66,0.1645360141992569,0.0,288,0.138162299990654,0.0455729179084301,16.837890625,80.025852202,0.38062572479248047,0.03141900897026062,0.0,102912.0,1746168871.7358305
81,19.930248260498047,0.9999999403953552,80,0.1588660180568695,0.0,400,0.138162299990654,0.0468750037252903,16.884765625,86.442772359,0.38264840841293335,0.03179512172937393,0.0,124416.0,1746168878.1526997
84,19.930248260498047,0.9999999403953552,83,0.14830729365348816,0.0,424,0.138162299990654,0.0468750037252903,16.883464813232422,87.801357767,0.3441227078437805,0.058733418583869934,0.0,129024.0,1746168879.511663
86,19.930248260498047,0.9999999403953552,85,0.16148202121257782,0.0,440,0.138162299990654,0.0462239608168602,17.25325584411621,88.706928479,0.3431531488895416,0.04242224618792534,0.0,132096.0,1746168880.4171927
158,19.930248260498047,0.9999999403953552,157,0.16854877769947052,0.0,1016,0.138162299990654,0.0449218787252903,17.154949188232422,121.661100239,0.21276713907718658,0.16567732393741608,0.0,242688.0,1746168913.371234
170,19.930248260498047,0.9999999403953552,169,0.16253551840782166,0.0,1112,0.138162299990654,0.0416666679084301,18.225261688232422,127.149945695,0.2071598470211029,0.33740392327308655,0.0,261120.0,1746168918.8600028
173,19.930248260498047,0.9999999403953552,172,0.16122160851955414,0.0,1136,0.138162299990654,0.0410156287252903,18.542970657348633,128.508788466,0.19446538388729095,0.2786840498447418,0.0,265728.0,1746168920.219052
197,19.930248260498047,0.9999999403953552,196,0.17388732731342316,0.0,1328,0.138162299990654,0.0410156287252903,18.223308563232422,139.445607377,0.24386443197727203,0.14655767381191254,0.0,302592.0,1746168931.155833
199,19.930248260498047,0.9999999403953552,198,0.15696023404598236,0.0,1344,0.138162299990654,0.0397135429084301,18.41536521911621,140.353668899,0.2470129281282425,0.132943257689476,0.0,305664.0,1746168932.063877
219,19.930248260498047,0.9999999403953552,218,0.17589962482452393,0.0,1504,0.138162299990654,0.0390625037252903,18.23177146911621,149.507753173,0.2631083130836487,0.06451082229614258,0.0,336384.0,1746168941.2179348
246,19.930248260498047,0.9999999403953552,245,0.2323508858680725,0.0,1720,0.138162299990654,0.0468750037252903,16.389324188232422,161.786297427,0.2772552967071533,0.06770116090774536,0.0,377856.0,1746168953.4965427
248,19.930248260498047,0.9999999403953552,247,0.24111033976078033,0.0,1736,0.138162299990654,0.0488281287252903,16.3828125,162.69279666,0.2819514572620392,0.07061938941478729,0.0,380928.0,1746168954.403049
270,19.930248260498047,0.9999999403953552,269,0.20169273018836975,0.0,1912,0.138162299990654,0.0436197929084301,17.389324188232422,172.769121342,0.20839127898216248,0.1341632455587387,0.0,414720.0,1746168964.4790516
278,19.930248260498047,0.9999999403953552,277,0.22169746458530426,0.0,1976,0.138162299990654,0.0520833358168602,15.060547828674316,176.432603355,0.1245240867137909,0.2077617645263672,0.0,427008.0,1746168968.1428514
279,19.930248260498047,0.9999999403953552,278,0.23945315182209015,0.0,1984,0.138162299990654,0.0546875037252903,14.724610328674316,176.884415581,0.14189837872982025,0.20528766512870789,0.0,428544.0,1746168968.5946724
290,19.930248260498047,0.9999999403953552,289,0.2359730452299118,0.0,2072,0.138162299990654,0.0468750037252903,16.26302146911621,181.89733377,0.13159924745559692,0.09017738699913025,0.0,445440.0,1746168973.6075902
299,19.930248260498047,0.9999999403953552,298,0.2419152855873108,0.0,2144,0.138162299990654,0.0429687537252903,17.20247459411621,186.029686677,0.13684377074241638,0.16723138093948364,0.0,459264.0,1746168977.7399113
314,19.930248260498047,0.9999999403953552,313,0.24558480083942413,0.0,2264,0.138162299990654,0.0468750037252903,16.658203125,192.862829222,0.17359495162963867,0.29182732105255127,0.0,482304.0,1746168984.5730755
322,19.930248260498047,0.9999999403953552,321,0.27369800209999084,0.0,2328,0.138162299990654,0.0507812537252903,15.792318344116211,196.494162871,0.18215586245059967,0.28740784525871277,0.0,494592.0,1746168988.2043953
325,19.10226058959961,0.9999999403953552,324,0.26242902874946594,0.0,2352,0.5923426747322083,0.0462239608168602,17.06770896911621,197.983856552,0.18226799368858337,0.2694655954837799,0.0,499200.0,1746168989.694102
338,19.10226058959961,0.9999999403953552,337,0.2689157724380493,0.0,2456,0.5923426747322083,0.0462239608168602,15.834636688232422,203.889838461,0.18467411398887634,0.258685827255249,0.0,519168.0,1746168995.5998912
