grad_steps,returned_won_episode,test_returned_won_episode,returned_episode,test_returned_episode_returns,qvals,_runtime,loss,_timestamp,env_step,returned_episode_returns,returned_episode_lengths,test_returned_episode,update_steps,_step,test_returned_episode_lengths
0,0.0,0.0,0.01953125,0.07050636410713196,0.0,45.744028617,0.0,1746193138.9967375,32256.0,0.12812672555446625,28.30208396911621,1.0,21,20,21.240447998046875
0,0.0,0.0,0.02018229104578495,0.07050636410713196,0.0,45.911088384,0.0,1746193139.1638315,36864.0,0.14442448318004608,29.517578125,1.0,24,23,21.240447998046875
64,0.0,0.0,0.01953125,0.07050636410713196,0.10344167053699493,48.668379657,0.0058164941146969795,1746193141.9211056,59904.0,0.15110242366790771,26.83333396911621,1.0,39,38,21.240447998046875
288,0.0,0.0,0.01822916604578495,0.07050636410713196,0.8325071334838867,56.9575528,0.008362745866179466,1746193150.2102742,102912.0,0.17723001539707184,29.759765625,1.0,67,66,21.240447998046875
400,0.0,0.0,0.014973958022892475,0.07050636410713196,0.8656270503997803,61.106420287,0.007895133458077908,1746193154.359136,124416.0,0.17065885663032532,29.08463478088379,1.0,81,80,21.240447998046875
424,0.0,0.0,0.01822916604578495,0.07050636410713196,0.8416100740432739,61.996785972,0.01016932912170887,1746193155.249499,129024.0,0.18615277111530304,28.79947853088379,1.0,84,83,21.240447998046875
440,0.0,0.0,0.017578125,0.07050636410713196,0.8471804857254028,62.588549332,0.009525960311293602,1746193155.8412685,132096.0,0.17490190267562866,27.87109375,1.0,86,85,21.240447998046875
1016,0.0,0.0,0.015625,0.07050636410713196,0.821256160736084,83.900040404,0.021641574800014496,1746193177.1527588,242688.0,0.19280381500720978,29.64518165588379,1.0,158,157,21.240447998046875
1112,0.0,0.0,0.01692708395421505,0.07050636410713196,0.823839545249939,87.450752364,0.024258624762296677,1746193180.703452,261120.0,0.1949661374092102,29.67447853088379,1.0,170,169,21.240447998046875
1136,0.0,0.0,0.01888020895421505,0.07050636410713196,0.801116406917572,88.338149421,0.04813453555107117,1746193181.5908544,265728.0,0.1865590214729309,29.28255271911621,1.0,173,172,21.240447998046875
1328,0.0,0.0,0.01627604104578495,0.07050636410713196,0.7542514801025391,95.445428784,0.03398220241069794,1746193188.6981516,302592.0,0.20684893429279327,29.4609375,1.0,197,196,21.240447998046875
1344,0.0,0.0,0.015625,0.07050636410713196,0.7560604810714722,96.03676104,0.029440779238939285,1746193189.2894795,305664.0,0.20592360198497772,29.98697853088379,1.0,199,198,21.240447998046875
1504,0.0,0.0,0.014322916977107525,0.07050636410713196,0.7177742719650269,101.961286452,0.05106028914451599,1746193195.2140088,336384.0,0.18529513478279114,28.94010353088379,1.0,219,218,21.240447998046875
1720,0.0,0.0,0.014322916977107525,0.07050636410713196,0.6167855262756348,109.955441888,0.06112862750887871,1746193203.2081554,377856.0,0.16157464683055878,29.5078125,1.0,246,245,21.240447998046875
1736,0.0,0.0,0.015625,0.07050636410713196,0.6286613345146179,110.54774617,0.08118468523025513,1746193203.8004608,380928.0,0.1916709691286087,29.70833396911621,1.0,248,247,21.240447998046875
1912,0.0,0.0,0.01627604104578495,0.07050636410713196,0.4872683882713318,117.066382708,0.058457523584365845,1746193210.3191118,414720.0,0.20144356787204742,29.37109375,1.0,270,269,21.240447998046875
1976,0.0,0.0,0.01692708395421505,0.07050636410713196,0.49118226766586304,119.434226893,0.07297325134277344,1746193212.6869488,427008.0,0.19538713991641998,29.69140625,1.0,278,277,21.240447998046875
1984,0.0,0.0,0.015625,0.07050636410713196,0.46935051679611206,119.729765069,0.06477316468954086,1746193212.9824953,428544.0,0.1804322749376297,29.86979103088379,1.0,279,278,21.240447998046875
2072,0.0,0.0,0.017578125,0.07050636410713196,0.5268560647964478,122.986712555,0.1020718663930893,1746193216.2394323,445440.0,0.19442446529865265,29.42513084411621,1.0,290,289,21.240447998046875
2144,0.0,0.0,0.01692708395421505,0.07050636410713196,0.47542300820350647,125.649125945,0.07826578617095947,1746193218.9018428,459264.0,0.2011050134897232,30.55729103088379,1.0,299,298,21.240447998046875
2264,0.0,0.0,0.015625,0.07050636410713196,0.47702842950820923,130.087840176,0.07230760157108307,1746193223.3405519,482304.0,0.20426473021507263,30.77018165588379,1.0,314,313,21.240447998046875
2328,0.0,0.0,0.01822916604578495,0.07050636410713196,0.3755669593811035,132.459870689,0.13718315958976746,1746193225.7125826,494592.0,0.166078120470047,27.99674415588379,1.0,322,321,21.240447998046875
2352,0.0,0.0,0.01692708395421505,0.1311044842004776,0.4126283526420593,133.413210106,0.111424021422863,1746193226.6659307,499200.0,0.16975606977939606,29.72916603088379,0.9999999403953552,325,324,38.220943450927734
2456,0.0,0.0,0.017578125,0.1311044842004776,0.36298489570617676,137.261880705,0.11422085016965866,1746193230.5146012,519168.0,0.19595223665237427,27.98763084411621,0.9999999403953552,338,337,38.220943450927734
2496,0.0,0.0,0.01692708395421505,0.1311044842004776,0.3093333840370178,138.740884376,0.18666712939739227,1746193231.9935882,526848.0,0.16594532132148743,29.63606834411621,0.9999999403953552,343,342,38.220943450927734
