returned_episode_lengths,returned_won_episode,test_returned_episode,update_steps,grad_steps,loss,_step,test_returned_episode_returns,env_step,returned_episode,_runtime,test_returned_episode_lengths,returned_episode_returns,qvals,test_returned_won_episode,_timestamp
26.23828125,0.0,1.0,21,0,0.0,20,0.0021013151854276657,32256,0.02018229104578495,45.641288616,12.093387603759766,0.12856684625148773,0.0,0.0,1746191169.1390789
26.28580665588379,0.0,1.0,24,0,0.0,23,0.0021013151854276657,36864,0.021484375,45.808630229,12.093387603759766,0.12240537256002426,0.0,0.0,1746191169.3069036
28.31380271911621,0.0,1.0,39,64,0.00559421069920063,38,0.0021013151854276657,59904,0.02083333395421505,48.55949321,12.093387603759766,0.1567256897687912,0.15667098760604858,0.0,1746191172.0577834
27.79557228088379,0.0,1.0,67,288,0.007712834514677525,66,0.0021013151854276657,102912,0.02018229104578495,56.832651897,12.093387603759766,0.1714600771665573,0.8996715545654297,0.0,1746191180.3309453
28.57877540588379,0.0,1.0,81,400,0.0076115014962852,80,0.0021013151854276657,124416,0.01888020895421505,60.972129787,12.093387603759766,0.18649131059646606,0.9025577306747437,0.0,1746191184.4704359
28.59635353088379,0.0,1.0,84,424,0.009584976360201836,83,0.0021013151854276657,129024,0.01627604104578495,61.858370868,12.093387603759766,0.17309634387493134,0.903962254524231,0.0,1746191185.356676
30.02864646911621,0.0,1.0,86,440,0.008932536467909813,85,0.0021013151854276657,132096,0.01692708395421505,62.448991187,12.093387603759766,0.18680031597614288,0.901681661605835,0.0,1746191185.9473011
29.69205665588379,0.0,1.0,158,1016,0.020167334005236626,157,0.0021013151854276657,242688,0.01822916604578495,83.719436623,12.093387603759766,0.19303645193576813,0.8481235504150391,0.0,1746191207.2177267
29.984375,0.0,1.0,170,1112,0.02319856733083725,169,0.0021013151854276657,261120,0.017578125,87.268537267,12.093387603759766,0.21034373342990875,0.8331351280212402,0.0,1746191210.7668133
29.63150978088379,0.0,1.0,173,1136,0.04560548812150955,172,0.0021013151854276657,265728,0.01822916604578495,88.15396493,12.093387603759766,0.20239147543907166,0.854718804359436,0.0,1746191211.652282
29.37955665588379,0.0,1.0,197,1328,0.03271932899951935,196,0.0021013151854276657,302592,0.014973958022892475,95.24371932,12.093387603759766,0.19343140721321106,0.8239254951477051,0.0,1746191218.7420173
29.43880271911621,0.0,1.0,199,1344,0.03065795637667179,198,0.0021013151854276657,305664,0.01692708395421505,95.834147028,12.093387603759766,0.21553818881511688,0.8330243825912476,0.0,1746191219.33244
29.68684959411621,0.0,1.0,219,1504,0.039454035460948944,218,0.0021013151854276657,336384,0.01692708395421505,101.744248613,12.093387603759766,0.180059015750885,0.7439745664596558,0.0,1746191225.2425473
