update_steps,test_returned_episode_lengths,returned_episode_lengths,_timestamp,returned_episode_returns,_runtime,env_step,returned_episode,qvals,test_returned_episode_returns,loss,returned_won_episode,test_returned_won_episode,grad_steps,_step,test_returned_episode
3,16.191984176635742,29.95703125,1746180868.5318215,0.10258864611387253,48.569308203,4608.0,0.01692708395421505,0.0,0.001934628700837493,0.0,0.0,0.0,0,2,1.0000001192092896
9,16.191984176635742,31.319011688232422,1746180868.9265401,0.09293803572654724,48.963985585,13824.0,0.015625,0.0,0.001934628700837493,0.0,0.0,0.0,0,8,1.0000001192092896
14,16.191984176635742,30.998699188232422,1746180869.2553988,0.10335946083068848,49.292844306,21504.0,0.0162760429084301,0.0,0.001934628700837493,0.0,0.0,0.0,0,13,1.0000001192092896
38,16.191984176635742,30.998699188232422,1746180873.151557,0.1121877133846283,53.189047817,58368.0,0.01497395895421505,0.0610073059797287,0.001934628700837493,0.0018879903946071863,0.0,0.0,56,37,1.0000001192092896
58,16.191984176635742,30.54427146911621,1746180881.079563,0.13835203647613525,61.117035016,89088.0,0.01497395895421505,0.4775618314743042,0.001934628700837493,0.003648497397080064,0.0,0.0,216,57,1.0000001192092896
71,16.191984176635742,31.30208396911621,1746180886.231413,0.13368263840675354,66.268858731,109056.0,0.015625,0.5946645140647888,0.001934628700837493,0.004534965381026268,0.0,0.0,320,70,1.0000001192092896
77,16.191984176635742,30.80208396911621,1746180888.6113687,0.14832453429698944,68.648813071,118272.0,0.013671875,0.6423254609107971,0.001934628700837493,0.006187783554196358,0.0,0.0,368,76,1.0000001192092896
82,16.191984176635742,31.29036521911621,1746180890.5964053,0.1465267837047577,70.633858571,125952.0,0.01497395895421505,0.6978270411491394,0.001934628700837493,0.0216588843613863,0.0,0.0,408,81,1.0000001192092896
86,16.191984176635742,30.75130271911621,1746180892.1815672,0.14189903438091278,72.219002883,132096.0,0.015625,0.6859166622161865,0.001934628700837493,0.007508129347115755,0.0,0.0,440,85,1.0000001192092896
94,16.191984176635742,31.265625,1746180895.3513296,0.1446455717086792,75.388769742,144384.0,0.015625,0.6150106191635132,0.001934628700837493,0.01791762374341488,0.0,0.0,504,93,1.0000001192092896
96,16.191984176635742,31.34895896911621,1746180896.144699,0.14246928691864014,76.182232355,147456.0,0.014322916977107525,0.6419684290885925,0.001934628700837493,0.010633649304509163,0.0,0.0,520,95,1.0000001192092896
101,16.191984176635742,30.70052146911621,1746180898.1296785,0.13152343034744263,78.167115198,155136.0,0.01497395895421505,0.6662616729736328,0.001934628700837493,0.009443173184990883,0.0,0.0,560,100,1.0000001192092896
124,16.191984176635742,31.6328125,1746180907.248562,0.1671532839536667,87.286035699,190464.0,0.014322916977107525,0.7031722068786621,0.001934628700837493,0.03913569077849388,0.0,0.0,744,123,1.0000001192092896
131,16.191984176635742,31.48958396911621,1746180910.0224934,0.16355857253074646,90.059955156,201216.0,0.014322916977107525,0.6836479306221008,0.001934628700837493,0.018133725970983505,0.0,0.0,800,130,1.0000001192092896
144,16.191984176635742,31.420574188232422,1746180915.179186,0.1682189404964447,95.216640693,221184.0,0.013671875,0.5624597072601318,0.001934628700837493,0.036247313022613525,0.0,0.0,904,143,1.0000001192092896
158,16.191984176635742,30.744792938232422,1746180920.733986,0.1653544008731842,100.77146544,242688.0,0.01497395895421505,0.38613587617874146,0.001934628700837493,0.04502955079078674,0.0,0.0,1016,157,1.0000001192092896
166,16.191984176635742,30.87890625,1746180923.9042084,0.17039799690246582,103.941662321,254976.0,0.015625,0.4552927017211914,0.001934628700837493,0.03272783383727074,0.0,0.0,1080,165,1.0000001192092896
196,16.191984176635742,30.6015625,1746180935.8009725,0.1438325047492981,115.838442883,301056.0,0.015625,0.2402113676071167,0.001934628700837493,0.483626127243042,0.0,0.0,1320,195,1.0000001192092896
239,16.191984176635742,31.05078125,1746180952.8503203,0.17499050498008728,132.88780586,367104.0,0.013671875,0.31363755464553833,0.001934628700837493,0.3356819748878479,0.0,0.0,1664,238,1.0000001192092896
247,16.191984176635742,30.84375,1746180956.0218005,0.20335380733013153,136.059275735,379392.0,0.015625,0.35039639472961426,0.001934628700837493,0.1919020116329193,0.0,0.0,1728,246,1.0000001192092896
261,16.191984176635742,30.760417938232422,1746180961.5708284,0.19811449944972992,141.608268989,400896.0,0.01497395895421505,0.3499104380607605,0.001934628700837493,0.3981948792934418,0.0,0.0,1840,260,1.0000001192092896
275,16.191984176635742,31.459636688232422,1746180967.119268,0.20741289854049683,147.156708557,422400.0,0.015625,0.41578036546707153,0.001934628700837493,0.24931567907333374,0.0,0.0,1952,274,1.0000001192092896
302,16.191984176635742,31.41145896911621,1746180977.828832,0.2046317309141159,157.866283827,463872.0,0.01497395895421505,0.46081486344337463,0.001934628700837493,0.4883737564086914,0.0,0.0,2168,301,1.0000001192092896
304,16.191984176635742,31.04296875,1746180978.6213214,0.22898289561271667,158.65876706,466944.0,0.015625,0.44419243931770325,0.001934628700837493,0.4738946557044983,0.0,0.0,2184,303,1.0000001192092896
309,16.191984176635742,30.994792938232422,1746180980.605782,0.17743322253227234,160.643214481,474624.0,0.014322916977107525,0.43111205101013184,0.001934628700837493,0.3381742835044861,0.0,0.0,2224,308,1.0000001192092896
310,16.191984176635742,31.10677146911621,1746180981.002096,0.22474288940429688,161.03960554,476160.0,0.015625,0.42745915055274963,0.001934628700837493,0.3540089428424835,0.0,0.0,2232,309,1.0000001192092896
316,16.191984176635742,31.74739646911621,1746180983.3795276,0.21900451183319092,163.416990437,485376.0,0.015625,0.4149026572704315,0.001934628700837493,0.21917514503002167,0.0,0.0,2280,315,1.0000001192092896
322,16.191984176635742,30.819011688232422,1746180985.7583623,0.2186412215232849,165.795827546,494592.0,0.015625,0.38918882608413696,0.001934628700837493,0.315504789352417,0.0,0.0,2328,321,1.0000001192092896
340,52.69530487060547,30.95833396911621,1746180992.9869342,0.21353739500045776,173.024513498,522240.0,0.015625,0.36943498253822327,0.5243716239929199,0.392005980014801,0.0,0.0,2472,339,1.0
359,52.69530487060547,31.65234375,1746181000.521146,0.2293626070022583,180.591922749,551424.0,0.015625,0.3827129006385803,0.5243716239929199,0.5196399688720703,0.0,0.0,2624,358,1.0
401,52.69530487060547,31.46484375,1746181017.175237,0.19391612708568573,197.212681908,615936.0,0.01497395895421505,0.31604883074760437,0.5243716239929199,0.14972686767578125,0.0,0.0,2960,400,1.0
412,52.69530487060547,31.58333396911621,1746181021.601801,0.17370355129241943,201.639420419,632832.0,0.014322916977107525,0.2745361626148224,0.5243716239929199,0.400430828332901,0.0,0.0,3048,411,1.0
415,52.69530487060547,31.55599021911621,1746181022.7903419,0.12547717988491058,202.827814148,637440.0,0.015625,0.2558673322200775,0.5243716239929199,0.3839517831802368,0.0,0.0,3072,414,1.0
437,52.69530487060547,31.79817771911621,1746181031.5102425,0.13396060466766357,211.547691758,671232.0,0.015625,0.3254196047782898,0.5243716239929199,0.14888042211532593,0.0,0.0,3248,436,1.0
450,52.69530487060547,31.66145896911621,1746181036.661993,0.1350151002407074,216.699456619,691200.0,0.015625,0.34694573283195496,0.5243716239929199,0.20880970358848572,0.0,0.0,3352,449,1.0
454,52.69530487060547,31.671875,1746181038.2471728,0.1450226604938507,218.284628465,697344.0,0.015625,0.35516831278800964,0.5243716239929199,0.17539462447166443,0.0,0.0,3384,453,1.0
487,52.69530487060547,32.06510543823242,1746181051.3241017,0.16276568174362183,231.361545322,748032.0,0.01497395895421505,0.378336101770401,0.5243716239929199,0.15845759212970734,0.0,0.0,3648,486,1.0
514,52.69530487060547,32.26171875,1746181062.0257416,0.11007460951805115,242.063194246,789504.0,0.013671875,0.3743019700050354,0.5243716239929199,0.1417267918586731,0.0,0.0,3864,513,1.0
584,52.69530487060547,31.529949188232422,1746181089.8135197,0.1764056384563446,269.851195291,897024.0,0.015625,0.1900571882724762,0.5243716239929199,0.1202654168009758,0.0,0.0,4424,583,1.0
586,52.69530487060547,31.94921875,1746181090.6122215,0.18237774074077606,270.649893142,900096.0,0.014322916977107525,0.23890142142772675,0.5243716239929199,0.10487502813339233,0.0,0.0,4440,585,1.0
589,52.69530487060547,31.303386688232422,1746181091.8058946,0.1527724713087082,271.843544568,904704.0,0.015625,0.1886962205171585,0.5243716239929199,0.0851941704750061,0.0,0.0,4464,588,1.0
593,52.69530487060547,31.88020896911621,1746181093.3955238,0.11055095493793488,273.433190134,910848.0,0.015625,0.23321853578090668,0.5243716239929199,0.06940771639347076,0.0,0.0,4496,592,1.0
602,52.69530487060547,31.83984375,1746181096.97931,0.16009926795959473,277.01694489,924672.0,0.015625,0.26674884557724,0.5243716239929199,0.07048261165618896,0.0,0.0,4568,601,1.0
608,52.69530487060547,31.375,1746181099.3611584,0.1084543913602829,279.398768784,933888.0,0.015625,0.23573842644691467,0.5243716239929199,0.07020661234855652,0.0,0.0,4616,607,1.0
614,52.69530487060547,31.416667938232422,1746181101.7478845,0.12109014391899109,281.785510977,943104.0,0.015625,0.21532529592514038,0.5243716239929199,0.07068252563476562,0.0,0.0,4664,613,1.0
617,52.69530487060547,31.854167938232422,1746181102.9414592,0.14259904623031616,282.97907618,947712.0,0.015625,0.23280498385429382,0.5243716239929199,0.08296095579862595,0.0,0.0,4688,616,1.0
657,52.84059524536133,31.921875,1746181118.9289453,0.12791293859481812,298.966596765,1009152.0,0.015625,0.23630130290985107,0.16403132677078247,0.07061853259801865,0.0,0.0,5008,656,1.0
659,52.84059524536133,31.1328125,1746181119.7221053,0.11064895242452621,299.759565715,1012224.0,0.01497395895421505,0.2564627230167389,0.16403132677078247,0.11572347581386566,0.0,0.0,5024,658,1.0
661,52.84059524536133,30.95833396911621,1746181120.518088,0.16806602478027344,300.592927593,1015296.0,0.01497395895421505,0.23492000997066498,0.16403132677078247,0.1343180239200592,0.0,0.0,5040,660,1.0
692,52.84059524536133,31.490886688232422,1746181132.810574,0.052198685705661774,312.848053981,1062912.0,0.015625,0.24479104578495026,0.16403132677078247,0.06160416454076767,0.0,0.0,5288,691,1.0
753,52.84059524536133,30.90364646911621,1746181156.9954703,0.10606633126735687,337.032945185,1156608.0,0.014322916977107525,0.0509922057390213,0.16403132677078247,0.08345171064138412,0.0,0.0,5776,752,1.0
755,52.84059524536133,31.455730438232422,1746181157.7875102,0.1045168787240982,337.82497369,1159680.0,0.015625,0.07591120153665543,0.16403132677078247,0.0813475102186203,0.0,0.0,5792,754,1.0
761,52.84059524536133,31.72265625,1746181160.1649163,0.11520861089229584,340.202372977,1168896.0,0.013671875,0.10159489512443542,0.16403132677078247,0.07590585947036743,0.0,0.0,5840,760,1.0
790,52.84059524536133,31.0546875,1746181171.6663613,0.1521439254283905,351.703812658,1213440.0,0.015625,-0.005928635597229004,0.16403132677078247,0.08545377850532532,0.0,0.0,6072,789,1.0
799,52.84059524536133,27.4375,1746181175.232313,0.07700587064027786,355.26974573,1227264.0,0.0182291679084301,-0.03987504541873932,0.16403132677078247,0.1163846105337143,0.0,0.0,6144,798,1.0
803,52.84059524536133,30.1484375,1746181176.8170984,0.13653820753097534,356.854554691,1233408.0,0.015625,-0.09166695177555084,0.16403132677078247,0.1527470052242279,0.0,0.0,6176,802,1.0
