env_step,grad_steps,returned_episode,test_returned_episode_returns,loss,qvals,returned_won_episode,returned_episode_returns,_runtime,test_returned_won_episode,test_returned_episode_lengths,_timestamp,test_returned_episode,update_steps,returned_episode_lengths,_step
27648.0,0,0.01497395895421505,0.0014630047371611,0.0,0.0,0.0,0.11948607116937637,59.17975102,0.0,20.65467071533203,1746157499.7651317,1.0,18,30.22005271911621,17
53760.0,32,0.013671875931322575,0.0014630047371611,0.005946291144937277,-0.01463937945663929,0.0,0.12098444253206253,61.304617099,0.0,20.65467071533203,1746157501.8898785,1.0,35,30.37630271911621,34
56832.0,48,0.014322916977107525,0.0014630047371611,0.005411617457866669,-0.006623763591051102,0.0,0.10056348145008087,61.966387344,0.0,20.65467071533203,1746157502.5517,1.0,37,30.38411521911621,36
66048.0,96,0.01497395895421505,0.0014630047371611,0.0035269202198833227,-0.09939918667078018,0.0,0.13662788271903992,63.971197049,0.0,20.65467071533203,1746157504.5564525,1.0,43,29.86458396911621,42
104448.0,296,0.01302083395421505,0.0014630047371611,0.0077260881662368774,0.7509708404541016,0.0,0.16430063545703888,72.299578515,0.0,20.65467071533203,1746157512.884839,1.0,68,30.652345657348633,67
105984.0,304,0.014322916977107525,0.0014630047371611,0.00761633925139904,0.7518486976623535,0.0,0.14550982415676117,72.630709861,0.0,20.65467071533203,1746157513.2159514,1.0,69,30.18880271911621,68
198144.0,784,0.013671875931322575,0.0014630047371611,0.019983578473329544,1.0619916915893555,0.0,0.20370401442050934,92.801008168,0.0,20.65467071533203,1746157533.386284,1.0,129,32.020835876464844,128
202752.0,808,0.014322916977107525,0.0014630047371611,0.07015983760356903,1.1224825382232666,0.0,0.20339693129062653,93.815460514,0.0,20.65467071533203,1746157534.4007246,1.0,132,31.201824188232422,131
253440.0,1072,0.01497395895421505,0.0014630047371611,0.07933282107114792,0.8216776847839355,0.0,0.21720655262470245,104.836502584,0.0,20.65467071533203,1746157545.4217668,1.0,165,31.264324188232422,164
274944.0,1184,0.015625,0.0014630047371611,0.08461745828390121,0.8493474721908569,0.0,0.22378337383270264,109.518359531,0.0,20.65467071533203,1746157550.103676,1.0,179,31.789064407348633,178
