returned_episode_lengths,returned_won_episode,loss,update_steps,_step,test_returned_episode_returns,env_step,test_returned_episode_lengths,returned_episode,_runtime,grad_steps,qvals,test_returned_won_episode,returned_episode_returns,test_returned_episode,_timestamp
26.728515625,0.0,0.0,12,11,0.455923855304718,18432,32.83440017700195,0.02083333395421505,58.762447333,0,0.0,0.0,0.2661360800266266,1.0,1746192158.9949555
25.32421875,0.0,0.0,20,19,0.455923855304718,30720,32.83440017700195,0.02473958395421505,59.279614856,0,0.0,0.0,0.24197915196418762,1.0,1746192159.5121195
25.69270896911621,0.0,0.0,22,21,0.455923855304718,33792,32.83440017700195,0.02278645895421505,59.407680999,0,0.0,0.0,0.24260415136814117,1.0,1746192159.6402018
25.85025978088379,0.0,0.0,24,23,0.455923855304718,36864,32.83440017700195,0.0234375,59.535724099,0,0.0,0.0,0.244303360581398,1.0,1746192159.7682512
24.4453125,0.0,0.0,28,27,0.455923855304718,43008,32.83440017700195,0.02604166604578495,59.791745917,0,0.0,0.0,0.23696613311767578,1.0,1746192160.0242622
25.95442771911621,0.0,0.0,30,29,0.455923855304718,46080,32.83440017700195,0.02408854104578495,59.919849,0,0.0,0.0,0.278076171875,1.0,1746192160.1523688
26.38932228088379,0.0,0.00774013577029109,39,38,0.455923855304718,59904,32.83440017700195,0.02278645895421505,63.018917468,64,0.18419857323169708,0.0,0.25989580154418945,1.0,1746192163.2513468
26.06575584411621,0.0,0.004906482063233852,50,49,0.455923855304718,76800,32.83440017700195,0.02408854104578495,67.176953912,152,0.6046225428581238,0.0,0.27578121423721313,1.0,1746192167.4094245
25.66927146911621,0.0,0.010531360283493996,55,54,0.455923855304718,84480,32.83440017700195,0.02408854104578495,69.101999746,192,0.7436429262161255,0.0,0.28195634484291077,1.0,1746192169.3342803
26.30338478088379,0.0,0.02500443533062935,77,76,0.455923855304718,118272,32.83440017700195,0.02213541604578495,77.461470014,368,0.8300786018371582,0.0,0.2733495831489563,1.0,1746192177.6939235
25.68099021911621,0.0,0.025079067796468735,79,78,0.455923855304718,121344,32.83440017700195,0.0234375,78.23698238,384,0.8500206470489502,0.0,0.2920312285423279,1.0,1746192178.4693208
25.41080665588379,0.0,0.03458496928215027,87,86,0.455923855304718,133632,32.83440017700195,0.0234375,81.29380679,448,0.7936058044433594,0.0,0.2948339283466339,1.0,1746192181.5262935
25.19400978088379,0.0,0.08626768738031387,110,109,0.455923855304718,168960,32.83440017700195,0.02213541604578495,90.02656197,632,0.6168220043182373,0.0,0.2941991686820984,1.0,1746192190.2589946
24.54166603088379,0.0,0.0951332375407219,133,132,0.455923855304718,204288,32.83440017700195,0.025390625,98.733616188,816,0.5255058407783508,0.0,0.3084928095340729,1.0,1746192198.966108
24.984375,0.0,0.24454645812511444,159,158,0.455923855304718,244224,32.83440017700195,0.02604166604578495,108.586895411,1024,0.5540499091148376,0.0,0.30957356095314026,1.0,1746192208.8193772
24.833984375,0.0,0.23963308334350586,162,161,0.455923855304718,248832,32.83440017700195,0.025390625,109.711625581,1048,0.5048835277557373,0.0,0.3201334476470947,1.0,1746192209.9441037
25.873046875,0.0,0.11280559003353119,167,166,0.455923855304718,256512,32.83440017700195,0.02278645895421505,111.642388175,1088,0.4387133717536926,0.0,0.2850325107574463,1.0,1746192211.8747041
24.322265625,0.0,0.18214941024780273,179,178,0.455923855304718,274944,32.83440017700195,0.02669270895421505,116.159794356,1184,0.41321924328804016,0.0,0.27794593572616577,1.0,1746192216.3922405
24.97005271911621,0.0,0.1560056507587433,190,189,0.455923855304718,291840,32.83440017700195,0.02408854104578495,120.304294956,1272,0.45736217498779297,0.0,0.31071940064430237,1.0,1746192220.5368001
24.8203125,0.0,0.3117116093635559,209,208,0.455923855304718,321024,32.83440017700195,0.02473958395421505,127.525856422,1424,0.44496381282806396,0.0,0.30984699726104736,1.0,1746192227.7583761
24.2734375,0.0,0.31762975454330444,211,210,0.455923855304718,324096,32.83440017700195,0.025390625,128.280263603,1440,0.4453849196434021,0.0,0.3095051944255829,1.0,1746192228.5127566
25.73828125,0.0,0.28310686349868774,241,240,0.455923855304718,370176,32.83440017700195,0.02473958395421505,139.68484797,1680,0.4288519322872162,0.0,0.30638667941093445,1.0,1746192239.917338
24.76041603088379,0.0,0.26178497076034546,250,249,0.455923855304718,384000,32.83440017700195,0.0234375,143.08593228,1752,0.4182266592979431,0.0,0.3461718261241913,1.0,1746192243.318408
25.70572853088379,0.0,0.09107150137424469,280,279,0.455923855304718,430080,32.83440017700195,0.02408854104578495,154.44023579,1992,0.40582406520843506,0.0,0.3231770396232605,1.0,1746192254.6726966
24.8515625,0.0,0.09056547284126282,287,286,0.455923855304718,440832,32.83440017700195,0.0234375,157.081751118,2048,0.4099072217941284,0.0,0.33498695492744446,1.0,1746192257.3141875
26.70703125,0.0,0.06844571232795715,338,337,0.4930204153060913,519168,35.010215759277344,0.02213541604578495,176.472922489,2456,0.31096112728118896,0.0,0.30628901720046997,0.9999999403953552,1746192276.7054448
25.09309959411621,0.0,0.06821189820766449,343,342,0.4930204153060913,526848,35.010215759277344,0.021484375,178.386150613,2496,0.31271666288375854,0.0,0.2881152033805847,0.9999999403953552,1746192278.6186302
25.55989646911621,0.0,0.06499305367469788,345,344,0.4930204153060913,529920,35.010215759277344,0.0234375,179.137719253,2512,0.31381934881210327,0.0,0.3630240261554718,0.9999999403953552,1746192279.3702252
25.69986915588379,0.0,0.050434596836566925,396,395,0.4930204153060913,608256,35.010215759277344,0.02213541604578495,198.48189388,2920,0.20967218279838562,0.0,0.3190266489982605,0.9999999403953552,1746192298.7143462
27.193359375,0.0,0.05427568405866623,399,398,0.4930204153060913,612864,35.010215759277344,0.01822916604578495,199.608888343,2944,0.20483288168907166,0.0,0.3262239098548889,0.9999999403953552,1746192299.8413765
26.51236915588379,0.0,0.054931122809648514,401,400,0.4930204153060913,615936,35.010215759277344,0.02408854104578495,200.362750073,2960,0.2104131579399109,0.0,0.3398567736148834,0.9999999403953552,1746192300.5952475
24.74153709411621,0.0,0.055213358253240585,419,418,0.4930204153060913,643584,35.010215759277344,0.015625,207.284436702,3104,0.1791708767414093,0.0,0.2880794107913971,0.9999999403953552,1746192307.5169067
24.61393165588379,0.0,0.0469370111823082,431,430,0.4930204153060913,662016,35.010215759277344,0.01888020895421505,211.800970727,3200,0.16545259952545166,0.0,0.29432937502861023,0.9999999403953552,1746192312.0334308
24.90950584411621,0.0,0.053773991763591766,435,434,0.4930204153060913,668160,35.010215759277344,0.02408854104578495,213.317791886,3232,0.15189772844314575,0.0,0.3438704311847687,0.9999999403953552,1746192313.550276
26.34049415588379,0.0,0.05445697903633118,437,436,0.4930204153060913,671232,35.010215759277344,0.021484375,214.069147126,3248,0.1588953733444214,0.0,0.3114127218723297,0.9999999403953552,1746192314.3016343
26.87369728088379,0.0,0.06911760568618774,445,444,0.4930204153060913,683520,35.010215759277344,0.02083333395421505,217.07880517,3312,0.10698235034942627,0.0,0.30765947699546814,0.9999999403953552,1746192317.3112319
26.390625,0.0,0.2145470678806305,474,473,0.4930204153060913,728064,35.010215759277344,0.02083333395421505,228.09996959,3544,0.07408137619495392,0.0,0.3180500864982605,0.9999999403953552,1746192328.332258
27.09505271911621,0.0,0.053314629942178726,493,492,0.4930204153060913,757248,35.010215759277344,0.02213541604578495,235.279211151,3696,0.08101899921894073,0.0,0.3249381482601166,0.9999999403953552,1746192335.5116713
26.93033790588379,0.0,0.06325656175613403,496,495,0.4930204153060913,761856,35.010215759277344,0.02083333395421505,236.406263493,3720,0.05734041705727577,0.0,0.31437820196151733,0.9999999403953552,1746192336.6387422
29.66471290588379,0.0,0.05833098664879799,497,496,0.4930204153060913,763392,35.010215759277344,0.01692708395421505,236.78194224,3728,0.057064905762672424,0.0,0.27053382992744446,0.9999999403953552,1746192337.014429
