_runtime,_step,test_returned_won_episode,returned_episode,grad_steps,returned_episode_lengths,loss,returned_won_episode,test_returned_episode_lengths,test_returned_episode_returns,qvals,test_returned_episode,returned_episode_returns,env_step,_timestamp,update_steps
68.906153726,3,0.0,0.02343750186264515,0,24.082683563232422,0.0,0.0,18.266706466674805,0.026044243946671486,0.0,0.9999999403953552,0.16474604606628418,6144.0,1746201977.179209,4
69.764051257,16,0.0,0.0240885429084301,0,21.75911521911621,0.0,0.0,18.266706466674805,0.026044243946671486,0.0,0.9999999403953552,0.13673672080039978,26112.0,1746201978.037088,17
72.033855532,34,0.0,0.02473958395421505,32,23.520183563232422,0.049999069422483444,0.0,18.266706466674805,0.026044243946671486,0.07863916456699371,0.9999999403953552,0.19830119609832764,53760.0,1746201980.3069227,35
74.394576533,41,0.0,0.02539062686264515,88,24.901042938232422,0.09649252891540527,0.0,18.266706466674805,0.026044243946671486,0.05014687031507492,0.9999999403953552,0.2139308750629425,64512.0,1746201982.667648,42
76.751917798,48,0.0,0.0240885429084301,144,25.064455032348633,0.046464789658784866,0.0,18.266706466674805,0.026044243946671486,0.17108814418315887,0.9999999403953552,0.20942331850528717,75264.0,1746201985.0249672,49
79.449108492,56,0.0,0.02669270895421505,208,22.233074188232422,0.07036717981100082,0.0,18.266706466674805,0.026044243946671486,0.24756082892417908,0.9999999403953552,0.2407921552658081,87552.0,1746201987.7221673,57
80.463657343,59,0.0,0.0240885429084301,232,25.304689407348633,0.08235237002372742,0.0,18.266706466674805,0.026044243946671486,0.25706642866134644,0.9999999403953552,0.21113306283950806,92160.0,1746201988.7367196,60
81.477313358,62,0.0,0.02343750186264515,256,23.31380271911621,0.11512377113103867,0.0,18.266706466674805,0.026044243946671486,0.2852843403816223,0.9999999403953552,0.22985364496707916,96768.0,1746201989.7504058,63
88.890198274,84,0.0,0.02864583395421505,432,23.43294334411621,0.16674256324768066,0.0,18.266706466674805,0.026044243946671486,0.27488118410110474,0.9999999403953552,0.26715990900993347,130560.0,1746201997.1632917,85
98.330537889,112,0.0,0.0201822929084301,656,26.31184959411621,0.5478274822235107,0.0429687537252903,18.266706466674805,0.026044243946671486,0.3272430896759033,0.9999999403953552,0.34009870886802673,173568.0,1746202006.603594,113
99.004585547,114,0.0,0.02343750186264515,672,24.32747459411621,0.4417221248149872,0.0,18.266706466674805,0.026044243946671486,0.3435187339782715,0.9999999403953552,0.22007599472999573,176640.0,1746202007.2776394,115
105.071794299,132,0.0,0.02343750186264515,816,25.46419334411621,0.6132009625434875,0.0,18.266706466674805,0.026044243946671486,0.35257428884506226,0.9999999403953552,0.28259775042533875,204288.0,1746202013.3448524,133
107.433830396,139,0.0,0.0240885429084301,872,25.50325584411621,0.4814069867134094,0.0,18.266706466674805,0.026044243946671486,0.3362296223640442,0.9999999403953552,0.2892478406429291,215040.0,1746202015.7069082,140
112.491660395,154,0.0,0.0201822929084301,992,25.835939407348633,0.48641934990882874,0.0,18.266706466674805,0.026044243946671486,0.37875035405158997,0.9999999403953552,0.20879563689231873,238080.0,1746202020.7647214,155
113.167725835,156,0.0,0.02278645895421505,1008,26.63802146911621,0.477847158908844,0.0,18.266706466674805,0.026044243946671486,0.3619716465473175,0.9999999403953552,0.24871407449245453,241152.0,1746202021.4408197,157
114.851749194,161,0.0,0.0221354179084301,1048,25.637371063232422,0.6352684497833252,0.0,18.266706466674805,0.026044243946671486,0.39126259088516235,0.9999999403953552,0.2784857153892517,248832.0,1746202023.1248224,162
119.908517967,176,0.0,0.02473958395421505,1168,25.047527313232422,0.8513913154602051,0.0,18.266706466674805,0.026044243946671486,0.3871895670890808,0.9999999403953552,0.2701253294944763,271872.0,1746202028.1815734,177
123.956824459,188,0.0,0.02343750186264515,1264,25.82161521911621,0.9181085824966431,0.0221354179084301,18.266706466674805,0.026044243946671486,0.4007813334465027,0.9999999403953552,0.3119496703147888,290304.0,1746202032.2298715,189
126.990402841,197,0.0,0.02148437686264515,1336,28.819011688232422,0.8208036422729492,0.0,18.266706466674805,0.026044243946671486,0.3876245617866516,0.9999999403953552,0.26984384655952454,304128.0,1746202035.2634797,198
129.686854835,205,0.0,0.02278645895421505,1400,24.303386688232422,0.8073477745056152,0.0,18.266706466674805,0.026044243946671486,0.36720046401023865,0.9999999403953552,0.25921928882598877,316416.0,1746202037.9599047,206
134.417041173,219,0.0,0.0260416679084301,1512,23.960939407348633,0.5754832029342651,0.0494791679084301,18.266706466674805,0.026044243946671486,0.3741157352924347,0.9999999403953552,0.38082191348075867,337920.0,1746202042.6901097,220
134.754043676,220,0.0,0.02343750186264515,1520,27.13411521911621,0.7205390334129333,0.0,18.266706466674805,0.026044243946671486,0.3809887766838074,0.9999999403953552,0.2942112684249878,339456.0,1746202043.0271206,221
142.169048107,242,0.0,0.0221354179084301,1696,27.691408157348633,0.9554110765457153,0.0,18.266706466674805,0.026044243946671486,0.3701435327529907,0.9999999403953552,0.2779810130596161,373248.0,1746202050.442086,243
146.552160703,255,0.0,0.01953125186264515,1800,26.994142532348633,0.6202203631401062,0.0,18.266706466674805,0.026044243946671486,0.35436946153640747,0.9999999403953552,0.2755185067653656,393216.0,1746202054.8252172,256
148.238894673,260,0.0,0.0221354179084301,1840,25.174480438232422,0.6348962783813477,0.0,18.266706466674805,0.026044243946671486,0.3574433922767639,0.9999999403953552,0.241972416639328,400896.0,1746202056.5119665,261
149.585019866,264,0.0,0.02539062686264515,1872,23.22005271911621,0.7399201393127441,0.0,18.266706466674805,0.026044243946671486,0.368693083524704,0.9999999403953552,0.2645954489707947,407040.0,1746202057.8580778,265
151.610781165,270,0.0,0.02343750186264515,1920,25.941408157348633,0.7040215134620667,0.0,18.266706466674805,0.026044243946671486,0.3822091817855835,0.9999999403953552,0.2874573767185211,416256.0,1746202059.8838441,271
163.396860368,305,0.0,0.0221354179084301,2200,25.40169334411621,0.8207191228866577,0.0,18.266706466674805,0.026044243946671486,0.3696303963661194,0.9999999403953552,0.25292932987213135,470016.0,1746202071.6699002,306
165.08327791,310,0.0,0.02083333395421505,2240,27.658205032348633,0.8424668312072754,0.0,18.266706466674805,0.026044243946671486,0.374176025390625,0.9999999403953552,0.2902485132217407,477696.0,1746202073.3563385,311
168.115896448,319,0.0,0.02343750186264515,2312,23.94270896911621,0.9362616539001465,0.0,18.266706466674805,0.026044243946671486,0.3774615526199341,0.9999999403953552,0.2709936499595642,491520.0,1746202076.3889468,320
169.881912301,324,0.004750593565404415,0.02473958395421505,2352,24.850261688232422,1.9194430112838745,0.0,39.68646240234375,0.35293588042259216,0.362601637840271,1.0,0.20893494784832,499200.0,1746202078.154975,325
172.584234406,332,0.004750593565404415,0.02343750186264515,2416,25.854167938232422,1.0426080226898193,0.0,39.68646240234375,0.35293588042259216,0.39876922965049744,1.0,0.28485915064811707,511488.0,1746202080.8571494,333
178.31692069,349,0.004750593565404415,0.02148437686264515,2552,27.111980438232422,1.3770451545715332,0.0,39.68646240234375,0.35293588042259216,0.3776734471321106,1.0,0.2839885354042053,537600.0,1746202086.5899942,350
184.392678575,367,0.004750593565404415,0.01953125186264515,2696,25.443361282348633,1.20261549949646,0.0,39.68646240234375,0.35293588042259216,0.3491770625114441,1.0,0.2884902060031891,565248.0,1746202092.6657293,368
187.092914739,375,0.004750593565404415,0.0221354179084301,2760,26.88216209411621,1.1575884819030762,0.0,39.68646240234375,0.35293588042259216,0.3294604420661926,1.0,0.2782982289791107,577536.0,1746202095.365969,376
197.565290535,406,0.004750593565404415,0.02148437686264515,3008,25.354167938232422,0.8262332677841187,0.0,39.68646240234375,0.35293588042259216,0.3590799570083618,1.0,0.2149123251438141,625152.0,1746202105.8383698,407
198.241311,408,0.004750593565404415,0.02278645895421505,3024,24.597658157348633,0.770368218421936,0.0,39.68646240234375,0.35293588042259216,0.35682928562164307,1.0,0.2560252249240875,628224.0,1746202106.5143862,409
205.766124331,430,0.004750593565404415,0.02083333395421505,3200,27.434246063232422,0.6582064628601074,0.0,39.68646240234375,0.35293588042259216,0.31072136759757996,1.0,0.30287453532218933,662016.0,1746202114.0391781,431
207.455050273,435,0.004750593565404415,0.02148437686264515,3240,27.61849021911621,0.5693317651748657,0.0,39.68646240234375,0.35293588042259216,0.29869821667671204,1.0,0.3302335739135742,669696.0,1746202115.7281332,436
211.506001261,447,0.004750593565404415,0.02083333395421505,3336,27.998048782348633,0.6026602387428284,0.0,39.68646240234375,0.35293588042259216,0.29054534435272217,1.0,0.2922438979148865,688128.0,1746202119.778963,448
216.570184504,462,0.004750593565404415,0.02343750186264515,3456,26.18489646911621,0.5587466955184937,0.0,39.68646240234375,0.35293588042259216,0.288756787776947,1.0,0.3050307035446167,711168.0,1746202124.8432388,463
229.051560326,499,0.004750593565404415,0.0221354179084301,3752,27.77083396911621,0.5533308982849121,0.02539062686264515,39.68646240234375,0.35293588042259216,0.344163179397583,1.0,0.35560134053230286,768000.0,1746202137.3246095,500
231.415705224,506,0.004750593565404415,0.02148437686264515,3808,26.328777313232422,0.5631868243217468,0.0,39.68646240234375,0.35293588042259216,0.3574370741844177,1.0,0.33035406470298767,778752.0,1746202139.688784,507
234.451989404,515,0.004750593565404415,0.0201822929084301,3880,26.35481834411621,0.40029066801071167,0.017578125,39.68646240234375,0.35293588042259216,0.3418249785900116,1.0,0.38518792390823364,792576.0,1746202142.7250316,516
238.498454327,527,0.004750593565404415,0.02148437686264515,3976,26.642580032348633,0.416017085313797,0.014322916977107525,39.68646240234375,0.35293588042259216,0.3848326802253723,1.0,0.4581681489944458,811008.0,1746202146.771521,528
243.217151067,541,0.004750593565404415,0.01888020895421505,4088,26.65755271911621,0.38941383361816406,0.0325520858168602,39.68646240234375,0.35293588042259216,0.3564443588256836,1.0,0.4399782121181488,832512.0,1746202151.4902341,542
253.008073491,570,0.004750593565404415,0.0201822929084301,4320,28.166667938232422,0.3181735873222351,0.013671875931322575,39.68646240234375,0.35293588042259216,0.3367488384246826,1.0,0.40390634536743164,877056.0,1746202161.281131,571
253.683933463,572,0.004750593565404415,0.01953125186264515,4336,27.359376907348633,0.283031165599823,0.0,39.68646240234375,0.35293588042259216,0.3569782078266144,1.0,0.41860198974609375,880128.0,1746202161.9569921,573
256.045365475,579,0.004750593565404415,0.015625,4392,26.09114646911621,0.2754236161708832,0.0527343787252903,39.68646240234375,0.35293588042259216,0.38524702191352844,1.0,0.44440048933029175,890880.0,1746202164.3184536,580
273.582313628,631,0.004750593565404415,0.0162760429084301,4808,29.432292938232422,0.2298995852470398,0.0729166716337204,39.68646240234375,0.35293588042259216,0.37817731499671936,1.0,0.5142159461975098,970752.0,1746202181.8553784,632
275.944795394,638,0.004750593565404415,0.0182291679084301,4864,27.322267532348633,0.2973029613494873,0.1048177108168602,39.68646240234375,0.35293588042259216,0.40777909755706787,1.0,0.543872594833374,981504.0,1746202184.2178397,639
278.643242428,646,0.004750593565404415,0.01888020895421505,4928,27.82942771911621,0.371831476688385,0.0397135429084301,39.68646240234375,0.35293588042259216,0.3773842453956604,1.0,0.3962666392326355,993792.0,1746202186.9163008,647
297.967662036,703,0.0876338854432106,0.0162760429084301,5384,27.526042938232422,0.5538938045501709,0.130859375,47.36124801635742,0.7485652565956116,0.3497832715511322,1.0,0.529393196105957,1081344.0,1746202206.240753,704
298.304578292,704,0.0876338854432106,0.015625,5392,28.064455032348633,0.3821676969528198,0.0579427108168602,47.36124801635742,0.7485652565956116,0.34313100576400757,1.0,0.4946698546409607,1082880.0,1746202206.577664,705
300.668138575,711,0.0876338854432106,0.01692708395421505,5448,27.16536521911621,0.9061381220817566,0.1106770858168602,47.36124801635742,0.7485652565956116,0.37454915046691895,1.0,0.532787024974823,1093632.0,1746202208.9412074,712
301.004856997,712,0.0876338854432106,0.02083333395421505,5456,26.596355438232422,0.7260967493057251,0.0774739608168602,47.36124801635742,0.7485652565956116,0.3492859899997711,1.0,0.5170910358428955,1095168.0,1746202209.2779176,713
308.423615903,734,0.0876338854432106,0.01692708395421505,5632,29.13997459411621,0.33933693170547485,0.1022135466337204,47.36124801635742,0.7485652565956116,0.28006529808044434,1.0,0.51654052734375,1128960.0,1746202216.6966825,735
315.525575582,755,0.0876338854432106,0.015625,5800,29.572917938232422,0.3619392514228821,0.0,47.36124801635742,0.7485652565956116,0.30367177724838257,1.0,0.3880580961704254,1161216.0,1746202223.7986372,756
324.97891006,783,0.0876338854432106,0.0221354179084301,6024,27.766277313232422,0.2864293158054352,0.1888020932674408,47.36124801635742,0.7485652565956116,0.3101019263267517,1.0,0.7249428033828735,1204224.0,1746202233.2519565,784
325.991789884,786,0.0876338854432106,0.0201822929084301,6048,25.758464813232422,0.3115060031414032,0.0709635466337204,47.36124801635742,0.7485652565956116,0.30923521518707275,1.0,0.5148953199386597,1208832.0,1746202234.2648325,787
337.128607766,819,0.0876338854432106,0.017578125,6312,28.186199188232422,0.4749089479446411,0.1093750074505806,47.36124801635742,0.7485652565956116,0.26771920919418335,1.0,0.492098331451416,1259520.0,1746202245.4016824,820
353.365433823,867,0.0876338854432106,0.01953125186264515,6696,26.253908157348633,0.3915787935256958,0.1295572966337204,47.36124801635742,0.7485652565956116,0.2878322899341583,1.0,0.5605375170707703,1333248.0,1746202261.6385078,868
356.064523061,875,0.0876338854432106,0.015625,6760,27.46614646911621,0.4165595769882202,0.2011718899011612,47.36124801635742,0.7485652565956116,0.3508162498474121,1.0,0.65290766954422,1345536.0,1746202264.3375916,876
362.807621634,895,0.0876338854432106,0.0162760429084301,6920,25.660158157348633,0.3852492570877075,0.2174479216337204,47.36124801635742,0.7485652565956116,0.3375377953052521,1.0,0.6618725061416626,1376256.0,1746202271.0806837,896
365.846395109,904,0.0876338854432106,0.0182291679084301,6992,26.760417938232422,0.30346062779426575,0.1718750149011612,47.36124801635742,0.7485652565956116,0.3054150342941284,1.0,0.6951871514320374,1390080.0,1746202274.119475,905
