returned_episode_lengths,returned_won_episode,update_steps,returned_episode,_step,test_returned_episode_returns,loss,test_returned_episode_lengths,returned_episode_returns,_runtime,grad_steps,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
31.256511688232422,0.0,15,0.015625,14,0.009105011820793152,0.0,16.717914581298828,0.11759446561336517,65.23805004,0,0.0,1.0,0.0,23040,1746155243.937241
31.127605438232422,0.0,47,0.01497395895421505,46,0.009105011820793152,0.003482805099338293,16.717914581298828,0.12467989325523376,72.782567187,128,0.0,1.0,0.33173248171806335,72192,1746155251.4816298
31.584636688232422,0.0,66,0.01302083395421505,65,0.009105011820793152,0.005695666652172804,16.717914581298828,0.13452479243278503,80.407695269,280,0.0,1.0,0.5676655173301697,101376,1746155259.1066823
32.09635543823242,0.0,72,0.014322916977107525,71,0.009105011820793152,0.025112152099609375,16.717914581298828,0.14720521867275238,82.834686959,328,0.0,1.0,0.6153644919395447,110592,1746155261.533704
31.88802146911621,0.0,78,0.01497395895421505,77,0.009105011820793152,0.006918874103575945,16.717914581298828,0.16999167203903198,85.243331802,376,0.0,1.0,0.6337081789970398,119808,1746155263.9423127
31.6640625,0.0,83,0.012369791977107525,82,0.009105011820793152,0.01863967254757881,16.717914581298828,0.15005940198898315,87.237819637,416,0.0,1.0,0.6453098058700562,127488,1746155265.9369168
30.890625,0.0,108,0.013671875,107,0.009105011820793152,0.013502644374966621,16.717914581298828,0.14439243078231812,97.301283184,616,0.0,1.0,0.6187183856964111,165888,1746155276.0003707
31.190105438232422,0.0,122,0.013671875,121,0.009105011820793152,0.037322089076042175,16.717914581298828,0.16537415981292725,102.962529009,728,0.0,1.0,0.684104323387146,187392,1746155281.6615996
31.77083396911621,0.0,135,0.014322916977107525,134,0.009105011820793152,0.04586457088589668,16.717914581298828,0.18001317977905273,108.183077267,832,0.0,1.0,0.8025567531585693,207360,1746155286.8821104
30.875,0.0,140,0.01302083395421505,139,0.009105011820793152,0.04043951630592346,16.717914581298828,0.1793229579925537,110.180581839,872,0.0,1.0,0.8090726137161255,215040,1746155288.879517
31.709636688232422,0.0,159,0.013671875,158,0.009105011820793152,0.03967301547527313,16.717914581298828,0.17047953605651855,117.831214776,1024,0.0,1.0,0.4810943007469177,244224,1746155296.5301328
31.73958396911621,0.0,163,0.013671875,162,0.009105011820793152,0.1705332100391388,16.717914581298828,0.19430828094482422,119.451587308,1056,0.0,1.0,0.44798514246940613,250368,1746155298.1501813
31.772136688232422,0.0,172,0.01497395895421505,171,0.009105011820793152,0.3119525909423828,16.717914581298828,0.19281554222106934,123.086348948,1128,0.0,1.0,0.44662055373191833,264192,1746155301.7854393
31.893230438232422,0.0,182,0.01497395895421505,181,0.009105011820793152,0.22821852564811707,16.717914581298828,0.19104455411434174,127.11341814,1208,0.0,1.0,0.45548486709594727,279552,1746155305.812328
31.666667938232422,0.0,183,0.015625,182,0.009105011820793152,0.2914150357246399,16.717914581298828,0.18552598357200623,127.513327113,1216,0.0,1.0,0.44927364587783813,281088,1746155306.212333
