returned_won_episode,returned_episode_lengths,update_steps,test_returned_episode_returns,_step,loss,returned_episode,qvals,test_returned_episode_lengths,_runtime,grad_steps,test_returned_won_episode,returned_episode_returns,env_step,test_returned_episode,_timestamp
0.0,17.919921875,5,0.10372847318649292,4,0.0,0.0442708358168602,0.0,14.03003215789795,48.330714159,0,0.0,0.14479167759418488,7680,1.0,1746446705.5991147
0.0,17.688152313232422,16,0.10372847318649292,15,0.0,0.0449218787252903,0.0,14.03003215789795,49.145003314,0,0.0,0.13321498036384583,24576,1.0,1746446706.413384
0.0,17.67122459411621,19,0.10372847318649292,18,0.0,0.0429687537252903,0.0,14.03003215789795,49.367065742,0,0.0,0.12710700929164886,29184,1.0,1746446706.6354678
0.0,17.690105438232422,33,0.10372847318649292,32,0.02136383205652237,0.0436197929084301,0.06503859907388687,14.03003215789795,51.178589097,16,0.0,0.12662169337272644,50688,1.0,1746446708.4469833
0.0,17.764324188232422,43,0.10372847318649292,42,0.01471665594726801,0.0429687537252903,0.2887464761734009,14.03003215789795,55.754041106,96,0.0,0.13855350017547607,66048,1.0,1746446713.0224278
0.0,17.748046875,49,0.10372847318649292,48,0.006372795440256596,0.0449218787252903,0.1490720808506012,14.03003215789795,58.498342158,144,0.0,0.1510416716337204,75264,1.0,1746446715.766738
0.0,17.8828125,50,0.10372847318649292,49,0.005321469623595476,0.0436197929084301,0.12617644667625427,14.03003215789795,58.960755165,152,0.0,0.15053269267082214,76800,1.0,1746446716.229128
0.0,17.461589813232422,81,0.10372847318649292,80,0.030666667968034744,0.0455729179084301,0.4799829125404358,14.03003215789795,73.183070227,400,0.0,0.16223959624767303,124416,1.0,1746446730.451437
0.0,17.11458396911621,86,0.10372847318649292,85,0.040464211255311966,0.0455729179084301,0.48109740018844604,14.03003215789795,75.47695738,440,0.0,0.1588541567325592,132096,1.0,1746446732.7453375
0.0,17.936199188232422,88,0.10372847318649292,87,0.035343676805496216,0.0436197929084301,0.4969782531261444,14.03003215789795,76.394971419,456,0.0,0.16866716742515564,135168,1.0,1746446733.663361
0.0,17.475261688232422,97,0.10372847318649292,96,0.03977002203464508,0.0449218787252903,0.47492873668670654,14.03003215789795,80.522286106,528,0.0,0.16886839270591736,148992,1.0,1746446737.790649
0.0,16.83984375,100,0.10372847318649292,99,0.03593600541353226,0.0468750037252903,0.475195974111557,14.03003215789795,81.900066224,552,0.0,0.1615530401468277,153600,1.0,1746446739.1684158
0.0,17.024089813232422,101,0.10372847318649292,100,0.0354699045419693,0.0455729179084301,0.4762735366821289,14.03003215789795,82.357641914,560,0.0,0.17099909484386444,155136,1.0,1746446739.625996
0.0,16.78515625,103,0.10372847318649292,102,0.06335531175136566,0.0455729179084301,0.452388733625412,14.03003215789795,83.286559262,576,0.0,0.1654711365699768,158208,1.0,1746446740.5547473
