returned_episode_lengths,test_returned_episode_lengths,returned_won_episode,returned_episode_returns,update_steps,grad_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,env_step,test_returned_won_episode,qvals,test_returned_episode,_timestamp
24.83919334411621,23.923357009887695,0.0,0.20387636125087738,7,0,6,0.13960766792297363,0.0,0.0240885429084301,59.305480937,10752,0.0,0.0,0.9999999403953552,1747608347.4218886
25.298830032348633,23.923357009887695,0.0,0.21021465957164764,16,0,15,0.13960766792297363,0.0,0.02734375186264515,59.854457707,24576,0.0,0.0,0.9999999403953552,1747608347.9708676
24.382814407348633,23.923357009887695,0.0,0.22808806598186493,24,0,23,0.13960766792297363,0.0,0.0260416679084301,60.346232978,36864,0.0,0.0,0.9999999403953552,1747608348.4626498
23.990236282348633,23.923357009887695,0.0,0.2176055759191513,27,0,26,0.13960766792297363,0.0,0.02669270895421505,60.528987258,41472,0.0,0.0,0.9999999403953552,1747608348.6454096
24.242189407348633,23.923357009887695,0.0,0.24347980320453644,69,304,68,0.13960766792297363,0.07950733602046967,0.0240885429084301,73.463769231,105984,0.0,0.5633485317230225,0.9999999403953552,1747608361.5798354
26.08724021911621,23.923357009887695,0.0,0.2715848982334137,70,312,69,0.13960766792297363,0.07952907681465149,0.02278645895421505,73.804541353,107520,0.0,0.5603252053260803,0.9999999403953552,1747608361.9200299
25.34114646911621,23.923357009887695,0.0,0.30348631739616394,82,408,81,0.13960766792297363,0.24467921257019043,0.02343750186264515,77.820897873,125952,0.0,0.6697014570236206,0.9999999403953552,1747608365.9371655
24.092449188232422,23.923357009887695,0.0,0.26025015115737915,90,472,89,0.13960766792297363,0.10225576162338257,0.02473958395421505,80.50199136,138240,0.0,0.6602109670639038,0.9999999403953552,1747608368.6183352
24.26692771911621,23.923357009887695,0.0,0.26004552841186523,95,512,94,0.13960766792297363,0.18238769471645355,0.0260416679084301,82.172990057,145920,0.0,0.4865646958351135,0.9999999403953552,1747608370.2893267
24.660158157348633,23.923357009887695,0.0,0.2914612293243408,108,616,107,0.13960766792297363,0.11485816538333893,0.0240885429084301,86.518488549,165888,0.0,0.46068426966667175,0.9999999403953552,1747608374.6348639
25.474611282348633,23.923357009887695,0.0,0.2666918635368347,122,728,121,0.13960766792297363,0.2498939335346222,0.0240885429084301,91.188166559,187392,0.0,0.5170868635177612,0.9999999403953552,1747608379.3045702
23.998048782348633,23.923357009887695,0.0,0.29440543055534363,127,768,126,0.13960766792297363,0.22022172808647156,0.0260416679084301,92.842889951,195072,0.0,0.5122734904289246,0.9999999403953552,1747608380.9590905
23.89388084411621,23.923357009887695,0.0,0.30087724328041077,151,960,150,0.13960766792297363,0.31034836173057556,0.0260416679084301,100.856473533,231936,0.0,0.5385191440582275,0.9999999403953552,1747608388.9728045
24.785808563232422,23.923357009887695,0.0,0.2942386269569397,152,968,151,0.13960766792297363,0.31905698776245117,0.0260416679084301,101.190499673,233472,0.0,0.5584264993667603,0.9999999403953552,1747608389.3066676
25.09700584411621,23.923357009887695,0.0,0.3127971887588501,157,1008,156,0.13960766792297363,0.3206048905849457,0.02539062686264515,102.859797381,241152,0.0,0.5542885661125183,0.9999999403953552,1747608390.9759815
24.233074188232422,23.923357009887695,0.0,0.31319838762283325,188,1256,187,0.13960766792297363,0.2830001711845398,0.0260416679084301,113.207678678,288768,0.0,0.5795822739601135,0.9999999403953552,1747608401.3236754
25.16927146911621,23.923357009887695,0.0,0.36473703384399414,195,1312,194,0.13960766792297363,0.27036404609680176,0.0260416679084301,115.521757404,299520,0.0,0.5843852758407593,0.9999999403953552,1747608403.637839
26.231121063232422,23.923357009887695,0.0,0.3342026174068451,204,1384,203,0.13960766792297363,0.2604467272758484,0.0240885429084301,118.502750997,313344,0.0,0.5819474458694458,0.9999999403953552,1747608406.6189125
26.228517532348633,23.923357009887695,0.0,0.3161025643348694,216,1480,215,0.13960766792297363,0.23559008538722992,0.02148437686264515,122.508242916,331776,0.0,0.5793883800506592,0.9999999403953552,1747608410.6244223
24.40950584411621,23.923357009887695,0.0,0.31834787130355835,222,1528,221,0.13960766792297363,0.2395469695329666,0.02539062686264515,124.512189962,340992,0.0,0.5703448057174683,0.9999999403953552,1747608412.6283722
25.488283157348633,23.923357009887695,0.0,0.32152506709098816,224,1544,223,0.13960766792297363,0.25624334812164307,0.02539062686264515,125.179379445,344064,0.0,0.5725749731063843,0.9999999403953552,1747608413.2956445
24.945964813232422,23.923357009887695,0.0,0.3105243742465973,242,1688,241,0.13960766792297363,0.14317896962165833,0.02539062686264515,131.179531658,371712,0.0,0.5611796379089355,0.9999999403953552,1747608419.2957578
23.93880271911621,23.923357009887695,0.0,0.3511562645435333,249,1744,248,0.13960766792297363,0.12489272654056549,0.0279947929084301,133.502849657,382464,0.0,0.5316115021705627,0.9999999403953552,1747608421.6190794
25.79231834411621,23.923357009887695,0.0,0.31855136156082153,251,1760,250,0.13960766792297363,0.13409139215946198,0.02669270895421505,134.164296382,385536,0.0,0.5287097096443176,0.9999999403953552,1747608422.2805197
24.810548782348633,23.923357009887695,0.0,0.33220934867858887,266,1880,265,0.13960766792297363,0.1360149085521698,0.02343750186264515,139.144277603,408576,0.0,0.5126579999923706,0.9999999403953552,1747608427.2605498
24.400392532348633,23.923357009887695,0.0,0.302798330783844,268,1896,267,0.13960766792297363,0.13126210868358612,0.0240885429084301,139.810390647,411648,0.0,0.5022445917129517,0.9999999403953552,1747608427.9267113
24.634767532348633,34.67693328857422,0.0,0.31249621510505676,326,2360,325,0.46364185214042664,0.20482869446277618,0.0260416679084301,159.173269901,500736,0.0,0.39174094796180725,0.9999999403953552,1747608447.2896774
26.182292938232422,34.67693328857422,0.0,0.36434435844421387,332,2408,331,0.46364185214042664,0.192423015832901,0.02278645895421505,161.165922641,509952,0.0,0.3808976709842682,0.9999999403953552,1747608449.2823858
24.048830032348633,34.67693328857422,0.0,0.33046653866767883,352,2568,351,0.46364185214042664,0.1544419676065445,0.02473958395421505,167.814297976,540672,0.0,0.3123714327812195,0.9999999403953552,1747608455.9307218
25.875001907348633,34.67693328857422,0.0,0.31459295749664307,365,2672,364,0.46364185214042664,0.2314210832118988,0.02278645895421505,172.130972024,560640,0.0,0.3204209506511688,0.9999999403953552,1747608460.247401
24.063152313232422,34.67693328857422,0.0,0.3105361759662628,370,2712,369,0.46364185214042664,0.2684788703918457,0.02473958395421505,173.786927707,568320,0.0,0.28524231910705566,0.9999999403953552,1747608461.9033477
23.730470657348633,34.67693328857422,0.0,0.3879380226135254,376,2760,375,0.46364185214042664,0.14961203932762146,0.0260416679084301,175.789878947,577536,0.0,0.31653502583503723,0.9999999403953552,1747608463.906304
25.77083396911621,34.67693328857422,0.0,0.32845744490623474,378,2776,377,0.46364185214042664,0.16750502586364746,0.02083333395421505,176.452681694,580608,0.0,0.29278767108917236,0.9999999403953552,1747608464.5690987
25.647136688232422,34.67693328857422,0.0,0.23886939883232117,398,2936,397,0.46364185214042664,0.20916223526000977,0.0240885429084301,183.104166519,611328,0.0,0.3023974895477295,0.9999999403953552,1747608471.2206059
24.62630271911621,34.67693328857422,0.0,0.371614009141922,400,2952,399,0.46364185214042664,0.44095945358276367,0.02539062686264515,183.765213214,614400,0.0,0.3035069704055786,0.9999999403953552,1747608471.8815706
24.750001907348633,34.67693328857422,0.0,0.3285045921802521,414,3064,413,0.46364185214042664,0.4666445255279541,0.0260416679084301,188.580803497,635904,0.0,0.23981529474258423,0.9999999403953552,1747608476.6971714
24.33333396911621,34.67693328857422,0.0,0.35188987851142883,440,3272,439,0.46364185214042664,0.24457687139511108,0.02473958395421505,197.229834297,675840,0.0,0.2547615170478821,0.9999999403953552,1747608485.3462565
25.113933563232422,34.67693328857422,0.0,0.32364413142204285,472,3528,471,0.46364185214042664,0.3580930233001709,0.02539062686264515,207.858493127,724992,0.0,0.24698752164840698,0.9999999403953552,1747608495.9749372
23.910808563232422,34.67693328857422,0.0,0.33093079924583435,481,3600,480,0.46364185214042664,0.3065970540046692,0.02734375186264515,210.863362385,738816,0.0,0.272210031747818,0.9999999403953552,1747608498.9797325
23.478517532348633,34.67693328857422,0.0,0.3111352324485779,527,3968,526,0.46364185214042664,0.2349470853805542,0.0240885429084301,226.132397377,809472,0.0,0.21132048964500427,0.9999999403953552,1747608514.2488272
25.53059959411621,34.67693328857422,0.0,0.3184097409248352,531,4000,530,0.46364185214042664,0.25075724720954895,0.0182291679084301,227.460565858,815616,0.0,0.21850746870040894,0.9999999403953552,1747608515.5769823
25.886720657348633,34.67693328857422,0.0,0.32416975498199463,537,4048,536,0.46364185214042664,0.2386084347963333,0.0240885429084301,229.458221738,824832,0.0,0.2179972231388092,0.9999999403953552,1747608517.5746589
27.281902313232422,34.67693328857422,0.0052083334885537624,0.33474811911582947,544,4104,543,0.46364185214042664,0.14473265409469604,0.0182291679084301,231.786136746,835584,0.0,0.19569474458694458,0.9999999403953552,1747608519.902591
25.890626907348633,34.67693328857422,0.0201822929084301,0.3878251612186432,547,4128,546,0.46364185214042664,0.16345685720443726,0.0201822929084301,232.783865391,840192,0.0,0.1896829903125763,0.9999999403953552,1747608520.9002836
24.529949188232422,34.67693328857422,0.0032552084885537624,0.3707367777824402,560,4232,559,0.46364185214042664,0.14669519662857056,0.02278645895421505,237.107770096,860160,0.0,0.14762717485427856,0.9999999403953552,1747608525.224212
26.75130271911621,34.67693328857422,0.0455729179084301,0.5090430974960327,635,4832,634,0.46364185214042664,0.10439178347587585,0.02148437686264515,262.043722256,975360,0.0,0.09466113150119781,0.9999999403953552,1747608550.1601532
27.031251907348633,34.67693328857422,0.1145833358168602,0.7018405199050903,642,4888,641,0.46364185214042664,0.12734706699848175,0.02343750186264515,264.368763656,986112,0.0,0.08628688752651215,0.9999999403953552,1747608552.4851735
26.503908157348633,39.62770462036133,0.1979166716337204,0.6814286708831787,718,5496,717,0.6872014999389648,0.12536785006523132,0.01692708395421505,289.713534947,1102848,0.0476190447807312,0.0010644665453583002,0.9999999403953552,1747608577.829892
25.17903709411621,39.62770462036133,0.2441406399011612,0.8105573654174805,720,5512,719,0.6872014999389648,0.1360207349061966,0.02083333395421505,290.382670748,1105920,0.0476190447807312,-0.0008203634060919285,0.9999999403953552,1747608578.49904
25.160158157348633,39.62770462036133,0.1764322966337204,0.7095575332641602,739,5664,738,0.6872014999389648,0.10825464129447937,0.0221354179084301,296.690797226,1135104,0.0476190447807312,0.018497683107852936,0.9999999403953552,1747608584.8072233
27.847658157348633,39.62770462036133,0.1640625149011612,0.6619964838027954,743,5696,742,0.6872014999389648,0.14712807536125183,0.01692708395421505,298.023110197,1141248,0.0476190447807312,0.03174193575978279,0.9999999403953552,1747608586.139526
24.828126907348633,39.62770462036133,0.1660156399011612,0.7167679071426392,763,5856,762,0.6872014999389648,0.28768518567085266,0.02278645895421505,304.655840128,1171968,0.0476190447807312,-0.02281125634908676,0.9999999403953552,1747608592.7722516
25.779298782348633,39.62770462036133,0.013671875931322575,0.4711794853210449,766,5880,765,0.6872014999389648,0.2021162509918213,0.0240885429084301,305.653117877,1176576,0.0476190447807312,-0.03720175474882126,0.9999999403953552,1747608593.7695582
26.86653709411621,39.62770462036133,0.1595052182674408,0.6149638295173645,779,5984,778,0.6872014999389648,0.18446588516235352,0.01692708395421505,309.981722063,1196544,0.0476190447807312,-0.07873114943504333,0.9999999403953552,1747608598.0981402
27.253908157348633,39.62770462036133,0.3040364682674408,0.8896876573562622,797,6128,796,0.6872014999389648,0.2788170576095581,0.01888020895421505,315.968104369,1224192,0.0476190447807312,-0.057254157960414886,0.9999999403953552,1747608604.0845263
28.082683563232422,39.62770462036133,0.1373697966337204,0.6607559323310852,803,6176,802,0.6872014999389648,0.1981557160615921,0.01953125186264515,317.960164809,1233408,0.0476190447807312,-0.047351859509944916,0.9999999403953552,1747608606.0765977
26.777345657348633,39.62770462036133,0.1276041716337204,0.6277861595153809,815,6272,814,0.6872014999389648,0.29473263025283813,0.01953125186264515,321.939901289,1251840,0.0476190447807312,-0.09442733228206635,0.9999999403953552,1747608610.0563288
27.55403709411621,39.62770462036133,0.3020833432674408,0.8530780076980591,831,6400,830,0.6872014999389648,0.21861785650253296,0.0221354179084301,327.252627338,1276416,0.0476190447807312,-0.03349959850311279,0.9999999403953552,1747608615.3690443
28.024089813232422,39.62770462036133,0.1914062649011612,0.7359803915023804,856,6600,855,0.6872014999389648,0.2709859013557434,0.0221354179084301,335.600921497,1314816,0.0476190447807312,-0.040855273604393005,0.9999999403953552,1747608623.7173493
28.25911521911621,39.62770462036133,0.1660156399011612,0.6946138143539429,865,6672,864,0.6872014999389648,0.19305619597434998,0.01953125186264515,338.592613498,1328640,0.0476190447807312,-0.043354205787181854,0.9999999403953552,1747608626.7090418
26.51497459411621,39.62770462036133,0.2506510615348816,0.8589234948158264,867,6688,866,0.6872014999389648,0.23153525590896606,0.02148437686264515,339.257883212,1331712,0.0476190447807312,-0.02863861247897148,0.9999999403953552,1747608627.3743134
27.736330032348633,39.62770462036133,0.1497395932674408,0.6708719730377197,882,6808,881,0.6872014999389648,0.2358723282814026,0.0201822929084301,344.24349933,1354752,0.0476190447807312,0.009579584933817387,0.9999999403953552,1747608632.3599265
27.345705032348633,39.62770462036133,0.1972656399011612,0.6892024278640747,897,6928,896,0.6872014999389648,0.2515829801559448,0.0201822929084301,349.223839245,1377792,0.0476190447807312,0.008617251180112362,0.9999999403953552,1747608637.3402762
27.002605438232422,39.62770462036133,0.2252604216337204,0.7981263995170593,900,6952,899,0.6872014999389648,0.3260400891304016,0.0221354179084301,350.216582428,1382400,0.0476190447807312,0.016795305535197258,0.9999999403953552,1747608638.3329997
27.19661521911621,39.62770462036133,0.2623698115348816,0.8193737268447876,903,6976,902,0.6872014999389648,0.4935722351074219,0.0221354179084301,351.21501582,1387008,0.0476190447807312,0.04174623638391495,0.9999999403953552,1747608639.3314526
28.795574188232422,39.62770462036133,0.2031250149011612,0.7596545219421387,909,7024,908,0.6872014999389648,0.5233023166656494,0.01953125186264515,353.209316733,1396224,0.0476190447807312,0.039403319358825684,0.9999999403953552,1747608641.3257625
26.824220657348633,39.62770462036133,0.3072916865348816,0.8607823848724365,910,7032,909,0.6872014999389648,0.4771984815597534,0.02148437686264515,353.541908038,1397760,0.0476190447807312,0.05406071990728378,0.9999999403953552,1747608641.6583529
25.513673782348633,39.62770462036133,0.3268229365348816,0.91612309217453,921,7120,920,0.6872014999389648,0.47829797863960266,0.0201822929084301,357.199639887,1414656,0.0476190447807312,0.040771570056676865,0.9999999403953552,1747608645.3160758
26.735027313232422,39.62770462036133,0.2382812649011612,0.8077788949012756,923,7136,922,0.6872014999389648,0.4076525866985321,0.02148437686264515,357.863869731,1417728,0.0476190447807312,0.00502305943518877,0.9999999403953552,1747608645.980299
26.979167938232422,39.62770462036133,0.4140625298023224,1.011983871459961,925,7152,924,0.6872014999389648,0.46322160959243774,0.0201822929084301,358.540922396,1420800,0.0476190447807312,0.00565547589212656,0.9999999403953552,1747608646.657363
27.47200584411621,39.62770462036133,0.4277344048023224,1.068403720855713,930,7192,929,0.6872014999389648,0.3928043842315674,0.01953125186264515,360.202983984,1428480,0.0476190447807312,-0.0038341942708939314,0.9999999403953552,1747608648.3194144
26.93684959411621,37.90712356567383,0.4498698115348816,1.1131470203399658,980,7592,979,1.643937110900879,0.5037059187889099,0.02148437686264515,376.903108434,1505280,0.6962290406227112,0.1330878883600235,1.0,1747608665.019528
25.572917938232422,37.90712356567383,0.3802083432674408,1.0088517665863037,985,7632,984,1.643937110900879,0.4190688133239746,0.02083333395421505,378.566962272,1512960,0.6962290406227112,0.11166784912347794,1.0,1747608666.6833782
29.045574188232422,37.90712356567383,0.4238281548023224,1.0763661861419678,990,7672,989,1.643937110900879,0.4262641370296478,0.017578125,380.229378364,1520640,0.6962290406227112,0.14246830344200134,1.0,1747608668.3457963
28.020183563232422,37.90712356567383,0.5996094346046448,1.2783493995666504,999,7744,998,1.643937110900879,0.605582058429718,0.0182291679084301,383.224126836,1534464,0.6962290406227112,0.1680191159248352,1.0,1747608671.3405814
27.229167938232422,37.90712356567383,0.3372395932674408,0.9761497974395752,1003,7776,1002,1.643937110900879,0.6230155229568481,0.02083333395421505,384.554411706,1540608,0.6962290406227112,0.153560608625412,1.0,1747608672.6708379
27.53450584411621,37.90712356567383,0.4830729365348816,1.144715666770935,1027,7968,1026,1.643937110900879,0.6764333248138428,0.0201822929084301,392.544704158,1577472,0.6962290406227112,0.21284401416778564,1.0,1747608680.6611469
27.86067771911621,37.90712356567383,0.55078125,1.225117802619934,1031,8000,1030,1.643937110900879,0.6942898035049438,0.01953125186264515,393.874482469,1583616,0.6962290406227112,0.25682681798934937,1.0,1747608681.990921
25.365236282348633,37.90712356567383,0.4251302182674408,1.0837287902832031,1032,8008,1031,1.643937110900879,0.6609715819358826,0.0221354179084301,394.218890399,1585152,0.6962290406227112,0.24068474769592285,1.0,1747608682.3351943
26.998048782348633,37.90712356567383,0.4368489682674408,1.057307243347168,1034,8024,1033,1.643937110900879,0.819316565990448,0.0201822929084301,394.884194407,1588224,0.6962290406227112,0.2804543077945709,1.0,1747608683.0006452
26.85677146911621,37.90712356567383,0.5162760615348816,1.1880080699920654,1072,8328,1071,1.643937110900879,0.6627746224403381,0.0182291679084301,407.513662556,1646592,0.6962290406227112,0.21341025829315186,1.0,1747608695.6300583
28.057292938232422,37.90712356567383,0.3372395932674408,0.9456064701080322,1091,8480,1090,1.643937110900879,0.7662789821624756,0.01953125186264515,413.832163548,1675776,0.6962290406227112,0.20868059992790222,1.0,1747608701.9485955
27.572917938232422,37.90712356567383,0.4524739682674408,1.0591953992843628,1108,8616,1107,1.643937110900879,0.6971039772033691,0.01953125186264515,419.480405653,1701888,0.6962290406227112,0.19506888091564178,1.0,1747608707.5968416
28.09700584411621,37.90712356567383,0.4687500298023224,1.133646845817566,1124,8744,1123,1.643937110900879,0.9285482168197632,0.0201822929084301,424.797033224,1726464,0.6962290406227112,0.24534264206886292,1.0,1747608712.9134688
28.039714813232422,37.90712356567383,0.3815104365348816,0.9717588424682617,1135,8832,1134,1.643937110900879,0.8458089828491211,0.0201822929084301,428.451446901,1743360,0.6962290406227112,0.21597060561180115,1.0,1747608716.5678792
26.824220657348633,37.90712356567383,0.4368489682674408,1.08744478225708,1151,8960,1150,1.643937110900879,0.7673230767250061,0.01953125186264515,433.773721058,1767936,0.6962290406227112,0.22315873205661774,1.0,1747608721.8901358
27.59895896911621,37.90712356567383,0.505859375,1.1416209936141968,1183,9216,1182,1.643937110900879,1.0480984449386597,0.0182291679084301,444.414287678,1817088,0.6962290406227112,0.22862620651721954,1.0,1747608732.53071
27.315105438232422,37.90712356567383,0.4882812798023224,1.1497204303741455,1192,9288,1191,1.643937110900879,0.9093387722969055,0.02083333395421505,447.408619678,1830912,0.6962290406227112,0.2640119194984436,1.0,1747608735.5250483
27.906251907348633,37.90712356567383,0.4329427182674408,1.0369013547897339,1195,9312,1194,1.643937110900879,0.9337326288223267,0.0201822929084301,448.406504972,1835520,0.6962290406227112,0.23920106887817383,1.0,1747608736.522925
26.06380271911621,37.90712356567383,0.3730469048023224,0.950350284576416,1207,9408,1206,1.643937110900879,1.2022321224212646,0.01953125186264515,452.398544474,1853952,0.6962290406227112,0.22875884175300598,1.0,1747608740.5149589
28.34700584411621,37.90712356567383,0.4036458432674408,1.0006917715072632,1223,9536,1222,1.643937110900879,0.8163450956344604,0.01953125186264515,457.716269021,1878528,0.6962290406227112,0.22489994764328003,1.0,1747608745.832712
28.27083396911621,37.90712356567383,0.3444010615348816,0.9111760854721069,1236,9640,1235,1.643937110900879,0.8331804275512695,0.017578125,462.043681113,1898496,0.6962290406227112,0.21591997146606445,1.0,1747608750.1600988
