returned_episode_lengths,returned_won_episode,test_returned_episode,update_steps,grad_steps,loss,_step,test_returned_episode_returns,env_step,returned_episode,_runtime,test_returned_episode_lengths,returned_episode_returns,qvals,test_returned_won_episode,_timestamp
26.43619728088379,0.0,1,12,0,0.0,11,0.0021013151854276657,18432,0.01822916604578495,44.240126076,12.093387603759766,0.1468932181596756,0.0,0.0,1746415234.3406792
26.97525978088379,0.0,1,14,0,0.0,13,0.0021013151854276657,21504,0.021484375,44.35146934,12.093387603759766,0.13874565064907074,0.0,0.0,1746415234.452012
27.97200584411621,0.0,1,16,0,0.0,15,0.0021013151854276657,24576,0.02083333395421505,44.462911852,12.093387603759766,0.15844877064228058,0.0,0.0,1746415234.5634503
28.50065040588379,0.0,1,46,120,0.005628072191029787,45,0.0021013151854276657,70656,0.02018229104578495,49.736653931,12.093387603759766,0.16853733360767365,0.2483888864517212,0.0,1746415239.8372
29.27408790588379,0.0,1,53,176,0.011081996373832226,52,0.0021013151854276657,81408,0.01953125,51.814226195,12.093387603759766,0.1698463410139084,0.4776829779148102,0.0,1746415241.9146504
26.39583396911621,0.0,1,56,200,0.006994917988777161,55,0.0021013151854276657,86016,0.01888020895421505,52.703389179,12.093387603759766,0.14593403041362762,0.5719985365867615,0.0,1746415242.8039045
27.36849021911621,0.0,1,63,256,0.011259134858846664,62,0.0021013151854276657,96768,0.017578125,54.776554348,12.093387603759766,0.15700432658195496,0.6829693913459778,0.0,1746415244.8769054
26.623046875,0.0,1,85,432,0.01098366267979145,84,0.0021013151854276657,130560,0.01953125,61.299095055,12.093387603759766,0.14998525381088257,0.8147797584533691,0.0,1746415251.3996015
28.49869728088379,0.0,1,102,568,0.02214168943464756,101,0.0021013151854276657,156672,0.015625,66.342135667,12.093387603759766,0.16315452754497528,0.8473829627037048,0.0,1746415256.4426246
28.16471290588379,0.0,1,114,664,0.016877777874469757,113,0.0021013151854276657,175104,0.01888020895421505,69.900989859,12.093387603759766,0.1662803739309311,0.7712352275848389,0.0,1746415260.0014882
27.802734375,0.0,1,154,984,0.026586245745420456,153,0.0021013151854276657,236544,0.017578125,81.788623506,12.093387603759766,0.1853967010974884,0.7593966722488403,0.0,1746415271.8890657
28.83854103088379,0.0,1,166,1080,0.027285631746053696,165,0.0021013151854276657,254976,0.01888020895421505,85.357648051,12.093387603759766,0.1976744681596756,0.778101921081543,0.0,1746415275.4580116
29.505859375,0.0,1,199,1344,0.03465870022773743,198,0.0021013151854276657,305664,0.01627604104578495,95.203662032,12.093387603759766,0.2058897614479065,0.7410182952880859,0.0,1746415285.3041296
28.603515625,0.0,1,200,1352,0.03425512835383415,199,0.0021013151854276657,307200,0.01888020895421505,95.500604528,12.093387603759766,0.20101475715637207,0.743087887763977,0.0,1746415285.6010878
29.82682228088379,0.0,1,202,1368,0.04747490584850311,201,0.0021013151854276657,310272,0.01627604104578495,96.10100625,12.093387603759766,0.20409546792507172,0.7393093109130859,0.0,1746415286.201403
