returned_won_episode,returned_episode_returns,update_steps,env_step,test_returned_episode_lengths,loss,_runtime,test_returned_episode,returned_episode_lengths,test_returned_episode_returns,_timestamp,grad_steps,test_returned_won_episode,returned_episode,_step,qvals
0.0,0.1257161647081375,3,4608.0,17.708791732788086,0.0,54.710631742,1.0,15.837240219116211,0.07199729979038239,1746169812.2069147,0,0.0,0.0507812537252903,2,0.0
0.0,0.12248265743255615,4,6144.0,17.708791732788086,0.0,54.773182323,1.0,15.305339813232422,0.07199729979038239,1746169812.2694924,0,0.0,0.0520833358168602,3,0.0
0.0,0.1137152910232544,25,38400.0,17.708791732788086,0.0,56.091552938,1.0,15.397136688232422,0.07199729979038239,1746169813.5878503,0,0.0,0.0520833358168602,24,0.0
0.0,0.13003472983837128,32,49152.0,17.708791732788086,0.031682781875133514,56.796708476,1.0,15.901042938232422,0.07199729979038239,1746169814.2929664,8,0.0,0.0507812537252903,31,-0.0006670871516689658
0.0,0.13784724473953247,47,72192.0,17.708791732788086,0.04062824696302414,61.767264753,1.0,15.422527313232422,0.07199729979038239,1746169819.263526,128,0.0,0.0527343787252903,46,0.2646676301956177
0.0,0.13589411973953247,69,105984.0,17.708791732788086,0.054113827645778656,69.046564295,1.0,15.289063453674316,0.07199729979038239,1746169826.542807,304,0.0,0.0540364608168602,68,0.4919346570968628
0.0,0.16030818223953247,96,147456.0,17.708791732788086,0.059495244175195694,77.983244816,1.0,14.629557609558105,0.07199729979038239,1746169835.4794734,520,0.0,0.0559895858168602,95,0.4471993148326874
0.0,0.15963542461395264,117,179712.0,17.708791732788086,0.07265907526016235,84.923633291,1.0,14.423829078674316,0.07199729979038239,1746169842.4198759,688,0.0,0.0579427108168602,116,0.3990114629268646
0.0,0.16827259957790375,140,215040.0,17.708791732788086,0.10154319554567337,92.546697782,1.0,14.080079078674316,0.07199729979038239,1746169850.0429556,872,0.0,0.0592447929084301,139,0.35688716173171997
0.0,0.1611328423023224,145,222720.0,17.708791732788086,0.13299009203910828,94.200534374,1.0,14.209635734558105,0.07199729979038239,1746169851.6967688,912,0.0,0.0559895858168602,144,0.3160429000854492
0.0,0.1682942807674408,151,231936.0,17.708791732788086,0.10211606323719025,96.187285467,1.0,14.414063453674316,0.07199729979038239,1746169853.6835475,960,0.0,0.0572916679084301,150,0.29192110896110535
0.0,0.18658855557441711,187,287232.0,17.708791732788086,0.0761052817106247,108.114231325,1.0,14.568360328674316,0.07199729979038239,1746169865.610462,1248,0.0,0.0553385429084301,186,0.29143136739730835
0.0,0.19186200201511383,191,293376.0,17.708791732788086,0.07645034044981003,109.459413054,1.0,14.901041984558105,0.07199729979038239,1746169866.9556313,1280,0.0,0.0553385429084301,190,0.2962818443775177
0.0,0.19073353707790375,194,297984.0,17.708791732788086,0.07686115056276321,110.45238016,1.0,15.130860328674316,0.07199729979038239,1746169867.9486206,1304,0.0,0.0553385429084301,193,0.29477226734161377
0.0,0.21514759957790375,223,342528.0,17.708791732788086,0.05674077570438385,120.053614674,1.0,14.510416984558105,0.07199729979038239,1746169877.5498338,1536,0.0,0.0572916679084301,222,0.32097333669662476
0.0,0.21890193223953247,231,354816.0,17.708791732788086,0.05462329462170601,122.714998982,1.0,14.173177719116211,0.07199729979038239,1746169880.2110436,1600,0.0,0.0572916679084301,230,0.3229484260082245
0.0,0.22953562438488007,236,362496.0,17.708791732788086,0.05441559851169586,124.36504213,1.0,13.974610328674316,0.07199729979038239,1746169881.8611856,1640,0.0,0.0592447929084301,235,0.321491003036499
0.0,0.2209852635860443,237,364032.0,17.708791732788086,0.05686790496110916,124.695280535,1.0,13.645833969116211,0.07199729979038239,1746169882.1915183,1648,0.0,0.0625,236,0.32531681656837463
0.0,0.25772571563720703,277,425472.0,17.708791732788086,0.05780676007270813,137.932201023,1.0,12.772135734558105,0.07199729979038239,1746169895.4284225,1968,0.0,0.06640625,276,0.27198970317840576
0.0,0.26213109493255615,296,454656.0,17.708791732788086,0.058281444013118744,144.257513452,1.0,13.391276359558105,0.07199729979038239,1746169901.7537036,2120,0.0,0.0625,295,0.23370465636253357
0.0,0.26603737473487854,301,462336.0,17.708791732788086,0.05450762063264847,145.909223686,1.0,14.077474594116211,0.07199729979038239,1746169903.4054537,2160,0.0,0.0598958358168602,300,0.2370813488960266
0.0,0.25978735089302063,302,463872.0,17.708791732788086,0.061215125024318695,146.237437394,1.0,14.134115219116211,0.07199729979038239,1746169903.7336485,2168,0.0,0.0592447929084301,301,0.2501944899559021
0.0,0.2706814706325531,305,468480.0,17.708791732788086,0.059420209378004074,147.226596409,1.0,13.729166984558105,0.07199729979038239,1746169904.7228045,2192,0.0,0.0611979216337204,304,0.24628302454948425
