returned_won_episode,returned_episode,returned_episode_lengths,loss,test_returned_episode,update_steps,_step,test_returned_episode_returns,test_returned_episode_lengths,test_returned_won_episode,_runtime,grad_steps,qvals,returned_episode_returns,env_step,_timestamp
0.0,0.0221354179084301,23.117839813232422,0.0,1.0,4,3,0.15869034826755524,24.541475296020508,0.0,85.892352961,0,0.0,0.15927542746067047,6144,1746203416.8210342
0.0,0.0279947929084301,23.910158157348633,0.0,1.0,17,16,0.15869034826755524,24.541475296020508,0.0,86.75205288,0,0.0,0.23170669376850128,26112,1746203417.6807523
0.0,0.0279947929084301,25.753908157348633,0.040674664080142975,1.0,35,34,0.15869034826755524,24.541475296020508,0.0,89.027825288,32,0.15583518147468567,0.16606083512306213,53760,1746203419.9564157
0.0,0.02669270895421505,24.341798782348633,0.08426076173782349,1.0,42,41,0.15869034826755524,24.541475296020508,0.0,91.416330414,88,0.0641305148601532,0.21231979131698608,64512,1746203422.3450034
0.0,0.02473958395421505,24.337892532348633,0.040600962936878204,1.0,49,48,0.15869034826755524,24.541475296020508,0.0,93.786902311,144,0.22179514169692993,0.2230888456106186,75264,1746203424.7154558
0.0,0.0221354179084301,25.106121063232422,0.06684055924415588,1.0,57,56,0.15869034826755524,24.541475296020508,0.0,96.480659074,208,0.26750022172927856,0.1749926656484604,87552,1746203427.4093442
0.0,0.02343750186264515,25.05403709411621,0.06712833046913147,1.0,60,59,0.15869034826755524,24.541475296020508,0.0,97.506212356,232,0.2563685178756714,0.23609425127506256,92160,1746203428.4347312
0.0,0.0240885429084301,25.68099021911621,0.11754841357469559,1.0,63,62,0.15869034826755524,24.541475296020508,0.0,98.513442627,256,0.2874072790145874,0.1946745663881302,96768,1746203429.4421482
0.0,0.02343750186264515,25.29817771911621,0.1744927167892456,1.0,85,84,0.15869034826755524,24.541475296020508,0.0,105.922796572,432,0.2226039171218872,0.21459084749221802,130560,1746203436.8515031
0.0,0.02278645895421505,24.28450584411621,0.3084603548049927,1.0,113,112,0.15869034826755524,24.541475296020508,0.0,115.391814302,656,0.2397574633359909,0.22609947621822357,173568,1746203446.3205547
0.0,0.0240885429084301,25.70442771911621,0.28192347288131714,1.0,115,114,0.15869034826755524,24.541475296020508,0.0,116.066921009,672,0.22863328456878662,0.25075775384902954,176640,1746203446.995377
0.0,0.0221354179084301,26.418621063232422,0.4063790440559387,1.0,133,132,0.15869034826755524,24.541475296020508,0.0,122.152976377,816,0.25563520193099976,0.2790789306163788,204288,1746203453.0815876
0.0,0.02148437686264515,26.53450584411621,0.35647284984588623,1.0,140,139,0.15869034826755524,24.541475296020508,0.0,124.526792365,872,0.2598235607147217,0.2561059892177582,215040,1746203455.455381
0.0,0.02083333395421505,24.88411521911621,0.24121257662773132,1.0,155,154,0.15869034826755524,24.541475296020508,0.0,129.582677246,992,0.25320836901664734,0.2391817271709442,238080,1746203460.5113666
0.0182291679084301,0.02473958395421505,25.119792938232422,0.215277761220932,1.0,157,156,0.15869034826755524,24.541475296020508,0.0,130.265069261,1008,0.24854034185409546,0.26177629828453064,241152,1746203461.1937509
0.0,0.02343750186264515,24.769533157348633,0.3616110384464264,1.0,162,161,0.15869034826755524,24.541475296020508,0.0,131.967204374,1048,0.25091129541397095,0.2638998031616211,248832,1746203462.895874
0.0,0.02473958395421505,24.79427146911621,0.28273385763168335,1.0,177,176,0.15869034826755524,24.541475296020508,0.0,137.041277913,1168,0.28849077224731445,0.25504040718078613,271872,1746203467.9699817
0.0071614584885537624,0.01953125186264515,26.38997459411621,0.278778076171875,1.0,189,188,0.15869034826755524,24.541475296020508,0.0,141.08485291,1264,0.2618069052696228,0.24927616119384766,290304,1746203472.013599
0.0,0.02473958395421505,25.965496063232422,0.28429630398750305,1.0,198,197,0.15869034826755524,24.541475296020508,0.0,144.128030265,1336,0.2445944845676422,0.2905673384666443,304128,1746203475.0566843
0.0,0.02083333395421505,25.832683563232422,0.32203030586242676,1.0,206,205,0.15869034826755524,24.541475296020508,0.0,146.825981121,1400,0.27360862493515015,0.2702998220920563,316416,1746203477.754686
0.0,0.01888020895421505,27.65364646911621,0.4402846097946167,1.0,220,219,0.15869034826755524,24.541475296020508,0.0,151.539877985,1512,0.3349418342113495,0.2526230812072754,337920,1746203482.468601
0.0,0.02278645895421505,26.131511688232422,0.4536464810371399,1.0,221,220,0.15869034826755524,24.541475296020508,0.0,151.875995647,1520,0.33880507946014404,0.24192750453948975,339456,1746203482.804739
0.005859375465661287,0.01888020895421505,25.55599021911621,1.4429595470428467,1.0,243,242,0.15869034826755524,24.541475296020508,0.0,159.309470462,1696,0.3935812711715698,0.24648715555667877,373248,1746203490.2381623
0.0,0.0221354179084301,25.858074188232422,0.8141173124313354,1.0,256,255,0.15869034826755524,24.541475296020508,0.0,163.714753303,1800,0.3712400794029236,0.2550855576992035,393216,1746203494.6434417
0.0,0.0240885429084301,24.515626907348633,0.7855360507965088,1.0,261,260,0.15869034826755524,24.541475296020508,0.0,165.406490312,1840,0.3659299612045288,0.2839837968349457,400896,1746203496.3352182
0.0325520858168602,0.02343750186264515,25.37044334411621,0.9720724821090698,1.0,265,264,0.15869034826755524,24.541475296020508,0.0,166.752824455,1872,0.368363618850708,0.3131024241447449,407040,1746203497.6815593
0.0,0.0240885429084301,25.835939407348633,0.9240047931671143,1.0,271,270,0.15869034826755524,24.541475296020508,0.0,168.779692355,1920,0.3617360591888428,0.23673532903194427,416256,1746203499.7083592
0.0,0.0201822929084301,27.857423782348633,0.9514949321746826,1.0,306,305,0.15869034826755524,24.541475296020508,0.0,180.59741447,2200,0.3214787244796753,0.24217629432678223,470016,1746203511.5261168
0.0,0.02343750186264515,24.345705032348633,1.0145537853240967,1.0,311,310,0.15869034826755524,24.541475296020508,0.0,182.28943987,2240,0.33731168508529663,0.22944581508636475,477696,1746203513.2181234
0.0,0.02278645895421505,26.835939407348633,1.0300405025482178,1.0,320,319,0.15869034826755524,24.541475296020508,0.0,185.332667168,2312,0.3370714783668518,0.26291725039482117,491520,1746203516.2612188
0.0,0.0201822929084301,26.316408157348633,1.239685297012329,1.0,325,324,0.42571067810058594,37.744667053222656,0.005505849607288837,187.109571857,2352,0.3377683162689209,0.20536954700946808,499200,1746203518.0382297
0.0,0.02083333395421505,24.19856834411621,1.4118435382843018,1.0,333,332,0.42571067810058594,37.744667053222656,0.005505849607288837,189.826449897,2416,0.3652864992618561,0.2177647054195404,511488,1746203520.7550445
0.0,0.02278645895421505,26.19270896911621,2.214244842529297,1.0,350,349,0.42571067810058594,37.744667053222656,0.005505849607288837,195.560241648,2552,0.35117417573928833,0.27065953612327576,537600,1746203526.4889302
0.0,0.02083333395421505,25.87434959411621,1.5551385879516602,1.0,368,367,0.42571067810058594,37.744667053222656,0.005505849607288837,201.657868358,2696,0.34115171432495117,0.2625064551830292,565248,1746203532.5865648
0.0,0.0221354179084301,25.682292938232422,1.7971888780593872,1.0,376,375,0.42571067810058594,37.744667053222656,0.005505849607288837,204.354388495,2760,0.3530424237251282,0.20540806651115417,577536,1746203535.2831144
0.0,0.0221354179084301,26.906902313232422,3.2761549949645996,1.0,407,406,0.42571067810058594,37.744667053222656,0.005505849607288837,214.832138111,3008,0.3570353388786316,0.24049757421016693,625152,1746203545.7608495
0.0,0.02343750186264515,25.779949188232422,3.2259652614593506,1.0,409,408,0.42571067810058594,37.744667053222656,0.005505849607288837,215.50445612,3024,0.37514251470565796,0.27031874656677246,628224,1746203546.433158
0.033203125,0.02278645895421505,25.234376907348633,2.926607131958008,1.0,431,430,0.42571067810058594,37.744667053222656,0.005505849607288837,223.125904725,3200,0.3387030363082886,0.3081572949886322,662016,1746203554.0545912
0.0240885429084301,0.02083333395421505,27.145183563232422,1.894195795059204,1.0,436,435,0.42571067810058594,37.744667053222656,0.005505849607288837,224.806453436,3240,0.33578336238861084,0.3336223065853119,669696,1746203555.7351449
0.0,0.02083333395421505,26.431642532348633,1.5748164653778076,1.0,448,447,0.42571067810058594,37.744667053222656,0.005505849607288837,228.846191091,3336,0.32544970512390137,0.24420344829559326,688128,1746203559.774878
0.0,0.0221354179084301,26.10481834411621,2.1082794666290283,1.0,463,462,0.42571067810058594,37.744667053222656,0.005505849607288837,233.894490509,3456,0.36392080783843994,0.22443990409374237,711168,1746203564.823193
0.0,0.0201822929084301,26.580730438232422,1.224346399307251,1.0,500,499,0.42571067810058594,37.744667053222656,0.005505849607288837,246.397343209,3752,0.3816789984703064,0.282433420419693,768000,1746203577.32599
