loss,returned_episode_lengths,returned_won_episode,update_steps,_step,returned_episode,test_returned_episode_returns,test_returned_episode,_runtime,grad_steps,qvals,test_returned_won_episode,returned_episode_returns,env_step,test_returned_episode_lengths,_timestamp
0.0,24.94791603088379,0.0,18,17,0.02604166604578495,0.2381862998008728,1.0,49.448843146,0,0.0,0.0,0.24524085223674774,27648,48.312747955322266,1746193865.3913622
0.019880186766386032,25.609375,0.0,33,32,0.02473958395421505,0.2381862998008728,1.0,51.016670213,16,0.03328554332256317,0.0,0.24352212250232697,50688,48.312747955322266,1746193866.959186
0.04552283138036728,25.42122459411621,0.0,52,51,0.02473958395421505,0.2381862998008728,1.0,58.083796892,168,0.6291231513023376,0.0,0.26943355798721313,79872,48.312747955322266,1746193874.0263112
0.06001456081867218,26.1796875,0.0,94,93,0.025390625,0.2381862998008728,1.0,73.705062843,504,0.48023563623428345,0.0,0.29197263717651367,144384,48.312747955322266,1746193889.6475844
0.13882187008857727,25.90234375,0.0,126,125,0.02408854104578495,0.2381862998008728,1.0,85.615135601,760,0.47885555028915405,0.0,0.28529295325279236,193536,48.312747955322266,1746193901.5576727
0.1078527644276619,25.080078125,0.0,131,130,0.02669270895421505,0.2381862998008728,1.0,87.474763055,800,0.45632630586624146,0.0,0.31608718633651733,201216,48.312747955322266,1746193903.417291
0.18989351391792297,26.66275978088379,0.0,143,142,0.02408854104578495,0.2381862998008728,1.0,91.938180978,896,0.41777628660202026,0.0,0.302815705537796,219648,48.312747955322266,1746193907.8806899
0.33098888397216797,25.25650978088379,0.0,186,185,0.02473958395421505,0.2381862998008728,1.0,107.942129439,1240,0.47765326499938965,0.0,0.29283198714256287,285696,48.312747955322266,1746193923.8846478
0.3295266628265381,25.34114646911621,0.0,195,194,0.025390625,0.2381862998008728,1.0,111.291868912,1312,0.47709643840789795,0.0,0.3013280928134918,299520,48.312747955322266,1746193927.2343924
0.3326459527015686,24.19921875,0.0,199,198,0.02734375,0.2381862998008728,1.0,112.779712524,1344,0.48118242621421814,0.0,0.3064257502555847,305664,48.312747955322266,1746193928.7222214
0.27161353826522827,25.19661521911621,0.0,216,215,0.02278645895421505,0.2381862998008728,1.0,119.113108259,1480,0.46525928378105164,0.0,0.2986946403980255,331776,48.312747955322266,1746193935.0556273
0.26140499114990234,25.01822853088379,0.0,247,246,0.025390625,0.2381862998008728,1.0,130.64398892,1728,0.45099905133247375,0.0,0.3065396845340729,379392,48.312747955322266,1746193946.5865014
0.2289504110813141,24.59049415588379,0.0,258,257,0.02669270895421505,0.2381862998008728,1.0,134.737829758,1816,0.4403380751609802,0.0,0.3399869501590729,396288,48.312747955322266,1746193950.6803715
0.24394559860229492,25.51236915588379,0.0,260,259,0.0234375,0.2381862998008728,1.0,135.482436118,1832,0.44133615493774414,0.0,0.3202897012233734,399360,48.312747955322266,1746193951.4249594
