test_returned_won_episode,test_returned_episode_returns,returned_episode_returns,_step,grad_steps,test_returned_episode_lengths,returned_episode,test_returned_episode,_runtime,returned_won_episode,update_steps,loss,qvals,returned_episode_lengths,env_step,_timestamp
0.0,0.019893718883395195,0.1252170205116272,2,0,15.724864959716797,0.0507812537252903,1.0,55.283055838,0.0,3,0.0,0.0,16.209636688232422,4608.0,1746176558.4249084
0.0,0.019893718883395195,0.12493491172790527,3,0,15.724864959716797,0.0494791679084301,1.0,55.34566301,0.0,4,0.0,0.0,15.559896469116211,6144.0,1746176558.4875414
0.0,0.019893718883395195,0.12315540015697479,24,0,15.724864959716797,0.0520833358168602,1.0,56.666655164,0.0,25,0.0,0.0,15.339193344116211,38400.0,1746176559.8085418
0.0,0.019893718883395195,0.11992187798023224,31,8,15.724864959716797,0.0520833358168602,1.0,57.37455679,0.0,32,0.03192881494760513,-0.11616465449333191,15.759766578674316,49152.0,1746176560.5163798
0.0,0.019893718883395195,0.14552953839302063,46,128,15.724864959716797,0.0546875037252903,1.0,62.339465213,0.0,47,0.02577666938304901,0.1925675868988037,14.916666984558105,72192.0,1746176565.481299
0.0,0.019893718883395195,0.14720052480697632,68,304,15.724864959716797,0.0553385429084301,1.0,69.64285746,0.0,69,0.0523209273815155,0.6114829778671265,14.576823234558105,105984.0,1746176572.784671
0.0,0.019893718883395195,0.15564239025115967,95,520,15.724864959716797,0.0559895858168602,1.0,78.593208139,0.0,96,0.05219213664531708,0.6577467918395996,14.866537094116211,147456.0,1746176581.7350755
0.0,0.019893718883395195,0.15681424736976624,116,688,15.724864959716797,0.0546875037252903,1.0,85.564826536,0.0,117,0.05876414105296135,0.584227442741394,15.057943344116211,179712.0,1746176588.7066453
0.0,0.019893718883395195,0.17170140147209167,139,872,15.724864959716797,0.0585937537252903,1.0,93.211221828,0.0,140,0.06927436590194702,0.3908366560935974,14.429037094116211,215040.0,1746176596.3530338
0.0,0.019893718883395195,0.174370676279068,144,912,15.724864959716797,0.0553385429084301,1.0,94.884700979,0.0,145,0.12764829397201538,0.3631550669670105,14.505208969116211,222720.0,1746176598.026454
0.0,0.019893718883395195,0.17921008169651031,150,960,15.724864959716797,0.0566406287252903,1.0,96.879557145,0.0,151,0.12177527695894241,0.3770895004272461,14.143880844116211,231936.0,1746176600.0213795
0.0,0.019893718883395195,0.1816406399011612,186,1248,15.724864959716797,0.0579427108168602,1.0,108.877234628,0.0,187,0.09625132381916046,0.28027546405792236,14.185547828674316,287232.0,1746176612.0189278
0.0,0.019893718883395195,0.2051866501569748,190,1280,15.724864959716797,0.0553385429084301,1.0,110.211325142,0.0,191,0.09785562753677368,0.28932181000709534,14.436849594116211,293376.0,1746176613.3531053
0.0,0.019893718883395195,0.19667969644069672,193,1304,15.724864959716797,0.0592447929084301,1.0,111.218989103,0.0,194,0.09639135003089905,0.28619036078453064,14.121745109558105,297984.0,1746176614.3608136
0.0,0.019893718883395195,0.23135854303836823,222,1536,15.724864959716797,0.0618489608168602,1.0,120.870482655,0.0,223,0.09627951681613922,0.32232004404067993,13.613932609558105,342528.0,1746176624.012209
0.0,0.019893718883395195,0.22408857941627502,230,1600,15.724864959716797,0.0579427108168602,1.0,123.522881501,0.0,231,0.0703667551279068,0.3125726878643036,14.244791984558105,354816.0,1746176626.664748
0.0,0.019893718883395195,0.2228732854127884,235,1640,15.724864959716797,0.0585937537252903,1.0,125.190163472,0.0,236,0.07070215046405792,0.31586581468582153,13.923829078674316,362496.0,1746176628.3319912
0.0,0.019893718883395195,0.2140842229127884,236,1648,15.724864959716797,0.0605468787252903,1.0,125.519839548,0.0,237,0.07655167579650879,0.3150872588157654,13.660807609558105,364032.0,1746176628.6616707
0.0,0.019893718883395195,0.26282554864883423,276,1968,15.724864959716797,0.0631510466337204,1.0,138.82343555,0.0,277,0.07158610224723816,0.34615299105644226,13.324870109558105,425472.0,1746176641.965268
0.0,0.019893718883395195,0.24917536973953247,295,2120,15.724864959716797,0.0651041716337204,1.0,145.152943457,0.0,296,0.06692591309547424,0.3676414489746094,13.053385734558105,454656.0,1746176648.2946289
0.0,0.019893718883395195,0.258355051279068,300,2160,15.724864959716797,0.0625,1.0,146.831828958,0.0,301,0.06658060848712921,0.3639662265777588,13.013021469116211,462336.0,1746176649.9736524
0.0,0.019893718883395195,0.2687283456325531,301,2168,15.724864959716797,0.0651041716337204,1.0,147.163830847,0.0,302,0.06142748147249222,0.3671937584877014,12.910157203674316,463872.0,1746176650.3056548
0.0,0.019893718883395195,0.27042102813720703,304,2192,15.724864959716797,0.0631510466337204,1.0,148.149667107,0.0,305,0.05995379388332367,0.3677951693534851,13.139974594116211,468480.0,1746176651.2915173
0.0008027292788028717,0.5787945985794067,0.29225262999534607,325,2360,12.629941940307617,0.068359375,1.0,155.223583823,0.0,326,0.06005712226033211,0.3542539179325104,12.364583969116211,500736.0,1746176658.3653896
0.0008027292788028717,0.5787945985794067,0.27478301525115967,330,2400,12.629941940307617,0.0611979216337204,1.0,156.876767288,0.0,331,0.06158314645290375,0.2801814675331116,13.591146469116211,508416.0,1746176660.0186174
0.0008027292788028717,0.5787945985794067,0.2952691614627838,338,2464,12.629941940307617,0.0585937537252903,1.0,159.527717922,0.0,339,0.06268042325973511,0.2562183439731598,14.313802719116211,520704.0,1746176662.6695514
0.0008027292788028717,0.5787945985794067,0.30466583371162415,358,2624,12.629941940307617,0.0611979216337204,1.0,166.179457892,0.0,359,0.05610810965299606,0.26792585849761963,13.459635734558105,551424.0,1746176669.3212924
0.0008027292788028717,0.5787945985794067,0.31644970178604126,366,2688,12.629941940307617,0.06640625,1.0,168.833426553,0.0,367,0.04979546740651131,0.2715179920196533,13.027995109558105,563712.0,1746176671.9751706
0.0008027292788028717,0.5787945985794067,0.32013896107673645,387,2856,12.629941940307617,0.0657552108168602,1.0,175.809376704,0.0,388,0.06774850189685822,0.2749907970428467,12.716797828674316,595968.0,1746176678.9511924
