returned_episode_returns,_timestamp,returned_episode_lengths,test_returned_episode_lengths,env_step,test_returned_episode,loss,_step,qvals,test_returned_episode_returns,returned_won_episode,_runtime,update_steps,returned_episode,test_returned_won_episode,grad_steps
0.14617662131786346,1746175080.7671561,17.77083396911621,11.902443885803223,24576.0,1.0,0.0,15,0.0,0.003318407339975238,0.0,49.278152981,16,0.0416666679084301,0.0,0
0.12794744968414307,1746175081.804881,17.311199188232422,11.902443885803223,46080.0,1.0,0.0,29,0.0,0.003318407339975238,0.0,50.315862497,30,0.0455729179084301,0.0,0
0.15836885571479797,1746175091.9222782,17.20638084411621,11.902443885803223,81408.0,1.0,0.02418440207839012,52,0.3493693768978119,0.003318407339975238,0.0,60.459447959,53,0.0442708358168602,0.0,176
0.16595645248889923,1746175107.4519386,17.072917938232422,11.902443885803223,133632.0,1.0,0.023528028279542923,86,0.6627578735351562,0.003318407339975238,0.0,75.962920702,87,0.0481770858168602,0.0,448
0.20487692952156067,1746175151.3188791,16.06770896911621,11.902443885803223,281088.0,1.0,0.03883737325668335,182,0.7492800951004028,0.003318407339975238,0.0,119.829874809,183,0.0520833358168602,0.0,1216
0.22124765813350677,1746175157.258464,15.505860328674316,11.902443885803223,301056.0,1.0,0.049728021025657654,195,0.7327770590782166,0.003318407339975238,0.0,125.769448736,196,0.0527343787252903,0.0,1320
0.22956916689872742,1746175165.0265117,15.251954078674316,11.902443885803223,327168.0,1.0,0.06376110017299652,212,0.7347360849380493,0.003318407339975238,0.0,133.537532132,213,0.0533854179084301,0.0,1456
0.22995978593826294,1746175168.68114,15.315105438232422,11.902443885803223,339456.0,1.0,0.054319798946380615,220,0.7599533796310425,0.003318407339975238,0.0,137.192141429,221,0.0527343787252903,0.0,1520
0.23879027366638184,1746175170.5086093,15.360027313232422,11.902443885803223,345600.0,1.0,0.0490448884665966,224,0.7843948602676392,0.003318407339975238,0.0,139.01959822,225,0.0527343787252903,0.0,1552
0.23881395161151886,1746175176.9038324,14.791666984558105,11.902443885803223,367104.0,1.0,0.09013500809669495,238,0.7062772512435913,0.003318407339975238,0.0,145.41485672,239,0.0572916679084301,0.0,1664
0.25666433572769165,1746175177.8168547,14.779948234558105,11.902443885803223,370176.0,1.0,0.05878583714365959,240,0.7237067222595215,0.003318407339975238,0.0,146.328202223,241,0.0546875037252903,0.0,1680
0.2560606598854065,1746175190.1557004,15.375000953674316,11.902443885803223,411648.0,1.0,0.14052030444145203,267,0.39247268438339233,0.003318407339975238,0.0,158.666680758,268,0.0520833358168602,0.0,1896
0.2692590355873108,1746175191.9850366,14.055990219116211,11.902443885803223,417792.0,1.0,0.2833206057548523,271,0.4175928235054016,0.003318407339975238,0.0,160.496024233,272,0.0585937537252903,0.0,1928
0.2534683346748352,1746175195.638339,14.605469703674316,11.902443885803223,430080.0,1.0,0.277141809463501,279,0.4120330214500427,0.003318407339975238,0.0,164.149313205,280,0.0553385429084301,0.0,1992
0.25973016023635864,1746175200.6673565,14.791666984558105,11.902443885803223,446976.0,1.0,0.14118514955043793,290,0.5130785703659058,0.003318407339975238,0.0,169.178365645,291,0.0546875037252903,0.0,2080
0.3454664647579193,1746175216.7721384,15.581380844116211,18.57505226135254,500736.0,0.9999999403953552,0.04431621730327606,325,0.5268966555595398,0.5330591201782227,0.0,185.283147785,326,0.0507812537252903,0.009171506389975548,2360
0.33497875928878784,1746175223.617993,15.130208969116211,18.57505226135254,523776.0,0.9999999403953552,0.05515715107321739,340,0.5532107353210449,0.5330591201782227,0.0,192.12899063,341,0.0540364608168602,0.009171506389975548,2480
0.39849674701690674,1746175251.0327814,14.110026359558105,18.57505226135254,615936.0,0.9999999403953552,0.05068520829081535,400,0.6485356092453003,0.5330591201782227,0.0,219.543813011,401,0.0585937537252903,0.009171506389975548,2960
0.3684186637401581,1746175257.0337462,14.677083969116211,18.57505226135254,635904.0,0.9999999403953552,0.061828047037124634,413,0.6333091855049133,0.5330591201782227,0.0,225.544742906,414,0.0566406287252903,0.009171506389975548,3064
0.4149385094642639,1746175270.2814696,13.777344703674316,18.57505226135254,680448.0,0.9999999403953552,0.040591537952423096,442,0.6106924414634705,0.5330591201782227,0.0,238.792522187,443,0.0611979216337204,0.009171506389975548,3296
0.45410752296447754,1746175283.0688229,13.690104484558105,18.57505226135254,723456.0,0.9999999403953552,0.04996391013264656,470,0.6513747572898865,0.5330591201782227,0.0,251.579829983,471,0.0611979216337204,0.009171506389975548,3520
0.458629310131073,1746175290.8320138,13.581380844116211,18.57505226135254,749568.0,0.9999999403953552,0.049423523247241974,487,0.6586581468582153,0.5330591201782227,0.0,259.343015756,488,0.0625,0.009171506389975548,3656
0.474881649017334,1746175304.5365684,13.057291984558105,18.57505226135254,795648.0,0.9999999403953552,0.05019412934780121,517,0.7236404418945312,0.5330591201782227,0.0,273.047562875,518,0.0638020858168602,0.009171506389975548,3896
0.47910749912261963,1746175306.8197536,13.070963859558105,18.57505226135254,803328.0,0.9999999403953552,0.051092907786369324,522,0.706499457359314,0.5330591201782227,0.0,275.330756594,523,0.064453125,0.009171506389975548,3936
0.5085819363594055,1746175313.6704838,13.452474594116211,18.57505226135254,826368.0,0.9999999403953552,0.05558402091264725,537,0.7365297675132751,0.5330591201782227,0.0,282.181482957,538,0.0625,0.009171506389975548,4056
0.503491997718811,1746175317.3278475,13.387370109558105,18.57505226135254,838656.0,0.9999999403953552,0.05539099872112274,545,0.7743023633956909,0.5330591201782227,0.0,285.83887912,546,0.0625,0.009171506389975548,4120
0.5030066967010498,1746175318.700156,13.166016578674316,18.57505226135254,843264.0,0.9999999403953552,0.05574816092848778,548,0.7630304098129272,0.5330591201782227,0.0,287.211155067,549,0.064453125,0.009171506389975548,4144
0.5149503350257874,1746175320.9830348,13.236329078674316,18.57505226135254,850944.0,0.9999999403953552,0.0546000637114048,553,0.7713344693183899,0.5330591201782227,0.0,289.494089937,554,0.0631510466337204,0.009171506389975548,4184
0.5410630702972412,1746175327.376789,13.656901359558105,18.57505226135254,872448.0,0.9999999403953552,0.05408931151032448,567,0.7771837711334229,0.5330591201782227,0.0,295.887782901,568,0.0618489608168602,0.009171506389975548,4296
0.5354048609733582,1746175331.4867477,13.696615219116211,18.57505226135254,886272.0,0.9999999403953552,0.05188331380486488,576,0.7748867273330688,0.5330591201782227,0.0,299.997767033,577,0.0605468787252903,0.009171506389975548,4368
0.5392637252807617,1746175332.4018729,13.584635734558105,18.57505226135254,889344.0,0.9999999403953552,0.05420074611902237,578,0.78685462474823,0.5330591201782227,0.0,300.91290137,579,0.0611979216337204,0.009171506389975548,4384
0.5565696954727173,1746175333.7712498,13.490235328674316,18.57505226135254,893952.0,0.9999999403953552,0.05771324411034584,581,0.8071074485778809,0.5330591201782227,0.0,302.282227405,582,0.0625,0.009171506389975548,4408
0.5533381700515747,1746175337.8793094,14.005208969116211,18.57505226135254,907776.0,0.9999999403953552,0.055934250354766846,590,0.8281699419021606,0.5330591201782227,0.0,306.390306729,591,0.0605468787252903,0.009171506389975548,4480
0.57888263463974,1746175344.7321315,13.692057609558105,18.57505226135254,930816.0,0.9999999403953552,0.05354529991745949,605,0.8488975167274475,0.5330591201782227,0.009765625931322575,313.243143826,606,0.0611979216337204,0.009171506389975548,4600
0.5800190567970276,1746175350.6693926,13.773438453674316,18.57505226135254,950784.0,0.9999999403953552,0.054907094687223434,618,0.8557629585266113,0.5330591201782227,0.0,319.180420971,619,0.0605468787252903,0.009171506389975548,4704
0.606901228427887,1746175355.235942,13.932291984558105,18.57505226135254,966144.0,0.9999999403953552,0.06388656049966812,628,0.8659497499465942,0.5330591201782227,0.01106770895421505,323.74694675,629,0.0605468787252903,0.009171506389975548,4784
0.5957031846046448,1746175357.975588,13.659505844116211,18.57505226135254,975360.0,0.9999999403953552,0.06477179378271103,634,0.8872963786125183,0.5330591201782227,0.0,326.486582878,635,0.0618489608168602,0.009171506389975548,4832
0.6102036237716675,1746175360.258643,13.819662094116211,18.57505226135254,983040.0,0.9999999403953552,0.055604033172130585,639,0.846935510635376,0.5330591201782227,0.0,328.769638766,640,0.0592447929084301,0.009171506389975548,4872
0.642767608165741,1746175363.4607365,13.964844703674316,18.57505226135254,993792.0,0.9999999403953552,0.06512625515460968,646,0.8441464900970459,0.5330591201782227,0.0201822929084301,331.971742263,647,0.0605468787252903,0.009171506389975548,4928
0.6334636211395264,1746175367.6893737,14.433594703674316,16.373031616210938,1007616.0,1.0,0.07619690895080566,655,0.9180675148963928,0.7755213379859924,0.012369791977107525,336.200364807,656,0.0559895858168602,0.038718290627002716,5000
0.6101682186126709,1746175370.8854418,13.492188453674316,16.373031616210938,1018368.0,1.0,0.07998394966125488,662,0.9204572439193726,0.7755213379859924,0.010416666977107525,339.396449524,663,0.0618489608168602,0.038718290627002716,5056
0.5982837080955505,1746175372.2580636,13.598958969116211,16.373031616210938,1022976.0,1.0,0.05841009318828583,665,0.8892542123794556,0.7755213379859924,0.008463541977107525,340.769046753,666,0.0618489608168602,0.038718290627002716,5080
0.6174953579902649,1746175380.935593,13.671224594116211,16.373031616210938,1052160.0,1.0,0.08313988894224167,684,0.8893957734107971,0.7755213379859924,0.010416666977107525,349.44661303,685,0.0618489608168602,0.038718290627002716,5232
0.6378079056739807,1746175385.045742,13.932291984558105,16.373031616210938,1065984.0,1.0,0.09350478649139404,693,0.7429152727127075,0.7755213379859924,0.01953125186264515,353.556711574,694,0.0605468787252903,0.038718290627002716,5304
0.6538945436477661,1746175392.354081,14.834635734558105,16.373031616210938,1090560.0,1.0,0.08049124479293823,709,0.7335965633392334,0.7755213379859924,0.02734375186264515,360.865091175,710,0.0559895858168602,0.038718290627002716,5432
0.6475380063056946,1746175393.2674906,14.813151359558105,16.373031616210938,1093632.0,1.0,0.10983119904994965,711,0.718399167060852,0.7755213379859924,0.02278645895421505,361.778503245,712,0.0553385429084301,0.038718290627002716,5448
0.6801493167877197,1746175401.486946,14.503255844116211,16.373031616210938,1121280.0,1.0,0.10111874341964722,729,0.7961464524269104,0.7755213379859924,0.0436197929084301,369.997947192,730,0.0572916679084301,0.038718290627002716,5592
0.6295100450515747,1746175405.596772,14.721354484558105,16.373031616210938,1135104.0,1.0,0.09509667754173279,738,0.7604398131370544,0.7755213379859924,0.0221354179084301,374.10778308,739,0.0559895858168602,0.038718290627002716,5664
0.6605825424194336,1746175407.884309,14.085938453674316,16.373031616210938,1142784.0,1.0,0.1048729419708252,743,0.8351168632507324,0.7755213379859924,0.0319010429084301,376.395277285,744,0.0598958358168602,0.038718290627002716,5704
0.637062132358551,1746175419.3072805,13.633463859558105,16.373031616210938,1181184.0,1.0,0.15342898666858673,768,0.8510234951972961,0.7755213379859924,0.02083333395421505,387.818278493,769,0.0611979216337204,0.038718290627002716,5904
0.6282198429107666,1746175420.6770625,14.124349594116211,16.373031616210938,1185792.0,1.0,0.1106821745634079,771,0.8461669683456421,0.7755213379859924,0.009765625931322575,389.188045766,772,0.0585937537252903,0.038718290627002716,5928
0.6347421407699585,1746175421.590645,14.132813453674316,16.373031616210938,1188864.0,1.0,0.08866004645824432,773,0.8688650131225586,0.7755213379859924,0.0201822929084301,390.101648687,774,0.0579427108168602,0.038718290627002716,5944
0.6265152096748352,1746175425.7009554,14.130208969116211,16.373031616210938,1202688.0,1.0,0.2021351158618927,782,0.8515905141830444,0.7755213379859924,0.0,394.211930378,783,0.0592447929084301,0.038718290627002716,6016
0.6118372678756714,1746175427.9840066,13.480469703674316,16.373031616210938,1210368.0,1.0,0.2241578996181488,787,0.9049914479255676,0.7755213379859924,0.0013020833721384406,396.495014151,788,0.0625,0.038718290627002716,6056
0.6305753588676453,1746175434.8354342,14.198568344116211,16.373031616210938,1233408.0,1.0,0.13520994782447815,802,1.1744709014892578,0.7755213379859924,0.00911458395421505,403.346438466,803,0.0585937537252903,0.038718290627002716,6176
0.6343159079551697,1746175436.6618242,14.028646469116211,16.373031616210938,1239552.0,1.0,0.20244267582893372,806,1.053767204284668,0.7755213379859924,0.01692708395421505,405.172826183,807,0.0592447929084301,0.038718290627002716,6208
0.65010666847229,1746175447.1655476,13.948568344116211,16.373031616210938,1274880.0,1.0,0.14230963587760925,829,0.9702630639076233,0.7755213379859924,0.0201822929084301,415.676535715,830,0.0605468787252903,0.038718290627002716,6392
0.6549124717712402,1746175448.9919553,14.592448234558105,16.373031616210938,1281024.0,1.0,0.1294519007205963,833,1.0833241939544678,0.7755213379859924,0.0338541679084301,417.50295948,834,0.0566406287252903,0.038718290627002716,6424
0.6551966071128845,1746175451.7518866,14.410807609558105,16.373031616210938,1290240.0,1.0,0.10759446024894714,839,1.112790584564209,0.7755213379859924,0.01953125186264515,420.262895733,840,0.0572916679084301,0.038718290627002716,6472
0.6400095820426941,1746175453.5798693,15.180990219116211,16.373031616210938,1296384.0,1.0,0.11765468865633011,843,1.0993847846984863,0.7755213379859924,0.01106770895421505,422.090870878,844,0.0546875037252903,0.038718290627002716,6504
0.5694129467010498,1746175495.1440227,14.695963859558105,16.373031616210938,1436160.0,1.0,0.16465416550636292,934,1.1993980407714844,0.7755213379859924,0.009765625931322575,463.655051481,935,0.0527343787252903,0.038718290627002716,7232
0.6138140559196472,1746175495.6005623,14.632813453674316,16.373031616210938,1437696.0,1.0,0.1453687697649002,935,1.1613872051239014,0.7755213379859924,0.02864583395421505,464.111556905,936,0.0546875037252903,0.038718290627002716,7240
0.6311790943145752,1746175502.4558923,14.799479484558105,16.373031616210938,1460736.0,1.0,0.17454546689987183,950,1.0508763790130615,0.7755213379859924,0.0182291679084301,470.966903719,951,0.0553385429084301,0.038718290627002716,7360
0.6629499197006226,1746175503.8255475,14.875651359558105,16.373031616210938,1465344.0,1.0,0.1368710696697235,953,0.9327682256698608,0.7755213379859924,0.02148437686264515,472.336550809,954,0.0553385429084301,0.038718290627002716,7384
0.6626184582710266,1746175506.5645258,14.841146469116211,16.373031616210938,1474560.0,1.0,0.14458231627941132,959,0.8877811431884766,0.7755213379859924,0.03125,475.075516438,960,0.0540364608168602,0.038718290627002716,7432
0.6053622961044312,1746175513.9884174,14.223958969116211,16.504180908203125,1499136.0,1.0,0.12839266657829285,975,0.8925474286079407,0.7646614909172058,0.010416666977107525,482.499460129,976,0.0585937537252903,0.044780146330595016,7560
0.6020834445953369,1746175519.475157,14.085287094116211,16.504180908203125,1517568.0,1.0,0.16917790472507477,987,1.007880687713623,0.7646614909172058,0.010416666977107525,487.986171393,988,0.0618489608168602,0.044780146330595016,7656
0.6277108192443848,1746175520.8449848,14.666016578674316,16.504180908203125,1522176.0,1.0,0.15913277864456177,990,1.0727165937423706,0.7646614909172058,0.009765625931322575,489.355984316,991,0.0559895858168602,0.044780146330595016,7680
