qvals,returned_episode_returns,_timestamp,test_returned_episode_returns,loss,_step,update_steps,test_returned_episode,grad_steps,test_returned_won_episode,env_step,test_returned_episode_lengths,returned_episode_lengths,_runtime,returned_won_episode,returned_episode
0.0,0.11913713067770004,1746166057.5592575,0.19772277772426605,0.0,2,3,1.0,0,0.0,4608.0,43.40199661254883,30.53645896911621,57.715540776,0.0,0.0162760429084301
0.0,0.1207333505153656,1746166057.9485068,0.19772277772426605,0.0,8,9,1.0,0,0.0,13824.0,43.40199661254883,30.89974021911621,58.104721798,0.0,0.014322916977107525
0.0,0.11543901264667511,1746166058.2735138,0.19772277772426605,0.0,13,14,1.0,0,0.0,21504.0,43.40199661254883,31.721355438232422,58.429771394,0.0,0.01497395895421505
0.05284807085990906,0.1309223771095276,1746166062.2096553,0.19772277772426605,0.0022929972037672997,37,38,1.0,56,0.0,58368.0,43.40199661254883,31.54036521911621,62.365997811,0.0,0.01497395895421505
0.5227533578872681,0.11542779207229614,1746166070.2821,0.19772277772426605,0.0042625851929187775,57,58,1.0,216,0.0,89088.0,43.40199661254883,30.52083396911621,70.438625213,0.0,0.013671875
0.5965346097946167,0.15253876149654388,1746166075.5277896,0.19772277772426605,0.005173019133508205,70,71,1.0,320,0.0,109056.0,43.40199661254883,31.658855438232422,75.684200764,0.0,0.01497395895421505
0.6673142313957214,0.16072185337543488,1746166077.948181,0.19772277772426605,0.00723535381257534,76,77,1.0,368,0.0,118272.0,43.40199661254883,31.037761688232422,78.10454609,0.0,0.01497395895421505
0.7068962454795837,0.15344610810279846,1746166079.940812,0.19772277772426605,0.028881054371595383,81,82,1.0,408,0.0,125952.0,43.40199661254883,31.56380271911621,80.097202977,0.0,0.013671875
0.7059087753295898,0.16040949523448944,1746166081.5558033,0.19772277772426605,0.009727131575345993,85,86,1.0,440,0.0,132096.0,43.40199661254883,31.4296875,81.712201628,0.0,0.015625
0.6980595588684082,0.15754380822181702,1746166084.796289,0.19772277772426605,0.01550385169684887,93,94,1.0,504,0.0,144384.0,43.40199661254883,31.82421875,84.952775805,0.0,0.014322916977107525
0.7182702422142029,0.16925811767578125,1746166085.6138144,0.19772277772426605,0.011773524805903435,95,96,1.0,520,0.0,147456.0,43.40199661254883,31.86067771911621,85.770205927,0.0,0.01497395895421505
0.7287977933883667,0.14430326223373413,1746166087.607454,0.19772277772426605,0.01067017950117588,100,101,1.0,560,0.0,155136.0,43.40199661254883,31.041667938232422,87.763744077,0.0,0.013671875
0.6103149652481079,0.15946254134178162,1746166096.8783739,0.19772277772426605,0.043284133076667786,123,124,1.0,744,0.0,190464.0,43.40199661254883,30.373699188232422,97.034822181,0.0,0.012369791977107525
0.5982989072799683,0.1430889368057251,1746166099.6996129,0.19772277772426605,0.02114437147974968,130,131,1.0,800,0.0,201216.0,43.40199661254883,31.526042938232422,99.855932471,0.0,0.014322916977107525
0.6217445135116577,0.17975907027721405,1746166104.928565,0.19772277772426605,0.09942065179347992,143,144,1.0,904,0.0,221184.0,43.40199661254883,31.619792938232422,105.084925507,0.0,0.013671875
0.351729154586792,0.14285394549369812,1746166110.5467677,0.19772277772426605,0.043012216687202454,157,158,1.0,1016,0.0,242688.0,43.40199661254883,31.065105438232422,110.703088194,0.0,0.013671875
0.46542298793792725,0.15869037806987762,1746166113.741289,0.19772277772426605,0.1453152745962143,165,166,1.0,1080,0.0,254976.0,43.40199661254883,31.79296875,113.897671,0.0,0.015625
0.4843672513961792,0.17266806960105896,1746166125.8217978,0.19772277772426605,0.14056962728500366,195,196,1.0,1320,0.0,301056.0,43.40199661254883,31.98177146911621,125.97815697,0.0,0.012369791977107525
0.5701215863227844,0.22167626023292542,1746166143.2192416,0.19772277772426605,0.41800761222839355,238,239,1.0,1664,0.0,367104.0,43.40199661254883,31.86067771911621,143.375847426,0.0,0.01497395895421505
0.5722513198852539,0.21203026175498962,1746166146.4472845,0.19772277772426605,0.4188406467437744,246,247,1.0,1728,0.0,379392.0,43.40199661254883,32.12890625,146.603911114,0.0,0.01497395895421505
0.5800653100013733,0.2180037498474121,1746166152.075818,0.19772277772426605,0.40229207277297974,260,261,1.0,1840,0.0,400896.0,43.40199661254883,31.756511688232422,152.232196502,0.0,0.01497395895421505
0.5982996821403503,0.2427605837583542,1746166157.6860142,0.19772277772426605,0.4287404417991638,274,275,1.0,1952,0.0,422400.0,43.40199661254883,31.971355438232422,157.842383854,0.0,0.01497395895421505
0.6398010849952698,0.24153296649456024,1746166168.5480583,0.19772277772426605,0.42049622535705566,301,302,1.0,2168,0.0,463872.0,43.40199661254883,32.07421875,168.704423177,0.0,0.015625
0.6136525273323059,0.2507288157939911,1746166169.345288,0.19772277772426605,0.39361700415611267,303,304,1.0,2184,0.0,466944.0,43.40199661254883,32.109375,169.501628765,0.0,0.015625
0.6177191734313965,0.2374291867017746,1746166171.3472102,0.19772277772426605,0.400648295879364,308,309,1.0,2224,0.0,474624.0,43.40199661254883,32.11588668823242,171.503580722,0.0,0.01497395895421505
0.6206727623939514,0.2636253535747528,1746166171.750896,0.19772277772426605,0.3947073817253113,309,310,1.0,2232,0.0,476160.0,43.40199661254883,32.01823043823242,171.90729738,0.0,0.014322916977107525
0.6145617365837097,0.2274191826581955,1746166174.17029,0.19772277772426605,0.3991435468196869,315,316,1.0,2280,0.0,485376.0,43.40199661254883,31.955730438232422,174.326637191,0.0,0.014322916977107525
0.6177000999450684,0.23453335464000702,1746166176.5649152,0.19772277772426605,0.3629523515701294,321,322,1.0,2328,0.0,494592.0,43.40199661254883,31.975261688232422,176.721364429,0.0,0.015625
0.6141219735145569,0.22613930702209473,1746166183.890308,0.6772686243057251,0.3594193458557129,339,340,1.0,2472,0.0,522240.0,62.4501838684082,31.889324188232422,184.046655825,0.0,0.012369791977107525
0.5996090173721313,0.19190847873687744,1746166191.5616436,0.6772686243057251,0.3451527953147888,358,359,1.0,2624,0.0,551424.0,62.4501838684082,30.546875,191.718049865,0.0,0.01497395895421505
0.451546847820282,0.2376617193222046,1746166208.4331641,0.6772686243057251,0.11990074813365936,400,401,1.0,2960,0.0,615936.0,62.4501838684082,32.220054626464844,208.589586354,0.0,0.014322916977107525
0.4829776883125305,0.24424871802330017,1746166213.0152562,0.6772686243057251,0.11760808527469635,411,412,1.0,3048,0.0,632832.0,62.4501838684082,31.9296875,213.17167561,0.0,0.014322916977107525
0.46740201115608215,0.23774707317352295,1746166214.220659,0.6772686243057251,0.11651891469955444,414,415,1.0,3072,0.0,637440.0,62.4501838684082,31.658855438232422,214.377066862,0.0,0.01302083395421505
0.4307192862033844,0.1855839490890503,1746166223.081553,0.6772686243057251,0.10094621777534485,436,437,1.0,3248,0.0,671232.0,62.4501838684082,32.296875,223.238206012,0.0,0.014322916977107525
0.41093969345092773,0.1995031088590622,1746166228.278836,0.6772686243057251,0.09716300666332245,449,450,1.0,3352,0.0,691200.0,62.4501838684082,32.24869918823242,228.435224925,0.0,0.013671875
