returned_won_episode,returned_episode_lengths,update_steps,test_returned_episode_returns,_step,loss,returned_episode,qvals,test_returned_episode_lengths,_runtime,grad_steps,test_returned_won_episode,returned_episode_returns,env_step,test_returned_episode,_timestamp
0.0,15.601563453674316,19,0.019893718883395195,18,0.0,0.0520833358168602,0.0,15.724864959716797,56.290526666,0,0.0,0.12541234493255615,29184,1.0,1746176559.432402
0.0,15.975912094116211,21,0.019893718883395195,20,0.0,0.0481770858168602,0.0,15.724864959716797,56.415962738,0,0.0,0.12860244512557983,32256,1.0,1746176559.5577438
0.0,15.125651359558105,36,0.019893718883395195,35,0.02994304709136486,0.0514322929084301,-0.09769339859485626,15.724864959716797,58.697425041,40,0.0,0.1171875074505806,55296,1.0,1746176561.8392427
0.0,14.912110328674316,73,0.019893718883395195,72,0.07206815481185913,0.0546875037252903,0.6769599318504333,15.724864959716797,70.971369724,336,0.0,0.13524307310581207,112128,1.0,1746176574.1131997
0.0,15.227865219116211,83,0.019893718883395195,82,0.08200442790985107,0.0540364608168602,0.6780807971954346,15.724864959716797,74.28176556,416,0.0,0.14670142531394958,127488,1.0,1746176577.4236045
0.0,14.716146469116211,112,0.019893718883395195,111,0.07446923851966858,0.0566406287252903,0.6578497886657715,15.724864959716797,83.908687078,648,0.0,0.16252171993255615,172032,1.0,1746176587.0504344
0.0,14.505208969116211,145,0.019893718883395195,144,0.12764829397201538,0.0553385429084301,0.3631550669670105,15.724864959716797,94.884700979,912,0.0,0.174370676279068,222720,1.0,1746176598.026454
0.0,14.643880844116211,208,0.019893718883395195,207,0.09723540395498276,0.0566406287252903,0.28435343503952026,15.724864959716797,115.856246649,1416,0.0,0.19529083371162415,319488,1.0,1746176618.9980724
0.0,13.337891578674316,267,0.019893718883395195,266,0.06110231578350067,0.0625,0.3506520986557007,15.724864959716797,135.49448347,1888,0.0,0.2548177242279053,410112,1.0,1746176638.6363251
0.0,14.274088859558105,272,0.019893718883395195,271,0.06252799183130264,0.0572916679084301,0.3544902801513672,15.724864959716797,137.157169688,1928,0.0,0.2342665195465088,417792,1.0,1746176640.2988963
0.0,13.078125953674316,279,0.019893718883395195,278,0.06851709634065628,0.064453125,0.351146399974823,15.724864959716797,139.487336504,1984,0.0,0.26256513595581055,428544,1.0,1746176642.6291533
0.0,13.053385734558105,296,0.019893718883395195,295,0.06692591309547424,0.0651041716337204,0.3676414489746094,15.724864959716797,145.152943457,2120,0.0,0.24917536973953247,454656,1.0,1746176648.2946289
0.0,13.017579078674316,351,0.5787945985794067,350,0.0549904890358448,0.0651041716337204,0.2702963352203369,12.629941940307617,163.535098505,2560,0.0008027292788028717,0.2796441316604614,539136,1.0,1746176666.6769264
0.0,13.440104484558105,376,0.5787945985794067,375,0.05198405310511589,0.0611979216337204,0.27609241008758545,12.629941940307617,171.832236214,2760,0.0008027292788028717,0.32361114025115967,577536,1.0,1746176674.9740217
0.0,13.551432609558105,379,0.5787945985794067,378,0.053094252943992615,0.0631510466337204,0.28396910429000854,12.629941940307617,172.826394336,2784,0.0008027292788028717,0.31612417101860046,582144,1.0,1746176675.9681842
0.0,12.799479484558105,382,0.5787945985794067,381,0.05482219532132149,0.06640625,0.29672667384147644,12.629941940307617,173.820103796,2808,0.0008027292788028717,0.3479818105697632,586752,1.0,1746176676.9618902
0.0,12.705079078674316,391,0.5787945985794067,390,0.13049191236495972,0.06640625,0.2793390452861786,12.629941940307617,176.80428564300001,2880,0.0008027292788028717,0.34129780530929565,600576,1.0,1746176679.9460618
0.0,12.919271469116211,398,0.5787945985794067,397,0.07034726440906525,0.0670572966337204,0.22259336709976196,12.629941940307617,179.14953732,2936,0.0008027292788028717,0.327604204416275,611328,1.0,1746176682.2913754
0.0,12.096354484558105,405,0.5787945985794067,404,0.0661730095744133,0.0722656324505806,0.1892201155424118,12.629941940307617,181.462075587,2992,0.0008027292788028717,0.3377821743488312,622080,1.0,1746176684.6038015
0.0,13.059896469116211,426,0.5787945985794067,425,0.041606418788433075,0.0638020858168602,0.23311269283294678,12.629941940307617,188.626904523,3160,0.0008027292788028717,0.36727437376976013,654336,1.0,1746176691.768708
0.0,12.607422828674316,432,0.5787945985794067,431,0.046975377947092056,0.0690104216337204,0.24194595217704773,12.629941940307617,190.615570442,3208,0.0008027292788028717,0.35627177357673645,663552,1.0,1746176693.757426
