loss,returned_episode_lengths,returned_won_episode,update_steps,_step,returned_episode,test_returned_episode_returns,test_returned_episode,_runtime,grad_steps,qvals,test_returned_won_episode,returned_episode_returns,env_step,test_returned_episode_lengths,_timestamp
0.0,31.14192771911621,0.0,9,8,0.013671875,0.14507567882537842,1.0,58.660897339,0,0.0,0.0,0.1197742223739624,13824,26.090545654296875,1746157949.9015458
0.0,30.822917938232422,0.0,12,11,0.01497395895421505,0.14507567882537842,1.0,58.855348958,0,0.0,0.0,0.11350937932729721,18432,26.090545654296875,1746157950.095995
0.0,30.893230438232422,0.0,25,24,0.01497395895421505,0.14507567882537842,1.0,59.713394999,0,0.0,0.0,0.12403027713298798,38400,26.090545654296875,1746157950.9540632
0.003910037223249674,31.84375,0.0,44,43,0.01497395895421505,0.14507567882537842,1.0,65.348964263,104,0.3331201672554016,0.0,0.11742189526557922,67584,26.090545654296875,1746157956.5894346
0.003235681913793087,29.623699188232422,0.0,48,47,0.014322916977107525,0.14507567882537842,1.0,66.976429875,136,0.3621161878108978,0.0,0.1212308257818222,73728,26.090545654296875,1746157958.216839
0.004459677264094353,31.5546875,0.0,61,60,0.01497395895421505,0.14507567882537842,1.0,72.225272892,240,0.5023819208145142,0.0,0.14660432934761047,93696,26.090545654296875,1746157963.4657066
0.005792014300823212,30.694011688232422,0.0,69,68,0.01497395895421505,0.14507567882537842,1.0,75.455443261,304,0.5941307544708252,0.0,0.14261171221733093,105984,26.090545654296875,1746157966.6960168
0.02456239052116871,31.85286521911621,0.0,72,71,0.01497395895421505,0.14507567882537842,1.0,76.663948839,328,0.6229180693626404,0.0,0.1488664597272873,110592,26.090545654296875,1746157967.9044638
0.007959430105984211,31.319011688232422,0.0,75,74,0.014322916977107525,0.14507567882537842,1.0,77.893748003,352,0.6256392002105713,0.0,0.15305984020233154,115200,26.090545654296875,1746157969.1339977
0.011577500030398369,30.90364646911621,0.0,97,96,0.014322916977107525,0.14507567882537842,1.0,86.791799418,528,0.7069696187973022,0.0,0.1519017070531845,148992,26.090545654296875,1746157978.0322826
0.03693803399801254,30.822917938232422,0.0,103,102,0.013671875,0.14507567882537842,1.0,89.189821402,576,0.8093365430831909,0.0,0.16401225328445435,158208,26.090545654296875,1746157980.4304025
0.014766418375074863,31.479167938232422,0.0,107,106,0.01497395895421505,0.14507567882537842,1.0,90.80632488,608,0.8214263916015625,0.0,0.1663369983434677,164352,26.090545654296875,1746157982.0465488
0.013581170700490475,31.885417938232422,0.0,110,109,0.013671875,0.14507567882537842,1.0,92.033881609,632,0.8057266473770142,0.0,0.16631346940994263,168960,26.090545654296875,1746157983.2743502
0.05229181796312332,30.998699188232422,0.0,122,121,0.014322916977107525,0.14507567882537842,1.0,96.862213716,728,0.8235065937042236,0.0,0.16132181882858276,187392,26.090545654296875,1746157988.1027217
0.034983474761247635,32.05859375,0.0,130,129,0.013671875,0.14507567882537842,1.0,100.085304009,792,0.912260115146637,0.0,0.1879107803106308,199680,26.090545654296875,1746157991.3257916
0.03752552717924118,31.68489646911621,0.0,150,149,0.013671875,0.14507567882537842,1.0,108.15815649,952,0.9369591474533081,0.0,0.19219422340393066,230400,26.090545654296875,1746157999.3986876
0.028737133368849754,31.84375,0.0,168,167,0.014322916977107525,0.14507567882537842,1.0,115.391957303,1096,0.9708064198493958,0.0,0.17846551537513733,258048,26.090545654296875,1746158006.6325495
0.05801840126514435,31.79817771911621,0.0,181,180,0.013671875,0.14507567882537842,1.0,120.668423352,1200,0.6028196811676025,0.0,0.20227184891700745,278016,26.090545654296875,1746158011.9088771
0.1340179443359375,31.608074188232422,0.0,186,185,0.014322916977107525,0.14507567882537842,1.0,122.713879419,1240,0.6801948547363281,0.0,0.20468303561210632,285696,26.090545654296875,1746158013.954251
0.09983837604522705,30.99739646911621,0.0,200,199,0.01302083395421505,0.14507567882537842,1.0,128.348521524,1352,0.4849316477775574,0.0,0.18298301100730896,307200,26.090545654296875,1746158019.589008
0.2622986435890198,31.944011688232422,0.0,242,241,0.014322916977107525,0.14507567882537842,1.0,145.268244024,1688,0.48619720339775085,0.0,0.2157478779554367,371712,26.090545654296875,1746158036.5086827
0.102778360247612,32.06119918823242,0.0,258,257,0.014322916977107525,0.14507567882537842,1.0,151.696778106,1816,0.49424248933792114,0.0,0.22007712721824646,396288,26.090545654296875,1746158042.9372041
0.16698293387889862,32.1171875,0.0,270,269,0.014322916977107525,0.14507567882537842,1.0,156.525385217,1912,0.46304917335510254,0.0,0.23969027400016785,414720,26.090545654296875,1746158047.7659607
