returned_episode_returns,returned_won_episode,returned_episode_lengths,update_steps,env_step,test_returned_episode_lengths,loss,test_returned_episode_returns,test_returned_won_episode,_runtime,grad_steps,qvals,test_returned_episode,_timestamp,returned_episode,_step
0.1410866528749466,0.0,17.33333396911621,29,44544.0,14.03003215789795,0.0,0.10372847318649292,0.0,50.471918651,0,0.0,1.0,1746184139.3192484,0.0442708358168602,28
0.15974195301532745,0.0,17.447917938232422,45,69120.0,14.03003215789795,0.020629066973924637,0.10372847318649292,0.0,57.011072323,112,0.21260622143745422,1.0,1746184145.858375,0.0442708358168602,44
0.16410987079143524,0.0,17.833984375,51,78336.0,14.03003215789795,0.017736364156007767,0.10372847318649292,0.0,59.750780648,160,0.2192504107952118,1.0,1746184148.5980535,0.0442708358168602,50
0.16126897931098938,0.0,17.73177146911621,55,84480.0,14.03003215789795,0.0253896526992321,0.10372847318649292,0.0,61.581487978,192,0.3821611702442169,1.0,1746184150.4287736,0.0436197929084301,54
0.16727037727832794,0.0,17.246746063232422,63,96768.0,14.03003215789795,0.0559106320142746,0.10372847318649292,0.0,65.236378063,256,0.3844018578529358,1.0,1746184154.083651,0.0462239608168602,62
0.16335231065750122,0.0,17.238933563232422,75,115200.0,14.03003215789795,0.05672410875558853,0.10372847318649292,0.0,70.721020098,352,0.3425469398498535,1.0,1746184159.5683205,0.0462239608168602,74
0.17230115830898285,0.0,17.129558563232422,94,144384.0,14.03003215789795,0.07049868255853653,0.10372847318649292,0.0,79.394743776,504,0.30745095014572144,1.0,1746184168.2420478,0.0455729179084301,93
0.1656605303287506,0.0,16.56966209411621,123,188928.0,14.03003215789795,0.12734034657478333,0.10372847318649292,0.0,92.638326134,736,0.24967047572135925,1.0,1746184181.4856288,0.0468750037252903,122
0.1633167713880539,0.0,17.08138084411621,133,204288.0,14.03003215789795,0.05987019091844559,0.10372847318649292,0.0,97.205256885,816,0.28402650356292725,1.0,1746184186.0525396,0.0449218787252903,132
0.16904595494270325,0.0,17.168621063232422,136,208896.0,14.03003215789795,0.07233944535255432,0.10372847318649292,0.0,98.574388476,840,0.28310078382492065,1.0,1746184187.4216702,0.0455729179084301,135
0.1812855303287506,0.0,16.873046875,160,245760.0,14.03003215789795,0.06554977595806122,0.10372847318649292,0.0,109.535256378,1032,0.27077746391296387,1.0,1746184198.3825479,0.0462239608168602,159
0.20196498930454254,0.0,16.088542938232422,183,281088.0,14.03003215789795,0.08431600779294968,0.10372847318649292,0.0,120.0378201,1216,0.23191261291503906,1.0,1746184208.8851104,0.0481770858168602,182
0.1895478516817093,0.0,16.938152313232422,187,287232.0,14.03003215789795,0.09478895366191864,0.10372847318649292,0.0,121.866591094,1248,0.2312624454498291,1.0,1746184210.713888,0.0449218787252903,186
0.20621450245380402,0.0,16.121746063232422,189,290304.0,14.03003215789795,0.08229256421327591,0.10372847318649292,0.0,122.779649429,1264,0.22938445210456848,1.0,1746184211.626914,0.0501302108168602,188
0.20033146440982819,0.0,16.64974021911621,194,297984.0,14.03003215789795,0.06484462320804596,0.10372847318649292,0.0,125.072131526,1304,0.2195677012205124,1.0,1746184213.9194431,0.0462239608168602,193
0.20119556784629822,0.0,16.9375,196,301056.0,14.03003215789795,0.06135416403412819,0.10372847318649292,0.0,125.984878973,1320,0.2352028489112854,1.0,1746184214.8321803,0.0462239608168602,195
0.20093517005443573,0.0,17.18359375,198,304128.0,14.03003215789795,0.05854826420545578,0.10372847318649292,0.0,126.897643052,1336,0.22532224655151367,1.0,1746184215.74495,0.0449218787252903,197
