returned_episode_lengths,returned_episode_returns,returned_won_episode,update_steps,test_returned_episode,_step,test_returned_episode_returns,loss,returned_episode,grad_steps,_runtime,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,_timestamp
26.668621063232422,0.22570040822029114,0.0,29,0.9999999403953552,28,0.09451650083065033,0.0,0.02278645895421505,0,70.516078231,29.840871810913086,0.0,44544,0.0,1747623212.1048613
24.817058563232422,0.23284579813480377,0.0,45,0.9999999403953552,44,0.09451650083065033,0.017708349972963333,0.0260416679084301,112,76.818020723,29.840871810913086,0.40217846632003784,69120,0.0,1747623218.4066987
25.853517532348633,0.2597738802433014,0.0,51,0.9999999403953552,50,0.09451650083065033,0.01293725986033678,0.0240885429084301,160,79.479253136,29.840871810913086,0.27086159586906433,78336,0.0,1747623221.067866
25.658855438232422,0.24845051765441895,0.0,55,0.9999999403953552,54,0.09451650083065033,0.026083707809448242,0.0240885429084301,192,81.250307408,29.840871810913086,0.37062782049179077,84480,0.0,1747623222.8389845
26.168621063232422,0.2270231693983078,0.0,63,0.9999999403953552,62,0.09451650083065033,0.05853014066815376,0.02278645895421505,256,84.787274253,29.840871810913086,0.4759521782398224,96768,0.0,1747623226.376001
26.479167938232422,0.26867547631263733,0.0,75,0.9999999403953552,74,0.09451650083065033,0.05360964313149452,0.0221354179084301,352,90.091441224,29.840871810913086,0.6037912368774414,115200,0.0,1747623231.6801176
26.533855438232422,0.27633246779441833,0.0,94,0.9999999403953552,93,0.09451650083065033,0.09286607056856155,0.0240885429084301,504,98.508544539,29.840871810913086,0.6616414189338684,144384,0.0,1747623240.0972605
25.207033157348633,0.27965375781059265,0.0,123,0.9999999403953552,122,0.09451650083065033,0.12624520063400269,0.02473958395421505,736,111.380565458,29.840871810913086,0.6807294487953186,188928,0.0,1747623252.9692545
27.205080032348633,0.27821090817451477,0.0,133,0.9999999403953552,132,0.09451650083065033,0.11097794771194458,0.02278645895421505,816,115.828834075,29.840871810913086,0.7130514979362488,204288,0.0,1747623257.4173498
25.912111282348633,0.274848073720932,0.0,136,0.9999999403953552,135,0.09451650083065033,0.10002970695495605,0.02148437686264515,840,117.156460221,29.840871810913086,0.7438005208969116,208896,0.0,1747623258.74512
25.746095657348633,0.2748272120952606,0.0,160,0.9999999403953552,159,0.09451650083065033,0.11288662254810333,0.0221354179084301,1032,127.857264334,29.840871810913086,0.7989825010299683,245760,0.0,1747623269.4458883
