update_steps,returned_episode_lengths,returned_won_episode,test_returned_episode,test_returned_episode_returns,_step,loss,test_returned_won_episode,returned_episode,_runtime,grad_steps,test_returned_episode_lengths,returned_episode_returns,qvals,env_step,_timestamp
7,25.080080032348633,0.0,1.0,0.22306858003139496,6,0.0,0.0,0.02343750186264515,54.58496034,0,28.6179256439209,0.2114410251379013,0.0,10752,1747629262.8452592
26,26.12434959411621,0.0,1.0,0.22306858003139496,25,0.0,0.0,0.0240885429084301,55.743616078,0,28.6179256439209,0.2134506106376648,0.0,39936,1747629264.0039139
49,24.746095657348633,0.0,1.0,0.22306858003139496,48,0.029887573793530464,0.0,0.02669270895421505,61.862293799,144,28.6179256439209,0.2224995344877243,0.04106387495994568,75264,1747629270.1225588
57,24.44075584411621,0.0,1.0,0.22306858003139496,56,0.046257514506578445,0.0,0.0260416679084301,64.445611385,208,28.6179256439209,0.2541211247444153,0.3783186674118042,87552,1747629272.7058637
66,24.592449188232422,0.0,1.0,0.22306858003139496,65,0.05955614149570465,0.0,0.02343750186264515,67.349793085,280,28.6179256439209,0.2500150203704834,0.6198379993438721,101376,1747629275.6100843
81,24.332683563232422,0.0,1.0,0.22306858003139496,80,0.07727845758199692,0.0,0.02539062686264515,72.195917748,400,28.6179256439209,0.2422335147857666,0.7438786029815674,124416,1747629280.4561787
84,26.17122459411621,0.0,1.0,0.22306858003139496,83,0.1069086492061615,0.0,0.02278645895421505,73.165590223,424,28.6179256439209,0.2715980112552643,0.7696065902709961,129024,1747629281.4258327
93,24.79231834411621,0.0,1.0,0.22306858003139496,92,0.15004822611808777,0.0,0.02539062686264515,76.080611979,496,28.6179256439209,0.2982185482978821,0.8205244541168213,142848,1747629284.3407352
98,24.785158157348633,0.0,1.0,0.22306858003139496,97,0.11214328557252884,0.0,0.02473958395421505,77.695973248,536,28.6179256439209,0.2912553548812866,0.8065900802612305,150528,1747629285.956227
106,23.789714813232422,0.0,1.0,0.22306858003139496,105,0.13370758295059204,0.0,0.02669270895421505,80.281352951,600,28.6179256439209,0.30200594663619995,0.7799665927886963,162816,1747629288.5416305
107,24.74739646911621,0.0,1.0,0.22306858003139496,106,0.12864604592323303,0.0,0.0260416679084301,80.602133628,608,28.6179256439209,0.31540200114250183,0.7852594256401062,164352,1747629288.862415
116,25.51106834411621,0.0,1.0,0.22306858003139496,115,0.14140206575393677,0.0,0.0240885429084301,83.518727432,680,28.6179256439209,0.3083782494068146,0.732527494430542,178176,1747629291.7790146
128,25.617189407348633,0.0,1.0,0.22306858003139496,127,0.13498085737228394,0.0,0.0240885429084301,87.399490412,776,28.6179256439209,0.29203692078590393,0.7279163599014282,196608,1747629295.659756
173,26.339845657348633,0.0,1.0,0.22306858003139496,172,0.16064542531967163,0.0,0.0240885429084301,102.015762185,1136,28.6179256439209,0.32867443561553955,0.7506310939788818,265728,1747629310.276004
190,24.656251907348633,0.0,1.0,0.22306858003139496,189,0.13509029150009155,0.0,0.02539062686264515,107.529552499,1272,28.6179256439209,0.30048996210098267,0.7443432211875916,291840,1747629315.7897944
207,25.344402313232422,0.0,1.0,0.22306858003139496,206,0.13033851981163025,0.0,0.02539062686264515,113.067999877,1408,28.6179256439209,0.31233325600624084,0.7596797943115234,317952,1747629321.328162
227,23.80403709411621,0.0,1.0,0.22306858003139496,226,0.12748241424560547,0.0,0.02473958395421505,119.581127091,1568,28.6179256439209,0.31746986508369446,0.752598762512207,348672,1747629327.841354
228,25.412761688232422,0.0,1.0,0.22306858003139496,227,0.11433480679988861,0.0,0.02473958395421505,119.908050443,1576,28.6179256439209,0.33874642848968506,0.7578218579292297,350208,1747629328.1682992
266,25.441408157348633,0.0,1.0,0.22306858003139496,265,0.11729877442121506,0.0,0.02343750186264515,132.330683976,1880,28.6179256439209,0.32345327734947205,0.7650887370109558,408576,1747629340.5908842
278,25.394533157348633,0.0,1.0,0.22306858003139496,277,0.11812370270490646,0.0,0.0240885429084301,136.274059676,1976,28.6179256439209,0.34572795033454895,0.7808676958084106,427008,1747629344.534183
296,25.13020896911621,0.0,1.0,0.22306858003139496,295,0.10638424754142761,0.0,0.02539062686264515,142.171182093,2120,28.6179256439209,0.3957417905330658,0.7490706443786621,454656,1747629350.4313731
337,24.451824188232422,0.0,1.0,0.8184276223182678,336,0.09829294681549072,0.10840708017349243,0.02539062686264515,155.648411423,2448,40.228614807128906,0.3879770040512085,0.7157487273216248,517632,1747629363.9085734
367,24.515626907348633,0.0,1.0,0.8184276223182678,366,0.09905100613832474,0.10840708017349243,0.02083333395421505,165.444627296,2688,40.228614807128906,0.35201895236968994,0.6881733536720276,563712,1747629373.7048547
368,25.649089813232422,0.0,1.0,0.8184276223182678,367,0.11212258040904999,0.10840708017349243,0.02343750186264515,165.76670411999999,2696,40.228614807128906,0.38894110918045044,0.6941675543785095,565248,1747629374.026923
370,28.205080032348633,0.0,1.0,0.8184276223182678,369,0.09556201100349426,0.10840708017349243,0.02148437686264515,166.431312784,2712,40.228614807128906,0.4132453501224518,0.6939566135406494,568320,1747629374.6915598
381,26.666667938232422,0.0,1.0,0.8184276223182678,380,0.08458920568227768,0.10840708017349243,0.02343750186264515,170.01891266,2800,40.228614807128906,0.409155935049057,0.6788179874420166,585216,1747629378.278969
384,24.544923782348633,0.0,1.0,0.8184276223182678,383,0.08203212171792984,0.10840708017349243,0.0240885429084301,170.993322991,2824,40.228614807128906,0.38989362120628357,0.7028316855430603,589824,1747629379.2535622
386,24.289064407348633,0.0,1.0,0.8184276223182678,385,0.09081199765205383,0.10840708017349243,0.02473958395421505,171.652243389,2840,40.228614807128906,0.4158231317996979,0.6930223703384399,592896,1747629379.9124653
399,25.539064407348633,0.0,1.0,0.8184276223182678,398,0.08539050817489624,0.10840708017349243,0.02083333395421505,175.906948069,2944,40.228614807128906,0.40042346715927124,0.691879391670227,612864,1747629384.1672063
410,24.906251907348633,0.0,1.0,0.8184276223182678,409,0.09347715973854065,0.10840708017349243,0.02473958395421505,179.514121267,3032,40.228614807128906,0.41879701614379883,0.7094099521636963,629760,1747629387.7743647
458,24.445314407348633,0.0,1.0,0.8184276223182678,457,0.0873141661286354,0.10840708017349243,0.02278645895421505,195.326754908,3416,40.228614807128906,0.4369650185108185,0.6824637651443481,703488,1747629403.5868764
461,26.049480438232422,0.0,1.0,0.8184276223182678,460,0.10100902616977692,0.10840708017349243,0.02473958395421505,196.297010799,3440,40.228614807128906,0.4629238247871399,0.6788986921310425,708096,1747629404.5572267
