returned_episode_lengths,returned_won_episode,update_steps,qvals,_step,test_returned_episode_returns,returned_episode_returns,loss,test_returned_episode,returned_episode,_runtime,test_returned_episode_lengths,grad_steps,test_returned_won_episode,env_step,_timestamp
26.154949188232422,0.0,5,0.0,4,0.09822581708431244,0.22584553062915802,0.0,0.9999999403953552,0.02343750186264515,60.181735244,23.494115829467773,0,0.0,7680,1747618244.902121
24.740236282348633,0.0,16,0.0,15,0.09822581708431244,0.2030174434185028,0.0,0.9999999403953552,0.02539062686264515,60.855256013,23.494115829467773,0,0.0,24576,1747618245.5756886
25.664064407348633,0.0,19,0.0,18,0.09822581708431244,0.20087507367134094,0.0,0.9999999403953552,0.02343750186264515,61.041606222,23.494115829467773,0,0.0,29184,1747618245.7619767
25.322267532348633,0.0,33,-0.0017349140252918005,32,0.09822581708431244,0.21941174566745758,0.04623745381832123,0.9999999403953552,0.0240885429084301,62.425664406,23.494115829467773,16,0.0,50688,1747618247.1459696
24.679689407348633,0.0,43,0.23791584372520447,42,0.09822581708431244,0.22498808801174164,0.03404197096824646,0.9999999403953552,0.02669270895421505,65.656558686,23.494115829467773,96,0.0,66048,1747618250.3769
22.55403709411621,0.0,49,0.111271433532238,48,0.09822581708431244,0.20057688653469086,0.01939239166676998,0.9999999403953552,0.02669270895421505,67.59634573,23.494115829467773,144,0.0,75264,1747618252.3166769
26.15169334411621,0.0,50,0.11815646290779114,49,0.09822581708431244,0.2361067533493042,0.019904185086488724,0.9999999403953552,0.0240885429084301,67.921161887,23.494115829467773,152,0.0,76800,1747618252.6414766
23.94661521911621,0.0,81,0.5610585808753967,80,0.09822581708431244,0.2894606292247772,0.08271379768848419,0.9999999403953552,0.0279947929084301,77.983597849,23.494115829467773,400,0.0,124416,1747618262.7039049
25.39192771911621,0.0,86,0.5771166682243347,85,0.09822581708431244,0.24054554104804993,0.10834094882011414,0.9999999403953552,0.02343750186264515,79.607647486,23.494115829467773,440,0.0,132096,1747618264.3279343
24.565105438232422,0.0,88,0.5965232849121094,87,0.09822581708431244,0.26387983560562134,0.09941940009593964,0.9999999403953552,0.02539062686264515,80.251837748,23.494115829467773,456,0.0,135168,1747618264.972107
25.91341209411621,0.0,97,0.6095349788665771,96,0.09822581708431244,0.29051855206489563,0.12629461288452148,0.9999999403953552,0.02473958395421505,83.160791201,23.494115829467773,528,0.0,148992,1747618267.8811035
25.36458396911621,0.0,100,0.6073615550994873,99,0.09822581708431244,0.28346818685531616,0.11117340624332428,0.9999999403953552,0.02539062686264515,84.135172196,23.494115829467773,552,0.0,153600,1747618268.8554397
24.049480438232422,0.0,101,0.6136398315429688,100,0.09822581708431244,0.2709575891494751,0.11472953110933304,0.9999999403953552,0.02539062686264515,84.459966072,23.494115829467773,560,0.0,155136,1747618269.1802993
24.89583396911621,0.0,103,0.6027964353561401,102,0.09822581708431244,0.3200422525405884,0.18483027815818787,0.9999999403953552,0.02539062686264515,85.110079829,23.494115829467773,576,0.0,158208,1747618269.8301942
25.34895896911621,0.0,123,0.5714796781539917,122,0.09822581708431244,0.28958553075790405,0.22657743096351624,0.9999999403953552,0.02473958395421505,91.614662947,23.494115829467773,736,0.0,188928,1747618276.334996
25.191408157348633,0.0,147,0.6070235967636108,146,0.09822581708431244,0.29037147760391235,0.16781669855117798,0.9999999403953552,0.02473958395421505,99.402766447,23.494115829467773,928,0.0,225792,1747618284.123108
23.64388084411621,0.0,156,0.6099525690078735,155,0.09822581708431244,0.30197378993034363,0.1495683640241623,0.9999999403953552,0.02539062686264515,102.326050967,23.494115829467773,1000,0.0,239616,1747618287.046325
