qvals,test_returned_episode,_runtime,loss,grad_steps,update_steps,test_returned_won_episode,returned_won_episode,returned_episode,env_step,returned_episode_returns,test_returned_episode_lengths,returned_episode_lengths,test_returned_episode_returns,_step,_timestamp
0.15532246232032776,1.0,91.809373642,0.05924356356263161,96,43,0.0,0.0,0.02278645895421505,66048.0,0.16895121335983276,20.297792434692383,24.812501907348633,0.06951837241649628,42,1746196524.5835216
0.2406349778175354,1.0,109.044144151,0.20631185173988342,504,94,0.0,0.0,0.02473958395421505,144384.0,0.22398237884044647,20.297792434692383,24.785808563232422,0.06951837241649628,93,1746196541.8183033
0.2367686927318573,1.0,109.379893933,0.2000492811203003,512,95,0.0,0.0,0.02278645895421505,145920.0,0.22379781305789948,20.297792434692383,24.346355438232422,0.06951837241649628,94,1746196542.154027
0.21687421202659607,1.0,116.782337083,0.33446937799453735,688,117,0.0,0.0,0.02343750186264515,179712.0,0.22916142642498016,20.297792434692383,24.97200584411621,0.06951837241649628,116,1746196549.556388
0.24038714170455933,1.0,133.315314271,0.7013376951217651,1080,166,0.0,0.0,0.02278645895421505,254976.0,0.26546308398246765,20.297792434692383,25.75325584411621,0.06951837241649628,165,1746196566.089473
0.23659372329711914,1.0,135.343156302,0.5918015241622925,1128,172,0.0,0.0,0.02669270895421505,264192.0,0.22138182818889618,20.297792434692383,24.324871063232422,0.06951837241649628,171,1746196568.1173074
0.24761201441287994,1.0,135.679333432,0.7315841913223267,1136,173,0.0,0.0,0.0221354179084301,265728.0,0.2572018802165985,20.297792434692383,27.145183563232422,0.06951837241649628,172,1746196568.4534926
0.28146642446517944,1.0,146.474230664,0.5879604816436768,1392,205,0.0,0.0,0.0221354179084301,314880.0,0.25452038645744324,20.297792434692383,26.82552146911621,0.06951837241649628,204,1746196579.2483969
0.26701152324676514,1.0,149.854679433,0.7665072679519653,1472,215,0.0,0.0,0.02343750186264515,330240.0,0.2856336832046509,20.297792434692383,23.865236282348633,0.06951837241649628,214,1746196582.6288195
0.2617294490337372,1.0,151.20044769,0.6414182186126709,1504,219,0.0,0.02343750186264515,0.02278645895421505,336384.0,0.29464370012283325,20.297792434692383,26.110027313232422,0.06951837241649628,218,1746196583.9746265
0.23803237080574036,1.0,157.264341091,0.4102180600166321,1648,237,0.0,0.0,0.02343750186264515,364032.0,0.24431608617305756,20.297792434692383,25.688152313232422,0.06951837241649628,236,1746196590.0385163
0.23838236927986145,1.0,175.139185258,0.6676791906356812,2072,290,0.0,0.0,0.01953125186264515,445440.0,0.2952196002006531,20.297792434692383,27.21224021911621,0.06951837241649628,289,1746196607.9133031
