returned_episode_lengths,returned_won_episode,loss,update_steps,_step,test_returned_episode_returns,env_step,test_returned_episode_lengths,returned_episode,_runtime,grad_steps,qvals,test_returned_won_episode,returned_episode_returns,test_returned_episode,_timestamp
30.664064407348633,0.0,0.0,7,6,6.284367373154964e-06,10752,12.323841094970703,0.014322916977107525,78.745494481,0,0.0,0.0,0.1309497207403183,0.9999999403953552,1746155224.3617523
30.968751907348633,0.0,0.0,26,25,6.284367373154964e-06,39936,12.323841094970703,0.01497395895421505,79.922265657,0,0.0,0.0,0.12366022169589996,0.9999999403953552,1746155225.5382206
29.029949188232422,0.0,0.005704927258193493,49,48,6.284367373154964e-06,75264,12.323841094970703,0.01302083395421505,86.211641442,144,0.3654128313064575,0.0,0.1444605588912964,0.9999999403953552,1746155231.827867
30.485679626464844,0.0,0.007826953195035458,57,56,6.284367373154964e-06,87552,12.323841094970703,0.013671875931322575,88.868736224,208,0.5565176010131836,0.0,0.134530171751976,0.9999999403953552,1746155234.484957
30.835939407348633,0.0,0.009429261088371277,66,65,6.284367373154964e-06,101376,12.323841094970703,0.013671875931322575,91.867293918,280,0.6890454888343811,0.0,0.14438998699188232,0.9999999403953552,1746155237.4834685
31.100261688232422,0.0,0.01028818916529417,81,80,6.284367373154964e-06,124416,12.323841094970703,0.012369791977107525,96.817753359,400,0.7878564596176147,0.0,0.15282981097698212,0.9999999403953552,1746155242.4341035
31.033855438232422,0.0,0.013810746371746063,84,83,6.284367373154964e-06,129024,12.323841094970703,0.012369791977107525,97.833035119,424,0.8270162343978882,0.0,0.16936172544956207,0.9999999403953552,1746155243.4492996
30.722658157348633,0.0,0.02112896926701069,93,92,6.284367373154964e-06,142848,12.323841094970703,0.014322916977107525,100.812047395,496,0.8535212278366089,0.0,0.15980102121829987,0.9999999403953552,1746155246.4285977
31.173179626464844,0.0,0.01422212179750204,98,97,6.284367373154964e-06,150528,12.323841094970703,0.014322916977107525,102.462187401,536,0.8645193576812744,0.0,0.18533286452293396,0.9999999403953552,1746155248.0787745
31.921876907348633,0.0,0.01753801479935646,106,105,6.284367373154964e-06,162816,12.323841094970703,0.013671875931322575,105.107078531,600,0.8929511904716492,0.0,0.18110549449920654,0.9999999403953552,1746155250.7236762
31.014324188232422,0.0,0.017666485160589218,107,106,6.284367373154964e-06,164352,12.323841094970703,0.014322916977107525,105.438339133,608,0.8911514282226562,0.0,0.17627611756324768,0.9999999403953552,1746155251.054939
31.270835876464844,0.0,0.02480202540755272,116,115,6.284367373154964e-06,178176,12.323841094970703,0.01302083395421505,108.427931168,680,0.9202283620834351,0.0,0.1912955790758133,0.9999999403953552,1746155254.044454
31.618492126464844,0.0,0.028927907347679138,128,127,6.284367373154964e-06,196608,12.323841094970703,0.01302083395421505,112.420170208,776,0.9556577205657959,0.0,0.19910982251167297,0.9999999403953552,1746155258.0368202
31.914064407348633,0.0,0.09104859828948975,173,172,6.284367373154964e-06,265728,12.323841094970703,0.01302083395421505,127.350641204,1136,0.8012588024139404,0.0,0.21376636624336243,0.9999999403953552,1746155272.967223
30.998699188232422,0.0,0.09055548906326294,190,189,6.284367373154964e-06,291840,12.323841094970703,0.01497395895421505,132.998062951,1272,0.7449142932891846,0.0,0.21124844253063202,0.9999999403953552,1746155278.614618
32.16666793823242,0.0,0.09070572257041931,207,206,6.284367373154964e-06,317952,12.323841094970703,0.015625,138.660704292,1408,0.6915939450263977,0.0,0.23231227695941925,0.9999999403953552,1746155284.276963
31.981773376464844,0.0,0.16361913084983826,227,226,6.284367373154964e-06,348672,12.323841094970703,0.01497395895421505,145.308167542,1568,0.6260591745376587,0.0,0.22215773165225983,0.9999999403953552,1746155290.9247005
32.09244918823242,0.0,0.15173915028572083,228,227,6.284367373154964e-06,350208,12.323841094970703,0.01497395895421505,145.63925889,1576,0.6498048305511475,0.0,0.24347376823425293,0.9999999403953552,1746155291.2557917
31.670574188232422,0.0,0.17900298535823822,266,265,6.284367373154964e-06,408576,12.323841094970703,0.014322916977107525,158.326356109,1880,0.6295841932296753,0.0,0.20195996761322021,0.9999999403953552,1746155303.942919
32.07682418823242,0.0,0.20879757404327393,278,277,6.284367373154964e-06,427008,12.323841094970703,0.013671875931322575,162.300081036,1976,0.7613629102706909,0.0,0.2353389859199524,0.9999999403953552,1746155307.9166553
31.897136688232422,0.0,0.18400904536247253,296,295,6.284367373154964e-06,454656,12.323841094970703,0.014322916977107525,168.273803667,2120,0.6994022130966187,0.0,0.20041832327842712,0.9999999403953552,1746155313.8903248
31.845054626464844,0.0,0.3201550543308258,337,336,0.6014329195022583,517632,63.073455810546875,0.01497395895421505,181.964680736,2448,0.627829909324646,0.0025773197412490845,0.2034296840429306,1.0,1746155327.5812268
