returned_episode_lengths,returned_won_episode,update_steps,test_returned_episode_lengths,_step,test_returned_episode_returns,loss,returned_episode,returned_episode_returns,_runtime,grad_steps,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
23.730470657348633,0.0,19,17.51940155029297,18,0.07524365186691284,0.0,0.02473958395421505,0.21014761924743652,60.931671443,0,0.0,1.0,0.0,29184,1747610594.2126877
23.715496063232422,0.0,21,17.51940155029297,20,0.07524365186691284,0.0,0.02669270895421505,0.2088499814271927,61.053481378,0,0.0,1.0,0.0,32256,1747610594.3345094
25.093751907348633,0.0,36,17.51940155029297,35,0.07524365186691284,0.03959847614169121,0.02473958395421505,0.20777252316474915,63.328561005,40,0.0,1.0,0.09900211542844772,55296,1747610596.6095757
23.74934959411621,0.0,73,17.51940155029297,72,0.07524365186691284,0.12185277044773102,0.02669270895421505,0.23897422850131989,75.657545329,336,0.0,1.0,0.6577955484390259,112128,1747610608.9385233
24.494142532348633,0.0,83,17.51940155029297,82,0.07524365186691284,0.1547885239124298,0.02734375186264515,0.27993515133857727,78.982337878,416,0.0,1.0,0.6541378498077393,127488,1747610612.2633286
26.611330032348633,0.0,112,17.51940155029297,111,0.07524365186691284,0.3378036320209503,0.0240885429084301,0.2760648727416992,88.68310224,648,0.0,1.0,0.5825142860412598,172032,1747610621.9640563
23.889324188232422,0.0,145,17.51940155029297,144,0.07524365186691284,0.4022589921951294,0.02734375186264515,0.30017101764678955,99.691884687,912,0.0,1.0,0.5387076139450073,222720,1747610632.9728475
25.004558563232422,0.0,208,17.51940155029297,207,0.07524365186691284,0.30890193581581116,0.02343750186264515,0.33235350251197815,120.807837456,1416,0.0,1.0,0.5872464179992676,319488,1747610654.088752
25.464845657348633,0.0,267,17.51940155029297,266,0.07524365186691284,0.2581428587436676,0.02343750186264515,0.3618737757205963,140.627021681,1888,0.0,1.0,0.5490647554397583,410112,1747610673.9079857
24.795574188232422,0.0,272,17.51940155029297,271,0.07524365186691284,0.2493472695350647,0.02539062686264515,0.36704331636428833,142.30397877,1928,0.0,1.0,0.5489904284477234,417792,1747610675.5847795
25.761720657348633,0.0,279,17.51940155029297,278,0.07524365186691284,0.2491607367992401,0.02539062686264515,0.41492563486099243,144.646834346,1984,0.0,1.0,0.5050330758094788,428544,1747610677.9278018
24.11458396911621,0.0,296,17.51940155029297,295,0.07524365186691284,0.2419603168964386,0.02539062686264515,0.38276007771492004,150.353758699,2120,0.0,1.0,0.5000788569450378,454656,1747610683.634574
25.869142532348633,0.0,351,38.789512634277344,350,0.750554621219635,0.11755142360925674,0.0240885429084301,0.40548720955848694,168.857860051,2560,0.05747126415371895,1.0,0.45135408639907837,539136,1747610702.1386874
26.258464813232422,0.0,376,38.789512634277344,375,0.750554621219635,0.1422262042760849,0.02343750186264515,0.3851514458656311,177.244959146,2760,0.05747126415371895,1.0,0.39193713665008545,577536,1747610710.5258944
