test_returned_episode_lengths,_runtime,_timestamp,env_step,qvals,returned_episode_lengths,returned_episode_returns,loss,test_returned_episode,update_steps,returned_episode,test_returned_won_episode,test_returned_episode_returns,grad_steps,returned_won_episode,_step
9.589580535888672,49.010517104,1746195112.4229865,61440.0,-0.03737004101276398,25.91731834411621,0.13885851204395294,0.008968806825578213,1.0,40,0.02083333395421505,0.0,1.837548552430235e-05,72,0.0,39
9.589580535888672,57.28173329,1746195120.6942835,104448.0,0.9723924994468689,29.5234375,0.17612065374851227,0.006842075847089291,1.0,68,0.017578125,0.0,1.837548552430235e-05,296,0.0,67
9.589580535888672,59.94365445,1746195123.356124,118272.0,1.0084810256958008,28.67122459411621,0.16642709076404572,0.007856501266360283,1.0,77,0.01953125,0.0,1.837548552430235e-05,368,0.0,76
9.589580535888672,75.318062264,1746195138.7305121,198144.0,1.0360107421875,28.95572853088379,0.20620571076869965,0.012880563735961914,1.0,129,0.01888020895421505,0.0,1.837548552430235e-05,784,0.0,128
9.589580535888672,79.161305932,1746195142.5738406,218112.0,1.0548908710479736,29.19466209411621,0.1915355920791626,0.041117504239082336,1.0,142,0.01953125,0.0,1.837548552430235e-05,888,0.0,141
9.589580535888672,79.752806598,1746195143.1653554,221184.0,0.9906551837921143,29.60807228088379,0.19195225834846497,0.018883075565099716,1.0,144,0.015625,0.0,1.837548552430235e-05,904,0.0,143
9.589580535888672,83.5992011,1746195147.011746,241152.0,0.9813235998153687,29.36783790588379,0.1875520795583725,0.019814522936940193,1.0,157,0.01822916604578495,0.0,1.837548552430235e-05,1008,0.0,156
9.589580535888672,89.503678755,1746195152.9162455,271872.0,0.9811134934425354,27.54947853088379,0.19322828948497772,0.022490110248327255,1.0,177,0.01822916604578495,0.0,1.837548552430235e-05,1168,0.0,176
9.589580535888672,93.051329584,1746195156.4638574,290304.0,0.8311142325401306,29.966796875,0.19136804342269897,0.02311675250530243,1.0,189,0.015625,0.0,1.837548552430235e-05,1264,0.0,188
9.589580535888672,96.895034862,1746195160.3075862,310272.0,0.871462345123291,29.189453125,0.20251820981502533,0.039300933480262756,1.0,202,0.01692708395421505,0.0,1.837548552430235e-05,1368,0.0,201
9.589580535888672,102.217649503,1746195165.6302118,337920.0,0.8608716130256653,30.48697853088379,0.1931154429912567,0.0266362763941288,1.0,220,0.015625,0.0,1.837548552430235e-05,1512,0.0,219
9.589580535888672,103.404082534,1746195166.816475,344064.0,0.8706284761428833,28.9296875,0.19433419406414032,0.03627092391252518,1.0,224,0.017578125,0.0,1.837548552430235e-05,1544,0.0,223
9.589580535888672,103.700091783,1746195167.1126275,345600.0,0.8531826734542847,29.30013084411621,0.20468229055404663,0.04650065675377846,1.0,225,0.01627604104578495,0.0,1.837548552430235e-05,1552,0.0,224
9.589580535888672,106.061503251,1746195169.4740365,357888.0,0.8309844732284546,28.51236915588379,0.17540018260478973,0.05716361477971077,1.0,233,0.01888020895421505,0.0,1.837548552430235e-05,1616,0.0,232
9.589580535888672,108.423031521,1746195171.8355706,370176.0,0.8079675436019897,29.48893165588379,0.210177943110466,0.029917549341917038,1.0,241,0.017578125,0.0,1.837548552430235e-05,1680,0.0,240
9.589580535888672,111.374518755,1746195174.7870789,385536.0,0.8048902750015259,29.79361915588379,0.2015286237001419,0.03337015584111214,1.0,251,0.01692708395421505,0.0,1.837548552430235e-05,1760,0.0,250
9.589580535888672,111.965982594,1746195175.378529,388608.0,0.8210623264312744,30.49479103088379,0.1928107589483261,0.04412243515253067,1.0,253,0.01627604104578495,0.0,1.837548552430235e-05,1776,0.0,252
9.589580535888672,125.55625051,1746195188.9688084,459264.0,0.37364110350608826,30.22786521911621,0.15641753375530243,0.06326651573181152,1.0,299,0.015625,0.0,1.837548552430235e-05,2144,0.0,298
9.589580535888672,129.101006223,1746195192.5135508,477696.0,0.41302892565727234,29.19986915588379,0.15879686176776886,0.06798293441534042,1.0,311,0.01822916604578495,0.0,1.837548552430235e-05,2240,0.0,310
9.589580535888672,131.765249035,1746195195.1778014,491520.0,0.47231435775756836,27.24739646911621,0.15177951753139496,0.06388762593269348,1.0,320,0.01822916604578495,0.0,1.837548552430235e-05,2312,0.0,319
44.12992477416992,135.965171367,1746195199.377702,513024.0,0.47963953018188477,30.3203125,0.17298348248004913,0.07195796817541122,1.0,334,0.014973958022892475,0.0,0.08540263026952744,2424,0.0,333
44.12992477416992,141.877613738,1746195205.2901692,543744.0,0.32784444093704224,29.24739646911621,0.16016407310962677,0.08701819181442261,1.0,354,0.015625,0.0,0.08540263026952744,2584,0.0,353
44.12992477416992,142.765156912,1746195206.1777122,548352.0,0.32874590158462524,30.87239646911621,0.1682942658662796,0.08159758150577545,1.0,357,0.014973958022892475,0.0,0.08540263026952744,2608,0.0,356
44.12992477416992,144.241531124,1746195207.654101,556032.0,0.377858966588974,27.19466209411621,0.1258741319179535,0.1184668242931366,1.0,362,0.021484375,0.0,0.08540263026952744,2648,0.0,361
44.12992477416992,148.969186928,1746195212.3817465,580608.0,0.23425549268722534,26.943359375,0.1245138943195343,0.1661481410264969,1.0,378,0.01888020895421505,0.0,0.08540263026952744,2776,0.0,377
44.12992477416992,151.042104821,1746195214.4546475,591360.0,0.17682284116744995,29.55533790588379,0.14511282742023468,0.15037837624549866,1.0,385,0.01627604104578495,0.0,0.08540263026952744,2832,0.0,384
44.12992477416992,159.31073404,1746195222.723293,634368.0,0.19092810153961182,26.68489646911621,0.11991146206855774,0.2168903648853302,1.0,413,0.02278645895421505,0.0,0.08540263026952744,3056,0.0,412
