returned_won_episode,returned_episode_lengths,update_steps,test_returned_episode_returns,_step,loss,returned_episode,qvals,test_returned_episode_lengths,_runtime,grad_steps,test_returned_won_episode,returned_episode_returns,env_step,test_returned_episode,_timestamp
0.0,31.058595657348633,7,0.005123684648424387,6,0.0,0.01497395895421505,0.0,17.048051834106445,56.012168498,0,0.0,0.11330963671207428,10752,1,1746164308.583383
0.0,30.457033157348633,16,0.005123684648424387,15,0.0,0.0162760429084301,0.0,17.048051834106445,56.556733811,0,0.0,0.1116538718342781,24576,1,1746164309.1279736
0.0,29.843751907348633,24,0.005123684648424387,23,0.0,0.01497395895421505,0.0,17.048051834106445,57.045319243,0,0.0,0.12159039825201035,36864,1,1746164309.6165643
0.0,30.117189407348633,27,0.005123684648424387,26,0.0,0.01302083395421505,0.0,17.048051834106445,57.226930542,0,0.0,0.0992620512843132,41472,1,1746164309.7980092
0.0,31.273439407348633,69,0.005123684648424387,68,0.007928751409053802,0.014322916977107525,0.6400339603424072,17.048051834106445,70.037810873,304,0.0,0.1441599577665329,105984,1,1746164322.6088948
0.0,31.281251907348633,70,0.005123684648424387,69,0.007914609275758266,0.013671875931322575,0.6162272691726685,17.048051834106445,70.369649782,312,0.0,0.161243736743927,107520,1,1746164322.940813
0.0,30.230470657348633,82,0.005123684648424387,81,0.029312144964933395,0.013671875931322575,0.8150964975357056,17.048051834106445,74.336308116,408,0.0,0.16793443262577057,125952,1,1746164326.9074721
0.0,31.739585876464844,90,0.005123684648424387,89,0.01036054827272892,0.015625,0.8109878301620483,17.048051834106445,76.960477939,472,0.0,0.18313847482204437,138240,1,1746164329.5316734
0.0,30.869792938232422,95,0.005123684648424387,94,0.01407606154680252,0.014322916977107525,0.8343507051467896,17.048051834106445,78.605473907,512,0.0,0.16340148448944092,145920,1,1746164331.1766303
0.0,31.796876907348633,108,0.005123684648424387,107,0.015088777989149094,0.013671875931322575,0.8350207805633545,17.048051834106445,82.888249886,616,0.0,0.1975567787885666,165888,1,1746164335.4592812
0.0,31.348960876464844,122,0.005123684648424387,121,0.05221232771873474,0.01497395895421505,0.9795354604721069,17.048051834106445,87.509060333,728,0.0,0.19560329616069794,187392,1,1746164340.0800924
0.0,30.701824188232422,127,0.005123684648424387,126,0.026756536215543747,0.01497395895421505,0.9464972615242004,17.048051834106445,89.187561831,768,0.0,0.20247848331928253,195072,1,1746164341.7587528
0.0,30.171876907348633,151,0.005123684648424387,150,0.03649001568555832,0.01302083395421505,0.7507976293563843,17.048051834106445,97.115698434,960,0.0,0.1916109174489975,231936,1,1746164349.6867886
0.0,30.148439407348633,152,0.005123684648424387,151,0.1564016044139862,0.01497395895421505,0.7267385721206665,17.048051834106445,97.441755536,968,0.0,0.19595736265182495,233472,1,1746164350.01294
0.0,31.703126907348633,157,0.005123684648424387,156,0.09281246364116669,0.01302083395421505,0.7103246450424194,17.048051834106445,99.091495128,1008,0.0,0.20328934490680695,241152,1,1746164351.6625097
0.0,31.503908157348633,188,0.005123684648424387,187,0.12492914497852325,0.01497395895421505,0.748340368270874,17.048051834106445,109.390804193,1256,0.0,0.2174399495124817,288768,1,1746164361.9619687
0.0,31.074220657348633,195,0.005123684648424387,194,0.09557504951953888,0.014322916977107525,0.8567684888839722,17.048051834106445,111.697209253,1312,0.0,0.22558273375034332,299520,1,1746164364.268258
0.0,31.851564407348633,204,0.005123684648424387,203,0.16743336617946625,0.01497395895421505,0.8839532732963562,17.048051834106445,114.696825145,1384,0.0,0.23357968032360077,313344,1,1746164367.2680135
0.0,31.923179626464844,216,0.005123684648424387,215,0.4080531597137451,0.01497395895421505,0.9292833805084229,17.048051834106445,118.687571067,1480,0.0,0.23412923514842987,331776,1,1746164371.2587523
0.0,31.774742126464844,222,0.005123684648424387,221,0.32406628131866455,0.01302083395421505,0.9595972299575806,17.048051834106445,120.681228107,1528,0.0,0.24187827110290527,340992,1,1746164373.2523859
0.0,31.651042938232422,224,0.005123684648424387,223,0.3604459762573242,0.014322916977107525,0.9672921895980835,17.048051834106445,121.345789297,1544,0.0,0.21955606341362,344064,1,1746164373.9168346
0.0,31.890626907348633,242,0.005123684648424387,241,0.33399707078933716,0.015625,1.0215022563934326,17.048051834106445,127.319139765,1688,0.0,0.2575402855873108,371712,1,1746164379.8902788
0.0,32.052085876464844,249,0.005123684648424387,248,0.3412284851074219,0.014322916977107525,1.0205764770507812,17.048051834106445,129.635637518,1744,0.0,0.2587073743343353,382464,1,1746164382.2066607
0.0,31.964845657348633,251,0.005123684648424387,250,0.339144766330719,0.014322916977107525,1.0242645740509033,17.048051834106445,130.289177236,1760,0.0,0.2685869336128235,385536,1,1746164382.8603737
0.0,31.712242126464844,266,0.005123684648424387,265,0.33478856086730957,0.01497395895421505,1.030405044555664,17.048051834106445,135.237637857,1880,0.0,0.26253098249435425,408576,1,1746164387.8087504
0.0,31.619792938232422,268,0.005123684648424387,267,0.3357493281364441,0.01497395895421505,1.060194492340088,17.048051834106445,135.894396812,1896,0.0,0.26582062244415283,411648,1,1746164388.4655483
0.0,31.346355438232422,326,0.29783570766448975,325,0.2889781594276428,0.01497395895421505,1.013122320175171,55.90030288696289,155.173882906,2360,0.0,0.20450164377689362,500736,1,1746164407.7450323
0.0,31.164064407348633,332,0.29783570766448975,331,0.2661464214324951,0.013671875931322575,1.0083298683166504,55.90030288696289,157.156576863,2408,0.0,0.2087186574935913,509952,1,1746164409.7277353
0.0,31.761720657348633,352,0.29783570766448975,351,0.1032789945602417,0.015625,0.973402202129364,55.90030288696289,163.756702526,2568,0.0,0.2307555377483368,540672,1,1746164416.3278692
0.0,31.888023376464844,365,0.29783570766448975,364,0.08560115844011307,0.01497395895421505,0.9401283264160156,55.90030288696289,168.073600439,2672,0.0,0.18110060691833496,560640,1,1746164420.6445758
0.0,31.753908157348633,370,0.29783570766448975,369,0.0934947282075882,0.014322916977107525,0.9273741841316223,55.90030288696289,169.750396514,2712,0.0,0.17579041421413422,568320,1,1746164422.321557
0.0,31.558595657348633,376,0.29783570766448975,375,0.07707315683364868,0.01497395895421505,0.9393707513809204,55.90030288696289,171.763279139,2760,0.0,0.174227774143219,577536,1,1746164424.3344228
0.0,31.213542938232422,378,0.29783570766448975,377,0.08031412959098816,0.01497395895421505,0.942471981048584,55.90030288696289,172.418074902,2776,0.0,0.19688858091831207,580608,1,1746164424.9892485
0.0,32.028648376464844,398,0.29783570766448975,397,0.08395249396562576,0.015625,0.9379673004150391,55.90030288696289,179.065172928,2936,0.0,0.2026231586933136,611328,1,1746164431.6361523
0.0,31.932292938232422,400,0.29783570766448975,399,0.0861615240573883,0.015625,0.9542736411094666,55.90030288696289,179.723348473,2952,0.0,0.19848808646202087,614400,1,1746164432.2945385
