test_returned_episode_returns,env_step,_runtime,returned_episode_returns,test_returned_episode,loss,update_steps,returned_episode,returned_won_episode,grad_steps,_step,test_returned_won_episode,returned_episode_lengths,test_returned_episode_lengths,qvals,_timestamp
0.1365853250026703,18432.0,70.085715519,0.17565308511257172,1.0,0.0,12,0.0221354179084301,0.0,0,11,0.0,25.871095657348633,23.613327026367188,0.0,1746204244.1055477
0.1365853250026703,35328.0,70.812501879,0.18808579444885254,1.0,0.0,23,0.02278645895421505,0.0,0,22,0.0,24.65169334411621,23.613327026367188,0.0,1746204244.8323393
0.1365853250026703,36864.0,70.878478239,0.2062743902206421,1.0,0.0,24,0.0240885429084301,0.0,0,23,0.0,24.12239646911621,23.613327026367188,0.0,1746204244.8983235
0.1365853250026703,76800.0,77.746151838,0.19226886332035065,1.0,0.04017293453216553,50,0.0221354179084301,0.0,152,49,0.0,26.062501907348633,23.613327026367188,0.1810765564441681,1746204251.7659848
0.1365853250026703,132096.0,89.875554305,0.1995052844285965,1.0,0.15010201930999756,86,0.02278645895421505,0.0,440,85,0.0,25.412761688232422,23.613327026367188,0.24806752800941467,1746204263.895279
0.1365853250026703,138240.0,91.226295878,0.24924255907535553,1.0,0.13297758996486664,90,0.0240885429084301,0.0,472,89,0.0,25.17122459411621,23.613327026367188,0.252123087644577,1746204265.2459977
0.1365853250026703,153600.0,94.587475769,0.23576359450817108,1.0,0.1964217871427536,100,0.02343750186264515,0.0,552,99,0.0,25.869792938232422,23.613327026367188,0.26270636916160583,1746204268.607333
0.1365853250026703,156672.0,95.2554834,0.2303999960422516,1.0,0.4709089994430542,102,0.02148437686264515,0.0,568,101,0.0,25.314455032348633,23.613327026367188,0.27392101287841797,1746204269.2753243
0.1365853250026703,161280.0,96.261425358,0.22988955676555634,1.0,0.2503786087036133,105,0.0240885429084301,0.0,592,104,0.0,24.375652313232422,23.613327026367188,0.2862039804458618,1746204270.2812712
0.1365853250026703,204288.0,105.652122246,0.22705672681331635,1.0,0.4443744421005249,133,0.0201822929084301,0.001953125,816,132,0.0,25.658855438232422,23.613327026367188,0.3179135322570801,1746204279.6719167
0.1365853250026703,256512.0,117.107751205,0.2685527205467224,1.0,0.4602976441383362,167,0.02343750186264515,0.0,1088,166,0.0,24.728517532348633,23.613327026367188,0.24975919723510742,1746204291.1275024
0.1365853250026703,258048.0,117.444958659,0.23177465796470642,1.0,0.4532187879085541,168,0.0221354179084301,0.0,1096,167,0.0,25.43294334411621,23.613327026367188,0.24661262333393097,1746204291.4647496
0.1365853250026703,285696.0,123.506806349,0.29546040296554565,1.0,0.5630769729614258,186,0.02278645895421505,0.0201822929084301,1240,185,0.0,25.27083396911621,23.613327026367188,0.2586901783943176,1746204297.5265968
0.1365853250026703,302592.0,127.206587276,0.2407027781009674,1.0,0.6641559600830078,197,0.0221354179084301,0.0,1328,196,0.0,25.533205032348633,23.613327026367188,0.2662256360054016,1746204301.2263427
0.1365853250026703,377856.0,143.702493711,0.21418093144893646,1.0,0.9545151591300964,246,0.0240885429084301,0.0,1720,245,0.0,25.628908157348633,23.613327026367188,0.28779345750808716,1746204317.7223237
0.1365853250026703,420864.0,153.134704713,0.26372045278549194,1.0,0.5886684656143188,274,0.02083333395421505,0.0,1944,273,0.0,25.51106834411621,23.613327026367188,0.2645450830459595,1746204327.1544244
0.1365853250026703,457728.0,161.217313676,0.29532888531684875,1.0,1.0033340454101562,298,0.0221354179084301,0.0,2136,297,0.0,26.185548782348633,23.613327026367188,0.2751632034778595,1746204335.2370636
0.1365853250026703,470016.0,163.911500917,0.26797497272491455,1.0,0.8163895010948181,306,0.02148437686264515,0.01497395895421505,2200,305,0.0,23.965496063232422,23.613327026367188,0.27540886402130127,1746204337.9311697
0.1365853250026703,471552.0,164.248938879,0.25285208225250244,1.0,0.9531652927398682,307,0.0221354179084301,0.0,2208,306,0.0,26.43880271911621,23.613327026367188,0.27834904193878174,1746204338.2687147
0.40638840198516846,542208.0,179.817634825,0.30178171396255493,1.0,1.0512381792068481,353,0.0221354179084301,0.0,2576,352,0.0022156573832035065,23.511720657348633,38.400299072265625,0.2761903405189514,1746204353.8374622
0.40638840198516846,554496.0,182.51333773,0.2935084104537964,1.0,1.0645633935928345,361,0.02278645895421505,0.0,2640,360,0.0022156573832035065,26.66341209411621,38.400299072265625,0.28621742129325867,1746204356.5331419
0.40638840198516846,605184.0,193.628541616,0.31788745522499084,1.0,1.3258342742919922,394,0.01953125186264515,0.0,2904,393,0.0022156573832035065,27.947917938232422,38.400299072265625,0.2870708703994751,1746204367.6483514
0.40638840198516846,614400.0,195.647486601,0.3139345049858093,1.0,1.2488927841186523,400,0.02083333395421505,0.0260416679084301,2952,399,0.0022156573832035065,26.746095657348633,38.400299072265625,0.2794675827026367,1746204369.667282
0.40638840198516846,631296.0,199.350869096,0.2892971336841583,1.0,2.0069878101348877,411,0.02343750186264515,0.0,3040,410,0.0022156573832035065,26.03255271911621,38.400299072265625,0.28850242495536804,1746204373.3706098
0.40638840198516846,640512.0,201.46886471,0.23619519174098969,1.0,2.5486960411071777,417,0.0201822929084301,0.0,3088,416,0.0022156573832035065,27.378908157348633,38.400299072265625,0.32194554805755615,1746204375.4885254
0.40638840198516846,654336.0,204.496618008,0.2962712049484253,1.0,1.6382920742034912,426,0.0201822929084301,0.010416666977107525,3160,425,0.0022156573832035065,27.19270896911621,38.400299072265625,0.29165273904800415,1746204378.516361
0.40638840198516846,674304.0,208.868813311,0.27791664004325867,1.0,1.6208839416503906,439,0.02278645895421505,0.0,3264,438,0.0022156573832035065,25.261720657348633,38.400299072265625,0.3251248598098755,1746204382.8886168
