returned_episode_returns,test_returned_episode_returns,test_returned_won_episode,test_returned_episode,test_returned_episode_lengths,grad_steps,returned_episode_lengths,_runtime,returned_won_episode,qvals,returned_episode,env_step,loss,update_steps,_step,_timestamp
0.166230708360672,0.05964846909046173,0.0,1.0,20.634695053100586,0,22.837892532348633,86.385800651,0.0,0.0,0.0240885429084301,7680.0,0.0,5,4,1746201116.3402684
0.16918794810771942,0.05964846909046173,0.0,1.0,20.634695053100586,0,26.32552146911621,86.719767676,0.0,0.0,0.02278645895421505,15360.0,0.0,10,9,1746201116.6741993
0.1809629499912262,0.05964846909046173,0.0,1.0,20.634695053100586,0,23.197267532348633,86.91859878,0.0,0.0,0.02734375186264515,19968.0,0.0,13,12,1746201116.8730574
0.17030508816242218,0.05964846909046173,0.0,1.0,20.634695053100586,0,24.91731834411621,87.180364293,0.0,0.0,0.02473958395421505,26112.0,0.0,17,16,1746201117.134816
0.17052708566188812,0.05964846909046173,0.0,1.0,20.634695053100586,0,24.84700584411621,87.446016542,0.0,0.0,0.02473958395421505,32256.0,0.0,21,20,1746201117.400494
0.20186302065849304,0.05964846909046173,0.0,1.0,20.634695053100586,0,24.65950584411621,87.709179565,0.0,0.0,0.02669270895421505,38400.0,0.0,25,24,1746201117.663644
0.18720205128192902,0.05964846909046173,0.0,1.0,20.634695053100586,0,25.172527313232422,87.774409006,0.0,0.0,0.0240885429084301,39936.0,0.0,26,25,1746201117.7288716
0.2043340653181076,0.05964846909046173,0.0,1.0,20.634695053100586,224,23.684246063232422,97.615792071,0.0,0.24599556624889374,0.0240885429084301,90624.0,0.058468304574489594,59,58,1746201127.570009
0.19672837853431702,0.05964846909046173,0.0,1.0,20.634695053100586,264,24.875652313232422,99.311625045,0.0,0.2733573913574219,0.0260416679084301,98304.0,0.10584661364555359,64,63,1746201129.2659202
0.22019360959529877,0.05964846909046173,0.0,1.0,20.634695053100586,312,24.707033157348633,101.350488755,0.0,0.27307581901550293,0.02343750186264515,107520.0,0.08747284859418869,70,69,1746201131.3048031
0.223365917801857,0.05964846909046173,0.0,1.0,20.634695053100586,336,22.963542938232422,102.364458806,0.0,0.3185553550720215,0.02539062686264515,112128.0,0.15485814213752747,73,72,1746201132.318859
