qvals,returned_episode,test_returned_episode_returns,test_returned_won_episode,update_steps,grad_steps,returned_episode_lengths,returned_won_episode,returned_episode_returns,_runtime,test_returned_episode_lengths,env_step,test_returned_episode,_step,loss,_timestamp
0.0,0.0240885429084301,0.10616538673639297,0.0004078303463757038,9,0,25.094402313232422,0.0,0.2100984752178192,81.172289449,23.953100204467773,13824.0,1.0,8,0.0,1746194220.540733
0.0,0.02539062686264515,0.10616538673639297,0.0004078303463757038,20,0,26.207683563232422,0.0,0.16936898231506348,81.891720888,23.953100204467773,30720.0,1.0,19,0.0,1746194221.2601736
0.0,0.02734375186264515,0.10616538673639297,0.0004078303463757038,21,0,23.535808563232422,0.0,0.16455242037773132,81.956916159,23.953100204467773,32256.0,1.0,20,0.0,1746194221.325335
0.0,0.02473958395421505,0.10616538673639297,0.0004078303463757038,24,0,22.971355438232422,0.0,0.17536498606204987,82.15242008,23.953100204467773,36864.0,1.0,23,0.0,1746194221.520875
0.23154619336128235,0.02473958395421505,0.10616538673639297,0.0004078303463757038,54,184,22.590496063232422,0.0,0.21753309667110443,90.371309923,23.953100204467773,82944.0,1.0,53,0.06825551390647888,1746194229.7395766
0.2904950678348541,0.02539062686264515,0.10616538673639297,0.0004078303463757038,63,256,24.215496063232422,0.0,0.23017175495624542,93.399485328,23.953100204467773,96768.0,1.0,62,0.11847099661827087,1746194232.7678876
0.27177923917770386,0.0240885429084301,0.10616538673639297,0.0004078303463757038,67,288,22.87044334411621,0.0,0.2554769217967987,94.764821533,23.953100204467773,102912.0,1.0,66,0.11394330114126205,1746194234.1331096
0.27545374631881714,0.02539062686264515,0.10616538673639297,0.0004078303463757038,69,304,25.46028709411621,0.0,0.2207350730895996,95.438628282,23.953100204467773,105984.0,1.0,68,0.08742853999137878,1746194234.807055
0.3499711751937866,0.02473958395421505,0.10616538673639297,0.0004078303463757038,119,704,24.048830032348633,0.0,0.2571551203727722,112.282045959,23.953100204467773,182784.0,1.0,118,0.2826329171657562,1746194251.6504776
0.3386824131011963,0.02343750186264515,0.10616538673639297,0.0004078303463757038,129,784,24.97005271911621,0.0,0.22727487981319427,115.655844356,23.953100204467773,198144.0,1.0,128,0.3066374361515045,1746194255.024245
0.36294522881507874,0.02473958395421505,0.10616538673639297,0.0004078303463757038,142,888,24.666017532348633,0.0,0.2238955944776535,120.043877073,23.953100204467773,218112.0,1.0,141,0.45725762844085693,1746194259.4123058
0.3811754882335663,0.01888020895421505,0.10616538673639297,0.0004078303463757038,156,1000,25.746095657348633,0.0,0.21336184442043304,124.804832056,23.953100204467773,239616.0,1.0,155,0.4784114956855774,1746194264.1732335
0.38896802067756653,0.02278645895421505,0.10616538673639297,0.0004078303463757038,170,1112,25.305339813232422,0.0,0.2744448781013489,129.567189427,23.953100204467773,261120.0,1.0,169,0.5078531503677368,1746194268.9356291
0.3870786726474762,0.0201822929084301,0.10616538673639297,0.0004078303463757038,177,1168,26.381511688232422,0.013671875931322575,0.2930217385292053,131.935118587,23.953100204467773,271872.0,1.0,176,0.5433017015457153,1746194271.3035188
0.39206749200820923,0.0240885429084301,0.10616538673639297,0.0004078303463757038,182,1208,25.56966209411621,0.0,0.27162492275238037,133.649111973,23.953100204467773,279552.0,1.0,181,0.5255905389785767,1746194273.0175202
0.3947215676307678,0.0221354179084301,0.10616538673639297,0.0004078303463757038,183,1216,25.697267532348633,0.0,0.2865090072154999,133.992533819,23.953100204467773,281088.0,1.0,182,0.5080045461654663,1746194273.360901
0.388435423374176,0.0240885429084301,0.10616538673639297,0.0004078303463757038,184,1224,24.389324188232422,0.0,0.244247168302536,134.328638596,23.953100204467773,282624.0,1.0,183,0.4950087368488312,1746194273.6969748
0.36932918429374695,0.02343750186264515,0.10616538673639297,0.0004078303463757038,211,1440,24.470705032348633,0.0,0.26036378741264343,143.474465349,23.953100204467773,324096.0,1.0,210,0.6837185621261597,1746194282.8427906
0.36027196049690247,0.02343750186264515,0.10616538673639297,0.0004078303463757038,219,1504,26.205730438232422,0.0,0.2957167327404022,146.219882463,23.953100204467773,336384.0,1.0,218,0.6446611881256104,1746194285.588267
0.3411703407764435,0.02473958395421505,0.10616538673639297,0.0004078303463757038,246,1720,24.904949188232422,0.0,0.2705076038837433,155.353634539,23.953100204467773,377856.0,1.0,245,0.5896226763725281,1746194294.7219837
0.31786048412323,0.0221354179084301,0.10616538673639297,0.0004078303463757038,269,1904,25.13411521911621,0.0,0.29306820034980774,163.128083239,23.953100204467773,413184.0,1.0,268,0.6367014646530151,1746194302.49649
0.307525098323822,0.0221354179084301,0.10616538673639297,0.0004078303463757038,276,1960,25.865236282348633,0.0,0.2881019413471222,165.480793195,23.953100204467773,423936.0,1.0,275,0.5445771217346191,1746194304.8491962
0.3058721423149109,0.02083333395421505,0.10616538673639297,0.0004078303463757038,279,1984,26.33724021911621,0.0,0.3014376759529114,166.491613706,23.953100204467773,428544.0,1.0,278,0.5713009238243103,1746194305.8600445
0.2884586453437805,0.02278645895421505,0.10616538673639297,0.0004078303463757038,289,2064,26.72591209411621,0.0,0.27921009063720703,169.864783133,23.953100204467773,443904.0,1.0,288,0.5526014566421509,1746194309.2332108
0.28789979219436646,0.0240885429084301,0.10616538673639297,0.0004078303463757038,290,2072,25.94856834411621,0.0,0.2972568869590759,170.200664933,23.953100204467773,445440.0,1.0,289,0.512647271156311,1746194309.5691018
0.252762109041214,0.02473958395421505,0.45618149638175964,0.002173913177102804,333,2416,24.99739646911621,0.0,0.3219026029109955,184.78444445,39.123191833496094,511488.0,1.0,332,0.4726638197898865,1746194324.1528907
0.25517740845680237,0.0201822929084301,0.45618149638175964,0.002173913177102804,337,2448,25.796876907348633,0.0,0.2700273096561432,186.134133439,39.123191833496094,517632.0,1.0,336,0.46671852469444275,1746194325.5025365
0.25297868251800537,0.0221354179084301,0.45618149638175964,0.002173913177102804,345,2512,26.526042938232422,0.0,0.34627440571784973,188.837432009,39.123191833496094,529920.0,1.0,344,0.43876567482948303,1746194328.2058542
0.24500206112861633,0.0201822929084301,0.45618149638175964,0.002173913177102804,361,2640,29.506511688232422,0.01692708395421505,0.3165639042854309,194.258339533,39.123191833496094,554496.0,1.0,360,0.32423198223114014,1746194333.6267753
0.2435586005449295,0.02343750186264515,0.45618149638175964,0.002173913177102804,363,2656,23.75716209411621,0.0,0.2999170124530792,194.930027395,39.123191833496094,557568.0,1.0,362,0.27389615774154663,1746194334.2984965
0.22787010669708252,0.01953125186264515,0.45618149638175964,0.002173913177102804,372,2728,27.91731834411621,0.0,0.3199787437915802,197.958451024,39.123191833496094,571392.0,1.0,371,0.30246955156326294,1746194337.3268402
0.21733111143112183,0.02148437686264515,0.45618149638175964,0.002173913177102804,374,2744,25.632814407348633,0.0,0.24996522068977356,198.644408733,39.123191833496094,574464.0,1.0,373,0.3217061758041382,1746194338.012719
0.2556156516075134,0.02148437686264515,0.45618149638175964,0.002173913177102804,400,2952,27.401042938232422,0.0,0.29896533489227295,207.400293627,39.123191833496094,614400.0,1.0,399,0.46557289361953735,1746194346.7687182
0.23732414841651917,0.02148437686264515,0.45618149638175964,0.002173913177102804,404,2984,27.27669334411621,0.0,0.30421552062034607,208.76071381,39.123191833496094,620544.0,1.0,403,0.4893891215324402,1746194348.1291494
0.2676786184310913,0.02343750186264515,0.45618149638175964,0.002173913177102804,419,3104,25.180339813232422,0.0,0.32205188274383545,213.981030614,39.123191833496094,643584.0,1.0,418,0.4330641031265259,1746194353.3494499
0.20707190036773682,0.0221354179084301,0.45618149638175964,0.002173913177102804,446,3320,25.141277313232422,0.0,0.29405730962753296,223.069942137,39.123191833496094,685056.0,1.0,445,0.3062528967857361,1746194362.438295
0.20856043696403503,0.01953125186264515,0.45618149638175964,0.002173913177102804,459,3424,26.648439407348633,0.0,0.35150396823883057,227.458825663,39.123191833496094,705024.0,1.0,458,0.24273502826690674,1746194366.8272471
0.1876116693019867,0.02083333395421505,0.45618149638175964,0.002173913177102804,484,3624,27.703126907348633,0.0,0.3548312783241272,235.89918832,39.123191833496094,743424.0,1.0,483,0.2035694122314453,1746194375.2676322
0.20018625259399414,0.01692708395421505,0.45618149638175964,0.002173913177102804,485,3632,26.798830032348633,0.0,0.27621230483055115,236.235564669,39.123191833496094,744960.0,1.0,484,0.22164207696914673,1746194375.6039886
0.195451557636261,0.0221354179084301,0.45618149638175964,0.002173913177102804,486,3640,26.004558563232422,0.0,0.3339730203151703,236.571887779,39.123191833496094,746496.0,1.0,485,0.23020368814468384,1746194375.9403367
0.17018336057662964,0.01888020895421505,0.45618149638175964,0.002173913177102804,491,3680,27.623048782348633,0.0,0.3508911430835724,238.259769767,39.123191833496094,754176.0,1.0,490,0.2338618040084839,1746194377.6281705
0.1925230175256729,0.01953125186264515,0.45618149638175964,0.002173913177102804,500,3752,29.14583396911621,0.0,0.28801029920578003,241.29407285,39.123191833496094,768000.0,1.0,499,0.26845571398735046,1746194380.6625192
0.18548272550106049,0.01888020895421505,0.45618149638175964,0.002173913177102804,502,3768,27.697917938232422,0.0,0.3024769127368927,241.966645451,39.123191833496094,771072.0,1.0,501,0.3656817078590393,1746194381.335063
0.17824114859104156,0.0162760429084301,0.45618149638175964,0.002173913177102804,513,3856,28.350261688232422,0.0377604179084301,0.33240067958831787,245.677001541,39.123191833496094,787968.0,1.0,512,0.5212072730064392,1746194385.0454314
0.16683371365070343,0.0221354179084301,0.45618149638175964,0.002173913177102804,514,3864,25.793621063232422,0.0,0.3400515913963318,246.013593285,39.123191833496094,789504.0,1.0,513,0.3603525459766388,1746194385.3817925
0.20237961411476135,0.017578125,0.45618149638175964,0.002173913177102804,530,3992,26.332683563232422,0.015625,0.37173882126808167,251.409543583,39.123191833496094,814080.0,1.0,529,0.4327200651168823,1746194390.7779748
0.22033722698688507,0.0201822929084301,0.45618149638175964,0.002173913177102804,549,4144,27.49349021911621,0.00911458395421505,0.39224016666412354,257.807621332,39.123191833496094,843264.0,1.0,548,0.47537586092948914,1746194397.1760762
0.18717315793037415,0.02148437686264515,0.45618149638175964,0.002173913177102804,556,4200,25.843751907348633,0.0390625037252903,0.4457918107509613,260.169286651,39.123191833496094,854016.0,1.0,555,0.40471208095550537,1746194399.537718
0.2138064056634903,0.02473958395421505,0.45618149638175964,0.002173913177102804,567,4288,24.060548782348633,0.0,0.31179267168045044,263.89254886,39.123191833496094,870912.0,1.0,566,0.4402158558368683,1746194403.2609434
0.23646551370620728,0.01953125186264515,0.45618149638175964,0.002173913177102804,614,4664,26.841798782348633,0.0299479179084301,0.4427817165851593,279.72780137,39.123191833496094,943104.0,1.0,613,0.45377248525619507,1746194419.0962284
0.2472446858882904,0.01953125186264515,0.45618149638175964,0.002173913177102804,621,4720,25.833986282348633,0.0488281287252903,0.41985371708869934,282.079763896,39.123191833496094,953856.0,1.0,620,0.4890373945236206,1746194421.4482245
0.23873767256736755,0.02278645895421505,0.45618149638175964,0.002173913177102804,629,4784,27.434246063232422,0.01692708395421505,0.3747023344039917,284.769614537,39.123191833496094,966144.0,1.0,628,0.43192267417907715,1746194424.1379263
0.2272566556930542,0.02083333395421505,0.45618149638175964,0.002173913177102804,647,4928,28.041017532348633,0.0,0.37739449739456177,290.848423019,39.123191833496094,993792.0,1.0,646,0.5022537708282471,1746194430.2168608
0.1966570019721985,0.017578125,0.5713281631469727,0.02621127851307392,658,5016,28.78841209411621,0.0319010429084301,0.42921143770217896,294.633138611,41.44717788696289,1010688.0,0.9999999403953552,657,0.3358347713947296,1746194434.0015833
0.20067989826202393,0.015625,0.5713281631469727,0.02621127851307392,669,5104,26.869142532348633,0.0,0.3490040600299835,298.340101249,41.44717788696289,1027584.0,0.9999999403953552,668,0.3976632356643677,1746194437.7085187
0.19555793702602386,0.01888020895421505,0.5713281631469727,0.02621127851307392,671,5120,25.951173782348633,0.0279947929084301,0.43189266324043274,299.01297606,41.44717788696289,1030656.0,0.9999999403953552,670,0.34129074215888977,1746194438.3814244
0.22189031541347504,0.015625,0.5713281631469727,0.02621127851307392,687,5248,28.644533157348633,0.0,0.41329658031463623,304.400536231,41.44717788696289,1055232.0,0.9999999403953552,686,0.22844377160072327,1746194443.7689798
0.2085491120815277,0.01888020895421505,0.5713281631469727,0.02621127851307392,698,5336,27.908205032348633,0.0605468787252903,0.4698190987110138,308.121414657,41.44717788696289,1072128.0,0.9999999403953552,697,0.27530279755592346,1746194447.4898548
