returned_episode,test_returned_episode,qvals,_runtime,returned_episode_returns,test_returned_episode_lengths,test_returned_won_episode,returned_episode_lengths,env_step,update_steps,returned_won_episode,loss,grad_steps,_timestamp,test_returned_episode_returns,_step
0.0507812537252903,0.9999999403953552,0.0,56.563168047,0.1254991590976715,11.414496421813965,0.0,15.758464813232422,24576.0,16,0.0,0.0,0,1746172061.9755666,4.856432133237831e-05,15
0.0540364608168602,0.9999999403953552,0.4085942506790161,79.726539621,0.15199653804302216,11.414496421813965,0.0,15.251954078674316,150528.0,98,0.0,0.05340518057346344,536,1746172085.138889,4.856432133237831e-05,97
0.0546875037252903,0.9999999403953552,0.4138472378253937,80.058132671,0.15247398614883423,11.414496421813965,0.0,14.718099594116211,152064.0,99,0.0,0.05375861003994942,544,1746172085.4704714,4.856432133237831e-05,98
0.0572916679084301,0.9999999403953552,0.4074244499206543,81.050319252,0.15922310948371887,11.414496421813965,0.0,14.403646469116211,156672.0,102,0.0,0.08689939975738525,568,1746172086.4626973,4.856432133237831e-05,101
0.0540364608168602,0.9999999403953552,0.37056758999824524,83.7016275,0.1575087010860443,11.414496421813965,0.0,14.723958969116211,168960.0,110,0.0,0.05931507796049118,632,1746172089.1139648,4.856432133237831e-05,109
0.0566406287252903,0.9999999403953552,0.3344844877719879,92.676317578,0.1579427272081375,11.414496421813965,0.0,14.772135734558105,210432.0,137,0.0,0.13140207529067993,848,1746172098.0886543,4.856432133237831e-05,136
0.0592447929084301,0.9999999403953552,0.2858711779117584,97.652326872,0.18374568223953247,11.414496421813965,0.0,14.068360328674316,233472.0,152,0.0,0.33941739797592163,968,1746172103.0646832,4.856432133237831e-05,151
0.0592447929084301,0.9999999403953552,0.2843795120716095,103.297696489,0.174587681889534,11.414496421813965,0.0,13.913412094116211,259584.0,169,0.0,0.24534405767917633,1104,1746172108.7100406,4.856432133237831e-05,168
0.0618489608168602,0.9999999403953552,0.2783135175704956,105.626985093,0.18461373448371887,11.414496421813965,0.0,13.487630844116211,270336.0,176,0.0,0.22453221678733826,1160,1746172111.0393193,4.856432133237831e-05,175
0.0625,0.9999999403953552,0.26153382658958435,109.272133302,0.19014759361743927,11.414496421813965,0.0,13.307291984558105,287232.0,187,0.0,0.2003406584262848,1248,1746172114.684372,4.856432133237831e-05,186
0.0625,0.9999999403953552,0.27483421564102173,115.606740718,0.19318580627441406,11.414496421813965,0.0,13.429037094116211,316416.0,206,0.0,0.09220961481332779,1400,1746172121.0190911,4.856432133237831e-05,205
0.0618489608168602,0.9999999403953552,0.2923685312271118,132.931368977,0.2341146171092987,11.414496421813965,0.0,13.658204078674316,396288.0,258,0.0,0.07076963037252426,1816,1746172138.3437126,4.856432133237831e-05,257
0.0611979216337204,0.9999999403953552,0.28609466552734375,134.926801394,0.2398654818534851,11.414496421813965,0.0,13.384766578674316,405504.0,264,0.0,0.07144791632890701,1864,1746172140.3391397,4.856432133237831e-05,263
0.0598958358168602,0.9999999403953552,0.2901492416858673,135.932208213,0.2591797113418579,11.414496421813965,0.0,13.854818344116211,410112.0,267,0.0,0.07613856345415115,1888,1746172141.3442864,4.856432133237831e-05,266
0.0638020858168602,0.9999999403953552,0.29200148582458496,137.278943709,0.2542968988418579,11.414496421813965,0.0,13.128907203674316,416256.0,271,0.0,0.07907027751207352,1920,1746172142.6912756,4.856432133237831e-05,270
0.0625,0.9999999403953552,0.28570613265037537,139.261462289,0.24776479601860046,11.414496421813965,0.0,13.248047828674316,425472.0,277,0.0,0.07756363600492477,1968,1746172144.673797,4.856432133237831e-05,276
0.0585937537252903,0.9999999403953552,0.29699617624282837,141.26508387,0.24233943223953247,11.414496421813965,0.0,14.335287094116211,434688.0,283,0.0,0.0784875750541687,2016,1746172146.6774116,4.856432133237831e-05,282
0.0625,0.9999999403953552,0.28713858127593994,142.953435253,0.2551215589046478,11.414496421813965,0.0,13.300130844116211,442368.0,288,0.0,0.0691584050655365,2056,1746172148.3657722,4.856432133237831e-05,287
0.064453125,0.9999999403953552,0.28572019934654236,143.285635105,0.2601345479488373,11.414496421813965,0.0,13.155599594116211,443904.0,289,0.0,0.07441341876983643,2064,1746172148.6980033,4.856432133237831e-05,288
0.0677083358168602,1.0,0.3018759489059448,155.665222004,0.28773874044418335,12.967695236206055,0.00020708220836240798,12.597657203674316,500736.0,326,0.0,0.06828868389129639,2360,1746172161.0775719,0.565762460231781,325
0.0690104216337204,1.0,0.30214595794677734,157.324085018,0.28031688928604126,12.967695236206055,0.00020708220836240798,12.407552719116211,508416.0,331,0.0,0.06992964446544647,2400,1746172162.736413,0.565762460231781,330
0.0690104216337204,1.0,0.29314571619033813,158.319153944,0.28643667697906494,12.967695236206055,0.00020708220836240798,12.315755844116211,513024.0,334,0.0,0.06636778265237808,2424,1746172163.7314892,0.565762460231781,333
0.0677083358168602,1.0,0.2963941693305969,160.633661802,0.27879780530929565,12.967695236206055,0.00020708220836240798,12.643880844116211,523776.0,341,0.0,0.06966301798820496,2480,1746172166.0460353,0.565762460231781,340
0.0677083358168602,1.0,0.2850472331047058,161.29150129,0.294943630695343,12.967695236206055,0.00020708220836240798,12.486979484558105,526848.0,343,0.0,0.07702964544296265,2496,1746172166.703868,0.565762460231781,342
