returned_episode_returns,qvals,env_step,returned_episode,returned_episode_lengths,test_returned_episode_lengths,loss,update_steps,_runtime,returned_won_episode,test_returned_episode,test_returned_episode_returns,_step,_timestamp,test_returned_won_episode,grad_steps
0.10625766217708588,0.0,10752.0,0.0162760429084301,30.553386688232422,15.83647632598877,0.0,7,72.011058811,0.0,1,1.3777662388747558e-05,6,1746157482.943915,0.0,0
0.10828462243080139,0.0,24576.0,0.01497395895421505,31.042970657348633,15.83647632598877,0.0,16,72.555903521,0.0,1,1.3777662388747558e-05,15,1746157483.488765,0.0,0
0.10338254272937775,0.0,36864.0,0.0162760429084301,29.703126907348633,15.83647632598877,0.0,24,73.041202484,0.0,1,1.3777662388747558e-05,23,1746157483.974018,0.0,0
0.10776546597480774,0.0,41472.0,0.01497395895421505,30.523439407348633,15.83647632598877,0.0,27,73.223111762,0.0,1,1.3777662388747558e-05,26,1746157484.1559176,0.0,0
0.15324459969997406,0.6998960971832275,105984.0,0.014322916977107525,31.105470657348633,15.83647632598877,0.010081878863275051,69,86.059612496,0.0,1,1.3777662388747558e-05,68,1746157496.9922261,0.0,304
0.159236341714859,0.685732901096344,107520.0,0.01302083395421505,31.774742126464844,15.83647632598877,0.009657489135861397,70,86.388865092,0.0,1,1.3777662388747558e-05,69,1746157497.3215315,0.0,312
0.1807900071144104,0.791864275932312,125952.0,0.01302083395421505,31.283855438232422,15.83647632598877,0.03841324895620346,82,90.367260437,0.0,1,1.3777662388747558e-05,81,1746157501.3000708,0.0,408
0.18371576070785522,0.789554238319397,138240.0,0.01302083395421505,31.845054626464844,15.83647632598877,0.013206741772592068,90,93.011128602,0.0,1,1.3777662388747558e-05,89,1746157503.9439247,0.0,472
0.18179835379123688,0.7690994739532471,145920.0,0.01302083395421505,31.617189407348633,15.83647632598877,0.019312744960188866,95,94.651644108,0.0,1,1.3777662388747558e-05,94,1746157505.5844886,0.0,512
0.16682887077331543,0.7466875314712524,165888.0,0.01497395895421505,30.300783157348633,15.83647632598877,0.018678948283195496,108,98.96339945,0.0,1,1.3777662388747558e-05,107,1746157509.8962007,0.0,616
0.17367660999298096,0.7707422971725464,187392.0,0.013671875931322575,30.643230438232422,15.83647632598877,0.05964288488030434,122,103.597914316,0.0,1,1.3777662388747558e-05,121,1746157514.5307124,0.0,728
0.19101297855377197,0.7158064246177673,195072.0,0.014322916977107525,31.546876907348633,15.83647632598877,0.03666858375072479,127,105.249234575,0.0,1,1.3777662388747558e-05,126,1746157516.1821115,0.0,768
0.20367015898227692,0.8025664687156677,231936.0,0.01497395895421505,31.816408157348633,15.83647632598877,0.03999495506286621,151,113.221423331,0.0,1,1.3777662388747558e-05,150,1746157524.1542375,0.0,960
0.23126326501369476,0.8248300552368164,233472.0,0.014322916977107525,31.782554626464844,15.83647632598877,0.07115725427865982,152,113.55477464,0.0,1,1.3777662388747558e-05,151,1746157524.487606,0.0,968
0.1925639659166336,0.851361095905304,241152.0,0.014322916977107525,31.365886688232422,15.83647632598877,0.05449342355132103,157,115.218321056,0.0,1,1.3777662388747558e-05,156,1746157526.1511173,0.0,1008
0.18217399716377258,0.3835400640964508,288768.0,0.013671875931322575,31.455730438232422,15.83647632598877,0.06913883984088898,188,125.465932718,0.0,1,1.3777662388747558e-05,187,1746157536.398585,0.0,1256
0.21508991718292236,0.4193621277809143,299520.0,0.01302083395421505,32.087242126464844,15.83647632598877,0.15080022811889648,195,127.767334148,0.0,1,1.3777662388747558e-05,194,1746157538.7001395,0.0,1312
0.15859641134738922,0.4346383213996887,313344.0,0.01302083395421505,30.864585876464844,15.83647632598877,0.328508198261261,204,130.766769156,0.0,1,1.3777662388747558e-05,203,1746157541.6995916,0.0,1384
0.25602078437805176,0.41398781538009644,331776.0,0.015625,31.933595657348633,15.83647632598877,0.09455983340740204,216,134.730483879,0.0,1,1.3777662388747558e-05,215,1746157545.6633031,0.0,1480
0.20850014686584473,0.4060715436935425,340992.0,0.013671875931322575,31.644533157348633,15.83647632598877,0.17724186182022095,222,136.736496084,0.0,1,1.3777662388747558e-05,221,1746157547.6692872,0.0,1528
0.20113477110862732,0.3927921652793884,344064.0,0.014322916977107525,31.679689407348633,15.83647632598877,0.20272061228752136,224,137.412173652,0.0,1,1.3777662388747558e-05,223,1746157548.344935,0.0,1544
0.2580435872077942,0.4343373775482178,371712.0,0.015625,31.824220657348633,15.83647632598877,0.24349254369735718,242,143.339027637,0.0,1,1.3777662388747558e-05,241,1746157554.271883,0.0,1688
0.24767746031284332,0.4396549463272095,382464.0,0.01497395895421505,32.28515625,15.83647632598877,0.3146398067474365,249,145.638239071,0.0,1,1.3777662388747558e-05,248,1746157556.571057,0.0,1744
0.2332628220319748,0.4533715844154358,385536.0,0.01497395895421505,31.430992126464844,15.83647632598877,0.3298169672489166,251,146.30380145,0.0,1,1.3777662388747558e-05,250,1746157557.2366257,0.0,1760
0.2599795162677765,0.47326964139938354,408576.0,0.014322916977107525,32.095054626464844,15.83647632598877,0.17345522344112396,266,151.288434724,0.0,1,1.3777662388747558e-05,265,1746157562.221274,0.0,1880
0.24575349688529968,0.46523407101631165,411648.0,0.01497395895421505,32.083335876464844,15.83647632598877,0.17075061798095703,268,151.944955009,0.0,1,1.3777662388747558e-05,267,1746157562.877793,0.0,1896
0.2357168197631836,0.5188618898391724,500736.0,0.015625,31.739585876464844,58.50383377075195,0.33398813009262085,326,171.208212181,0.0,1,0.6262224912643433,325,1746157582.1410499,0.00219058059155941,2360
