returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode_returns,returned_episode,_runtime,grad_steps,qvals,test_returned_episode_lengths,test_returned_won_episode,env_step,test_returned_episode,_timestamp
27.8125,0.0,43,42,5.092048922961112e-06,0.008839372545480728,0.15056076645851135,0.02083333395421505,51.397563718,96,0.5382868051528931,9.324177742004395,0.0,66048,1.0,1746467716.5866723
28.138671875,0.0,94,93,5.092048922961112e-06,0.013884250074625015,0.180860236287117,0.01953125,66.391073519,504,0.8108412623405457,9.324177742004395,0.0,144384,1.0,1746467731.5802073
29.337890625,0.0,95,94,5.092048922961112e-06,0.011726530268788338,0.17097480595111847,0.01692708395421505,66.684650116,512,0.8076854944229126,9.324177742004395,0.0,145920,1.0,1746467731.8737702
28.203125,0.0,117,116,5.092048922961112e-06,0.015095056965947151,0.18152602016925812,0.01953125,73.149666237,688,0.7825194597244263,9.324177742004395,0.0,179712,1.0,1746467738.3387954
27.93619728088379,0.0,166,165,5.092048922961112e-06,0.03078143671154976,0.17989060282707214,0.01627604104578495,87.56033988,1080,0.7604188323020935,9.324177742004395,0.0,254976,1.0,1746467752.7494555
29.17317771911621,0.0,172,171,5.092048922961112e-06,0.046779729425907135,0.1990555375814438,0.01692708395421505,89.326003447,1128,0.7559166550636292,9.324177742004395,0.0,264192,1.0,1746467754.5151017
30.10546875,0.0,173,172,5.092048922961112e-06,0.03655683994293213,0.20825953781604767,0.015625,89.619523657,1136,0.7049946188926697,9.324177742004395,0.0,265728,1.0,1746467754.8086474
28.69986915588379,0.0,205,204,5.092048922961112e-06,0.055006980895996094,0.16619010269641876,0.01888020895421505,99.021486602,1392,0.5431411266326904,9.324177742004395,0.0,314880,1.0,1746467764.2104611
28.72525978088379,0.0,215,214,5.092048922961112e-06,0.0590791180729866,0.1877439022064209,0.01627604104578495,101.962774918,1472,0.6042300462722778,9.324177742004395,0.0,330240,1.0,1746467767.1517825
29.357421875,0.0,219,218,5.092048922961112e-06,0.04703257232904434,0.1909262090921402,0.01627604104578495,103.138032464,1504,0.6108996868133545,9.324177742004395,0.0,336384,1.0,1746467768.3270361
30.4609375,0.0,237,236,5.092048922961112e-06,0.04118216410279274,0.20867879688739777,0.01692708395421505,108.435639277,1648,0.6193599700927734,9.324177742004395,0.0,364032,1.0,1746467773.6247156
29.20768165588379,0.0,290,289,5.092048922961112e-06,0.0811176598072052,0.17459025979042053,0.01692708395421505,124.031676319,2072,0.5463436841964722,9.324177742004395,0.0,445440,1.0,1746467789.2207577
29.75650978088379,0.0,292,291,5.092048922961112e-06,0.09571590274572372,0.18431945145130157,0.02018229104578495,124.619220953,2088,0.5365320444107056,9.324177742004395,0.0,448512,1.0,1746467789.8083289
28.4140625,0.0,311,310,5.092048922961112e-06,0.08461068570613861,0.13590103387832642,0.01692708395421505,130.205504326,2240,0.4191654324531555,9.324177742004395,0.0,477696,1.0,1746467795.3945832
30.13411521911621,0.0,316,315,5.092048922961112e-06,0.10042515397071838,0.15869705379009247,0.01692708395421505,131.681612061,2280,0.4117085635662079,9.324177742004395,0.0,485376,1.0,1746467796.8706865
28.94075584411621,0.0,323,322,5.092048922961112e-06,0.1260213404893875,0.1482977420091629,0.01888020895421505,133.737025845,2336,0.44987010955810547,9.324177742004395,0.0,496128,1.0,1746467798.9261177
26.919921875,0.0,330,329,0.00319646205753088,0.1663641333580017,0.14204688370227814,0.02018229104578495,135.860905683,2392,0.42392173409461975,20.803422927856445,0.0,506880,1.0,1746467801.0500298
28.388671875,0.0,335,334,0.00319646205753088,0.3620477318763733,0.12153645604848862,0.02018229104578495,137.329181512,2432,0.3721729815006256,20.803422927856445,0.0,514560,1.0,1746467802.518293
24.37630271911621,0.0,336,335,0.00319646205753088,0.23168379068374634,0.1176319420337677,0.02734375,137.622496004,2440,0.3778270483016968,20.803422927856445,0.0,516096,1.0,1746467802.8116148
30.74609375,0.0,355,354,0.00319646205753088,0.1879805624485016,0.15744011104106903,0.01692708395421505,143.211805674,2592,0.24049517512321472,20.803422927856445,0.0,545280,1.0,1746467808.400904
27.80208396911621,0.0,359,358,0.00319646205753088,0.18514671921730042,0.14525607228279114,0.01822916604578495,144.386585297,2624,0.27757924795150757,20.803422927856445,0.0,551424,1.0,1746467809.5757074
27.8203125,0.0,368,367,0.00319646205753088,0.1396767795085907,0.1321553736925125,0.01888020895421505,147.032035523,2696,0.28632989525794983,20.803422927856445,0.0,565248,1.0,1746467812.2211676
29.84244728088379,0.0,383,382,0.00319646205753088,0.26917901635169983,0.13415278494358063,0.015625,151.439955892,2816,0.3344632089138031,20.803422927856445,0.0,588288,1.0,1746467816.6290371
28.24674415588379,0.0,389,388,0.00319646205753088,0.17131072282791138,0.14599044620990753,0.01692708395421505,153.204002593,2864,0.3242093324661255,20.803422927856445,0.0,597504,1.0,1746467818.3931193
29.21809959411621,0.0,391,390,0.00319646205753088,0.23940551280975342,0.14562846720218658,0.01692708395421505,153.791683765,2880,0.3192470371723175,20.803422927856445,0.0,600576,1.0,1746467818.980778
30.57291603088379,0.0,399,398,0.00319646205753088,0.12811517715454102,0.14410503208637238,0.01627604104578495,156.145078759,2944,0.2974061369895935,20.803422927856445,0.0,612864,1.0,1746467821.3342233
28.50130271911621,0.0,406,405,0.00319646205753088,0.12069222331047058,0.15663714706897736,0.01953125,158.200839448,3000,0.2598632276058197,20.803422927856445,0.0,623616,1.0,1746467823.389951
25.79166603088379,0.0,426,425,0.00319646205753088,0.14998465776443481,0.11836544424295425,0.0234375,164.179301618,3160,0.25728991627693176,20.803422927856445,0.0,654336,1.0,1746467829.368427
30.337890625,0.0,431,430,0.00319646205753088,0.09981738030910492,0.14324304461479187,0.017578125,165.65005617,3200,0.27986353635787964,20.803422927856445,0.0,662016,1.0,1746467830.8391874
31.421875,0.0,485,484,0.00319646205753088,0.09876997023820877,0.13331682980060577,0.014322916977107525,181.517219413,3632,0.20165295898914337,20.803422927856445,0.0,744960,1.0,1746467846.706364
30.90234375,0.0,498,497,0.00319646205753088,0.10744104534387589,0.12264236062765121,0.015625,185.336233355,3736,0.19476602971553802,20.803422927856445,0.0,764928,1.0,1746467850.5253656
31.57552146911621,0.0,500,499,0.00319646205753088,0.1011185497045517,0.11543141305446625,0.014322916977107525,185.923789211,3752,0.17993590235710144,20.803422927856445,0.0,768000,1.0,1746467851.112921
31.55859375,0.0,515,514,0.00319646205753088,0.1357867419719696,0.10956336557865143,0.014322916977107525,190.331331395,3872,0.23961703479290009,20.803422927856445,0.0,791040,1.0,1746467855.5204675
