returned_episode_lengths,_runtime,test_returned_episode,env_step,update_steps,loss,test_returned_won_episode,test_returned_episode_lengths,grad_steps,returned_episode_returns,qvals,returned_episode,test_returned_episode_returns,returned_won_episode,_timestamp,_step
31.412761688232422,57.812592967,1.0,3072.0,2,0.0,0.0,16.22243309020996,0,0.11139442771673203,0.0,0.015625,0.008502827025949955,0.0,1746184156.9988515,1
29.744792938232422,58.2812301,1.0,13824.0,9,0.0,0.0,16.22243309020996,0,0.10554578900337219,0.0,0.0162760429084301,0.008502827025949955,0.0,1746184157.4676042,8
29.69270896911621,59.556267122,1.0,43008.0,28,0.0,0.0,16.22243309020996,0,0.10093168914318085,0.0,0.0162760429084301,0.008502827025949955,0.0,1746184158.7426343,27
29.427734375,60.930667543,1.0,52224.0,34,0.0037762466818094254,0.0,16.22243309020996,24,0.09648476541042328,-0.030498668551445007,0.017578125,0.008502827025949955,0.0,1746184160.117021,33
30.5,70.313152429,1.0,89088.0,58,0.003381933318451047,0.0,16.22243309020996,216,0.12582701444625854,0.5101385116577148,0.014322916977107525,0.008502827025949955,0.0,1746184169.4990342,57
30.52864646911621,82.464713374,1.0,136704.0,89,0.007779340259730816,0.0,16.22243309020996,464,0.13992369174957275,0.7686190605163574,0.01497395895421505,0.008502827025949955,0.0,1746184181.6510286,88
31.10677146911621,85.60610554,1.0,148992.0,97,0.010182942263782024,0.0,16.22243309020996,528,0.14163650572299957,0.7738906145095825,0.015625,0.008502827025949955,0.0,1746184184.7924266,96
31.47786521911621,85.997370718,1.0,150528.0,98,0.009668556973338127,0.0,16.22243309020996,536,0.15980768203735352,0.7741723656654358,0.01497395895421505,0.008502827025949955,0.0,1746184185.1836803,97
31.14974021911621,91.10526712,1.0,170496.0,111,0.011357778683304787,0.0,16.22243309020996,640,0.16672776639461517,0.7803836464881897,0.015625,0.008502827025949955,0.0,1746184190.2915628,110
31.0,93.850024373,1.0,181248.0,118,0.013911399990320206,0.0,16.22243309020996,696,0.15684805810451508,0.7036746144294739,0.015625,0.008502827025949955,0.0,1746184193.036329,117
31.60546875,94.241594382,1.0,182784.0,119,0.014260808937251568,0.0,16.22243309020996,704,0.15584060549736023,0.7106034755706787,0.014322916977107525,0.008502827025949955,0.0,1746184193.4279127,118
31.41145896911621,101.32830214,1.0,210432.0,137,0.019890859723091125,0.0,16.22243309020996,848,0.18257848918437958,0.800305187702179,0.014322916977107525,0.008502827025949955,0.0,1746184200.514605,136
31.252605438232422,104.869202856,1.0,224256.0,146,0.024997210130095482,0.0,16.22243309020996,920,0.17188811302185059,0.8014286756515503,0.014322916977107525,0.008502827025949955,0.0,1746184204.055496,145
31.072917938232422,107.215619399,1.0,233472.0,152,0.054896850138902664,0.0,16.22243309020996,968,0.17311453819274902,0.8052592873573303,0.01497395895421505,0.008502827025949955,0.0,1746184206.4019103,151
