_timestamp,test_returned_episode_lengths,returned_won_episode,returned_episode,loss,qvals,env_step,returned_episode_lengths,grad_steps,returned_episode_returns,test_returned_won_episode,update_steps,test_returned_episode_returns,_step,test_returned_episode,_runtime
1746169496.080126,15.19840145111084,0.0,0.0494791679084301,0.0,0.0,13824.0,16.119792938232422,0,0.1192491427063942,0.0,9,0.0020739631727337837,8,1.0,48.097452366
1746169497.2312307,15.19840145111084,0.0,0.0501302108168602,0.0,0.0,43008.0,15.897787094116211,0,0.106987863779068,0.0,28,0.0020739631727337837,27,1.0,49.248534956
1746169498.394916,15.19840145111084,0.0,0.0507812537252903,0.030164696276187897,0.07437051087617874,52224.0,15.541667938232422,24,0.11484375596046448,0.0,34,0.0020739631727337837,33,1.0,50.412241431
1746169501.3321047,15.19840145111084,0.0,0.0533854179084301,0.05445094779133797,0.21084368228912354,66048.0,15.375652313232422,96,0.143663227558136,0.0,43,0.0020739631727337837,42,1.0,53.349432687
1746169506.8786535,15.19840145111084,0.0,0.0559895858168602,0.05291322246193886,0.37144067883491516,92160.0,14.654297828674316,232,0.14407552778720856,0.0,60,0.0020739631727337837,59,1.0,58.895953431
1746169509.819597,15.19840145111084,0.0,0.0540364608168602,0.0617399662733078,0.4779539406299591,105984.0,14.928385734558105,304,0.13517796993255615,0.0,69,0.0020739631727337837,68,1.0,61.836972767
1746169515.365282,15.19840145111084,0.0,0.0559895858168602,0.05161707475781441,0.45096251368522644,132096.0,14.404297828674316,440,0.15138891339302063,0.0,86,0.0020739631727337837,85,1.0,67.38259555
1746169521.5659301,15.19840145111084,0.0,0.0572916679084301,0.07497638463973999,0.36142396926879883,161280.0,14.208333969116211,592,0.15414497256278992,0.0,105,0.0020739631727337837,104,1.0,73.583287446
1746169525.1562867,15.19840145111084,0.0,0.0559895858168602,0.0813186913728714,0.36177176237106323,178176.0,14.605469703674316,680,0.15846355259418488,0.0,116,0.0020739631727337837,115,1.0,77.173630534
1746169525.4825242,15.19840145111084,0.0,0.0566406287252903,0.08119907230138779,0.3559127151966095,179712.0,14.377604484558105,688,0.16801218688488007,0.0,117,0.0020739631727337837,116,1.0,77.499853446
