returned_won_episode,qvals,returned_episode,returned_episode_lengths,grad_steps,loss,test_returned_episode,update_steps,test_returned_episode_returns,returned_episode_returns,test_returned_won_episode,test_returned_episode_lengths,_timestamp,_runtime,env_step,_step
0.0,0.0,0.02408854104578495,24.9140625,0,0.0,1.0,29,0.2597247362136841,0.2551204264163971,0.0,31.024051666259766,1746202310.9326441,59.972710364,44544.0,28
0.0,0.5284328460693359,0.021484375,26.28515625,112,0.006883734371513128,1.0,45,0.2597247362136841,0.26638665795326233,0.0,31.024051666259766,1746202316.3336005,65.373889616,69120.0,44
0.0,0.561448335647583,0.02473958395421505,24.97786521911621,160,0.005770908668637276,1.0,51,0.2597247362136841,0.2819758951663971,0.0,31.024051666259766,1746202318.6076198,67.647787207,78336.0,50
0.0,0.6577394604682922,0.0234375,24.55859375,192,0.012241983786225319,1.0,55,0.2597247362136841,0.25754228234291077,0.0,31.024051666259766,1746202320.1107862,69.151032713,84480.0,54
0.0,0.6794809103012085,0.02473958395421505,26.865234375,256,0.03181694447994232,1.0,63,0.2597247362136841,0.2839452624320984,0.0,31.024051666259766,1746202323.1362615,72.176482456,96768.0,62
0.0,0.5983026027679443,0.02734375,24.65364646911621,352,0.03371810540556908,1.0,75,0.2597247362136841,0.2701627314090729,0.0,31.024051666259766,1746202327.6743293,76.71457501,115200.0,74
0.0,0.4718063771724701,0.02669270895421505,24.13802146911621,504,0.1118251234292984,1.0,94,0.2597247362136841,0.2855208218097687,0.0,31.024051666259766,1746202334.8560069,83.8962032,144384.0,93
0.0,0.43638190627098083,0.02473958395421505,25.1640625,736,0.1577894240617752,1.0,123,0.2597247362136841,0.30639973282814026,0.0,31.024051666259766,1746202345.813989,94.854174919,188928.0,122
0.0,0.4331172704696655,0.02408854104578495,25.28255271911621,816,0.1779860109090805,1.0,133,0.2597247362136841,0.29387366771698,0.0,31.024051666259766,1746202349.584376,98.624542896,204288.0,132
0.0,0.4270619750022888,0.0234375,24.966796875,840,0.09309249371290207,1.0,136,0.2597247362136841,0.31346026062965393,0.0,31.024051666259766,1746202350.7142298,99.7544758,208896.0,135
0.0,0.4093809127807617,0.02408854104578495,24.45703125,1032,0.16795718669891357,1.0,160,0.2597247362136841,0.30503901839256287,0.0,31.024051666259766,1746202359.8121076,108.85245204,245760.0,159
0.0,0.4144868850708008,0.02473958395421505,25.39192771911621,1216,0.32126128673553467,1.0,183,0.2597247362136841,0.3063085973262787,0.0,31.024051666259766,1746202368.509808,117.549977074,281088.0,182
0.0,0.40428054332733154,0.0234375,25.55924415588379,1248,0.292721152305603,1.0,187,0.2597247362136841,0.273902952671051,0.0,31.024051666259766,1746202370.0289643,119.069242854,287232.0,186
0.0,0.41078710556030273,0.025390625,25.82356834411621,1264,0.28734320402145386,1.0,189,0.2597247362136841,0.2857128381729126,0.0,31.024051666259766,1746202370.7892716,119.829474311,290304.0,188
0.0,0.44489479064941406,0.0234375,26.90885353088379,1304,0.31469178199768066,1.0,194,0.2597247362136841,0.2923567593097687,0.0,31.024051666259766,1746202372.7049022,121.745097879,297984.0,193
0.0,0.46676021814346313,0.0234375,24.88671875,1320,0.3412819504737854,1.0,196,0.2597247362136841,0.2640201449394226,0.0,31.024051666259766,1746202373.456804,122.49699907,301056.0,195
0.0,0.47203314304351807,0.02669270895421505,24.68815040588379,1336,0.2972527742385864,1.0,198,0.2597247362136841,0.3060319125652313,0.0,31.024051666259766,1746202374.2086058,123.248776389,304128.0,197
0.0,0.4554644823074341,0.02408854104578495,25.375,1384,0.24933311343193054,1.0,204,0.2597247362136841,0.25160151720046997,0.0,31.024051666259766,1746202376.478908,125.519119095,313344.0,203
0.0,0.4163791239261627,0.02473958395421505,25.30794334411621,1824,0.526839017868042,1.0,259,0.2597247362136841,0.21458005905151367,0.0,31.024051666259766,1746202397.3245716,146.364794571,397824.0,258
0.0,0.3995888829231262,0.0234375,26.1328125,1976,0.3329554796218872,1.0,278,0.2597247362136841,0.26037755608558655,0.0,31.024051666259766,1746202404.5021994,153.542389366,427008.0,277
0.0,0.42650890350341797,0.01888020895421505,26.31705665588379,2032,0.24730625748634338,1.0,285,0.2597247362136841,0.23487626016139984,0.0,31.024051666259766,1746202407.1586611,156.198820661,437760.0,284
0.0,0.4629063308238983,0.02213541604578495,26.89388084411621,2176,0.36371946334838867,1.0,303,0.2597247362136841,0.25168290734291077,0.0,31.024051666259766,1746202413.9608033,163.001153859,465408.0,302
0.0,0.5020492076873779,0.02408854104578495,26.091796875,2392,0.8076773881912231,1.0,330,0.19054438173770905,0.20126625895500183,0.0,36.182762145996094,1746202424.2544403,173.294804152,506880.0,329
0.0,0.561051607131958,0.02213541604578495,26.92513084411621,2632,0.3908643126487732,1.0,360,0.19054438173770905,0.19454427063465118,0.0,36.182762145996094,1746202435.6256235,184.665806726,552960.0,359
0.0,0.5953835248947144,0.02864583395421505,24.03190040588379,2744,0.5766445994377136,1.0,374,0.19054438173770905,0.12334635853767395,0.0,36.182762145996094,1746202440.9209003,189.961204316,574464.0,373
0.0,0.5964482426643372,0.02083333395421505,27.15755271911621,2760,0.3461262583732605,1.0,376,0.19054438173770905,0.1692415326833725,0.0,36.182762145996094,1746202441.686015,190.72620253,577536.0,375
0.0,0.591398298740387,0.021484375,26.62174415588379,2800,0.535507082939148,1.0,381,0.19054438173770905,0.17570963501930237,0.0,36.182762145996094,1746202443.593157,192.633407792,585216.0,380
0.0,0.5005237460136414,0.02083333395421505,28.83268165588379,3064,0.30354374647140503,1.0,414,0.19054438173770905,0.15914064645767212,0.0,36.182762145996094,1746202456.267056,205.307277693,635904.0,413
0.0,0.5175803899765015,0.02213541604578495,26.818359375,3072,0.3011642098426819,1.0,415,0.19054438173770905,0.14495442807674408,0.0,36.182762145996094,1746202456.6429353,205.683137348,637440.0,414
0.0,0.4618736505508423,0.021484375,28.06640625,3144,0.45386579632759094,1.0,424,0.19054438173770905,0.16196614503860474,0.0,36.182762145996094,1746202460.0456185,209.085933532,651264.0,423
0.0,0.487228125333786,0.02083333395421505,27.64322853088379,3208,0.403903603553772,1.0,432,0.19054438173770905,0.14344726502895355,0.0,36.182762145996094,1746202463.0571158,212.097282729,663552.0,431
0.0,0.5100034475326538,0.02278645895421505,26.54361915588379,3256,0.4006524682044983,1.0,438,0.19054438173770905,0.13551759719848633,0.0,36.182762145996094,1746202465.31904,214.359251189,672768.0,437
0.0,0.5053129196166992,0.02278645895421505,28.02604103088379,3408,1.0068800449371338,1.0,457,0.19054438173770905,0.13598959147930145,0.0,36.182762145996094,1746202472.5234265,221.563616946,701952.0,456
0.0,0.5004386901855469,0.0234375,26.06119728088379,3672,1.1401903629302979,1.0,490,0.19054438173770905,0.1275683492422104,0.0,36.182762145996094,1746202484.981035,234.021218024,752640.0,489
0.0,0.4982321560382843,0.02669270895421505,24.115234375,3800,1.645324945449829,1.0,506,0.19054438173770905,0.10701822489500046,0.0,36.182762145996094,1746202491.017243,240.057399184,777216.0,505
0.0,0.5392873287200928,0.02213541604578495,27.904296875,4040,2.9706153869628906,1.0,536,0.19054438173770905,0.13851237297058105,0.0,36.182762145996094,1746202502.367491,251.407660025,823296.0,535
0.0,0.5416008234024048,0.02213541604578495,27.947265625,4088,3.6580991744995117,1.0,542,0.19054438173770905,0.13079102337360382,0.0,36.182762145996094,1746202504.6223357,253.662478972,832512.0,541
0.0,0.535786509513855,0.02473958395421505,24.765625,4488,3.836320638656616,1.0,592,0.19054438173770905,0.07004882395267487,0.0,36.182762145996094,1746202523.5822299,272.622464677,909312.0,591
