returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode_returns,returned_episode,_runtime,grad_steps,qvals,test_returned_episode_lengths,test_returned_won_episode,env_step,test_returned_episode,_timestamp
30.5859375,0.0,4,3,0.11651697754859924,0.0,0.11255180835723877,0.015625,49.663235695,0,0.0,39.725955963134766,0.0,6144,1.0,1746415727.3410127
30.39192771911621,0.0,17,16,0.11651697754859924,0.0,0.09889033436775208,0.014322916977107525,50.533066375,0,0.0,39.725955963134766,0.0,26112,1.0,1746415728.2106762
31.459636688232422,0.0,35,34,0.11651697754859924,0.004070993512868881,0.1089228019118309,0.015625,53.101641115,32,0.2291359007358551,39.725955963134766,0.0,53760,1.0,1746415730.7791975
30.2578125,0.0,42,41,0.11651697754859924,0.004199754912406206,0.10526903718709946,0.015625,55.934924524,88,0.3796004056930542,39.725955963134766,0.0,64512,1.0,1746415733.612657
30.73567771911621,0.0,49,48,0.11651697754859924,0.0018332917243242264,0.12553244829177856,0.015625,58.777892446,144,0.24005618691444397,39.725955963134766,0.0,75264,1.0,1746415736.4554853
31.46224021911621,0.0,57,56,0.11651697754859924,0.003263221587985754,0.1360568255186081,0.01497395895421505,62.007740362,208,0.37829455733299255,39.725955963134766,0.0,87552,1.0,1746415739.6853735
30.22786521911621,0.0,60,59,0.11651697754859924,0.0031157152261584997,0.11661585420370102,0.01497395895421505,63.228391061,232,0.41441571712493896,39.725955963134766,0.0,92160,1.0,1746415740.9061098
30.75390625,0.0,63,62,0.11651697754859924,0.00799860805273056,0.13394272327423096,0.014322916977107525,64.437402965,256,0.4729622006416321,39.725955963134766,0.0,96768,1.0,1746415742.115154
30.705730438232422,0.0,85,84,0.11651697754859924,0.008047312498092651,0.14282354712486267,0.014322916977107525,73.317420174,432,0.6638781428337097,39.725955963134766,0.0,130560,1.0,1746415750.9950783
29.93099021911621,0.0,113,112,0.11651697754859924,0.022491957992315292,0.13958527147769928,0.014322916977107525,84.623028977,656,0.7326805591583252,39.725955963134766,0.0,173568,1.0,1746415762.300774
31.752605438232422,0.0,115,114,0.11651697754859924,0.016875337809324265,0.15079903602600098,0.01497395895421505,85.431450438,672,0.7231020927429199,39.725955963134766,0.0,176640,1.0,1746415763.109061
31.05078125,0.0,133,132,0.11651697754859924,0.03190549463033676,0.15120342373847961,0.01497395895421505,92.695797791,816,0.7361501455307007,39.725955963134766,0.0,204288,1.0,1746415770.3735902
31.28255271911621,0.0,140,139,0.11651697754859924,0.020054154098033905,0.15615226328372955,0.015625,95.523016544,872,0.7510152459144592,39.725955963134766,0.0,215040,1.0,1746415773.2006977
30.890625,0.0,155,154,0.11651697754859924,0.02826717123389244,0.16635662317276,0.015625,101.593102666,992,0.8371720314025879,39.725955963134766,0.0,238080,1.0,1746415779.2708938
31.588542938232422,0.0,157,156,0.11651697754859924,0.026958011090755463,0.14884190261363983,0.014322916977107525,102.40062881,1008,0.8341936469078064,39.725955963134766,0.0,241152,1.0,1746415780.0783246
31.03515625,0.0,162,161,0.11651697754859924,0.05206768959760666,0.15200476348400116,0.014322916977107525,104.425853291,1048,0.8536585569381714,39.725955963134766,0.0,248832,1.0,1746415782.1036043
31.35286521911621,0.0,177,176,0.11651697754859924,0.032121092081069946,0.16293488442897797,0.015625,110.490251077,1168,0.8860681056976318,39.725955963134766,0.0,271872,1.0,1746415788.1680295
31.35546875,0.0,189,188,0.11651697754859924,0.03291015326976776,0.17271071672439575,0.015625,115.334200931,1264,0.8827852010726929,39.725955963134766,0.0,290304,1.0,1746415793.0119302
30.908855438232422,0.0,198,197,0.11651697754859924,0.03605224937200546,0.16510343551635742,0.013671875,118.961488134,1336,0.8791521191596985,39.725955963134766,0.0,304128,1.0,1746415796.639258
31.4140625,0.0,206,205,0.11651697754859924,0.0396500900387764,0.17017638683319092,0.014322916977107525,122.201763362,1400,0.889633059501648,39.725955963134766,0.0,316416,1.0,1746415799.8795273
31.369792938232422,0.0,220,219,0.11651697754859924,0.041402727365493774,0.1675150841474533,0.014322916977107525,127.855819624,1512,0.9140856266021729,39.725955963134766,0.0,337920,1.0,1746415805.533613
30.791667938232422,0.0,221,220,0.11651697754859924,0.04252585023641586,0.17665821313858032,0.013671875,128.258675939,1520,0.9167346358299255,39.725955963134766,0.0,339456,1.0,1746415805.9364583
31.225261688232422,0.0,243,242,0.11651697754859924,0.0858791396021843,0.18837153911590576,0.015625,137.152140001,1696,0.9427053332328796,39.725955963134766,0.0,373248,1.0,1746415814.8298686
31.736980438232422,0.0,256,255,0.11651697754859924,0.16327723860740662,0.19518296420574188,0.015625,142.411552973,1800,0.9307327270507812,39.725955963134766,0.0,393216,1.0,1746415820.0890205
31.338542938232422,0.0,261,260,0.11651697754859924,0.06103372573852539,0.18507885932922363,0.015625,144.42740996,1840,0.9412581920623779,39.725955963134766,0.0,400896,1.0,1746415822.1052074
