_timestamp,update_steps,env_step,returned_won_episode,loss,qvals,returned_episode,returned_episode_lengths,grad_steps,test_returned_episode_returns,test_returned_episode_lengths,_step,returned_episode_returns,test_returned_episode,test_returned_won_episode,_runtime
1746174921.5162165,5,7680.0,0.0,0.0,0.0,0.0416666679084301,17.99349021911621,0,0.19593846797943115,23.053424835205078,4,0.1443537026643753,1.0,0.0,60.492506893
1746174921.8882613,10,15360.0,0.0,0.0,0.0,0.0449218787252903,17.392578125,0,0.19593846797943115,23.053424835205078,9,0.13500237464904785,1.0,0.0,60.85605358
1746174922.1078236,13,19968.0,0.0,0.0,0.0,0.0436197929084301,17.52669334411621,0,0.19593846797943115,23.053424835205078,12,0.14018701016902924,1.0,0.0,61.075600937
1746174922.400786,17,26112.0,0.0,0.0,0.0,0.0455729179084301,17.664714813232422,0,0.19593846797943115,23.053424835205078,16,0.14578598737716675,1.0,0.0,61.368582008
1746174922.6937816,21,32256.0,0.0,0.0,0.0,0.0403645858168602,18.43294334411621,0,0.19593846797943115,23.053424835205078,20,0.1402580589056015,1.0,0.0,61.661535567
1746174922.9867322,25,38400.0,0.0,0.0,0.0,0.0442708358168602,18.18684959411621,0,0.19593846797943115,23.053424835205078,24,0.1452769935131073,1.0,0.0,61.954497441
1746174923.0600724,26,39936.0,0.0,0.0,0.0,0.0442708358168602,17.598308563232422,0,0.19593846797943115,23.053424835205078,25,0.1411813497543335,1.0,0.0,62.027863147
1746174936.1479373,59,90624.0,0.0,0.01941642351448536,0.3927963972091675,0.0468750037252903,16.763671875,224,0.19593846797943115,23.053424835205078,58,0.1676136553287506,1.0,0.0,75.115795857
1746174938.4392192,64,98304.0,0.0,0.02775801531970501,0.49133265018463135,0.0429687537252903,17.53515625,264,0.19593846797943115,23.053424835205078,63,0.15362216532230377,1.0,0.0,77.407110581
1746174941.145613,70,107520.0,0.0,0.020137807354331017,0.5805031061172485,0.0462239608168602,16.98958396911621,312,0.19593846797943115,23.053424835205078,69,0.16399149596691132,1.0,0.0,80.113480229
1746174942.5099523,73,112128.0,0.0,0.04330133646726608,0.5616754293441772,0.0436197929084301,17.11263084411621,336,0.19593846797943115,23.053424835205078,72,0.1663825958967209,1.0,0.0,81.477852272
1746174954.7619267,100,153600.0,0.0,0.022990822792053223,0.633182168006897,0.0481770858168602,16.361980438232422,552,0.19593846797943115,23.053424835205078,99,0.1699218899011612,1.0,0.0,93.729809526
1746174960.6871352,113,173568.0,0.0,0.0393950417637825,0.6562747955322266,0.0468750037252903,16.80794334411621,656,0.19593846797943115,23.053424835205078,112,0.18167614936828613,1.0,0.0,99.655012546
1746174962.9436562,118,181248.0,0.0,0.02539779059588909,0.6288919448852539,0.0468750037252903,17.095703125,696,0.19593846797943115,23.053424835205078,117,0.18513259291648865,1.0,0.0,101.911493427
1746174968.3895469,130,199680.0,0.0,0.03701585903763771,0.5737887620925903,0.0481770858168602,16.626953125,792,0.19593846797943115,23.053424835205078,129,0.18125000596046448,1.0,0.0,107.357398726
1746174973.4621778,141,216576.0,0.0,0.03509017080068588,0.5541769862174988,0.0449218787252903,16.97265625,880,0.19593846797943115,23.053424835205078,140,0.19396309554576874,1.0,0.0,112.430164714
1746174982.0728095,160,245760.0,0.0,0.04094427451491356,0.5099514722824097,0.0475260429084301,16.740886688232422,1032,0.19593846797943115,23.053424835205078,159,0.19854405522346497,1.0,0.0,121.04064558
1746174983.4332154,163,250368.0,0.0,0.04866559058427811,0.523539125919342,0.0488281287252903,16.547527313232422,1056,0.19593846797943115,23.053424835205078,162,0.19878080487251282,1.0,0.0,122.401104227
1746174990.2758634,178,273408.0,0.0,0.18497607111930847,0.4404682517051697,0.0501302108168602,16.221355438232422,1176,0.19593846797943115,23.053424835205078,177,0.1868608295917511,1.0,0.0,129.243742041
1746174991.6553388,181,278016.0,0.0,0.16547998785972595,0.46001744270324707,0.0501302108168602,16.42513084411621,1200,0.19593846797943115,23.053424835205078,180,0.18810372054576874,1.0,0.0,130.623208796
1746174993.0516098,184,282624.0,0.0,0.06792327016592026,0.4631083309650421,0.0520833358168602,15.617839813232422,1224,0.19593846797943115,23.053424835205078,183,0.2197916954755783,1.0,0.0,132.019506766
1746174995.305402,189,290304.0,0.0,0.06415623426437378,0.46890324354171753,0.0501302108168602,16.356121063232422,1264,0.19593846797943115,23.053424835205078,188,0.21201470494270325,1.0,0.0,134.273277304
1746174995.7566993,190,291840.0,0.0,0.06359776854515076,0.47012609243392944,0.0494791679084301,16.08138084411621,1272,0.19593846797943115,23.053424835205078,189,0.20711413025856018,1.0,0.0,134.724574313
1746174996.207944,191,293376.0,0.0,0.07717493176460266,0.4715915322303772,0.0514322929084301,15.542969703674316,1280,0.19593846797943115,23.053424835205078,190,0.21508052945137024,1.0,0.0,135.175929192
