test_returned_episode_returns,returned_won_episode,_step,env_step,test_returned_episode,_runtime,update_steps,returned_episode_lengths,returned_episode,_timestamp,qvals,test_returned_episode_lengths,loss,grad_steps,test_returned_won_episode,returned_episode_returns
0.05349572002887726,0.0,8,13824.0,1.0,58.683658324,9,30.39453125,0.01497395895421505,1746163353.6579394,0.0,25.097970962524414,0.0,0,0.0,0.10765647888183594
0.05349572002887726,0.0,19,30720.0,1.0,59.401761852,20,30.97005271911621,0.015625,1746163354.376057,0.0,25.097970962524414,0.0,0,0.0,0.12185369431972504
0.05349572002887726,0.0,20,32256.0,1.0,59.467528133,21,30.529949188232422,0.01497395895421505,1746163354.4416773,0.0,25.097970962524414,0.0,0,0.0,0.11782222241163254
0.05349572002887726,0.0,23,36864.0,1.0,59.662324525,24,30.68099021911621,0.014322916977107525,1746163354.6366396,0.0,25.097970962524414,0.0,0,0.0,0.11136534065008163
0.05349572002887726,0.0,53,82944.0,1.0,69.448994795,54,30.97005271911621,0.013671875,1746163364.4230204,0.47698596119880676,25.097970962524414,0.005325044970959425,184,0.0,0.1366889327764511
0.05349572002887726,0.0,62,96768.0,1.0,73.066754959,63,31.22265625,0.01497395895421505,1746163368.040966,0.5796352028846741,25.097970962524414,0.010840313509106636,256,0.0,0.14404311776161194
0.05349572002887726,0.0,66,102912.0,1.0,74.709780606,67,31.065105438232422,0.013671875,1746163369.6838605,0.6073392033576965,25.097970962524414,0.005776156205683947,288,0.0,0.14656230807304382
0.05349572002887726,0.0,68,105984.0,1.0,75.507422085,69,30.78515625,0.014322916977107525,1746163370.4816456,0.6135854125022888,25.097970962524414,0.0054122330620884895,304,0.0,0.15151681005954742
0.05349572002887726,0.0,118,182784.0,1.0,95.687614234,119,31.518230438232422,0.014322916977107525,1746163390.6618278,0.7926583290100098,25.097970962524414,0.01483544334769249,704,0.0,0.168870210647583
0.05349572002887726,0.0,128,198144.0,1.0,99.692810297,129,31.171875,0.014322916977107525,1746163394.666993,0.8281771540641785,25.097970962524414,0.018092315644025803,784,0.0,0.1690138578414917
0.05349572002887726,0.0,141,218112.0,1.0,104.964740652,142,31.81380271911621,0.01497395895421505,1746163399.938888,0.9399039149284363,25.097970962524414,0.04822400212287903,888,0.0,0.17019341886043549
0.05349572002887726,0.0,155,239616.0,1.0,110.613178939,156,31.79817771911621,0.013671875,1746163405.5874786,0.9699864387512207,25.097970962524414,0.022167466580867767,1000,0.0,0.18081983923912048
0.05349572002887726,0.0,169,261120.0,1.0,116.231583577,170,31.90364646911621,0.015625,1746163411.2058384,0.9315128922462463,25.097970962524414,0.02577812224626541,1112,0.0,0.19440346956253052
0.05349572002887726,0.0,176,271872.0,1.0,119.080490034,177,30.420574188232422,0.013671875,1746163414.054698,0.957649827003479,25.097970962524414,0.045327261090278625,1168,0.0,0.1763496845960617
