returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,grad_steps,returned_episode_returns,test_returned_episode_lengths,test_returned_won_episode,test_returned_episode,qvals,env_step,_timestamp
28.22916603088379,0.0,4,3,0.07050636410713196,0.0,0.01888020895421505,45.685815899,0,0.15003037452697754,21.240447998046875,0.0,1.0,0.0,6144,1746471632.8007357
27.9609375,0.0,17,16,0.07050636410713196,0.0,0.01888020895421505,46.402679489,0,0.13346441090106964,21.240447998046875,0.0,1.0,0.0,26112,1746471633.517601
26.72135353088379,0.0,35,34,0.07050636410713196,0.009795543737709522,0.017578125,48.352836338,32,0.13684983551502228,21.240447998046875,0.0,1.0,0.033442623913288116,53760,1746471635.4677515
28.12434959411621,0.0,42,41,0.07050636410713196,0.01800556108355522,0.02083333395421505,50.413325438,88,0.16148610413074493,21.240447998046875,0.0,1.0,0.3619116544723511,64512,1746471637.528254
27.60807228088379,0.0,49,48,0.07050636410713196,0.005705587565898895,0.01888020895421505,52.468033907,144,0.15009808540344238,21.240447998046875,0.0,1.0,0.5991043448448181,75264,1746471639.5829563
27.28645896911621,0.0,57,56,0.07050636410713196,0.007195951417088509,0.01888020895421505,54.817387805,208,0.1573767215013504,21.240447998046875,0.0,1.0,0.7328063249588013,87552,1746471641.9323342
28.22005271911621,0.0,60,59,0.07050636410713196,0.006613521836698055,0.01953125,55.698222152,232,0.15531161427497864,21.240447998046875,0.0,1.0,0.7049112319946289,92160,1746471642.8131654
27.29361915588379,0.0,63,62,0.07050636410713196,0.011645068414509296,0.01692708395421505,56.582220476,256,0.15166665613651276,21.240447998046875,0.0,1.0,0.7957998514175415,96768,1746471643.6971304
27.69205665588379,0.0,85,84,0.07050636410713196,0.009889778681099415,0.017578125,63.049582643,432,0.16911457479000092,21.240447998046875,0.0,1.0,0.8369800448417664,130560,1746471650.1645374
27.78385353088379,0.0,113,112,0.07050636410713196,0.01938702166080475,0.02083333395421505,71.277013731,656,0.1775086671113968,21.240447998046875,0.0,1.0,0.8779982328414917,173568,1746471658.3919325
29.56510353088379,0.0,115,114,0.07050636410713196,0.016171734780073166,0.017578125,71.864841575,672,0.18004772067070007,21.240447998046875,0.0,1.0,0.8574919104576111,176640,1746471658.978994
28.39778709411621,0.0,133,132,0.07050636410713196,0.0244133360683918,0.01692708395421505,77.154319428,816,0.18310590088367462,21.240447998046875,0.0,1.0,0.8723830580711365,204288,1746471664.269246
29.17578125,0.0,140,139,0.07050636410713196,0.016285868361592293,0.01692708395421505,79.21257045,872,0.1928333193063736,21.240447998046875,0.0,1.0,0.8658751845359802,215040,1746471666.3274894
28.67903709411621,0.0,155,154,0.07050636410713196,0.023308508098125458,0.01692708395421505,83.61751847,992,0.18206769227981567,21.240447998046875,0.0,1.0,0.8210687637329102,238080,1746471670.7324417
29.57291603088379,0.0,157,156,0.07050636410713196,0.02243843488395214,0.017578125,84.205213644,1008,0.1883532702922821,21.240447998046875,0.0,1.0,0.8235441446304321,241152,1746471671.3201325
27.744140625,0.0,162,161,0.07050636410713196,0.033354755491018295,0.01692708395421505,85.674796804,1048,0.17935937643051147,21.240447998046875,0.0,1.0,0.8206172585487366,248832,1746471672.7892284
28.14778709411621,0.0,177,176,0.07050636410713196,0.0326857827603817,0.01888020895421505,90.081304691,1168,0.1888454705476761,21.240447998046875,0.0,1.0,0.7970557808876038,271872,1746471677.1962292
