returned_won_episode,test_returned_episode,loss,_runtime,returned_episode,qvals,test_returned_won_episode,returned_episode_returns,update_steps,env_step,test_returned_episode_returns,_timestamp,grad_steps,returned_episode_lengths,test_returned_episode_lengths,_step
0.0,1.0,0.0,80.052123489,0.01302083395421505,0.0,0.0,0.11196719110012054,12,18432.0,0.0021785947028547525,1746162009.6234143,0,30.623699188232422,22.5455265045166,11
0.0,1.0,0.0,80.542592223,0.01497395895421505,0.0,0.0,0.11223741620779037,20,30720.0,0.0021785947028547525,1746162010.113685,0,29.373699188232422,22.5455265045166,19
0.0,1.0,0.0,80.66496576,0.015625,0.0,0.0,0.10586687177419662,22,33792.0,0.0021785947028547525,1746162010.2363691,0,29.479167938232422,22.5455265045166,21
0.0,1.0,0.0,80.788151409,0.01497395895421505,0.0,0.0,0.11947944760322571,24,36864.0,0.0021785947028547525,1746162010.359385,0,29.451824188232422,22.5455265045166,23
0.0,1.0,0.0,81.03324893,0.01497395895421505,0.0,0.0,0.12835970520973206,28,43008.0,0.0021785947028547525,1746162010.6047335,0,30.283855438232422,22.5455265045166,27
0.0,1.0,0.0,81.155762479,0.0162760429084301,0.0,0.0,0.12525002658367157,30,46080.0,0.0021785947028547525,1746162010.7271702,0,31.410158157348633,22.5455265045166,29
0.0,1.0,0.004462697543203831,83.837934984,0.014322916977107525,0.16241666674613953,0.0,0.11290045082569122,39,59904.0,0.0021785947028547525,1746162013.4089634,64,30.476564407348633,22.5455265045166,38
0.0,1.0,0.005916040390729904,87.423421237,0.013671875931322575,0.3784632682800293,0.0,0.13951407372951508,50,76800.0,0.0021785947028547525,1746162016.9947455,152,29.871095657348633,22.5455265045166,49
0.0,1.0,0.008083662949502468,89.073004687,0.01302083395421505,0.5544657111167908,0.0,0.137581929564476,55,84480.0,0.0021785947028547525,1746162018.6441832,192,30.532554626464844,22.5455265045166,54
0.0,1.0,0.011270593851804733,96.276278562,0.014322916977107525,0.7414935827255249,0.0,0.17262132465839386,77,118272.0,0.0021785947028547525,1746162025.8475413,368,31.184898376464844,22.5455265045166,76
