test_returned_episode_lengths,_runtime,returned_episode_returns,returned_won_episode,returned_episode,grad_steps,returned_episode_lengths,test_returned_episode_returns,test_returned_episode,_timestamp,qvals,update_steps,env_step,test_returned_won_episode,loss,_step
14.325743675231934,56.095446947,0.15255683660507202,0.0,0.0429687537252903,96,17.73046875,0.24112875759601593,1.0,1746181126.7608888,0.19215290248394012,43,66048.0,0.0,0.02737720124423504,42
14.325743675231934,79.365417688,0.1501302272081375,0.0,0.0449218787252903,504,17.09700584411621,0.24112875759601593,1.0,1746181150.030867,0.3051350712776184,94,144384.0,0.0,0.06518243253231049,93
14.325743675231934,79.821731666,0.15819130837917328,0.0,0.0468750037252903,512,16.85481834411621,0.24112875759601593,1.0,1746181150.487173,0.29824209213256836,95,145920.0,0.0,0.08269649744033813,94
14.325743675231934,89.860066995,0.1702059805393219,0.0,0.0449218787252903,688,17.024089813232422,0.24112875759601593,1.0,1746181160.5255117,0.1978457272052765,117,179712.0,0.0,0.0730847716331482,116
14.325743675231934,112.222483798,0.17027699947357178,0.0,0.0475260429084301,1080,16.796875,0.24112875759601593,1.0,1746181182.8879251,0.22962187230587006,166,254976.0,0.0,0.132414311170578,165
14.325743675231934,114.958811205,0.1781131774187088,0.0,0.0462239608168602,1128,17.33333396911621,0.24112875759601593,1.0,1746181185.6242514,0.22611917555332184,172,264192.0,0.0,0.08239473402500153,171
14.325743675231934,115.414963738,0.1944839209318161,0.0,0.0442708358168602,1136,17.04817771911621,0.24112875759601593,1.0,1746181186.080419,0.2171320915222168,173,265728.0,0.0,0.07120086997747421,172
14.325743675231934,130.015713914,0.1716856062412262,0.0,0.0429687537252903,1392,17.947917938232422,0.24112875759601593,1.0,1746181200.6811755,0.13634070754051208,205,314880.0,0.0,0.13253319263458252,204
14.325743675231934,134.578127049,0.16446498036384583,0.0,0.0429687537252903,1472,17.615234375,0.24112875759601593,1.0,1746181205.2435539,0.13924986124038696,215,330240.0,0.0,0.2687196135520935,214
14.325743675231934,136.403826517,0.1954072117805481,0.0,0.0475260429084301,1504,16.47981834411621,0.24112875759601593,1.0,1746181207.069254,0.130845844745636,219,336384.0,0.0,0.2244117110967636,218
14.325743675231934,144.620265631,0.19828365743160248,0.0,0.0423177108168602,1648,17.87434959411621,0.24112875759601593,1.0,1746181215.285689,0.1516222059726715,237,364032.0,0.0,0.18935233354568481,236
14.325743675231934,168.819014704,0.22671639919281006,0.0,0.0475260429084301,2072,16.604167938232422,0.24112875759601593,1.0,1746181239.4844718,0.1487381011247635,290,445440.0,0.0,0.15829864144325256,289
14.325743675231934,169.731215643,0.20576471090316772,0.0,0.0449218787252903,2088,17.48567771911621,0.24112875759601593,1.0,1746181240.396662,0.15340183675289154,292,448512.0,0.0,0.14316928386688232,291
14.325743675231934,178.402581534,0.24112220108509064,0.0,0.0462239608168602,2240,17.209636688232422,0.24112875759601593,1.0,1746181249.0679808,0.14354950189590454,311,477696.0,0.0,0.06343754380941391,310
14.325743675231934,180.686415249,0.2622278034687042,0.0,0.0475260429084301,2280,16.711589813232422,0.24112875759601593,1.0,1746181251.351845,0.13907486200332642,316,485376.0,0.0,0.05952586606144905,315
14.325743675231934,183.879783889,0.24530071020126343,0.0,0.0455729179084301,2336,16.56575584411621,0.24112875759601593,1.0,1746181254.5452316,0.1565834879875183,323,496128.0,0.0,0.05759727954864502,322
19.12710189819336,187.190600652,0.2744792103767395,0.0,0.0494791679084301,2392,16.33724021911621,0.564441978931427,1.0,1746181257.8560376,0.14946356415748596,330,506880.0,0.0,0.05417522042989731,329
19.12710189819336,189.472425602,0.2866714596748352,0.0,0.0507812537252903,2432,15.753907203674316,0.564441978931427,1.0,1746181260.13782,0.14735428988933563,335,514560.0,0.0,0.05604911595582962,334
19.12710189819336,189.92869384,0.25247400999069214,0.0,0.0449218787252903,2440,17.190105438232422,0.564441978931427,1.0,1746181260.5941124,0.14943969249725342,336,516096.0,0.0,0.05045579373836517,335
19.12710189819336,198.599390492,0.2729995846748352,0.0,0.0494791679084301,2592,15.668621063232422,0.564441978931427,1.0,1746181269.2648463,0.1299840360879898,355,545280.0,0.0,0.07185815274715424,354
19.12710189819336,200.424092571,0.2794863283634186,0.0,0.0475260429084301,2624,16.67708396911621,0.564441978931427,1.0,1746181271.0895193,0.131697878241539,359,551424.0,0.0,0.04174104705452919,358
19.12710189819336,204.528728419,0.3048177659511566,0.0,0.0475260429084301,2696,16.094402313232422,0.564441978931427,1.0,1746181275.1941838,0.14164087176322937,368,565248.0,0.0,0.05025119334459305,367
19.12710189819336,211.375929961,0.2708807587623596,0.0,0.0416666679084301,2816,17.52864646911621,0.564441978931427,1.0,1746181282.0413713,0.10491088032722473,383,588288.0,0.0,0.0489836111664772,382
19.12710189819336,214.114223377,0.3276989161968231,0.0,0.0514322929084301,2864,15.871746063232422,0.564441978931427,1.0,1746181284.7796695,0.10618461668491364,389,597504.0,0.0,0.04453187435865402,388
19.12710189819336,215.026363955,0.32594701647758484,0.0,0.0527343787252903,2880,14.917969703674316,0.564441978931427,1.0,1746181285.6918201,0.10886932909488678,391,600576.0,0.0,0.04714096337556839,390
19.12710189819336,218.678382961,0.3379025459289551,0.0,0.0533854179084301,2944,14.912110328674316,0.564441978931427,1.0,1746181289.3437986,0.08935260772705078,399,612864.0,0.0,0.05864086002111435,398
19.12710189819336,221.874779029,0.2582623362541199,0.0,0.0423177108168602,3000,18.34114646911621,0.564441978931427,1.0,1746181292.5402162,0.06874148547649384,406,623616.0,0.0,0.18066006898880005,405
19.12710189819336,231.067242235,0.3690815269947052,0.0,0.0611979216337204,3160,13.709635734558105,0.564441978931427,1.0,1746181301.7326798,0.03412216901779175,426,654336.0,0.0,0.047728195786476135,425
19.12710189819336,233.349146866,0.3689867854118347,0.0,0.0605468787252903,3200,13.751302719116211,0.564441978931427,1.0,1746181304.0145862,0.03883490711450577,431,662016.0,0.0,0.061359748244285583,430
19.12710189819336,257.998061793,0.4355350732803345,0.0,0.0618489608168602,3632,13.551432609558105,0.564441978931427,1.0,1746181328.6635249,0.06677399575710297,485,744960.0,0.0,0.038839664310216904,484
19.12710189819336,263.931330944,0.465956449508667,0.0,0.0618489608168602,3736,13.330079078674316,0.564441978931427,1.0,1746181334.596761,0.06152523308992386,498,764928.0,0.0,0.0410393550992012,497
19.12710189819336,264.843173568,0.45785990357398987,0.0,0.0598958358168602,3752,14.213541984558105,0.564441978931427,1.0,1746181335.5085876,0.06405484676361084,500,768000.0,0.0,0.03897946700453758,499
19.12710189819336,271.689036162,0.48881393671035767,0.0,0.0625,3872,13.445963859558105,0.564441978931427,1.0,1746181342.3545034,0.05147828161716461,515,791040.0,0.0,0.0677652508020401,514
19.12710189819336,272.14515097,0.46442946791648865,0.0,0.0566406287252903,3880,14.164713859558105,0.564441978931427,1.0,1746181342.8105836,0.056640662252902985,516,792576.0,0.0,0.06637237221002579,515
19.12710189819336,274.881583451,0.47803032398223877,0.0,0.0592447929084301,3928,14.008463859558105,0.564441978931427,1.0,1746181345.5470324,0.03694605827331543,522,801792.0,0.0,0.06913375854492188,521
19.12710189819336,280.3551662,0.4765744209289551,0.0,0.0566406287252903,4024,14.311198234558105,0.564441978931427,1.0,1746181351.0206206,-0.029767747968435287,534,820224.0,0.0,0.04728059470653534,533
19.12710189819336,287.655611918,0.5089962482452393,0.0,0.0579427108168602,4152,14.167318344116211,0.564441978931427,1.0,1746181358.321057,-0.0018505227053537965,550,844800.0,0.0,0.050177522003650665,549
19.12710189819336,296.321530055,0.49560847878456116,0.0,0.0540364608168602,4304,15.034505844116211,0.564441978931427,1.0,1746181366.9869642,-0.057677894830703735,569,873984.0,0.0,0.11717308312654495,568
19.12710189819336,296.777347802,0.5148792862892151,0.0,0.064453125,4312,12.985677719116211,0.564441978931427,1.0,1746181367.4427872,-0.057460762560367584,570,875520.0,0.0,0.10561636090278625,569
19.12710189819336,297.233525138,0.5025213360786438,0.0,0.0677083358168602,4320,12.860677719116211,0.564441978931427,1.0,1746181367.8989656,-0.053207263350486755,571,877056.0,0.0,0.11744123697280884,570
19.12710189819336,303.62068153,0.5023201107978821,0.0,0.064453125,4432,12.952474594116211,0.564441978931427,1.0,1746181374.2861485,-0.03373011201620102,585,898560.0,0.0,0.08213942497968674,584
19.12710189819336,304.988544729,0.5012547969818115,0.0,0.0631510466337204,4456,13.123698234558105,0.564441978931427,1.0,1746181375.653994,-0.03589065745472908,588,903168.0,0.0,0.08219468593597412,587
