test_returned_won_episode,returned_episode_returns,returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,loss,returned_episode,_runtime,test_returned_episode_lengths,test_returned_episode,grad_steps,env_step,qvals,_timestamp
0.0,0.28007808327674866,25.232421875,0.0,53,52,0.038202591240406036,0.015992745757102966,0.02408854104578495,58.502846794999996,18.756948471069336,1.0,176,81408,0.7773728966712952,1746198823.833563
0.0,0.2898404896259308,25.61328125,0.0,72,71,0.038202591240406036,0.09099837392568588,0.0234375,65.586455365,18.756948471069336,1.0,328,110592,0.9715511202812195,1746198830.9171808
0.0,0.2832682132720947,26.86002540588379,0.0,76,75,0.038202591240406036,0.02235354669392109,0.02213541604578495,67.076465165,18.756948471069336,1.0,360,116736,0.9221271276473999,1746198832.4071562
0.0,0.3018326461315155,25.38606834411621,0.0,87,86,0.038202591240406036,0.0312710739672184,0.02408854104578495,71.175686835,18.756948471069336,1.0,448,133632,0.9110714197158813,1746198836.5064132
0.0,0.2751562297344208,24.58268165588379,0.0,118,117,0.038202591240406036,0.10314631462097168,0.02213541604578495,82.712404423,18.756948471069336,1.0,696,181248,0.6429681181907654,1746198848.043096
0.0,0.2686588168144226,25.12434959411621,0.0,136,135,0.038202591240406036,0.13773739337921143,0.02408854104578495,89.418215609,18.756948471069336,1.0,840,208896,0.5187127590179443,1746198854.7489429
0.0,0.28800779581069946,27.22005271911621,0.0,144,143,0.038202591240406036,0.09823288023471832,0.0234375,92.402459379,18.756948471069336,1.0,904,221184,0.4904601275920868,1746198857.7331414
0.0,0.3025130033493042,24.18619728088379,0.0,182,181,0.038202591240406036,0.2765808403491974,0.0234375,106.572430382,18.756948471069336,1.0,1208,279552,0.47535794973373413,1746198871.9031591
0.0,0.308173805475235,26.44856834411621,0.0,189,188,0.038202591240406036,0.2714223265647888,0.02213541604578495,109.178060756,18.756948471069336,1.0,1264,290304,0.46689537167549133,1746198874.5087745
0.0,0.31578123569488525,24.91145896911621,0.0,194,193,0.038202591240406036,0.27344271540641785,0.025390625,111.045902044,18.756948471069336,1.0,1304,297984,0.47044989466667175,1746198876.3766367
