returned_episode_lengths,returned_won_episode,update_steps,_step,test_returned_episode_returns,returned_episode,loss,test_returned_won_episode,grad_steps,test_returned_episode,_runtime,test_returned_episode_lengths,env_step,returned_episode_returns,qvals,_timestamp
23.734376907348633,0.0,19,18,0.29371723532676697,0.0260416679084301,0.0,0.0,0,0.9999999403953552,63.683940652,25.921756744384766,29184,0.2110222429037094,0.0,1747620457.985488
24.27864646911621,0.0,21,20,0.29371723532676697,0.02539062686264515,0.0,0.0,0,0.9999999403953552,63.806706561,25.921756744384766,32256,0.17560537159442902,0.0,1747620458.108166
23.555339813232422,0.0,36,35,0.29371723532676697,0.02473958395421505,0.04754796624183655,0.0,40,0.9999999403953552,66.050286421,25.921756744384766,55296,0.21322813630104065,-0.12813375890254974,1747620460.351661
23.58919334411621,0.0,73,72,0.29371723532676697,0.02539062686264515,0.1143970787525177,0.0,336,0.9999999403953552,78.075266465,25.921756744384766,112128,0.2650120258331299,0.6452093720436096,1747620472.3766718
25.085939407348633,0.0,83,82,0.29371723532676697,0.02539062686264515,0.1416938602924347,0.0,416,0.9999999403953552,81.345606049,25.921756744384766,127488,0.2516038417816162,0.7263889312744141,1747620475.6468563
24.615886688232422,0.0,112,111,0.29371723532676697,0.0240885429084301,0.23121938109397888,0.0,648,0.9999999403953552,90.771872026,25.921756744384766,172032,0.3211396634578705,0.758827805519104,1747620485.0733154
26.537111282348633,0.0,145,144,0.29371723532676697,0.02343750186264515,0.16186127066612244,0.0,912,0.9999999403953552,101.559563522,25.921756744384766,222720,0.3016994595527649,0.731818675994873,1747620495.8609693
24.324871063232422,0.0,208,207,0.29371723532676697,0.02539062686264515,0.13534191250801086,0.0,1416,0.9999999403953552,122.055002783,25.921756744384766,319488,0.33116668462753296,0.7422257661819458,1747620516.3564496
24.430339813232422,0.0,267,266,0.29371723532676697,0.02669270895421505,0.12453679740428925,0.0,1888,0.9999999403953552,141.290876784,25.921756744384766,410112,0.33408594131469727,0.7708842158317566,1747620535.5923357
25.043621063232422,0.0,272,271,0.29371723532676697,0.02343750186264515,0.1081666350364685,0.0,1928,0.9999999403953552,142.949452454,25.921756744384766,417792,0.3408859372138977,0.7668560743331909,1747620537.2507217
24.377605438232422,0.0,279,278,0.29371723532676697,0.02278645895421505,0.12784990668296814,0.0,1984,0.9999999403953552,145.2630221,25.921756744384766,428544,0.319600373506546,0.7754486203193665,1747620539.5642736
24.98567771911621,0.0,296,295,0.29371723532676697,0.0260416679084301,0.100491963326931,0.0,2120,0.9999999403953552,150.802510719,25.921756744384766,454656,0.36562788486480713,0.779592752456665,1747620545.103918
24.14388084411621,0.0,351,350,0.5968226790428162,0.02278645895421505,0.10795867443084717,0.007697242312133312,2560,1.0,168.849158127,35.577293395996094,539136,0.3460370898246765,0.7837470769882202,1747620563.1503391
24.849611282348633,0.0,376,375,0.5968226790428162,0.02278645895421505,0.1457415074110031,0.007697242312133312,2760,1.0,176.989564304,35.577293395996094,577536,0.34761694073677063,0.7921702861785889,1747620571.2910216
23.320964813232422,0.0,379,378,0.5968226790428162,0.0240885429084301,0.14112640917301178,0.007697242312133312,2784,1.0,177.966025136,35.577293395996094,582144,0.3684733808040619,0.7951613068580627,1747620572.2674313
26.248699188232422,0.0,382,381,0.5968226790428162,0.02343750186264515,0.10740265995264053,0.007697242312133312,2808,1.0,178.969053795,35.577293395996094,586752,0.34589681029319763,0.7873450517654419,1747620573.2700787
25.37239646911621,0.0,391,390,0.5968226790428162,0.02343750186264515,0.08864517509937286,0.007697242312133312,2880,1.0,181.919577414,35.577293395996094,600576,0.35925185680389404,0.7863582372665405,1747620576.220993
25.871746063232422,0.0,398,397,0.5968226790428162,0.0240885429084301,0.08349566161632538,0.007697242312133312,2936,1.0,184.189990131,35.577293395996094,611328,0.3843490183353424,0.7691470384597778,1747620578.4914432
25.069011688232422,0.0,405,404,0.5968226790428162,0.02343750186264515,0.08595462888479233,0.007697242312133312,2992,1.0,186.48097767,35.577293395996094,622080,0.4092489182949066,0.7855138778686523,1747620580.7821796
25.91145896911621,0.0,426,425,0.5968226790428162,0.02343750186264515,0.1083914265036583,0.007697242312133312,3160,1.0,193.430393248,35.577293395996094,654336,0.3996962308883667,0.7816389799118042,1747620587.7318215
24.512371063232422,0.0,432,431,0.5968226790428162,0.0221354179084301,0.086252361536026,0.007697242312133312,3208,1.0,195.379133542,35.577293395996094,663552,0.3481060862541199,0.7992911338806152,1747620589.6806018
24.369142532348633,0.0,445,444,0.5968226790428162,0.02278645895421505,0.09001431614160538,0.007697242312133312,3312,1.0,199.625939496,35.577293395996094,683520,0.3700433373451233,0.7997522354125977,1747620593.9274087
27.13606834411621,0.0,447,446,0.5968226790428162,0.0221354179084301,0.09847760200500488,0.007697242312133312,3328,1.0,200.27565284,35.577293395996094,686592,0.3304485082626343,0.8012568950653076,1747620594.576994
26.871746063232422,0.0,450,449,0.5968226790428162,0.02278645895421505,0.09171578288078308,0.007697242312133312,3352,1.0,201.253830651,35.577293395996094,691200,0.429208904504776,0.7993118762969971,1747620595.5552964
25.580730438232422,0.0,457,456,0.5968226790428162,0.02343750186264515,0.13349604606628418,0.007697242312133312,3408,1.0,203.537746603,35.577293395996094,701952,0.42573580145835876,0.8114947080612183,1747620597.8391993
25.04231834411621,0.02083333395421505,470,469,0.5968226790428162,0.02343750186264515,0.10988496989011765,0.007697242312133312,3512,1.0,207.761416151,35.577293395996094,721920,0.4633590877056122,0.8109387755393982,1747620602.0627356
24.04817771911621,0.0,480,479,0.5968226790428162,0.02343750186264515,0.0797036811709404,0.007697242312133312,3592,1.0,211.058038876,35.577293395996094,737280,0.40351051092147827,0.8051407337188721,1747620605.3593986
26.65364646911621,0.0,484,483,0.5968226790428162,0.0221354179084301,0.10480699688196182,0.007697242312133312,3624,1.0,212.348761418,35.577293395996094,743424,0.45062685012817383,0.7902876734733582,1747620606.6502404
27.813152313232422,0.0,493,492,0.5968226790428162,0.0221354179084301,0.06624101102352142,0.007697242312133312,3696,1.0,215.26162828,35.577293395996094,757248,0.4658886790275574,0.787172794342041,1747620609.5629654
26.437501907348633,0.0201822929084301,502,501,0.5968226790428162,0.0221354179084301,0.08340603113174438,0.007697242312133312,3768,1.0,218.196533609,35.577293395996094,771072,0.42454230785369873,0.8065122961997986,1747620612.4979572
25.526042938232422,0.0013020833721384406,539,538,0.5968226790428162,0.02343750186264515,0.12822651863098145,0.007697242312133312,4064,1.0,230.280812938,35.577293395996094,827904,0.4775809347629547,0.8364522457122803,1747620624.5821748
27.746095657348633,0.0533854179084301,547,546,0.5968226790428162,0.0240885429084301,0.09602370113134384,0.007697242312133312,4128,1.0,232.892396001,35.577293395996094,840192,0.5853694081306458,0.8449922204017639,1747620627.1938217
25.39192771911621,0.0377604179084301,551,550,0.5968226790428162,0.02539062686264515,0.1758822500705719,0.007697242312133312,4160,1.0,234.182065809,35.577293395996094,846336,0.562998354434967,0.8456034660339355,1747620628.4834912
28.01497459411621,0.0006510416860692203,586,585,0.5968226790428162,0.0201822929084301,0.10848291218280792,0.007697242312133312,4440,1.0,245.605458627,35.577293395996094,900096,0.4842228889465332,0.8123887181282043,1747620639.9069064
26.43684959411621,0.0611979216337204,604,603,0.5968226790428162,0.02083333395421505,0.10627669095993042,0.007697242312133312,4584,1.0,251.481335988,35.577293395996094,927744,0.5890887379646301,0.7740591764450073,1747620645.760464
27.839845657348633,0.0983072966337204,610,609,0.5968226790428162,0.02148437686264515,0.12381569296121597,0.007697242312133312,4632,1.0,253.457368328,35.577293395996094,936960,0.6284550428390503,0.786792516708374,1747620647.758412
24.83333396911621,0.134765625,612,611,0.5968226790428162,0.02083333395421505,0.09826621413230896,0.007697242312133312,4648,1.0,254.104308874,35.577293395996094,940032,0.6189101338386536,0.7744053602218628,1747620648.4057522
25.21419334411621,0.1640625149011612,613,612,0.5968226790428162,0.02278645895421505,0.13157948851585388,0.007697242312133312,4656,1.0,254.429269531,35.577293395996094,941568,0.6998790502548218,0.7631328105926514,1747620648.7306747
28.09505271911621,0.130859375,637,636,0.5968226790428162,0.01692708395421505,0.15675944089889526,0.007697242312133312,4848,1.0,262.27463863,35.577293395996094,978432,0.6275127530097961,0.7211712598800659,1747620656.5760415
27.662111282348633,0.1048177108168602,657,656,1.0491479635238647,0.02148437686264515,0.1573890894651413,0.2581580877304077,5008,1.0,268.853503421,39.4503288269043,1009152,0.6622388362884521,0.6807310581207275,1747620663.1549635
28.326824188232422,0.2727864682674408,667,666,1.0491479635238647,0.0201822929084301,0.16336274147033691,0.2581580877304077,5088,1.0,272.109196554,39.4503288269043,1024512,0.8788178563117981,0.6728922128677368,1747620666.4106104
26.212892532348633,0.3691406548023224,688,687,1.0491479635238647,0.02343750186264515,0.19244438409805298,0.2581580877304077,5256,1.0,278.959096626,39.4503288269043,1056768,1.0165287256240845,0.6173577904701233,1747620673.260326
26.723308563232422,0.3157552182674408,695,694,1.0491479635238647,0.02343750186264515,0.1944183111190796,0.2581580877304077,5312,1.0,281.267578493,39.4503288269043,1067520,0.9606691002845764,0.61248779296875,1747620675.568741
26.021486282348633,0.2259114682674408,699,698,1.0491479635238647,0.0221354179084301,0.1812419593334198,0.2581580877304077,5344,1.0,282.593417959,39.4503288269043,1073664,0.790424108505249,0.6079163551330566,1747620676.8946586
26.80989646911621,0.1907552182674408,705,704,1.0491479635238647,0.0221354179084301,0.19458810985088348,0.2581580877304077,5392,1.0,284.563376021,39.4503288269043,1082880,0.735812783241272,0.6227586269378662,1747620678.8647954
24.339845657348633,0.259765625,713,712,1.0491479635238647,0.02148437686264515,0.25472351908683777,0.2581580877304077,5456,1.0,287.149685613,39.4503288269043,1095168,0.8625985383987427,0.6226139664649963,1747620681.4511135
25.84114646911621,0.2167968899011612,720,719,1.0491479635238647,0.01953125186264515,0.2134135663509369,0.2581580877304077,5512,1.0,289.449538913,39.4503288269043,1105920,0.8369528651237488,0.6244990825653076,1747620683.7509227
24.65755271911621,0.2643229365348816,727,726,1.0491479635238647,0.0221354179084301,0.25961875915527344,0.2581580877304077,5568,1.0,291.719170636,39.4503288269043,1116672,0.9003662467002869,0.6437131762504578,1747620686.0205626
25.511720657348633,0.1484375149011612,730,729,1.0491479635238647,0.02083333395421505,0.22082005441188812,0.2581580877304077,5592,1.0,292.688183745,39.4503288269043,1121280,0.6965158581733704,0.6288696527481079,1747620686.989663
27.12825584411621,0.2988281548023224,738,737,1.0491479635238647,0.02083333395421505,0.23739533126354218,0.2581580877304077,5656,1.0,295.303962344,39.4503288269043,1133568,0.8867236971855164,0.6372501254081726,1747620689.6052513
28.25520896911621,0.2018229216337204,747,746,1.0491479635238647,0.01692708395421505,0.23034685850143433,0.2581580877304077,5728,1.0,298.238969593,39.4503288269043,1147392,0.7271228432655334,0.6567946672439575,1747620692.54042
27.529949188232422,0.1497395932674408,787,786,1.0491479635238647,0.01692708395421505,0.3424631953239441,0.2581580877304077,6048,1.0,311.246451599,39.4503288269043,1208832,0.618346095085144,0.7226223349571228,1747620705.547938
27.41536521911621,0.2317708432674408,799,798,1.0491479635238647,0.0182291679084301,0.28189539909362793,0.2581580877304077,6144,1.0,315.156293372,39.4503288269043,1227264,0.7820784449577332,0.7099298238754272,1747620709.457706
26.39192771911621,0.2174479216337204,820,819,1.0491479635238647,0.02083333395421505,0.3508825898170471,0.2581580877304077,6312,1.0,322.026691302,39.4503288269043,1259520,0.7971203327178955,0.7274782657623291,1747620716.3278437
28.64192771911621,0.2864583432674408,830,829,1.0491479635238647,0.01888020895421505,0.41469934582710266,0.2581580877304077,6392,1.0,325.260488716,39.4503288269043,1274880,0.861478328704834,0.747117817401886,1747620719.5619233
27.865886688232422,0.3463541865348816,849,848,1.0491479635238647,0.01953125186264515,0.37018945813179016,0.2581580877304077,6544,1.0,331.455566024,39.4503288269043,1304064,0.9578389525413513,0.7315232753753662,1747620725.7569137
27.47005271911621,0.3313802182674408,885,884,1.0491479635238647,0.017578125,0.5097179412841797,0.2581580877304077,6832,1.0,343.230300267,39.4503288269043,1359360,0.8935588002204895,0.7523148655891418,1747620737.531626
