test_returned_won_episode,qvals,test_returned_episode_lengths,loss,env_step,returned_episode,grad_steps,returned_won_episode,_timestamp,returned_episode_lengths,test_returned_episode_returns,test_returned_episode,update_steps,returned_episode_returns,_step,_runtime
0.0,0.0,24.2269344329834,0.0,44544.0,0.02278645895421505,0,0.0,1746455996.031068,23.99934959411621,0.22909016907215118,1.0,29,0.18412068486213684,28,73.201446161
0.0,0.1410805583000183,24.2269344329834,0.025294212624430656,69120.0,0.0201822929084301,112,0.0,1746456002.700541,27.628908157348633,0.22909016907215118,1.0,45,0.2712511718273163,44,79.871001458
0.0,0.13173925876617432,24.2269344329834,0.028123904019594193,78336.0,0.02343750186264515,160,0.0,1746456005.4972117,25.80208396911621,0.22909016907215118,1.0,51,0.19743792712688446,50,82.667698491
0.0,0.2474040389060974,24.2269344329834,0.041257333010435104,84480.0,0.02343750186264515,192,0.0,1746456007.3645437,24.977214813232422,0.22909016907215118,1.0,55,0.17962729930877686,54,84.534996379
0.0,0.17207187414169312,24.2269344329834,0.08585523813962936,96768.0,0.0240885429084301,256,0.0,1746456011.0901015,25.24544334411621,0.22909016907215118,1.0,63,0.17675375938415527,62,88.260687322
0.0,0.2313537299633026,24.2269344329834,0.09829697012901306,115200.0,0.01888020895421505,352,0.0,1746456016.6871653,25.759767532348633,0.22909016907215118,1.0,75,0.16002029180526733,74,93.857577332
0.0,0.21522021293640137,24.2269344329834,0.35848069190979004,144384.0,0.0240885429084301,504,0.0,1746456025.5575058,25.426433563232422,0.22909016907215118,1.0,94,0.22190000116825104,93,102.727987045
0.0,0.2549489736557007,24.2269344329834,0.3037014305591583,188928.0,0.02343750186264515,736,0.0,1746456039.0842576,25.895183563232422,0.22909016907215118,1.0,123,0.23051059246063232,122,116.254816365
0.0,0.2810327410697937,24.2269344329834,0.6908749341964722,204288.0,0.02278645895421505,816,0.0,1746456043.7363412,26.73958396911621,0.22909016907215118,1.0,133,0.23604190349578857,132,120.906913816
0.0,0.27123361825942993,24.2269344329834,0.5784683227539062,208896.0,0.0221354179084301,840,0.0,1746456045.143448,26.100261688232422,0.22909016907215118,1.0,136,0.28646036982536316,135,122.314010751
0.0,0.2294398695230484,24.2269344329834,0.4231799244880676,245760.0,0.02278645895421505,1032,0.0,1746456056.3241346,25.09895896911621,0.22909016907215118,1.0,160,0.2390836775302887,159,133.494789769
0.0,0.2807323634624481,24.2269344329834,1.1978003978729248,281088.0,0.02278645895421505,1216,0.0,1746456067.0213919,26.189455032348633,0.22909016907215118,1.0,183,0.2450859546661377,182,144.191968786
0.0,0.2787860035896301,24.2269344329834,0.6326938271522522,287232.0,0.02148437686264515,1248,0.0,1746456068.8901222,26.697917938232422,0.22909016907215118,1.0,187,0.22603443264961243,186,146.060602925
0.0,0.2635805606842041,24.2269344329834,0.5931728482246399,290304.0,0.02083333395421505,1264,0.0,1746456069.816202,26.867189407348633,0.22909016907215118,1.0,189,0.24217313528060913,188,146.98661964
0.0,0.2725013494491577,24.2269344329834,0.6231902837753296,297984.0,0.02083333395421505,1304,0.0,1746456072.1424117,26.37630271911621,0.22909016907215118,1.0,194,0.2489222139120102,193,149.312898169
0.0,0.27047139406204224,24.2269344329834,0.573810875415802,301056.0,0.0201822929084301,1320,0.0,1746456073.0730586,26.763673782348633,0.22909016907215118,1.0,196,0.2401304394006729,195,150.243605936
