returned_won_episode,test_returned_episode_returns,returned_episode,update_steps,returned_episode_returns,grad_steps,test_returned_won_episode,env_step,test_returned_episode,loss,qvals,test_returned_episode_lengths,_timestamp,_step,returned_episode_lengths,_runtime
0.0,0.009105011820793152,0.014322916977107525,19,0.10533446073532104,0,0.0,29184.0,1.0,0.0,0.0,16.717914581298828,1746155244.1967232,18,29.79427146911621,65.497545521
0.0,0.009105011820793152,0.014322916977107525,21,0.11276092380285263,0,0.0,32256.0,1.0,0.0,0.0,16.717914581298828,1746155244.3262508,20,30.40234375,65.627065724
0.0,0.009105011820793152,0.013671875,36,0.11342700570821762,40,0.0,55296.0,1.0,0.0034600035287439823,0.0590788871049881,16.717914581298828,1746155247.0483544,35,31.30989646911621,68.349465826
0.0,0.009105011820793152,0.015625,73,0.16046364605426788,336,0.0,112128.0,1.0,0.012691967189311981,0.5960743427276611,16.717914581298828,1746155261.9341402,72,31.07161521911621,83.235209493
0.0,0.009105011820793152,0.012369791977107525,83,0.15005940198898315,416,0.0,127488.0,1.0,0.01863967254757881,0.6453098058700562,16.717914581298828,1746155265.9369168,82,31.6640625,87.237819637
0.0,0.009105011820793152,0.014322916977107525,112,0.17242932319641113,648,0.0,172032.0,1.0,0.043776124715805054,0.6796115636825562,16.717914581298828,1746155277.631688,111,31.34375,98.932697398
0.0,0.009105011820793152,0.01497395895421505,145,0.18524877727031708,912,0.0,222720.0,1.0,0.029242346063256264,0.7634148001670837,16.717914581298828,1746155290.8971138,144,30.6953125,112.198099202
0.0,0.009105011820793152,0.01497395895421505,208,0.18674930930137634,1416,0.0,319488.0,1.0,0.37220674753189087,0.4160754084587097,16.717914581298828,1746155316.289069,207,31.057292938232422,137.58994543
0.0,0.009105011820793152,0.014322916977107525,267,0.24510803818702698,1888,0.0,410112.0,1.0,0.4934183359146118,0.48262569308280945,16.717914581298828,1746155339.950681,266,31.89453125,161.251697485
0.0,0.009105011820793152,0.015625,272,0.25005263090133667,1928,0.0,417792.0,1.0,0.19598282873630524,0.4854517877101898,16.717914581298828,1746155341.973802,271,31.98046875,163.274791151
0.0,0.009105011820793152,0.01497395895421505,279,0.2383345365524292,1984,0.0,428544.0,1.0,0.1663816273212433,0.4046086072921753,16.717914581298828,1746155344.768873,278,31.72265625,166.069860082
0.0,0.009105011820793152,0.01497395895421505,296,0.19509199261665344,2120,0.0,454656.0,1.0,0.5150496959686279,0.46449142694473267,16.717914581298828,1746155351.6561832,295,31.7734375,172.957156796
0.0,0.7092462182044983,0.013671875,351,0.24866077303886414,2560,0.005167958792299032,539136.0,1.0,0.34057337045669556,0.4844007194042206,63.29716110229492,1746155373.9069424,350,32.12890625,195.207881547
0.0,0.7092462182044983,0.015625,376,0.2460709512233734,2760,0.005167958792299032,577536.0,1.0,0.5113418698310852,0.4904422163963318,63.29716110229492,1746155383.9916112,375,32.227867126464844,205.29250069
0.0,0.7092462182044983,0.01497395895421505,379,0.19564156234264374,2784,0.005167958792299032,582144.0,1.0,0.4995897710323334,0.48912978172302246,63.29716110229492,1746155385.203264,378,31.87630271911621,206.504216978
0.0,0.7092462182044983,0.01302083395421505,382,0.2237243354320526,2808,0.005167958792299032,586752.0,1.0,0.9345301389694214,0.5029204487800598,63.29716110229492,1746155386.4286942,381,32.3671875,207.729756052
0.0,0.7092462182044983,0.01302083395421505,391,0.24156241118907928,2880,0.005167958792299032,600576.0,1.0,0.5321100354194641,0.4975907802581787,63.29716110229492,1746155390.0302386,390,32.2109375,211.331272548
0.0,0.7092462182044983,0.015625,398,0.1660836637020111,2936,0.005167958792299032,611328.0,1.0,0.39103013277053833,0.4971087574958801,63.29716110229492,1746155392.8596716,397,29.916667938232422,214.160704495
0.0,0.7092462182044983,0.01497395895421505,405,0.11803426593542099,2992,0.005167958792299032,622080.0,1.0,0.5937001705169678,0.5095638036727905,63.29716110229492,1746155395.6943405,404,30.90625,216.995224202
0.0,0.7092462182044983,0.014322916977107525,426,0.1706751585006714,3160,0.005167958792299032,654336.0,1.0,0.42657649517059326,0.4755246043205261,63.29716110229492,1746155404.2875502,425,32.001304626464844,225.588494598
0.0,0.7092462182044983,0.01497395895421505,432,0.1670539826154709,3208,0.005167958792299032,663552.0,1.0,0.37629836797714233,0.5117250680923462,63.29716110229492,1746155406.6951694,431,31.78515625,227.996187263
0.0,0.7092462182044983,0.0182291679084301,445,0.10314181447029114,3312,0.005167958792299032,683520.0,1.0,0.37624165415763855,0.5089406967163086,63.29716110229492,1746155411.9497533,444,28.6171875,233.25071246
0.0,0.7092462182044983,0.015625,447,0.1261075735092163,3328,0.005167958792299032,686592.0,1.0,0.7450568675994873,0.49736449122428894,63.29716110229492,1746155412.7497308,446,31.35546875,234.050823775
0.0,0.7092462182044983,0.015625,450,0.14054618775844574,3352,0.005167958792299032,691200.0,1.0,0.794026255607605,0.49126195907592773,63.29716110229492,1746155413.949277,449,30.8046875,235.250226827
