_runtime,returned_won_episode,qvals,test_returned_episode_returns,_step,returned_episode_lengths,test_returned_episode_lengths,returned_episode,returned_episode_returns,env_step,loss,test_returned_won_episode,update_steps,grad_steps,test_returned_episode,_timestamp
63.446023766,0.0,0.0,0.04859044402837753,1,30.84765625,32.1638298034668,0.01497395895421505,0.11183768510818481,3072.0,0.0,0.0,2,0,1,1746178882.6338723
63.646801608,0.0,0.0,0.04859044402837753,4,30.45703125,32.1638298034668,0.013671875,0.10393273830413818,7680.0,0.0,0.0,5,0,1,1746178882.8346875
64.048408527,0.0,0.0,0.04859044402837753,10,30.40625,32.1638298034668,0.015625,0.0958496630191803,16896.0,0.0,0.0,11,0,1,1746178883.2363024
64.650494087,0.0,0.0,0.04859044402837753,19,30.36849021911621,32.1638298034668,0.01497395895421505,0.09692852944135666,30720.0,0.0,0.0,20,0,1,1746178883.83838
64.985159409,0.0,0.0,0.04859044402837753,24,30.00716209411621,32.1638298034668,0.0162760429084301,0.10238613933324814,38400.0,0.0,0.0,25,0,1,1746178884.1730533
65.185975222,0.0,0.0,0.04859044402837753,27,29.9453125,32.1638298034668,0.01497395895421505,0.09860168397426605,43008.0,0.0,0.0,28,0,1,1746178884.373855
68.518602962,0.0,0.03712616115808487,0.04859044402837753,38,29.462890625,32.1638298034668,0.017578125,0.1183624193072319,59904.0,0.001741019543260336,0.0,39,64,1,1746178887.7063875
69.298285931,0.0,0.08697457611560822,0.04859044402837753,40,30.16796875,32.1638298034668,0.0162760429084301,0.11774101108312607,62976.0,0.0014819074422121048,0.0,41,80,1,1746178888.486134
70.475664739,0.0,0.35149085521698,0.04859044402837753,43,31.47395896911621,32.1638298034668,0.01497395895421505,0.12454897165298462,67584.0,0.0031546778045594692,0.0,44,104,1,1746178889.6635242
79.901279671,0.0,0.603904128074646,0.04859044402837753,67,30.48177146911621,32.1638298034668,0.0162760429084301,0.13551437854766846,104448.0,0.004561774432659149,0.0,68,296,1,1746178899.0890794
81.871342283,0.0,0.6670429706573486,0.04859044402837753,72,31.447917938232422,32.1638298034668,0.013671875,0.13144426047801971,112128.0,0.011268503963947296,0.0,73,336,1,1746178901.0590053
94.799539397,0.0,0.7437609434127808,0.04859044402837753,105,31.705730438232422,32.1638298034668,0.01497395895421505,0.14881257712841034,162816.0,0.011558042839169502,0.0,106,600,1,1746178913.9873805
95.194247743,0.0,0.7548357844352722,0.04859044402837753,106,31.127605438232422,32.1638298034668,0.015625,0.15376411378383636,164352.0,0.011251689866185188,0.0,107,608,1,1746178914.382065
98.327053945,0.0,0.6820276379585266,0.04859044402837753,114,31.053386688232422,32.1638298034668,0.014322916977107525,0.14450539648532867,176640.0,0.01983591541647911,0.0,115,672,1,1746178917.5148993
107.375152067,0.0,0.839026927947998,0.04859044402837753,137,31.15755271911621,32.1638298034668,0.015625,0.1690676063299179,211968.0,0.0359547883272171,0.0,138,856,1,1746178926.5629826
116.391688072,0.0,0.7537111639976501,0.04859044402837753,160,31.748699188232422,32.1638298034668,0.01497395895421505,0.17151032388210297,247296.0,0.023490238934755325,0.0,161,1040,1,1746178935.5795474
117.565260625,0.0,0.7199598550796509,0.04859044402837753,163,31.123699188232422,32.1638298034668,0.014322916977107525,0.17437736690044403,251904.0,0.033594079315662384,0.0,164,1064,1,1746178936.7530942
119.138778058,0.0,0.6531915664672852,0.04859044402837753,167,30.69270896911621,32.1638298034668,0.01497395895421505,0.16279712319374084,258048.0,0.028832701966166496,0.0,168,1096,1,1746178938.3265965
123.449460398,0.0,0.5840944051742554,0.04859044402837753,178,30.79036521911621,32.1638298034668,0.014322916977107525,0.16336439549922943,274944.0,0.04895828664302826,0.0,179,1184,1,1746178942.6372714
123.840887455,0.0,0.5929614305496216,0.04859044402837753,179,31.63020896911621,32.1638298034668,0.01497395895421505,0.160655677318573,276480.0,0.04320553317666054,0.0,180,1192,1,1746178943.0286355
