loss,test_returned_won_episode,returned_won_episode,grad_steps,rng4192088525/test_returned_episode,rng4192088525/loss,rng4192088525/test_returned_won_episode,rng4192088525/env_step,test_returned_episode_lengths,rng4192088525/returned_episode,rng4192088525/test_returned_episode_returns,rng4192088525/test_returned_episode_lengths,returned_episode_lengths,rng4192088525/returned_episode_returns,rng4192088525/update_steps,_runtime,_timestamp,update_steps,rng4192088525/returned_won_episode,returned_episode_returns,rng4192088525/grad_steps,_step,env_step,returned_episode,qvals,test_returned_episode_returns,rng4192088525/returned_episode_lengths,rng4192088525/qvals,test_returned_episode
0.0,0.0,0.0,0,1.0,0.0,0.0,18432.0,35.0280876159668,0.01497395895421505,0.09618254750967026,35.0280876159668,30.342449188232422,0.10759979486465454,12,59.149613528,1746189448.0451667,12,0.0,0.10759979486465454,0,11,18432.0,0.01497395895421505,0.0,0.09618254750967026,30.342449188232422,0.0,1.0
0.0,0.0,0.0,0,1.0,0.0,0.0,21504.0,35.0280876159668,0.015625,0.09618254750967026,35.0280876159668,30.69140625,0.10056935995817184,14,59.283130817,1746189448.1786885,14,0.0,0.10056935995817184,0,13,21504.0,0.015625,0.0,0.09618254750967026,30.69140625,0.0,1.0
0.0,0.0,0.0,0,1.0,0.0,0.0,24576.0,35.0280876159668,0.01497395895421505,0.09618254750967026,35.0280876159668,30.596355438232422,0.09871125221252441,16,59.416755176,1746189448.312324,16,0.0,0.09871125221252441,0,15,24576.0,0.01497395895421505,0.0,0.09618254750967026,30.596355438232422,0.0,1.0
0.002953317714855075,0.0,0.0,120,1.0,0.002953317714855075,0.0,70656.0,35.0280876159668,0.015625,0.09618254750967026,35.0280876159668,30.87239646911621,0.1128152459859848,46,66.306311191,1746189455.2017994,46,0.0,0.1128152459859848,120,45,70656.0,0.015625,0.33737683296203613,0.09618254750967026,30.87239646911621,0.33737683296203613,1.0
0.0057961829006671906,0.0,0.0,176,1.0,0.0057961829006671906,0.0,81408.0,35.0280876159668,0.014322916977107525,0.09618254750967026,35.0280876159668,30.96224021911621,0.11563193798065186,53,69.043534262,1746189457.939024,53,0.0,0.11563193798065186,176,52,81408.0,0.014322916977107525,0.4658847749233246,0.09618254750967026,30.96224021911621,0.4658847749233246,1.0
0.0037998994812369347,0.0,0.0,200,1.0,0.0037998994812369347,0.0,86016.0,35.0280876159668,0.01497395895421505,0.09618254750967026,35.0280876159668,31.08984375,0.11503680795431137,56,70.219295538,1746189459.1147618,56,0.0,0.11503680795431137,200,55,86016.0,0.01497395895421505,0.4793652296066284,0.09618254750967026,31.08984375,0.4793652296066284,1.0
0.009232301265001297,0.0,0.0,256,1.0,0.009232301265001297,0.0,96768.0,35.0280876159668,0.015625,0.09618254750967026,35.0280876159668,30.701824188232422,0.13064450025558472,63,72.975531508,1746189461.870926,63,0.0,0.13064450025558472,256,62,96768.0,0.015625,0.554755687713623,0.09618254750967026,30.701824188232422,0.554755687713623,1.0
0.009697743691504002,0.0,0.0,432,1.0,0.009697743691504002,0.0,130560.0,35.0280876159668,0.014322916977107525,0.09618254750967026,35.0280876159668,31.135417938232422,0.13506297767162323,85,81.617011977,1746189470.5124931,85,0.0,0.13506297767162323,432,84,130560.0,0.014322916977107525,0.6901416778564453,0.09618254750967026,31.135417938232422,0.6901416778564453,1.0
0.04437829926609993,0.0,0.0,568,1.0,0.04437829926609993,0.0,156672.0,35.0280876159668,0.015625,0.09618254750967026,35.0280876159668,30.869792938232422,0.14952881634235382,102,88.291504368,1746189477.1869564,102,0.0,0.14952881634235382,568,101,156672.0,0.015625,0.74400794506073,0.09618254750967026,30.869792938232422,0.74400794506073,1.0
0.03744616359472275,0.0,0.0,664,1.0,0.03744616359472275,0.0,175104.0,35.0280876159668,0.01497395895421505,0.09618254750967026,35.0280876159668,31.02734375,0.1373574435710907,114,93.007461681,1746189481.9028945,114,0.0,0.1373574435710907,664,113,175104.0,0.01497395895421505,0.8119053840637207,0.09618254750967026,31.02734375,0.8119053840637207,1.0
0.02734481543302536,0.0,0.0,984,1.0,0.02734481543302536,0.0,236544.0,35.0280876159668,0.01497395895421505,0.09618254750967026,35.0280876159668,31.44140625,0.18289625644683838,154,108.718017716,1746189497.6134684,154,0.0,0.18289625644683838,984,153,236544.0,0.01497395895421505,0.79482102394104,0.09618254750967026,31.44140625,0.79482102394104,1.0
0.04838266968727112,0.0,0.0,1080,1.0,0.04838266968727112,0.0,254976.0,35.0280876159668,0.01497395895421505,0.09618254750967026,35.0280876159668,29.8046875,0.16912339627742767,166,113.458837354,1746189502.3542888,166,0.0,0.16912339627742767,1080,165,254976.0,0.01497395895421505,0.8212438225746155,0.09618254750967026,29.8046875,0.8212438225746155,1.0
0.07536886632442474,0.0,0.0,1344,1.0,0.07536886632442474,0.0,305664.0,35.0280876159668,0.01497395895421505,0.09618254750967026,35.0280876159668,31.38411521911621,0.17756788432598114,199,126.442559274,1746189515.337875,199,0.0,0.17756788432598114,1344,198,305664.0,0.01497395895421505,0.6165164709091187,0.09618254750967026,31.38411521911621,0.6165164709091187,1.0
0.06591460108757019,0.0,0.0,1352,1.0,0.06591460108757019,0.0,307200.0,35.0280876159668,0.015625,0.09618254750967026,35.0280876159668,31.28515625,0.19587072730064392,200,126.832428529,1746189515.7278502,200,0.0,0.19587072730064392,1352,199,307200.0,0.015625,0.6711059808731079,0.09618254750967026,31.28515625,0.6711059808731079,1.0
