rng2447198419/loss,rng2447198419/returned_episode,loss,update_steps,returned_won_episode,test_returned_episode_lengths,returned_episode,rng2447198419/qvals,returned_episode_lengths,qvals,test_returned_episode_returns,grad_steps,test_returned_won_episode,rng2447198419/test_returned_won_episode,rng2447198419/env_step,returned_episode_returns,rng2447198419/test_returned_episode_returns,rng2447198419/update_steps,rng2447198419/grad_steps,test_returned_episode,rng2447198419/returned_episode_lengths,rng2447198419/test_returned_episode_lengths,rng2447198419/test_returned_episode,rng2447198419/returned_episode_returns,_runtime,_timestamp,rng2447198419/returned_won_episode,_step,env_step
0.0,0.01497395895421505,0.0,7,0.0,28.10552406311035,0.01497395895421505,0.0,29.81380271911621,0.0,0.04047467187047005,0,0.0,0.0,10752.0,0.10907214879989624,0.04047467187047005,7,0,1.0,29.81380271911621,28.10552406311035,1.0,0.10907214879989624,48.538786456,1746186124.4509468,0.0,6,10752.0
0.0,0.01497395895421505,0.0,26,0.0,28.10552406311035,0.01497395895421505,0.0,30.46224021911621,0.0,0.04047467187047005,0,0.0,0.0,39936.0,0.10946207493543625,0.04047467187047005,26,0,1.0,30.46224021911621,28.10552406311035,1.0,0.10946207493543625,49.791483296,1746186125.703655,0.0,25,39936.0
0.002758793067187071,0.015625,0.002758793067187071,49,0.0,28.10552406311035,0.015625,0.3065021336078644,30.80859375,0.3065021336078644,0.04047467187047005,144,0.0,0.0,75264.0,0.12495555728673935,0.04047467187047005,49,144,1.0,30.80859375,28.10552406311035,1.0,0.12495555728673935,57.2462523,1746186133.1584284,0.0,48,75264.0
0.003659415990114212,0.014322916977107525,0.003659415990114212,57,0.0,28.10552406311035,0.014322916977107525,0.5043520331382751,30.78125,0.5043520331382751,0.04047467187047005,208,0.0,0.0,87552.0,0.12541532516479492,0.04047467187047005,57,208,1.0,30.78125,28.10552406311035,1.0,0.12541532516479492,60.41315092,1746186136.3253074,0.0,56,87552.0
0.004456672817468643,0.014322916977107525,0.004456672817468643,66,0.0,28.10552406311035,0.014322916977107525,0.5989230871200562,31.51953125,0.5989230871200562,0.04047467187047005,280,0.0,0.0,101376.0,0.13338793814182281,0.04047467187047005,66,280,1.0,31.51953125,28.10552406311035,1.0,0.13338793814182281,63.978601977,1746186139.8907907,0.0,65,101376.0
0.00584504846483469,0.014322916977107525,0.00584504846483469,81,0.0,28.10552406311035,0.014322916977107525,0.7237749099731445,30.9609375,0.7237749099731445,0.04047467187047005,400,0.0,0.0,124416.0,0.1352422535419464,0.04047467187047005,81,400,1.0,30.9609375,28.10552406311035,1.0,0.1352422535419464,69.91400057,1746186145.826184,0.0,80,124416.0
0.009497083723545074,0.01497395895421505,0.009497083723545074,84,0.0,28.10552406311035,0.01497395895421505,0.7422882914543152,31.260417938232422,0.7422882914543152,0.04047467187047005,424,0.0,0.0,129024.0,0.14687657356262207,0.04047467187047005,84,424,1.0,31.260417938232422,28.10552406311035,1.0,0.14687657356262207,71.101698288,1746186147.013848,0.0,83,129024.0
0.01315365731716156,0.015625,0.01315365731716156,93,0.0,28.10552406311035,0.015625,0.7655654549598694,30.89453125,0.7655654549598694,0.04047467187047005,496,0.0,0.0,142848.0,0.14745771884918213,0.04047467187047005,93,496,1.0,30.89453125,28.10552406311035,1.0,0.14745771884918213,74.663162374,1746186150.5753505,0.0,92,142848.0
0.009362852200865746,0.01497395895421505,0.009362852200865746,98,0.0,28.10552406311035,0.01497395895421505,0.800031840801239,31.00390625,0.800031840801239,0.04047467187047005,536,0.0,0.0,150528.0,0.14127695560455322,0.04047467187047005,98,536,1.0,31.00390625,28.10552406311035,1.0,0.14127695560455322,76.646437682,1746186152.5585728,0.0,97,150528.0
0.013768855482339859,0.01497395895421505,0.013768855482339859,106,0.0,28.10552406311035,0.01497395895421505,0.7426501512527466,31.36328125,0.7426501512527466,0.04047467187047005,600,0.0,0.0,162816.0,0.16558848321437836,0.04047467187047005,106,600,1.0,31.36328125,28.10552406311035,1.0,0.16558848321437836,79.814440899,1746186155.7266307,0.0,105,162816.0
