qvals,loss,returned_episode_lengths,env_step,test_returned_episode,test_returned_episode_lengths,returned_episode,test_returned_episode_returns,returned_won_episode,_runtime,update_steps,test_returned_won_episode,returned_episode_returns,_timestamp,grad_steps,_step
0.0,0.0,24.75455665588379,27648.0,0.9999999403953552,18.209566116333008,0.025390625,0.023530641570687294,0.0,49.48129335,18,0.0,0.25366535782814026,1746201289.3078625,0,17
0.13693368434906006,0.01492937933653593,24.77604103088379,53760.0,0.9999999403953552,18.209566116333008,0.02408854104578495,0.023530641570687294,0.0,51.791659225,35,0.0,0.22350259125232697,1746201291.6182344,32,34
0.29603347182273865,0.009590116329491138,25.44921875,56832.0,0.9999999403953552,18.209566116333008,0.02278645895421505,0.023530641570687294,0.0,52.535085972,37,0.0,0.24789710342884064,1746201292.3616645,48,36
0.45792239904403687,0.012468395754694939,25.63020896911621,66048.0,0.9999999403953552,18.209566116333008,0.02408854104578495,0.023530641570687294,0.0,54.765284039,43,0.0,0.2701888084411621,1746201294.5918643,96,42
0.7075273990631104,0.01687285117805004,25.455078125,104448.0,0.9999999403953552,18.209566116333008,0.02213541604578495,0.023530641570687294,0.0,64.057941944,68,0.0,0.28034502267837524,1746201303.8845105,296,67
0.7170501947402954,0.017179308459162712,25.44791603088379,105984.0,0.9999999403953552,18.209566116333008,0.02278645895421505,0.023530641570687294,0.0,64.430233435,69,0.0,0.28174474835395813,1746201304.2568123,304,68
0.4470975399017334,0.13486510515213013,24.798828125,198144.0,0.9999999403953552,18.209566116333008,0.02408854104578495,0.023530641570687294,0.0,86.766222842,129,0.0,0.28093093633651733,1746201326.5927749,784,128
0.45765042304992676,0.19551634788513184,25.49869728088379,202752.0,0.9999999403953552,18.209566116333008,0.02408854104578495,0.023530641570687294,0.0,87.88297813,132,0.0,0.31588539481163025,1746201327.7095392,808,131
0.5108134150505066,0.3298323452472687,25.47786521911621,253440.0,0.9999999403953552,18.209566116333008,0.02473958395421505,0.023530641570687294,0.0,100.163765524,165,0.0,0.2873632311820984,1746201339.990359,1072,164
0.5069940686225891,0.31863653659820557,24.59505271911621,274944.0,0.9999999403953552,18.209566116333008,0.025390625,0.023530641570687294,0.0,105.372323573,179,0.0,0.3021875023841858,1746201345.1988835,1184,178
0.5181063413619995,0.3093225955963135,26.080078125,288768.0,0.9999999403953552,18.209566116333008,0.02408854104578495,0.023530641570687294,0.0,108.722033345,188,0.0,0.3113704323768616,1746201348.548592,1256,187
0.5114588737487793,0.28587037324905396,25.00130271911621,290304.0,0.9999999403953552,18.209566116333008,0.021484375,0.023530641570687294,0.0,109.09391921,189,0.0,0.28033527731895447,1746201348.920299,1264,188
0.5079543590545654,0.27542442083358765,24.34440040588379,333312.0,0.9999999403953552,18.209566116333008,0.02669270895421505,0.023530641570687294,0.0,119.521739806,217,0.0,0.2971777021884918,1746201359.3483,1488,216
0.5089674592018127,0.26664385199546814,24.05533790588379,337920.0,0.9999999403953552,18.209566116333008,0.02604166604578495,0.023530641570687294,0.0,120.641496689,220,0.0,0.32222980260849,1746201360.468052,1512,219
0.5054113864898682,0.28050774335861206,25.36458396911621,339456.0,0.9999999403953552,18.209566116333008,0.02473958395421505,0.023530641570687294,0.0,121.014316633,221,0.0,0.30692052841186523,1746201360.8408616,1520,220
0.4671667218208313,0.23007133603096008,25.34830665588379,377856.0,0.9999999403953552,18.209566116333008,0.025390625,0.023530641570687294,0.0,130.313627417,246,0.0,0.3201855421066284,1746201370.1401782,1720,245
0.4787571132183075,0.25777262449264526,24.43033790588379,379392.0,0.9999999403953552,18.209566116333008,0.02473958395421505,0.023530641570687294,0.0,130.68577947,247,0.0,0.3209472596645355,1746201370.5123556,1728,246
