_timestamp,rng3953557796/qvals,returned_episode,rng3953557796/update_steps,loss,env_step,rng3953557796/grad_steps,rng3953557796/test_returned_episode_lengths,qvals,update_steps,rng3953557796/test_returned_won_episode,returned_episode_lengths,rng3953557796/env_step,_step,returned_won_episode,_runtime,rng3953557796/test_returned_episode_returns,test_returned_episode,rng3953557796/returned_episode_lengths,rng3953557796/returned_episode_returns,test_returned_won_episode,grad_steps,rng3953557796/returned_won_episode,rng3953557796/returned_episode,rng3953557796/test_returned_episode,rng3953557796/loss,test_returned_episode_lengths,test_returned_episode_returns,returned_episode_returns
1746186803.9840858,0.0,0.01497395895421505,12,0.0,18432.0,0,27.721879959106445,0.0,12,0.0,30.60546875,18432.0,11,0.0,59.037266511,0.09258668124675751,1.0,30.60546875,0.11051686108112335,0.0,0,0.0,0.01497395895421505,1.0,0.0,27.721879959106445,0.09258668124675751,0.11051686108112335
1746186804.5216558,0.0,0.015625,20,0.0,30720.0,0,27.721879959106445,0.0,20,0.0,30.79036521911621,30720.0,19,0.0,59.574819519,0.09258668124675751,1.0,30.79036521911621,0.10742741823196411,0.0,0,0.0,0.015625,1.0,0.0,27.721879959106445,0.09258668124675751,0.10742741823196411
1746186804.6559172,0.0,0.015625,22,0.0,33792.0,0,27.721879959106445,0.0,22,0.0,29.55078125,33792.0,21,0.0,59.709181059,0.09258668124675751,1.0,29.55078125,0.10082115978002548,0.0,0,0.0,0.015625,1.0,0.0,27.721879959106445,0.09258668124675751,0.10082115978002548
1746186804.7900214,0.0,0.013671875,24,0.0,36864.0,0,27.721879959106445,0.0,24,0.0,29.51171875,36864.0,23,0.0,59.843224452,0.09258668124675751,1.0,29.51171875,0.0997573658823967,0.0,0,0.0,0.013671875,1.0,0.0,27.721879959106445,0.09258668124675751,0.0997573658823967
1746186805.057711,0.0,0.015625,28,0.0,43008.0,0,27.721879959106445,0.0,28,0.0,30.59114646911621,43008.0,27,0.0,60.110900839,0.09258668124675751,1.0,30.59114646911621,0.10976023972034454,0.0,0,0.0,0.015625,1.0,0.0,27.721879959106445,0.09258668124675751,0.10976023972034454
1746186805.1914487,0.0,0.015625,30,0.0,46080.0,0,27.721879959106445,0.0,30,0.0,30.920574188232422,46080.0,29,0.0,60.244643418,0.09258668124675751,1.0,30.920574188232422,0.11237435042858124,0.0,0,0.0,0.015625,1.0,0.0,27.721879959106445,0.09258668124675751,0.11237435042858124
1746186808.408182,-0.047629933804273605,0.014322916977107525,39,0.0027150800451636314,59904.0,64,27.721879959106445,-0.047629933804273605,39,0.0,30.76171875,59904.0,38,0.0,63.461441125,0.09258668124675751,1.0,30.76171875,0.11563995480537415,0.0,64,0.0,0.014322916977107525,1.0,0.0027150800451636314,27.721879959106445,0.09258668124675751,0.11563995480537415
1746186812.7329245,0.3211924135684967,0.015625,50,0.0025793679524213076,76800.0,152,27.721879959106445,0.3211924135684967,50,0.0,30.686199188232422,76800.0,49,0.0,67.786108973,0.09258668124675751,1.0,30.686199188232422,0.1356084644794464,0.0,152,0.0,0.015625,1.0,0.0025793679524213076,27.721879959106445,0.09258668124675751,0.1356084644794464
1746186814.6947968,0.5216712951660156,0.01497395895421505,55,0.004288293421268463,84480.0,192,27.721879959106445,0.5216712951660156,55,0.0,31.39453125,84480.0,54,0.0,69.747978579,0.09258668124675751,1.0,31.39453125,0.12883102893829346,0.0,192,0.0,0.01497395895421505,1.0,0.004288293421268463,27.721879959106445,0.09258668124675751,0.12883102893829346
1746186823.3409286,0.7166447639465332,0.014322916977107525,77,0.006634083576500416,118272.0,368,27.721879959106445,0.7166447639465332,77,0.0,30.10286521911621,118272.0,76,0.0,78.394135659,0.09258668124675751,1.0,30.10286521911621,0.1343734860420227,0.0,368,0.0,0.014322916977107525,1.0,0.006634083576500416,27.721879959106445,0.09258668124675751,0.1343734860420227
