env_step,test_returned_episode,returned_episode_returns,returned_episode_lengths,returned_won_episode,qvals,test_returned_episode_returns,grad_steps,test_returned_episode_lengths,returned_episode,update_steps,_step,test_returned_won_episode,loss,_runtime,_timestamp
13824.0,1.0,0.11647021770477295,30.10286521911621,0.0,0.0,0.00011470891331555322,0,14.506263732910156,0.013671875931322575,9,8,0.0,0.0,59.748047492,1746159767.2122407
18432.0,1.0,0.11748877167701721,30.554689407348633,0.0,0.0,0.00011470891331555322,0,14.506263732910156,0.014322916977107525,12,11,0.0,0.0,59.931739316,1746159767.3959072
38400.0,1.0,0.1055067926645279,30.144533157348633,0.0,0.0,0.00011470891331555322,0,14.506263732910156,0.01497395895421505,25,24,0.0,0.0,60.726301004,1746159768.1905057
67584.0,1.0,0.12370443344116211,31.446617126464844,0.0,0.37789297103881836,0.00011470891331555322,104,14.506263732910156,0.01497395895421505,44,43,0.0,0.006581102963536978,65.444990465,1746159772.9091501
73728.0,1.0,0.13230036199092865,30.649742126464844,0.0,0.375224769115448,0.00011470891331555322,136,14.506263732910156,0.015625,48,47,0.0,0.005393271334469318,66.78270246700001,1746159774.246846
93696.0,1.0,0.16111892461776733,31.699220657348633,0.0,0.5229780673980713,0.00011470891331555322,240,14.506263732910156,0.01302083395421505,61,60,0.0,0.007236730773001909,71.139783187,1746159778.603938
105984.0,1.0,0.16354228556156158,31.408855438232422,0.0,0.6332077980041504,0.00011470891331555322,304,14.506263732910156,0.01497395895421505,69,68,0.0,0.00908698420971632,73.815724651,1746159781.27988
110592.0,1.0,0.1754510998725891,30.917970657348633,0.0,0.6833420395851135,0.00011470891331555322,328,14.506263732910156,0.01497395895421505,72,71,0.0,0.02653457596898079,74.817191486,1746159782.2813065
115200.0,1.0,0.17059490084648132,31.332033157348633,0.0,0.708305835723877,0.00011470891331555322,352,14.506263732910156,0.015625,75,74,0.0,0.011460049077868462,75.819467678,1746159783.283628
148992.0,1.0,0.19254831969738007,31.941408157348633,0.0,0.7658971548080444,0.00011470891331555322,528,14.506263732910156,0.015625,97,96,0.0,0.015379304066300392,83.169286435,1746159790.6334136
158208.0,1.0,0.1836262047290802,31.386720657348633,0.0,0.7925754189491272,0.00011470891331555322,576,14.506263732910156,0.013671875931322575,103,102,0.0,0.026163257658481598,85.186843932,1746159792.6509924
164352.0,1.0,0.18069954216480255,31.253908157348633,0.0,0.7653153538703918,0.00011470891331555322,608,14.506263732910156,0.014322916977107525,107,106,0.0,0.01715407893061638,86.547915531,1746159794.0120234
168960.0,1.0,0.17794939875602722,30.595054626464844,0.0,0.761203408241272,0.00011470891331555322,632,14.506263732910156,0.014322916977107525,110,109,0.0,0.015561510808765888,87.54340054,1746159795.0075667
187392.0,1.0,0.1956111341714859,31.902345657348633,0.0,0.7762718200683594,0.00011470891331555322,728,14.506263732910156,0.014322916977107525,122,121,0.0,0.045147329568862915,91.568528731,1746159799.032615
199680.0,1.0,0.22144246101379395,31.692710876464844,0.0,0.726101279258728,0.00011470891331555322,792,14.506263732910156,0.014322916977107525,130,129,0.0,0.025510139763355255,94.26051634,1746159801.7246163
230400.0,1.0,0.20014119148254395,31.496095657348633,0.0,0.8474539518356323,0.00011470891331555322,952,14.506263732910156,0.014322916977107525,150,149,0.0,0.038439102470874786,100.929968605,1746159808.394121
258048.0,1.0,0.22652003169059753,31.876304626464844,0.0,0.6290243864059448,0.00011470891331555322,1096,14.506263732910156,0.01497395895421505,168,167,0.0,0.049336954951286316,106.921829161,1746159814.386015
278016.0,1.0,0.2049257457256317,31.641929626464844,0.0,0.6087009906768799,0.00011470891331555322,1200,14.506263732910156,0.01302083395421505,181,180,0.0,0.09600420296192169,111.261439115,1746159818.725607
285696.0,1.0,0.15749339759349823,31.832033157348633,0.0,0.48571375012397766,0.00011470891331555322,1240,14.506263732910156,0.01302083395421505,186,185,0.0,0.08489072322845459,112.951273863,1746159820.4154227
307200.0,1.0,0.22382813692092896,32.00390625,0.0,0.37355732917785645,0.00011470891331555322,1352,14.506263732910156,0.014322916977107525,200,199,0.0,0.18026074767112732,117.62016103,1746159825.0840454
371712.0,1.0,0.20904432237148285,31.930992126464844,0.0,0.3925474286079407,0.00011470891331555322,1688,14.506263732910156,0.015625,242,241,0.0,0.23702694475650787,131.674817726,1746159839.138965
396288.0,1.0,0.19912786781787872,31.472658157348633,0.0,0.39655545353889465,0.00011470891331555322,1816,14.506263732910156,0.015625,258,257,0.0,0.31536364555358887,137.026800164,1746159844.49086
414720.0,1.0,0.23412060737609863,31.259117126464844,0.0,0.4902326464653015,0.00011470891331555322,1912,14.506263732910156,0.013671875931322575,270,269,0.0,0.2565101981163025,141.025931611,1746159848.4900498
428544.0,1.0,0.25637948513031006,31.606773376464844,0.0,0.5153765082359314,0.00011470891331555322,1984,14.506263732910156,0.01497395895421505,279,278,0.0,0.2675509750843048,144.026483639,1746159851.4906533
442368.0,1.0,0.22286270558834076,31.962242126464844,0.0,0.5076558589935303,0.00011470891331555322,2056,14.506263732910156,0.015625,288,287,0.0,0.24645313620567322,147.012226061,1746159854.476406
459264.0,1.0,0.2369173765182495,31.920574188232422,0.0,0.4985676407814026,0.00011470891331555322,2144,14.506263732910156,0.01497395895421505,299,298,0.0,0.3008304536342621,150.729257277,1746159858.193386
470016.0,1.0,0.2053793966770172,31.919273376464844,0.0,0.491070955991745,0.00011470891331555322,2200,14.506263732910156,0.015625,306,305,0.0,0.18497490882873535,153.083039196,1746159860.5472307
485376.0,1.0,0.12360210716724396,29.79231834411621,0.0,0.5296502113342285,0.00011470891331555322,2280,14.506263732910156,0.0162760429084301,316,315,0.0,0.21107639372348785,156.435658326,1746159863.899801
499200.0,1.0,0.18689607083797455,32.192710876464844,0.0,0.4684407114982605,0.41962701082229614,2352,61.03282928466797,0.015625,325,324,0.0,0.23661735653877258,159.499994032,1746159866.9641547
623616.0,1.0,0.0855686366558075,29.97981834411621,0.0,0.4409460425376892,0.41962701082229614,3000,61.03282928466797,0.01888020895421505,406,405,0.0,0.4995065927505493,186.538062128,1746159894.0022192
626688.0,1.0,0.12122803181409836,31.623699188232422,0.0,0.4829275608062744,0.41962701082229614,3016,61.03282928466797,0.012369791977107525,408,407,0.0,0.39856380224227905,187.203907893,1746159894.668053
637440.0,1.0,0.09804704785346985,30.996095657348633,0.0,0.49254605174064636,0.41962701082229614,3072,61.03282928466797,0.0162760429084301,415,414,0.0,0.30687063932418823,189.697535278,1746159897.1616364
640512.0,1.0,0.10779672116041183,31.697917938232422,0.0,0.5133445262908936,0.41962701082229614,3088,61.03282928466797,0.01497395895421505,417,416,0.0,0.32078105211257935,190.37110256,1746159897.8352041
642048.0,1.0,0.10356754809617996,32.02734375,0.0,0.5135681629180908,0.41962701082229614,3096,61.03282928466797,0.010416666977107525,418,417,0.0,0.2896227538585663,190.710653094,1746159898.1748016
