test_returned_won_episode,test_returned_episode_returns,_runtime,returned_episode_lengths,returned_episode_returns,qvals,returned_won_episode,grad_steps,test_returned_episode,loss,update_steps,test_returned_episode_lengths,_step,env_step,_timestamp,returned_episode
0.0,0.038001898676157,48.136721666,30.48828125,0.10259951651096344,0.0,0.0,0,1.0,0.0,5,20.631614685058594,4,7680.0,1746158734.0146985,0.0162760429084301
0.0,0.038001898676157,48.851345824,31.15755271911621,0.11670921742916107,0.0,0.0,0,1.0,0.0,16,20.631614685058594,15,24576.0,1746158734.7295392,0.01497395895421505
0.0,0.038001898676157,49.049253654,30.51171875,0.10249825567007065,0.0,0.0,0,1.0,0.0,19,20.631614685058594,18,29184.0,1746158734.9274344,0.014322916977107525
0.0,0.038001898676157,50.632444977,31.59765625,0.11658337712287903,-0.09268341958522797,0.0,16,1.0,0.005018703639507294,33,20.631614685058594,32,50688.0,1746158736.5106056,0.015625
0.0,0.038001898676157,54.646439229,30.221355438232422,0.11947451531887054,0.15267693996429443,0.0,96,1.0,0.004971880931407213,43,20.631614685058594,42,66048.0,1746158740.5246289,0.01497395895421505
0.0,0.038001898676157,57.057845275,31.66145896911621,0.13930407166481018,0.2892037034034729,0.0,144,1.0,0.003047578502446413,49,20.631614685058594,48,75264.0,1746158742.9359796,0.013671875
0.0,0.038001898676157,57.459390255,31.12109375,0.14369013905525208,0.3047528564929962,0.0,152,1.0,0.0031240545213222504,50,20.631614685058594,49,76800.0,1746158743.3375783,0.014322916977107525
0.0,0.038001898676157,69.90901627,30.93359375,0.15326319634914398,0.7278451919555664,0.0,400,1.0,0.007154651917517185,81,20.631614685058594,80,124416.0,1746158755.7871993,0.014322916977107525
0.0,0.038001898676157,71.917013314,31.561199188232422,0.14965695142745972,0.7842516899108887,0.0,440,1.0,0.009667463600635529,86,20.631614685058594,85,132096.0,1746158757.795183,0.013671875
0.0,0.038001898676157,72.71969836,31.01302146911621,0.15049338340759277,0.7927145957946777,0.0,456,1.0,0.009092766791582108,88,20.631614685058594,87,135168.0,1746158758.597875,0.01302083395421505
0.0,0.038001898676157,76.333990512,31.81770896911621,0.16700075566768646,0.8252730369567871,0.0,528,1.0,0.011411254294216633,97,20.631614685058594,96,148992.0,1746158762.212025,0.012369791977107525
0.0,0.038001898676157,77.541372511,31.06770896911621,0.16026084125041962,0.8436450958251953,0.0,552,1.0,0.010803885757923126,100,20.631614685058594,99,153600.0,1746158763.4195902,0.013671875
0.0,0.038001898676157,77.943086631,31.05859375,0.16225655376911163,0.8395318388938904,0.0,560,1.0,0.010885922238230705,101,20.631614685058594,100,155136.0,1746158763.8213074,0.01497395895421505
0.0,0.038001898676157,78.746518126,31.834636688232422,0.1764049530029297,0.8086087107658386,0.0,576,1.0,0.026128027588129044,103,20.631614685058594,102,158208.0,1746158764.6247272,0.014322916977107525
0.0,0.038001898676157,86.789456005,31.018230438232422,0.16865119338035583,0.7680411338806152,0.0,736,1.0,0.03483956307172775,123,20.631614685058594,122,188928.0,1746158772.667654,0.01497395895421505
0.0,0.038001898676157,96.442735023,30.72786521911621,0.17720621824264526,0.7103100419044495,0.0,928,1.0,0.024498753249645233,147,20.631614685058594,146,225792.0,1746158782.320942,0.014322916977107525
0.0,0.038001898676157,100.055841817,32.055992126464844,0.1721685826778412,0.6843869686126709,0.0,1000,1.0,0.04448696970939636,156,20.631614685058594,155,239616.0,1746158785.9340286,0.014322916977107525
0.0,0.038001898676157,100.460918558,31.385417938232422,0.18228724598884583,0.7121270895004272,0.0,1008,1.0,0.04308459907770157,157,20.631614685058594,156,241152.0,1746158786.3390994,0.013671875
0.0,0.038001898676157,104.073489209,31.4375,0.17520442605018616,0.8236672282218933,0.0,1080,1.0,0.04873137176036835,166,20.631614685058594,165,254976.0,1746158789.9516003,0.012369791977107525
0.0,0.038001898676157,108.490907771,31.55208396911621,0.19714602828025818,0.8582919239997864,0.0,1168,1.0,0.033676356077194214,177,20.631614685058594,176,271872.0,1746158794.3690813,0.014322916977107525
0.0,0.038001898676157,114.118303633,31.9140625,0.19952307641506195,0.7207704186439514,0.0,1280,1.0,0.057862699031829834,191,20.631614685058594,190,293376.0,1746158799.9964335,0.01497395895421505
0.0,0.038001898676157,116.126425634,32.06901168823242,0.21357731521129608,0.6359159350395203,0.0,1320,1.0,0.12942108511924744,196,20.631614685058594,195,301056.0,1746158802.004607,0.014322916977107525
0.0,0.038001898676157,124.163489869,32.0546875,0.23074471950531006,0.6291979551315308,0.0,1480,1.0,0.06903435289859772,216,20.631614685058594,215,331776.0,1746158810.04166,0.014322916977107525
0.0,0.038001898676157,126.170790338,31.979167938232422,0.21591854095458984,0.6318321228027344,0.0,1520,1.0,0.07395604252815247,221,20.631614685058594,220,339456.0,1746158812.0489557,0.01497395895421505
0.0,0.038001898676157,129.784250359,32.28125,0.2348109930753708,0.6071164608001709,0.0,1592,1.0,0.1627623736858368,230,20.631614685058594,229,353280.0,1746158815.6624334,0.015625
0.0,0.038001898676157,130.588772364,31.35677146911621,0.22696208953857422,0.6189683675765991,0.0,1608,1.0,0.27041319012641907,232,20.631614685058594,231,356352.0,1746158816.4669497,0.01106770895421505
0.0,0.038001898676157,142.642956826,32.08073043823242,0.22506527602672577,0.6558260917663574,0.0,1848,1.0,0.3594133257865906,262,20.631614685058594,261,402432.0,1746158828.5211496,0.013671875
0.0,0.038001898676157,144.649404384,31.729167938232422,0.22961029410362244,0.660525381565094,0.0,1888,1.0,0.39759793877601624,267,20.631614685058594,266,410112.0,1746158830.527614,0.01171875
0.0,0.038001898676157,146.256103515,32.02994918823242,0.2535383403301239,0.662459671497345,0.0,1920,1.0,0.40402495861053467,271,20.631614685058594,270,416256.0,1746158832.1343102,0.014322916977107525
0.0,0.038001898676157,146.657559567,32.00260543823242,0.2497725784778595,0.6757984757423401,0.0,1928,1.0,0.3823888897895813,272,20.631614685058594,271,417792.0,1746158832.5357287,0.013671875
0.0,0.038001898676157,147.05869262,31.88020896911621,0.24136118590831757,0.6798819303512573,0.0,1936,1.0,0.4404456913471222,273,20.631614685058594,272,419328.0,1746158832.9368715,0.015625
0.0,0.038001898676157,149.065732687,32.1015625,0.2329266369342804,0.6918250322341919,0.0,1976,1.0,0.42390331625938416,278,20.631614685058594,277,427008.0,1746158834.9439228,0.01497395895421505
0.0,0.038001898676157,152.683935255,31.975261688232422,0.256445050239563,0.7204231023788452,0.0,2048,1.0,0.42151468992233276,287,20.631614685058594,286,440832.0,1746158838.5621083,0.015625
0.0,0.038001898676157,156.70109738,31.83333396911621,0.23341727256774902,0.7272858619689941,0.0,2128,1.0,0.4166916310787201,297,20.631614685058594,296,456192.0,1746158842.5792985,0.013671875
