test_returned_won_episode,test_returned_episode_lengths,_step,returned_episode,returned_won_episode,grad_steps,qvals,update_steps,env_step,returned_episode_lengths,test_returned_episode_returns,test_returned_episode,returned_episode_returns,loss,_timestamp,_runtime
0.0,32.38470458984375,15,0.02278645895421505,0.0,0,0.0,16,24576.0,26.54427146911621,0.2609286606311798,1,0.2543944716453552,0.0,1746191391.3007188,49.969466791
0.0,32.38470458984375,97,0.0234375,0.0,536,0.47176411747932434,98,150528.0,25.44075584411621,0.2609286606311798,1,0.27569660544395447,0.05011836439371109,1746191417.206808,75.875598651
0.0,32.38470458984375,98,0.02473958395421505,0.0,544,0.4792371690273285,99,152064.0,24.57161521911621,0.2609286606311798,1,0.2904166281223297,0.04683396965265274,1746191417.5790641,76.247840991
0.0,32.38470458984375,101,0.02408854104578495,0.0,568,0.4823901653289795,102,156672.0,26.43359375,0.2609286606311798,1,0.3093391954898834,0.1697269082069397,1746191418.6956065,77.364394491
0.0,32.38470458984375,109,0.025390625,0.0,632,0.45188257098197937,110,168960.0,24.66275978088379,0.2609286606311798,1,0.2916471064090729,0.09025304019451141,1746191421.6732287,80.341987614
0.0,32.38470458984375,136,0.02473958395421505,0.0,848,0.3840584456920624,137,210432.0,24.90364646911621,0.2609286606311798,1,0.2970247268676758,0.1480865180492401,1746191431.726287,90.395039257
0.0,32.38470458984375,151,0.02408854104578495,0.0,968,0.4298233389854431,152,233472.0,25.88346290588379,0.2609286606311798,1,0.3076562285423279,0.1970149278640747,1746191437.310363,95.979128757
0.0,32.38470458984375,168,0.02473958395421505,0.0,1104,0.3976488709449768,169,259584.0,24.95963478088379,0.2609286606311798,1,0.27476561069488525,0.17088592052459717,1746191443.6427515,102.311495291
0.0,32.38470458984375,175,0.02408854104578495,0.0,1160,0.4992596507072449,176,270336.0,24.80533790588379,0.2609286606311798,1,0.28567707538604736,0.24003103375434875,1746191446.248835,104.917582014
0.0,32.38470458984375,186,0.02473958395421505,0.0,1248,0.4858957529067993,187,287232.0,25.8203125,0.2609286606311798,1,0.28880855441093445,0.47035443782806396,1746191450.3444777,109.013268536
0.0,32.38470458984375,205,0.02473958395421505,0.0,1400,0.49834445118904114,206,316416.0,25.27408790588379,0.2609286606311798,1,0.31734371185302734,0.4062264561653137,1746191457.422594,116.091352692
0.0,32.38470458984375,257,0.02604166604578495,0.0,1816,0.45356881618499756,258,396288.0,24.86328125,0.2609286606311798,1,0.28660479187965393,0.2947561740875244,1746191476.7921174,135.460882504
0.0,32.38470458984375,263,0.02734375,0.0,1864,0.4402303993701935,264,405504.0,23.568359375,0.2609286606311798,1,0.28047847747802734,0.2782461643218994,1746191479.0339825,137.702731661
0.0,32.38470458984375,266,0.02734375,0.0,1888,0.43353891372680664,267,410112.0,24.953125,0.2609286606311798,1,0.29951170086860657,0.2780938446521759,1746191480.1505244,138.819264267
0.0,32.38470458984375,270,0.025390625,0.0,1920,0.42820966243743896,271,416256.0,25.189453125,0.2609286606311798,1,0.2715657651424408,0.29663634300231934,1746191481.638987,140.307742461
0.0,32.38470458984375,276,0.02473958395421505,0.0,1968,0.4209071099758148,277,425472.0,25.29166603088379,0.2609286606311798,1,0.32667964696884155,0.2616870701313019,1746191483.8776197,142.546391963
0.0,32.38470458984375,282,0.02408854104578495,0.0,2016,0.3974725008010864,283,434688.0,24.32356834411621,0.2609286606311798,1,0.3036458194255829,0.2611474394798279,1746191486.1106386,144.779383657
0.0,32.38470458984375,287,0.02473958395421505,0.0,2056,0.4070360064506531,288,442368.0,24.39908790588379,0.2609286606311798,1,0.27454423904418945,0.2461945116519928,1746191487.9737678,146.64252964
0.0,32.38470458984375,288,0.025390625,0.0,2064,0.4001513719558716,289,443904.0,24.76627540588379,0.2609286606311798,1,0.29943355917930603,0.2550543248653412,1746191488.3460162,147.014799079
0.0,34.79522705078125,325,0.0234375,0.0,2360,0.3936714231967926,326,500736.0,25.00911521911621,0.4896984100341797,1,0.30123046040534973,0.13250626623630524,1746191502.2094862,160.878272773
0.0,34.79522705078125,330,0.02473958395421505,0.0,2400,0.3950005769729614,331,508416.0,25.11588478088379,0.4896984100341797,1,0.3262597322463989,0.12313234061002731,1746191504.0664356,162.735207371
0.0,34.79522705078125,333,0.0234375,0.0,2424,0.3993423581123352,334,513024.0,25.69075584411621,0.4896984100341797,1,0.28240883350372314,0.09583310037851334,1746191505.1846611,163.853429088
0.0,34.79522705078125,340,0.02408854104578495,0.0,2480,0.3984842598438263,341,523776.0,25.64322853088379,0.4896984100341797,1,0.3288671672344208,0.09693717211484909,1746191507.7907274,166.459497466
0.0,34.79522705078125,342,0.02473958395421505,0.0,2496,0.40872207283973694,343,526848.0,25.38346290588379,0.4896984100341797,1,0.3041341006755829,0.10375649482011795,1746191508.535128,167.203872113
0.0,34.79522705078125,359,0.02669270895421505,0.0,2632,0.4237231910228729,360,552960.0,24.05403709411621,0.4896984100341797,1,0.31936195492744446,0.08358940482139587,1746191514.872825,173.541622551
0.0,34.79522705078125,369,0.02278645895421505,0.0,2712,0.3886013329029083,370,568320.0,25.84244728088379,0.4896984100341797,1,0.3260025680065155,0.08878456056118011,1746191518.5950322,177.26379739
0.0,34.79522705078125,374,0.02213541604578495,0.0,2752,0.4019073247909546,375,576000.0,25.75260353088379,0.4896984100341797,1,0.31890296936035156,0.08517167717218399,1746191520.4603107,179.129049021
0.0,34.79522705078125,430,0.0234375,0.0,3200,0.31823670864105225,431,662016.0,25.57096290588379,0.4896984100341797,1,0.3493228852748871,0.07252442836761475,1746191541.38856,200.05733926
0.0,34.79522705078125,435,0.0234375,0.0,3240,0.3149837851524353,436,669696.0,26.0859375,0.4896984100341797,1,0.33092769980430603,0.057736679911613464,1746191543.25082,201.919580454
0.0,34.79522705078125,443,0.0234375,0.0,3304,0.30300307273864746,444,681984.0,25.09440040588379,0.4896984100341797,1,0.26666662096977234,0.06741704046726227,1746191546.228644,204.897404906
0.0,34.79522705078125,444,0.0234375,0.0,3312,0.2852863669395447,445,683520.0,25.86653709411621,0.4896984100341797,1,0.3343456983566284,0.05995778366923332,1746191546.600729,205.269495038
0.0,34.79522705078125,470,0.02018229104578495,0.0,3520,0.19457915425300598,471,723456.0,26.63346290588379,0.4896984100341797,1,0.26354163885116577,0.15132921934127808,1746191556.2915707,214.960328885
0.0,34.79522705078125,490,0.02278645895421505,0.0,3680,0.10796906054019928,491,754176.0,26.14518165588379,0.4896984100341797,1,0.27907875180244446,0.06189315393567085,1746191563.736272,222.405014917
0.0,34.79522705078125,532,0.02018229104578495,0.0,4016,0.11575699597597122,533,818688.0,28.11328125,0.4896984100341797,1,0.23202472925186157,0.11659355461597443,1746191579.3769202,238.045715321
0.0,34.79522705078125,535,0.01822916604578495,0.0,4040,0.12584000825881958,536,823296.0,26.943359375,0.4896984100341797,1,0.28075844049453735,0.11162909865379333,1746191580.49387,239.162617393
0.0,34.79522705078125,545,0.0234375,0.0,4120,0.10964024066925049,546,838656.0,25.716796875,0.4896984100341797,1,0.3523046374320984,0.04943499341607094,1746191584.220313,242.889069467
0.0,34.79522705078125,549,0.01822916604578495,0.0,4152,0.11913566291332245,550,844800.0,27.37109375,0.4896984100341797,1,0.30787432193756104,0.049509353935718536,1746191585.7089727,244.377756355
0.0,34.79522705078125,551,0.02083333395421505,0.0,4168,0.10988521575927734,552,847872.0,27.9921875,0.4896984100341797,1,0.34732744097709656,0.05703499913215637,1746191586.4535728,245.122337928
0.0,34.79522705078125,559,0.02018229104578495,0.0,4232,0.12098729610443115,560,860160.0,25.97591209411621,0.4896984100341797,1,0.33534500002861023,0.05699041113257408,1746191589.4317112,248.100484904
0.0,34.79522705078125,571,0.0234375,0.0,4328,0.14588570594787598,572,878592.0,25.681640625,0.4896984100341797,1,0.36044591665267944,0.05244510620832443,1746191593.8979342,252.566692474
0.0,34.79522705078125,580,0.02083333395421505,0.0,4400,0.11345236748456955,581,892416.0,27.82356834411621,0.4896984100341797,1,0.3149511218070984,0.04775694012641907,1746191597.2491121,255.917913901
0.0,34.79522705078125,582,0.014973958022892475,0.0,4416,0.0844726711511612,583,895488.0,26.984375,0.4896984100341797,1,0.25158849358558655,0.06338223069906235,1746191597.993796,256.662566693
0.0,34.79522705078125,603,0.01822916604578495,0.0,4584,0.08764317631721497,604,927744.0,29.23046875,0.4896984100341797,1,0.31611329317092896,0.04262196272611618,1746191605.8218782,264.490642217
0.0,34.79522705078125,615,0.012369791977107525,0.0,4680,0.07405680418014526,616,946176.0,27.10025978088379,0.4896984100341797,1,0.23674477636814117,0.0532250814139843,1746191610.2884681,268.957210389
0.0,34.79522705078125,627,0.01692708395421505,0.0,4776,0.07980333268642426,628,964608.0,30.40690040588379,0.4896984100341797,1,0.3004198968410492,0.04153323546051979,1746191614.7614,273.430155939
0.0,34.79522705078125,642,0.017578125,0.0,4896,0.05596470832824707,643,987648.0,28.78971290588379,0.4896984100341797,1,0.320253849029541,0.06183315068483353,1746191620.3462546,279.015020227
0.0,41.014835357666016,661,0.014322916977107525,0.0,5048,0.07421214133501053,662,1016832.0,27.26953125,0.47567909955978394,1,0.3203808069229126,0.03493909165263176,1746191627.5056489,286.174417468
0.0,41.014835357666016,662,0.015625,0.0,5056,0.06742293387651443,663,1018368.0,29.55729103088379,0.47567909955978394,1,0.2542415261268616,0.03333134204149246,1746191627.8778343,286.546617665
0.0,41.014835357666016,677,0.015625,0.0,5176,0.07861320674419403,678,1041408.0,24.68229103088379,0.47567909955978394,1,0.2995767891407013,0.047207310795784,1746191633.464712,292.133479056
0.0,41.014835357666016,689,0.01953125,0.0,5272,0.068296417593956,690,1059840.0,26.28580665588379,0.47567909955978394,1,0.32480138540267944,0.03971029072999954,1746191637.9318829,296.600666478
0.0,41.014835357666016,691,0.012369791977107525,0.0,5288,0.06843303143978119,692,1062912.0,29.45182228088379,0.47567909955978394,1,0.2969790995121002,0.03358297795057297,1746191638.6760378,297.344795339
0.0,41.014835357666016,702,0.017578125,0.0,5376,0.07262542098760605,703,1079808.0,29.83854103088379,0.47567909955978394,1,0.3361457884311676,0.03377755358815193,1746191642.7755601,301.444317482
0.0,41.014835357666016,734,0.014322916977107525,0.0,5632,0.03320440649986267,735,1128960.0,27.34895896911621,0.47567909955978394,1,0.3768521547317505,0.02974485605955124,1746191654.6863408,313.355102744
0.0,41.014835357666016,755,0.015625,0.0,5800,0.0324774906039238,756,1161216.0,26.5625,0.47567909955978394,1,0.3555012345314026,0.027411023154854774,1746191662.5044649,321.173278625
0.0,41.014835357666016,762,0.01692708395421505,0.0,5856,-0.017406687140464783,763,1171968.0,24.78515625,0.47567909955978394,1,0.3914484977722168,0.02590741217136383,1746191665.1103725,323.779133824
0.0,41.014835357666016,782,0.013671875,0.0,6016,-0.032180242240428925,783,1202688.0,26.06315040588379,0.47567909955978394,1,0.3216829001903534,0.025691915303468704,1746191672.5626366,331.231408097
0.0,41.014835357666016,799,0.015625,0.0,6152,-0.036365997046232224,800,1228800.0,27.45963478088379,0.47567909955978394,1,0.4103807806968689,0.0273459292948246,1746191678.8908143,337.559564155
0.0,41.014835357666016,816,0.011067708022892475,0.0,6288,-0.0033937348052859306,817,1254912.0,26.09244728088379,0.47567909955978394,1,0.2843065857887268,0.04450364038348198,1746191685.2229605,343.891719799
0.0,41.014835357666016,834,0.010416666977107525,0.0,6432,-0.026468584313988686,835,1282560.0,27.73567771911621,0.47567909955978394,1,0.34843745827674866,0.03323899954557419,1746191691.9304616,350.599236151
0.0,41.014835357666016,843,0.010416666977107525,0.0,6504,-0.04530481994152069,844,1296384.0,26.03515625,0.47567909955978394,1,0.2814875841140747,0.03582904487848282,1746191695.2810726,353.94984373
0.0,41.014835357666016,864,0.01692708395421505,0.064453125,6672,-0.07596220076084137,865,1328640.0,28.75130271911621,0.47567909955978394,1,0.5181509852409363,0.030971340835094452,1746191703.1199906,361.78873589
0.0,41.014835357666016,887,0.014973958022892475,0.0618489570915699,6856,-0.14796872437000275,888,1363968.0,26.818359375,0.47567909955978394,1,0.5175129175186157,0.03220910578966141,1746191711.6844964,370.353243664
0.0,41.014835357666016,932,0.01627604104578495,0.0,7216,-0.17863911390304565,933,1433088.0,28.052734375,0.47567909955978394,1,0.4030044972896576,0.04356599599123001,1746191728.4408917,387.109658209
0.0,41.014835357666016,933,0.01171875,0.0,7224,-0.17170754075050354,934,1434624.0,28.00650978088379,0.47567909955978394,1,0.2963085174560547,0.04433690756559372,1746191728.8133142,387.482088332
0.0,41.014835357666016,938,0.014973958022892475,0.0,7264,-0.19751067459583282,939,1442304.0,24.671875,0.47567909955978394,1,0.3606346547603607,0.07316331565380096,1746191730.6770027,389.345808083
0.0,41.014835357666016,942,0.015625,0.0,7296,-0.21227602660655975,943,1448448.0,25.595703125,0.47567909955978394,1,0.35595694184303284,0.043410658836364746,1746191732.1696153,390.838366657
0.0,47.5655403137207,976,0.014973958022892475,0.0,7568,-0.1992817521095276,977,1500672.0,26.32421875,0.5666244029998779,1,0.3983885943889618,0.03824229538440704,1746191744.907388,403.576127272
0.0,47.5655403137207,1008,0.009765625,0.0,7824,-0.2603716254234314,1009,1549824.0,23.37239646911621,0.5666244029998779,1,0.20292316377162933,0.09904183447360992,1746191756.830622,415.499422664
0.0,47.5655403137207,1012,0.01692708395421505,0.0,7856,-0.23942944407463074,1013,1555968.0,28.94661521911621,0.5666244029998779,1,0.41861316561698914,0.056342266499996185,1746191758.3190346,416.987779921
0.0,47.5655403137207,1013,0.013671875,0.0,7864,-0.26338860392570496,1014,1557504.0,26.96224021911621,0.5666244029998779,1,0.43860340118408203,0.04575943946838379,1746191758.691162,417.359928943
0.0,47.5655403137207,1031,0.011067708022892475,0.05078125,8008,-0.2675735652446747,1032,1585152.0,25.77799415588379,0.5666244029998779,1,0.392063707113266,0.0360899493098259,1746191765.3913374,424.060102828
0.0,47.5655403137207,1046,0.010416666977107525,0.02669270895421505,8128,-0.26641201972961426,1047,1608192.0,26.546875,0.5666244029998779,1,0.36910149455070496,0.03789013251662254,1746191770.9747486,429.64360368
0.0,47.5655403137207,1076,0.01692708395421505,0.01171875,8368,-0.34602493047714233,1077,1654272.0,27.435546875,0.5666244029998779,1,0.4131900370121002,0.07049858570098877,1746191782.149309,440.81806609
0.0,47.5655403137207,1092,0.011067708022892475,0.21484375,8496,-0.33452108502388,1093,1678848.0,26.83724021911621,0.5666244029998779,1,0.7356802225112915,0.051906369626522064,1746191788.1049664,446.773727526
0.0,47.5655403137207,1117,0.010416666977107525,0.2513020932674408,8696,-0.33246004581451416,1118,1717248.0,27.95442771911621,0.5666244029998779,1,0.7315461039543152,0.056292422115802765,1746191797.426,456.09473048
0.0,47.5655403137207,1142,0.01627604104578495,0.265625,8896,-0.32878148555755615,1143,1755648.0,28.86979103088379,0.5666244029998779,1,0.8403156399726868,0.06137076020240784,1746191806.7337563,465.402497908
0.0,47.5655403137207,1161,0.014973958022892475,0.2578125,9048,-0.3184555172920227,1162,1784832.0,28.107421875,0.5666244029998779,1,0.773320198059082,0.08817031979560852,1746191813.8121548,472.480916502
0.0,47.5655403137207,1168,0.017578125,0.302734375,9104,-0.3590380549430847,1169,1795584.0,28.087890625,0.5666244029998779,1,0.8581314086914062,0.08692820370197296,1746191816.4175234,475.086286334
0.0,47.5655403137207,1216,0.02018229104578495,0.28515625,9488,-0.3532646894454956,1217,1869312.0,28.17513084411621,0.5666244029998779,1,0.8702635169029236,0.12334946542978287,1746191834.2920775,492.960832638
0.0,47.5655403137207,1220,0.017578125,0.3951822817325592,9520,-0.3703556954860687,1221,1875456.0,29.71549415588379,0.5666244029998779,1,1.0101040601730347,0.11669881641864777,1746191835.7808397,494.449606332
0.0,47.5655403137207,1226,0.01953125,0.2545572817325592,9568,-0.35473448038101196,1227,1884672.0,29.0234375,0.5666244029998779,1,0.847431480884552,0.20087119936943054,1746191838.0145733,496.683348948
0.0,47.5655403137207,1242,0.017578125,0.2259114533662796,9696,-0.46527907252311707,1243,1909248.0,30.080078125,0.5666244029998779,1,0.7852147221565247,0.1981664001941681,1746191843.985544,502.654329556
0.0,47.5655403137207,1245,0.015625,0.353515625,9720,-0.46809816360473633,1246,1913856.0,29.32942771911621,0.5666244029998779,1,0.962372899055481,0.16433344781398773,1746191845.1022527,503.770991509
