returned_episode_returns,loss,_step,update_steps,qvals,env_step,returned_episode_lengths,test_returned_won_episode,_timestamp,returned_episode,grad_steps,test_returned_episode_returns,test_returned_episode_lengths,test_returned_episode,returned_won_episode,_runtime
0.13581912219524384,0.0,8,9,0.0,13824.0,17.531902313232422,0.0,1746178101.578105,0.0455729179084301,0,0.03854344040155411,17.79711151123047,1.0,0.0,49.271132458
0.14405778050422668,0.0,19,20,0.0,30720.0,17.713542938232422,0.0,1746178102.3908546,0.0436197929084301,0,0.03854344040155411,17.79711151123047,1.0,0.0,50.083882714
0.12766335904598236,0.0,20,21,0.0,32256.0,17.760417938232422,0.0,1746178102.464771,0.0436197929084301,0,0.03854344040155411,17.79711151123047,1.0,0.0,50.157807407
0.13892045617103577,0.0,23,24,0.0,36864.0,17.330078125,0.0,1746178102.686638,0.0455729179084301,0,0.03854344040155411,17.79711151123047,1.0,0.0,50.379683047
0.1535629779100418,0.027647346258163452,53,54,0.35815322399139404,82944.0,17.63411521911621,0.0,1746178113.6948943,0.0449218787252903,184,0.03854344040155411,17.79711151123047,1.0,0.0,61.38790616
0.17140154540538788,0.05288032442331314,62,63,0.3614457845687866,96768.0,17.49153709411621,0.0,1746178117.7991202,0.0455729179084301,256,0.03854344040155411,17.79711151123047,1.0,0.0,65.492147766
0.15669982135295868,0.029982011765241623,66,67,0.41917407512664795,102912.0,16.969402313232422,0.0,1746178119.6226747,0.0455729179084301,288,0.03854344040155411,17.79711151123047,1.0,0.0,67.315689491
0.16170693933963776,0.028503205627202988,68,69,0.4315953254699707,105984.0,17.17513084411621,0.0,1746178120.5371454,0.0462239608168602,304,0.03854344040155411,17.79711151123047,1.0,0.0,68.230154013
0.17473962903022766,0.039323024451732635,118,119,0.32725486159324646,182784.0,17.36458396911621,0.0,1746178143.3607132,0.0462239608168602,704,0.03854344040155411,17.79711151123047,1.0,0.0,91.053789669
0.1715909242630005,0.04972093179821968,128,129,0.34947526454925537,198144.0,16.877605438232422,0.0,1746178147.9216616,0.0468750037252903,784,0.03854344040155411,17.79711151123047,1.0,0.0,95.614695289
0.17097538709640503,0.0669061541557312,141,142,0.3103066384792328,218112.0,16.256511688232422,0.0,1746178153.853968,0.0462239608168602,888,0.03854344040155411,17.79711151123047,1.0,0.0,101.546983207
