returned_won_episode,grad_steps,returned_episode_lengths,returned_episode_returns,_timestamp,loss,test_returned_episode_returns,test_returned_won_episode,env_step,qvals,test_returned_episode_lengths,update_steps,_step,test_returned_episode,returned_episode,_runtime
0.0,0,27.57291603088379,0.1318506896495819,1746184048.214135,0.0,0.12465053796768188,0.0,44544.0,0.0,28.47896957397461,29,28,1.0,0.01953125,60.015589618
0.0,112,28.05599021911621,0.15229861438274384,1746184052.4591737,0.007386027369648218,0.12465053796768188,0.0,69120.0,0.6923878192901611,28.47896957397461,45,44,1.0,0.02083333395421505,64.260691228
0.0,160,28.96809959411621,0.16587412357330322,1746184054.2535908,0.005631484091281891,0.12465053796768188,0.0,78336.0,0.6922617554664612,28.47896957397461,51,50,1.0,0.01627604104578495,66.05528417
0.0,192,29.65234375,0.1771814227104187,1746184055.4299238,0.007089724764227867,0.12465053796768188,0.0,84480.0,0.8196871280670166,28.47896957397461,55,54,1.0,0.01822916604578495,67.231420875
0.0,256,29.76888084411621,0.1590355783700943,1746184057.7781272,0.01134247425943613,0.12465053796768188,0.0,96768.0,0.9083054065704346,28.47896957397461,63,62,1.0,0.01822916604578495,69.579629936
0.0,352,29.24609375,0.19248349964618683,1746184061.3470924,0.009085582569241524,0.12465053796768188,0.0,115200.0,0.9137664437294006,28.47896957397461,75,74,1.0,0.01822916604578495,73.148600969
0.0,504,29.26497459411621,0.17678645253181458,1746184066.9465706,0.012737550772726536,0.12465053796768188,0.0,144384.0,0.8950990438461304,28.47896957397461,94,93,1.0,0.01888020895421505,78.74805474
0.0,736,27.85546875,0.18426908552646637,1746184075.5311267,0.030214332044124603,0.12465053796768188,0.0,188928.0,0.8700668811798096,28.47896957397461,123,122,1.0,0.017578125,87.332727237
0.0,816,27.97721290588379,0.18720224499702454,1746184078.5061195,0.023843802511692047,0.12465053796768188,0.0,204288.0,0.856047511100769,28.47896957397461,133,132,1.0,0.017578125,90.308015259
0.0,840,28.75260353088379,0.19331595301628113,1746184079.4056473,0.017400290817022324,0.12465053796768188,0.0,208896.0,0.8590651154518127,28.47896957397461,136,135,1.0,0.01692708395421505,91.207139507
0.0,1032,29.38346290588379,0.19824476540088654,1746184086.5030875,0.021774085238575935,0.12465053796768188,0.0,245760.0,0.8177428245544434,28.47896957397461,160,159,1.0,0.01822916604578495,98.304580767
0.0,1216,28.6796875,0.20161283016204834,1746184093.3299832,0.039448946714401245,0.12465053796768188,0.0,281088.0,0.790374755859375,28.47896957397461,183,182,1.0,0.017578125,105.131449291
0.0,1248,29.69921875,0.20440013706684113,1746184094.5163782,0.0372745618224144,0.12465053796768188,0.0,287232.0,0.777258574962616,28.47896957397461,187,186,1.0,0.015625,106.317844835
0.0,1264,29.42708396911621,0.18668749928474426,1746184095.1172962,0.037125684320926666,0.12465053796768188,0.0,290304.0,0.7641170024871826,28.47896957397461,189,188,1.0,0.015625,106.918919071
0.0,1304,29.55599021911621,0.2016119658946991,1746184096.6015341,0.04421282932162285,0.12465053796768188,0.0,297984.0,0.7518010139465332,28.47896957397461,194,193,1.0,0.017578125,108.403479302
0.0,1320,30.44270896911621,0.21320658922195435,1746184097.191753,0.035831235349178314,0.12465053796768188,0.0,301056.0,0.7390719056129456,28.47896957397461,196,195,1.0,0.01692708395421505,108.993742684
0.0,1336,29.08463478088379,0.2049756646156311,1746184097.7866116,0.03552715480327606,0.12465053796768188,0.0,304128.0,0.7467626333236694,28.47896957397461,198,197,1.0,0.017578125,109.588525727
0.0,1384,29.619140625,0.1900121420621872,1746184099.563175,0.03509502857923508,0.12465053796768188,0.0,313344.0,0.750672459602356,28.47896957397461,204,203,1.0,0.01692708395421505,111.36484138
0.0,1824,30.16666603088379,0.1603671759366989,1746184115.8287163,0.10161834955215454,0.12465053796768188,0.0,397824.0,0.6076914072036743,28.47896957397461,259,258,1.0,0.015625,127.630305802
0.0,1976,28.107421875,0.17847655713558197,1746184121.4340584,0.16882818937301636,0.12465053796768188,0.0,427008.0,0.607580304145813,28.47896957397461,278,277,1.0,0.01888020895421505,133.236151013
0.0,2032,30.8125,0.2030685693025589,1746184123.4943123,0.13993871212005615,0.12465053796768188,0.0,437760.0,0.6377211213111877,28.47896957397461,285,284,1.0,0.01627604104578495,135.296232702
0.0,2176,28.314453125,0.18430207669734955,1746184128.8172545,0.15454953908920288,0.12465053796768188,0.0,465408.0,0.5595143437385559,28.47896957397461,303,302,1.0,0.01953125,140.61897381
0.0,2392,28.9765625,0.20741316676139832,1746184136.8540773,0.2905929684638977,0.22256344556808472,0.0,506880.0,0.5901821851730347,42.88629150390625,330,329,1.0,0.01822916604578495,148.65603844
0.0,2632,29.328125,0.17624478042125702,1746184145.7040997,0.2115670144557953,0.22256344556808472,0.0,552960.0,0.493667870759964,42.88629150390625,360,359,1.0,0.01822916604578495,157.506012165
0.0,2744,29.67122459411621,0.2185954600572586,1746184149.8514166,0.3819977641105652,0.22256344556808472,0.0,574464.0,0.5944005846977234,42.88629150390625,374,373,1.0,0.01692708395421505,161.653110208
0.0,2760,28.25520896911621,0.14689061045646667,1746184150.4407575,0.28037554025650024,0.22256344556808472,0.0,577536.0,0.5733399391174316,42.88629150390625,376,375,1.0,0.01627604104578495,162.24261401
0.0,2800,29.99479103088379,0.17814061045646667,1746184151.9090495,0.2543978691101074,0.22256344556808472,0.0,585216.0,0.5670418739318848,42.88629150390625,381,380,1.0,0.01692708395421505,163.710843596
