env_step,returned_won_episode,returned_episode_returns,test_returned_episode_lengths,returned_episode,test_returned_won_episode,qvals,test_returned_episode_returns,returned_episode_lengths,_step,loss,update_steps,_timestamp,test_returned_episode,grad_steps,_runtime
13824.0,0.0,0.2219732701778412,23.661344528198242,0.02539062686264515,0.0,0.0,0.0643957182765007,24.880861282348633,8,0.0,9,1746198816.4495747,1.0,0,84.941267204
18432.0,0.0,0.19005274772644043,23.661344528198242,0.02734375186264515,0.0,0.0,0.0643957182765007,23.496095657348633,11,0.0,12,1746198816.6453242,1.0,0,85.13692911
38400.0,0.0,0.15333493053913116,23.661344528198242,0.0260416679084301,0.0,0.0,0.0643957182765007,25.156902313232422,24,0.0,25,1746198817.4947662,1.0,0,85.986386451
67584.0,0.0,0.24311158061027527,23.661344528198242,0.02539062686264515,0.0,0.007655708119273186,0.0643957182765007,24.70833396911621,43,0.038960717618465424,44,1746198822.3164222,1.0,104,90.808101084
73728.0,0.0,0.22278399765491486,23.661344528198242,0.02734375186264515,0.0,0.09000177681446075,0.0643957182765007,23.433595657348633,47,0.03244657814502716,48,1746198823.6629205,1.0,136,92.154575329
93696.0,0.0,0.2045263648033142,23.661344528198242,0.02343750186264515,0.0,0.2920866012573242,0.0643957182765007,24.672527313232422,60,0.05319664999842644,61,1746198828.0588737,1.0,240,96.550540492
105984.0,0.0,0.24216222763061523,23.661344528198242,0.0221354179084301,0.0,0.34424811601638794,0.0643957182765007,25.39388084411621,68,0.07346376776695251,69,1746198830.763065,1.0,304,99.254702816
110592.0,0.0,0.229056715965271,23.661344528198242,0.02473958395421505,0.0,0.3958282470703125,0.0643957182765007,23.896486282348633,71,0.2081243246793747,72,1746198831.7709937,1.0,328,100.262618638
115200.0,0.0,0.19461224973201752,23.661344528198242,0.0221354179084301,0.0,0.3284403681755066,0.0643957182765007,24.675783157348633,74,0.11604203283786774,75,1746198832.7876542,1.0,352,101.279324348
148992.0,0.0,0.21501529216766357,23.661344528198242,0.02473958395421505,0.0,0.23251934349536896,0.0643957182765007,22.86458396911621,96,0.20315146446228027,97,1746198840.2427537,1.0,528,108.734430551
158208.0,0.0,0.25300148129463196,23.661344528198242,0.02473958395421505,0.0,0.2575156092643738,0.0643957182765007,24.826824188232422,102,0.24320349097251892,103,1746198842.2598941,1.0,576,110.751529722
164352.0,0.0,0.26198136806488037,23.661344528198242,0.0260416679084301,0.0,0.27138540148735046,0.0643957182765007,24.13020896911621,106,0.22810283303260803,107,1746198843.6026795,1.0,608,112.094323147
168960.0,0.0,0.25796112418174744,23.661344528198242,0.02539062686264515,0.0,0.2720893323421478,0.0643957182765007,25.21614646911621,109,0.1827884018421173,110,1746198844.6105952,1.0,632,113.102282902
187392.0,0.0,0.23990707099437714,23.661344528198242,0.01953125186264515,0.0,0.3046906888484955,0.0643957182765007,29.12434959411621,121,0.2718082070350647,122,1746198848.6477478,1.0,728,117.139399364
199680.0,0.0,0.2512225806713104,23.661344528198242,0.0221354179084301,0.0,0.33649182319641113,0.0643957182765007,26.988933563232422,129,0.25422656536102295,130,1746198851.3614216,1.0,792,119.853075923
